,Name,Age class,End use,H plant,C plant,BuiHeight,Footprint,ExtWallArea,nFloor,TotalArea,Volume,PDesH,PDesC,TotOpaquaA,TotWinA,TotUA,ExtWallU,RoofU,GroundU,WinU,Htr_is,Htr_w,Htr_ms,Htr_em,Cm,RrestAW,R1AW,RalphaStarAW,RalphsStarIL,RaplphaStarIW,R1IW,C1AW,C1IW
RLB-67107,RLB-67107,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,12.205266666666667,349.0769024773238,1202.918839199445,4.0,1396.3076099092953,4607.815112700674,1e+20,-1e+20,1052.5539843620143,150.36485533743055,2044.2624183594214,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,25827.750698723285,556.3499677084931,55591.31388096899,1528.8319381928236,429522604.6440399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-67864,RLB-67864,1971-1980,Residenziale,TraditionalBoiler,SplitAirCooler,6.621000000000002,164.01123056875,502.10532969620283,2.0,328.0224611375,1082.4741217537498,1e+20,-1e+20,439.3421634966774,62.76316629952535,1118.6059300588197,0.9842050869714364,1.344001665441857,1.4240179934591244,3.7,6824.794407860426,232.22371826824386,13978.864220930915,946.3917214336096,126977060.78230444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-66928,RLB-66928,1971-1980,Residenziale,TraditionalBoiler,SplitAirCooler,4.163111111111107,377.83789099856057,353.87992320943124,1.0,377.83789099856057,1246.8650402952499,1e+20,-1e+20,309.64493280825235,44.234990401178905,1514.2787466219272,0.9842050869714364,1.344001665441857,1.4240179934591244,3.7,7086.799619322489,163.669465964362,13641.218919096555,1499.0270957749956,151135371.49169487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68725,RLB-68725,1971-1980,Residenziale,TraditionalBoiler,SplitAirCooler,4.974444444444444,229.59033213125,460.50551847320645,2.0,459.1806642625,1515.29619206625,1e+20,-1e+20,402.94232868905556,57.56318998415081,1245.0722481093467,0.9842050869714364,1.344001665441857,1.4240179934591244,3.7,8717.523850717875,212.983805901358,17650.46577850509,1096.1865506444085,161540856.3983892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68723,RLB-68723,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,6.3776190476190635,226.343994240625,694.4514020333278,2.0,452.68798848125,1493.8703619881248,1e+20,-1e+20,607.6449767916617,86.80642534166597,1235.7325826287988,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,9423.838357496388,321.1837767241642,19183.20621961653,960.3321111273717,169595739.81305456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68531,RLB-68531,2000-2005,Residenziale,CondensingBoiler,SplitAirCooler,5.935000000000002,173.008056740625,478.4642630230094,2.0,346.01611348125,1141.853174488125,1e+20,-1e+20,418.6562301451332,59.80803287787617,626.8085028109558,0.5439389658095507,0.5163878788906534,0.6149915297451953,3.4,7022.6018685357885,203.34731314477904,15676.858635642566,435.21721843213504,117539981.51066619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68532,RLB-68532,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,11.937826086956562,384.91186533437497,1168.8459419651006,4.0,1539.6474613374999,5080.836622413749,1e+20,-1e+20,1022.7401993694629,146.10574379563752,2088.725839894465,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,27935.54533635428,540.591257223859,60043.95931161045,1589.1070913439464,464100264.6922629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68742,RLB-68742,1971-1980,Residenziale,TraditionalBoiler,SplitAirCooler,8.140769230769223,406.08325205312497,1151.871120423444,2.0,812.1665041062499,2680.1494635506247,1e+20,-1e+20,1007.8872304955134,143.98389092793045,2648.753909266457,0.9842050869714364,1.344001665441857,1.4240179934591244,3.7,16582.838656450094,532.7404016133429,33888.158146754926,2256.9392530011314,308282850.3521078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-69490,RLB-69490,2000-2005,Residenziale,CondensingBoiler,SplitAirCooler,11.289999999999985,312.521728615625,837.8434795309458,3.0,937.565185846875,3093.9651132946874,1e+20,-1e+20,733.1130445895776,104.73043494136823,1108.4328791700589,0.5439389658095507,0.5163878788906534,0.6149915297451953,3.4,17446.2595139645,356.08347948065193,39702.655886352026,766.8814963599898,276699400.26219517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-69368,RLB-69368,2000-2005,Commerciale,CondensingBoiler,ChillerAirtoWater,18.82,641.08251963125,2657.5454889631133,6.0,3846.4951177875,12693.43388869875,1e+20,-1e+20,2325.352302842724,332.19318612038916,3119.614122074497,0.5439389658095507,0.5163878788906534,0.6149915297451953,3.4,68885.36863988367,1129.4568334893231,162487.15754704337,2014.835170582535,1031035419.3273154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68888,RLB-68888,1971-1980,Residenziale,TraditionalBoiler,SplitAirCooler,9.257222222222204,240.391357521875,652.5402893557598,3.0,721.174072565625,2379.8744394665623,1e+20,-1e+20,570.9727532487897,81.56753660696997,1529.1621791089767,0.9842050869714364,1.344001665441857,1.4240179934591244,3.7,13447.4914741687,301.79988766578884,28179.391564856498,1283.254861875451,236329360.25083506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
