,Name,Age class,End use,H plant,C plant,BuiHeight,Footprint,ExtWallArea,nFloor,TotalArea,Volume,PDesH,PDesC,TotOpaquaA,TotWinA,TotUA,ExtWallU,RoofU,GroundU,WinU,Htr_is,Htr_w,Htr_ms,Htr_em,Cm,RrestAW,R1AW,RalphaStarAW,RalphsStarIL,RaplphaStarIW,R1IW,C1AW,C1IW
RLB-67107,RLB-67107,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,12.205266666666667,349.0769024773238,1071.9885705126146,4,1396.3076099092953,4607.815112700674,98.67140609265937,-90.18543704275831,937.9899992610383,133.9985717515768,1906.8241728297596,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,25376.041271753722,495.7947184408345,54549.13933274178,1448.4979327693388,421615402.16143763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-67864,RLB-67864,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,6.621000000000002,164.01123056875,371.2042549662418,2,328.0224611375,1082.4741217537498,32.44711310226031,-24.667649612429564,324.8037231454617,46.400532220780235,756.8568223006444,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,6373.1857000420605,171.68197217688692,12871.708694878405,613.0451681112468,114918519.04851133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-66928,RLB-66928,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,4.163111111111107,377.83789099856057,353.8834907187081,1,377.83789099856057,1246.8650402952499,47.7431738051619,-28.380738052766127,309.64805437886963,44.235436339838515,1217.4125835538882,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,7086.811927229493,163.67111593740256,13481.225610260808,1143.0894859144419,147878182.56326652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68725,RLB-68725,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,4.974444444444444,229.59033213125,460.21396620468266,2,459.1806642625,1515.29619206625,43.55007766619063,-32.81703175147249,402.6872204415972,57.52674586308534,997.1204644074751,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,8716.517995391469,212.84896265341575,17556.293876690048,820.9445859363666,157280469.4000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68723,RLB-68723,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,6.3776190476190635,226.343994240625,673.6211584979642,2,452.68798848125,1493.8703619881248,49.85965700498915,-36.35098155247605,589.4185137107186,84.20264498724552,1213.8669581961733,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,9351.974017299384,311.54978941280854,19020.715708167463,947.2536057047321,168337749.9308445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68531,RLB-68531,1981-1990,Residenziale,CondensingBoiler,SplitAirCooler,5.935000000000002,173.008056740625,403.26361831373015,2,346.01611348125,1141.853174488125,34.59548113920052,-25.46906888840907,352.8556660370138,50.40795237671627,810.6569444410737,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,6763.159644288775,186.5094252738502,13668.87307143335,654.0109397598419,121929171.10832942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68532,RLB-68532,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,11.937826086956562,384.91186533437497,804.5993038135663,4,1539.6474613374999,5080.836622413749,96.91472162216216,-92.56311485579656,704.0243909868703,100.5749140266958,1706.3740782298983,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,26678.894434731494,372.12718707877474,57144.711952554724,1366.1443993440369,442102510.0832015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-68742,RLB-68742,1981-1990,Residenziale,TraditionalBoiler,SplitAirCooler,8.140769230769223,406.08325205312497,646.2066426889248,2,812.1665041062499,2680.1494635506247,71.74448194124503,-54.93734883456064,565.4308125528094,80.77583173611559,1587.5087590985802,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,14838.29620826601,298.870582603628,29748.75496884745,1346.986087082812,268053509.28210044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-69490,RLB-69490,1981-1990,Residenziale,CondensingBoiler,SplitAirCooler,11.289999999999985,312.521728615625,713.9830265775837,3,937.565185846875,3093.9651132946874,71.31859916111607,-61.8906207425975,624.7351482553858,89.24787832219796,1449.1789133517466,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,17018.9409512754,330.2171505321325,35558.31643416465,1155.3177119539964,291000729.97404456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLB-69368,RLB-69368,1981-1990,Commerciale,CondensingBoiler,ChillerAirtoWater,18.82,641.08251963125,2533.6850360097515,6,3846.4951177875,12693.43388869875,237.07925419317252,-238.1018186335957,2216.974406508532,316.71062950121893,4094.9472714471967,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,68458.05007719458,1171.8293298945098,152242.6209328205,2980.341668721983,1102258884.6887245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
