;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;25.3850;24.7715;19.3000;2.2472;0.8001;800.1172;0.0000;0.0000;0.0000
1;25.3142;24.7916;18.9000;2.2472;0.8001;800.1172;0.0000;0.0000;0.0000
2;25.2725;24.8216;18.8000;2.2472;0.8001;800.1172;0.0000;0.0000;0.0000
3;25.2283;24.8741;18.9000;2.2472;0.8001;800.1172;0.0000;0.0000;0.0001
4;25.2017;25.0533;18.4000;2.2472;0.8001;800.1172;0.0000;0.0004;0.0799
5;25.1600;25.0524;18.4000;2.2472;0.8001;800.1172;0.0025;0.3464;70.1552
6;25.1725;25.0958;18.6000;2.2472;0.8001;800.1172;0.0130;0.4506;91.2410
7;25.2758;25.3816;19.2000;2.2472;0.8001;800.1172;0.0012;0.0226;4.5753
8;25.3375;25.5118;19.8000;2.2472;0.8001;800.1172;0.0047;0.1048;21.2308
9;25.4000;25.4106;20.8000;2.2472;0.8001;800.1172;0.0304;1.1640;235.7152
10;25.4792;25.5040;22.1000;2.2472;0.8001;800.1172;0.0642;2.1852;442.4933
11;25.5392;25.5108;22.5000;2.2472;0.8001;800.1172;0.0753;3.3371;675.7633
12;25.6133;25.5908;24.4000;2.2472;0.8001;800.1172;0.2419;10.1856;2062.5784
13;25.7133;25.6404;24.5000;2.2472;0.8001;800.1172;0.1682;11.2962;2287.4811
14;25.7892;25.8520;25.4000;2.2472;0.8001;800.1172;0.3641;25.5492;5173.7093
15;25.8708;25.8094;25.3000;2.2472;0.8001;800.1172;0.3573;26.7689;5420.7107
16;25.8950;26.0554;25.6000;2.2472;0.8001;800.1172;0.3868;22.8752;4632.2202
17;26.0592;26.0901;25.1000;2.2472;0.8001;800.1172;0.1792;10.1749;2060.4268
18;26.1875;26.2534;25.1000;2.2472;0.8001;800.1172;0.1319;6.8139;1379.8206
19;26.1842;26.2882;24.7000;2.2472;0.8001;800.1172;0.1705;4.6366;938.9151
20;26.1625;26.8500;25.7000;2.2472;0.8001;800.1172;0.0001;0.0025;0.5158
21;26.1258;26.3187;24.6000;2.2472;0.8001;800.1172;0.0935;4.9164;995.5757
22;26.0825;26.2010;23.2000;2.2472;0.8001;800.1172;0.0640;2.9207;591.4454
23;25.9408;26.7529;22.6000;2.2472;0.8001;800.1172;0.0001;0.0012;0.2384
0;25.8783;25.6074;21.8000;1.8934;0.4231;423.0987;0.0001;0.0018;0.3560
1;25.7658;25.5765;20.9000;1.8934;0.4231;423.0987;0.0002;0.0056;1.1373
2;25.7058;25.5422;20.1000;1.8934;0.4231;423.0987;0.0002;0.0068;1.3830
3;25.6525;25.5262;19.7000;1.8934;0.4231;423.0987;0.0005;0.0296;5.9863
4;25.6333;25.5255;19.5000;1.8934;0.4231;423.0987;0.0027;0.2364;47.8767
5;25.6075;25.5171;20.4000;1.8934;0.4231;423.0987;0.0059;0.5372;108.7832
6;25.5983;25.5160;20.7000;1.8934;0.4231;423.0987;0.0081;0.6699;135.6640
7;25.6367;25.5481;21.1000;1.8934;0.4231;423.0987;0.0091;0.8446;171.0337
8;25.6542;25.5643;21.0000;1.8934;0.4231;423.0987;0.0130;1.0972;222.1834
9;25.7167;25.6314;20.5000;1.8934;0.4231;423.0987;0.0165;1.0692;216.5104
10;25.8008;25.7067;21.9000;1.8934;0.4231;423.0987;0.0255;1.9774;400.4289
11;25.8925;25.7908;22.7000;1.8934;0.4231;423.0987;0.0452;2.9630;600.0137
12;25.9333;25.8085;23.9000;1.8934;0.4231;423.0987;0.0984;5.8481;1184.2480
13;26.1358;26.0473;25.6000;1.8934;0.4231;423.0987;0.2753;24.8960;5041.4311
14;26.2517;26.0547;25.1000;1.8934;0.4231;423.0987;0.0013;11.8437;2398.3521
15;26.3517;26.9989;27.0000;1.8934;0.4231;423.0987;0.1975;17.4119;3525.9109
16;26.4083;27.1368;26.7000;1.8934;0.4231;423.0987;0.1927;0.0000;0.0000
17;26.4475;27.2978;27.6000;1.8934;0.4231;423.0987;0.0713;1.8723;379.1307
18;26.4342;26.7836;26.6000;1.8934;0.4231;423.0987;0.3990;39.9144;8082.6563
19;26.3900;26.4279;25.0000;1.8934;0.4231;423.0987;0.0835;7.4879;1516.3015
20;26.3083;26.3179;23.3000;1.8934;0.4231;423.0987;0.0303;3.3278;673.8753
21;26.2450;26.2433;22.6000;1.8934;0.4231;423.0987;0.0298;2.6821;543.1203
22;26.2250;26.2477;21.3000;1.8934;0.4231;423.0987;0.0145;1.5965;323.2837
23;26.2250;26.2571;20.4000;1.8934;0.4231;423.0987;0.0121;1.0896;220.6453
0;26.1775;25.9649;19.9000;1.5124;0.3196;319.5803;0.0025;0.0000;0.0000
1;26.0933;25.9123;19.2000;1.5124;0.3196;319.5803;0.0004;0.0102;2.0586
2;25.9942;25.8621;18.6000;1.5124;0.3196;319.5803;0.0001;0.0056;1.1422
3;25.8983;25.8119;17.9000;1.5124;0.3196;319.5803;0.0011;0.0340;6.8937
4;25.8775;25.8885;17.6000;1.5124;0.3196;319.5803;0.0126;0.2011;40.7153
5;25.7842;25.7716;17.0000;1.5124;0.3196;319.5803;0.0090;0.5490;111.1673
6;25.7458;25.7259;17.1000;1.5124;0.3196;319.5803;0.0093;0.7137;144.5300
7;25.8342;25.8107;17.7000;1.5124;0.3196;319.5803;0.0078;0.6313;127.8371
8;25.8267;25.7994;18.6000;1.5124;0.3196;319.5803;0.0106;0.9489;192.1611
9;25.8392;25.8134;19.4000;1.5124;0.3196;319.5803;0.0196;1.3720;277.8383
10;25.8333;25.8021;20.5000;1.5124;0.3196;319.5803;0.0342;2.2725;460.1813
11;25.8642;25.8246;21.6000;1.5124;0.3196;319.5803;0.0447;3.5274;714.3002
12;25.8808;25.8291;22.8000;1.5124;0.3196;319.5803;0.0763;5.7763;1169.6917
13;25.9258;25.8605;23.8000;1.5124;0.3196;319.5803;0.1032;8.9018;1802.6153
14;26.0583;25.9374;24.9000;1.5124;0.3196;319.5803;0.2068;18.3143;3708.6554
15;26.3225;26.3478;26.0000;1.5124;0.3196;319.5803;0.4281;39.7243;8044.1712
16;26.5108;26.6028;26.3000;1.5124;0.3196;319.5803;0.4484;34.8114;7049.3159
17;26.6583;27.2636;27.2000;1.5124;0.3196;319.5803;0.3838;26.7662;5420.1470
