;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;27.4383;26.2730;19.3000;2.0548;0.8249;412.4415;0.0001;0.0107;1.6147
1;27.4667;26.2607;18.9000;2.0548;0.8249;412.4415;0.0001;0.0113;1.7082
2;27.4867;26.2365;18.8000;2.0548;0.8249;412.4415;0.0001;0.0115;1.7319
3;27.4733;26.2414;18.9000;2.0548;0.8249;412.4415;0.0002;0.0229;3.4688
4;27.5050;26.7653;18.4000;2.0548;0.8249;412.4415;0.0011;0.1262;19.0807
5;27.5217;27.1441;18.4000;2.0548;0.8249;412.4415;0.0072;0.5493;83.0501
6;27.7642;27.4771;18.6000;2.0548;0.8249;412.4415;0.0163;0.9415;142.3556
7;28.2767;28.3136;19.2000;2.0548;0.8249;412.4415;0.0092;0.2804;42.3966
8;28.6367;28.9502;19.8000;2.0548;0.8249;412.4415;0.0104;0.3180;48.0744
9;29.1025;29.4616;20.8000;2.0548;0.8249;412.4415;0.0086;0.3553;53.7287
10;29.7625;29.5526;22.1000;2.0548;0.8249;412.4415;0.0257;0.9112;137.7667
11;29.9633;29.7622;22.5000;2.0548;0.8249;412.4415;0.0281;0.8172;123.5597
12;29.9367;30.0298;24.4000;2.0548;0.8249;412.4415;0.0259;1.0403;157.2908
13;29.8450;29.6210;24.5000;2.0548;0.8249;412.4415;0.0314;2.6988;408.0539
14;29.6992;29.5107;25.4000;2.0548;0.8249;412.4415;0.0386;4.0330;609.7863
15;29.5483;28.4669;25.3000;2.0548;0.8249;412.4415;0.1582;9.7392;1472.5623
16;29.3992;28.2369;25.6000;2.0548;0.8249;412.4415;0.1607;11.9115;1801.0237
17;28.5308;28.0042;25.1000;2.0548;0.8249;742.3946;0.1804;12.6127;1907.0389
18;27.5950;27.7849;25.1000;2.0548;0.8249;742.3946;0.2782;13.7926;2085.4427
19;28.3250;29.4986;24.7000;2.0548;0.8249;742.3946;0.2175;1.8292;276.5676
20;28.3392;30.2576;25.7000;2.0548;0.8249;742.3946;0.0038;0.0329;4.9703
21;28.1675;28.4469;24.6000;2.0548;0.8249;742.3946;0.1310;6.9312;1047.9955
22;27.9458;29.2813;23.2000;2.0548;0.8249;412.4415;0.0341;0.7935;119.9787
23;27.8833;29.4264;22.6000;2.0548;0.8249;412.4415;0.0118;0.3333;50.3934
0;27.9992;28.3175;21.8000;2.0432;0.6033;301.6575;0.0061;0.2710;40.9784
1;28.0342;28.2418;20.9000;2.0432;0.6033;301.6575;0.0050;0.1768;26.7272
2;28.0367;28.2190;20.1000;2.0432;0.6033;301.6575;0.0028;0.0173;2.6161
3;28.0250;28.1014;19.7000;2.0432;0.6033;301.6575;0.0037;0.1287;19.4654
4;28.0242;28.1205;19.5000;2.0432;0.6033;301.6575;0.0067;0.4885;73.8663
5;28.0183;28.1206;20.4000;2.0432;0.6033;301.6575;0.0077;0.7448;112.6071
6;28.0475;28.1638;20.7000;2.0432;0.6033;301.6575;0.0062;0.6039;91.3130
7;28.1800;28.2523;21.1000;2.0432;0.6033;301.6575;0.0053;0.5906;89.2935
8;28.2358;28.4710;21.0000;2.0432;0.6033;301.6575;0.0080;0.6733;101.8100
9;28.0217;28.1292;20.5000;2.0432;0.6033;301.6575;0.0336;1.9607;296.4571
10;27.0158;27.2483;21.9000;2.0432;0.6033;301.6575;0.0549;5.6372;852.3492
11;28.3925;27.9849;22.7000;2.0432;0.6033;301.6575;0.0378;3.6355;549.6857
12;28.9042;28.7434;23.9000;2.0432;0.6033;301.6575;0.0754;2.1337;322.6213
13;29.1283;28.9534;25.6000;2.0432;0.6033;301.6575;0.0765;3.1581;477.5064
14;29.1308;28.5420;25.1000;2.0432;0.6033;301.6575;0.0580;4.9540;749.0405
15;29.0167;28.0403;27.0000;2.0432;0.6033;301.6575;0.1676;24.6686;3729.8924
16;28.9250;27.7077;26.7000;2.0432;0.6033;301.6575;0.1626;28.3560;4287.4231
17;28.8392;28.3189;27.6000;2.0432;0.6033;542.9834;0.1773;30.5582;4620.4040
18;28.7725;27.5920;26.6000;2.0432;0.6033;542.9834;0.1593;31.2908;4731.1654
19;28.0975;26.4938;25.0000;2.0432;0.6033;542.9834;0.1404;28.2780;4275.6338
20;27.3758;27.1871;23.3000;2.0432;0.6033;542.9834;0.0325;6.6489;1005.3099
21;27.1508;27.1520;22.6000;2.0432;0.6033;542.9834;0.0271;5.2768;797.8501
22;27.2125;27.2004;21.3000;2.0432;0.6033;301.6575;0.0146;2.7616;417.5584
23;27.4567;27.3401;20.4000;2.0432;0.6033;301.6575;0.0093;1.6429;248.4080
0;27.6300;27.6433;19.9000;2.0500;0.4205;210.2457;0.0000;0.0000;0.0000
1;27.6983;27.5383;19.2000;2.0500;0.4205;210.2457;0.0000;0.0000;0.0000
2;27.6992;27.4375;18.6000;2.0500;0.4205;210.2457;0.0000;0.0000;0.0000
3;27.7017;27.3610;17.9000;2.0500;0.4205;210.2457;0.0000;0.0000;0.0000
4;27.7042;27.8747;17.6000;2.0500;0.4205;210.2457;0.0003;0.0383;5.7865
5;27.7817;28.2113;17.0000;2.0500;0.4205;210.2457;0.0022;0.3257;49.2532
6;27.9950;28.5263;17.1000;2.0500;0.4205;210.2457;0.0046;0.6586;99.5813
7;28.4317;29.0159;17.7000;2.0500;0.4205;210.2457;0.0047;0.6870;103.8805
8;29.1567;29.8176;18.6000;2.0500;0.4205;210.2457;0.0029;0.3904;59.0337
9;29.6475;30.5309;19.4000;2.0500;0.4205;210.2457;0.0008;0.0923;13.9560
10;30.0608;26.5281;20.5000;2.0500;0.4205;210.2457;0.0990;10.6240;1606.3467
11;30.2892;26.6194;21.6000;2.0500;0.4205;210.2457;0.0992;11.0479;1670.4469
12;30.2675;26.6672;22.8000;2.0500;0.4205;210.2457;0.0993;13.4571;2034.7154
13;29.9833;27.0484;23.8000;2.0500;0.4205;210.2457;0.0995;13.7058;2072.3146
14;29.7642;27.5304;24.9000;2.0500;0.4205;210.2457;0.0997;13.5496;2048.7004
