;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;25.6792;24.9535;19.3000;2.2824;0.9894;989.4285;0.0000;0.0000;0.0000
1;25.6517;24.9824;18.9000;2.2824;0.9894;989.4285;0.0000;0.0000;0.0000
2;25.6267;25.0149;18.8000;2.2824;0.9894;989.4285;0.0000;0.0000;0.0000
3;25.5983;25.0694;18.9000;2.2824;0.9894;989.4285;0.0000;0.0000;0.0000
4;25.5758;25.2496;18.4000;2.2824;0.9894;989.4285;0.0000;0.0000;0.0000
5;25.5650;25.3752;18.4000;2.2824;0.9894;989.4285;0.0004;0.0618;14.5131
6;25.5833;25.4576;18.6000;2.2824;0.9894;989.4285;0.0030;0.1118;26.2710
7;25.6267;25.6174;19.2000;2.2824;0.9894;989.4285;0.0005;0.0096;2.2620
8;25.6783;25.7691;19.8000;2.2824;0.9894;989.4285;0.0011;0.0288;6.7715
9;25.7008;25.9849;20.8000;2.2824;0.9894;989.4285;0.0022;0.0878;20.6238
10;25.7933;25.9733;22.1000;2.2824;0.9894;989.4285;0.0353;1.3087;307.4177
11;25.8867;25.8523;22.5000;2.2824;0.9894;989.4285;0.0617;2.9804;700.0954
12;26.0350;26.0155;24.4000;2.2824;0.9894;989.4285;0.1448;6.6478;1561.5568
13;26.2550;26.1171;24.5000;2.2824;0.9894;989.4285;0.0930;6.8076;1599.1102
14;26.3867;26.2536;25.4000;2.2824;0.9894;989.4285;0.1684;12.8811;3025.7698
15;26.4417;26.2640;25.3000;2.2824;0.9894;989.4285;0.1593;13.0099;3056.0185
16;26.4583;26.4695;25.6000;2.2824;0.9894;989.4285;0.0054;11.4784;2696.2790
17;26.6683;26.8920;25.1000;2.2824;0.9894;989.4285;0.0337;2.0838;489.4887
18;26.6967;26.8267;25.1000;2.2824;0.9894;989.4285;0.0599;3.3704;791.7091
19;26.6382;26.8591;24.7000;2.2824;0.9894;989.4285;0.0834;2.4679;579.7133
20;26.5982;27.2740;25.7000;2.2824;0.9894;989.4285;0.0001;0.0026;0.6027
21;26.4792;26.6916;24.6000;2.2824;0.9894;989.4285;0.0790;4.5296;1064.0059
22;26.3508;26.5131;23.2000;2.2824;0.9894;989.4285;0.0654;3.2562;764.8865
23;26.2733;27.1499;22.6000;2.2824;0.9894;989.4285;0.0027;0.0601;14.1263
0;26.2158;26.0455;21.8000;1.4944;0.5211;521.0551;0.0053;0.1923;45.1687
1;26.1483;26.0063;20.9000;1.4944;0.5211;521.0551;0.0062;0.1859;43.6576
2;26.1033;25.9885;20.1000;1.4944;0.5211;521.0551;0.0028;0.1167;27.4145
3;26.0950;26.0101;19.7000;1.4944;0.5211;521.0551;0.0007;0.0479;11.2405
4;26.0617;26.0654;19.5000;1.4944;0.5211;521.0551;0.0017;0.1594;37.4401
5;26.0464;26.0296;20.4000;1.4944;0.5211;521.0551;0.0054;0.5381;126.3929
6;26.0617;26.0210;20.7000;1.4944;0.5211;521.0551;0.0077;0.6913;162.3891
7;26.0850;26.0436;21.1000;1.4944;0.5211;521.0551;0.0090;0.9142;214.7342
8;26.1092;26.0679;21.0000;1.4944;0.5211;521.0551;0.0131;1.2060;283.2802
9;26.1442;26.1072;20.5000;1.4944;0.5211;521.0551;0.0194;1.3674;321.2011
10;26.2075;26.1501;21.9000;1.4944;0.5211;521.0551;0.0297;2.5048;588.3800
11;26.3233;26.2546;22.7000;1.4944;0.5211;521.0551;0.0063;3.5065;823.6812
12;26.4608;26.3502;23.9000;1.4944;0.5211;521.0551;0.0848;5.4894;1289.4669
13;26.7433;26.5871;25.6000;1.4944;0.5211;521.0551;0.1451;14.3069;3360.6883
14;26.9392;26.7702;25.1000;1.4944;0.5211;521.0551;0.0575;6.9569;1634.1759
15;27.0683;27.2297;27.0000;1.4944;0.5211;521.0551;0.3522;33.8581;7953.2688
16;27.1425;27.8314;26.7000;1.4944;0.5211;521.0551;0.1944;0.0000;0.0000
