;T_meas [°C];T_sim [°C];T_out [°C];C_Am_rel [-];C_Im_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;27.4383;25.9893;19.3000;0.8782;0.7161;0.8410;420.4795;0.0000;0.0000;0.0000
1;27.4667;25.9601;18.9000;0.8782;0.7161;0.8410;420.4795;0.0000;0.0000;0.0000
2;27.4867;25.9589;18.8000;0.8782;0.7161;0.8410;420.4795;0.0000;0.0000;0.0000
3;27.4733;26.1095;18.9000;0.8782;0.7161;0.8410;420.4795;0.0000;0.0000;0.0000
4;27.5050;27.3607;18.4000;0.8782;0.7161;0.8410;420.4795;0.0259;2.8898;436.9314
5;27.5217;27.4290;18.4000;0.8782;0.7161;0.8410;420.4795;0.0585;4.4611;674.5250
6;27.7642;27.7466;18.6000;0.8782;0.7161;0.8410;420.4795;0.0794;4.5270;684.4877
7;28.2767;28.4154;19.2000;0.8782;0.7161;0.8410;420.4795;0.1063;3.2717;494.6878
8;28.6367;28.7639;19.8000;0.8782;0.7161;0.8410;420.4795;0.1362;4.1941;634.1425
9;29.1025;29.2428;20.8000;0.8782;0.7161;0.8410;420.4795;0.0864;3.5702;539.8210
10;29.7625;29.8627;22.1000;0.8782;0.7161;0.8410;420.4795;0.0552;1.9611;296.5176
11;29.9633;30.1329;22.5000;0.8782;0.7161;0.8410;420.4795;0.0293;0.8443;127.6581
12;29.9367;30.0240;24.4000;0.8782;0.7161;0.8410;420.4795;0.0346;1.3852;209.4493
13;29.8450;29.8617;24.5000;0.8782;0.7161;0.8410;420.4795;0.0197;1.6929;255.9613
14;29.6992;29.6860;25.4000;0.8782;0.7161;0.8410;420.4795;0.0238;2.4894;376.3899
15;29.5483;29.0168;25.3000;0.8782;0.7161;0.8410;420.4795;0.0521;3.2031;484.3100
16;29.3992;28.7087;25.6000;0.8782;0.7161;0.8410;420.4795;0.0558;4.1361;625.3761
17;28.5308;28.3363;25.1000;0.8782;0.7161;0.8410;756.8631;0.0903;6.3092;953.9466
18;27.5950;27.5872;25.1000;0.8782;0.7161;0.8410;756.8631;0.2083;10.3220;1560.6803
19;28.3250;28.9763;24.7000;0.8782;0.7161;0.8410;756.8631;0.2264;1.9654;297.1710
20;28.3392;30.0164;25.7000;0.8782;0.7161;0.8410;756.8631;0.0001;0.0010;0.1474
21;28.1675;28.3897;24.6000;0.8782;0.7161;0.8410;756.8631;0.0822;4.3517;657.9822
22;27.9458;28.5502;23.2000;0.8782;0.7161;0.8410;420.4795;0.0488;1.1379;172.0443
23;27.8833;29.0981;22.6000;0.8782;0.7161;0.8410;420.4795;0.0000;0.0005;0.0783
