Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];PV Production [W];AHU electric consumption [Wh];Appliances electric consumption [Wh];Electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ AHU electric load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W];PV production [Wh];Battery State [%];Given to Batteries [Wh];Taken from the Batteries [Wh];Given to Grid [Wh];Taken from the Gird [Wh];directly from the PV [Wh];PV System self consumption
Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;;;;;;;;
0.00;0.00;39.97;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.49;16.99;0.45;16887.86;0.00;0.00;0.00;0.00;1.21;161604.42;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;41.19;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.46;16.93;0.46;22319.97;0.00;0.00;0.00;0.00;1.21;161605.19;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;41.45;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.43;16.86;0.46;23504.54;0.00;0.00;0.00;0.00;1.21;161605.96;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;41.75;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.40;16.79;0.46;24675.19;0.00;0.00;0.00;0.00;1.21;161780.59;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;41.98;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.37;16.73;0.46;25659.99;0.00;0.00;0.00;0.00;1.21;161791.00;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;42.17;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.34;16.68;0.46;26503.00;0.00;0.00;0.00;0.00;1.21;161813.35;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;42.34;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.32;16.64;0.46;27259.10;0.00;0.00;0.00;0.00;1.21;161836.48;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;51.21;0.00;0.00;528.93;0.00;0.00;0.00;2797.03;3325.95;21.00;19.21;17.43;0.38;66848.12;0.00;0.00;0.00;0.00;1.21;161843.42;0.00;0.00;0.00;0.00;0.00;3325.95;0.00;0.00
0.00;0.00;16.53;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.27;17.55;0.41;61838.06;0.00;0.00;11527.37;1276.43;0.00;434.06;164.81;0.00;0.00;0.00;0.00;4437.57;164.81;0.04
0.00;0.00;5.84;0.00;0.00;528.93;0.00;0.00;1276.43;1864.68;3670.04;18.00;17.42;16.83;0.50;14896.95;-779.77;0.00;10761.14;1276.43;0.00;435.98;503.38;0.00;0.00;0.00;0.00;3166.66;503.38;0.14
0.00;0.00;41.42;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.42;16.83;0.49;23106.70;0.00;0.00;0.00;0.00;1.21;161848.43;801.71;0.00;0.00;0.00;0.00;1591.91;801.71;0.33
0.00;0.00;41.52;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.40;16.80;0.48;23573.51;0.00;0.00;0.00;0.00;1.21;161848.05;981.26;0.00;0.00;0.00;0.00;1412.35;981.26;0.41
0.00;0.00;41.61;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.38;16.77;0.48;23984.62;0.00;0.00;0.00;0.00;1.21;161848.43;1005.27;0.00;0.00;0.00;0.00;1388.34;1005.27;0.42
0.00;0.00;41.69;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.37;16.74;0.48;24340.20;0.00;0.00;0.00;0.00;1.21;161849.59;898.11;0.00;0.00;0.00;0.00;1495.50;898.11;0.38
0.00;0.00;17.53;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.27;17.54;0.42;65726.51;0.00;0.00;12100.68;1276.43;0.00;436.75;658.10;0.00;0.00;0.00;0.00;3944.28;658.10;0.14
0.00;0.00;15.60;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.33;17.65;0.43;59402.09;0.00;0.00;9815.32;1276.43;0.00;437.52;311.33;0.00;0.00;0.00;0.00;4291.05;311.33;0.07
0.00;0.00;15.09;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.39;17.78;0.44;57475.06;0.00;0.00;9492.35;1276.43;0.00;437.14;27.67;0.00;0.00;0.00;0.00;4574.71;27.67;0.01
0.00;0.00;14.69;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.44;17.89;0.44;55681.63;0.00;0.00;9476.84;1276.43;0.00;437.14;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;14.37;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.50;17.99;0.44;54110.21;0.00;0.00;9618.33;1276.43;0.00;437.52;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;14.04;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.54;18.09;0.44;52613.70;0.00;0.00;9639.62;1276.43;0.00;436.75;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;13.76;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.59;18.17;0.44;51327.69;0.00;0.00;9669.31;1276.43;0.00;432.51;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;13.50;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.63;18.25;0.44;50171.50;0.00;0.00;9696.94;1276.43;0.00;424.80;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;13.39;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.66;18.32;0.44;49375.13;0.00;0.00;10030.44;1276.43;0.00;374.69;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;13.36;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.69;18.38;0.43;48882.85;0.00;0.00;10592.18;1276.43;0.00;191.97;0.00;0.00;0.00;0.00;0.00;4602.38;0.00;0.00
0.00;0.00;38.01;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.79;17.59;0.50;8137.84;0.00;0.00;0.00;0.00;1.21;161604.42;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;39.40;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.74;17.48;0.48;14328.54;0.00;0.00;0.00;0.00;1.21;161605.19;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;39.82;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.68;17.37;0.46;16204.29;0.00;0.00;0.00;0.00;1.21;161605.96;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;40.22;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.63;17.26;0.45;17821.40;0.00;0.00;0.00;0.00;1.21;161780.59;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;40.58;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.58;17.17;0.44;19438.60;0.00;0.00;0.00;0.00;1.21;161791.00;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;40.93;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.54;17.08;0.44;20945.91;0.00;0.00;0.00;0.00;1.21;161813.35;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;41.25;0.00;0.00;528.93;0.00;0.00;0.00;466.17;995.10;18.00;17.50;16.99;0.43;22355.05;0.00;0.00;0.00;0.00;1.21;161836.48;0.00;0.00;0.00;0.00;0.00;995.10;0.00;0.00
0.00;0.00;50.23;0.00;0.00;528.93;0.00;0.00;0.00;2797.03;3325.95;21.00;19.37;17.75;0.35;62477.20;0.00;0.00;0.00;0.00;1.21;161843.42;0.00;0.00;0.00;0.00;0.00;3325.95;0.00;0.00
0.00;0.00;16.13;0.00;0.00;528.93;0.00;0.00;1276.43;2797.03;4602.38;21.00;19.42;17.85;0.39;58118.43;0.00;0.00;13465.76;1276.43;0.00;434.06;604.38;0.00;0.00;0.00;0.00;3998.00;604.38;0.13
0.00;0.00;5.32;0.00;0.00;528.93;0.00;0.00;1276.43;1864.68;3670.04;18.00;17.56;17.12;0.49;10969.82;0.00;0.00;12366.94;1276.43;0.00;435.98;1690.67;0.00;0.00;0.00;0.00;1979.37;1690.67;0.46
0.00;0.00;40.34;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.56;17.13;0.48;18298.83;0.00;0.00;0.00;0.00;1.21;161848.43;2572.00;0.00;0.00;0.00;178.39;0.00;2393.61;1.00
0.00;0.00;40.29;0.00;0.00;528.93;0.00;0.00;0.00;1864.68;2393.61;18.00;17.55;17.10;0.48;18080.47;0.00;0.00;0.00;0.00;1.21;161848.05;3152.95;0.01;174.82;0.00;584.52;0.00;2393.61;1.00
