Heating system gas consumption [Nm3],Heating system electric consumption [Wh],Cooling system electric consumption [Wh],Appliances electric consumption [Wh],TZ Ta [°C],TZ To [°C],TZ Tmr [°C],TZ RH [-],TZ sensible load [W],TZ latent load [W],TZ AHU pre heater load [W],TZ AHU post heater load [W],TZ DHW volume flow rate [m3/s],TZ DHW demand [W]
Bd Bd 1,Bd Bd 1,Bd Bd 1,Bd Bd 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1,Zone 1
1.29,67.56,0.00,233.09,18.00,16.92,15.84,0.45,19935.17,0.00,0.00,0.00,0.00,7046.54
1.58,80.71,0.00,233.09,18.00,16.91,15.82,0.45,25976.19,0.00,0.00,0.00,0.00,7046.54
1.60,81.29,0.00,233.09,18.00,16.90,15.79,0.46,26243.25,0.00,0.00,0.00,0.00,7046.54
1.61,81.83,0.00,233.09,18.00,16.88,15.77,0.46,26495.31,0.00,0.00,0.00,0.00,7046.54
1.62,82.35,0.00,233.09,18.00,16.87,15.75,0.46,26733.77,0.00,0.00,0.00,0.00,7046.54
1.63,82.92,0.00,233.09,18.00,16.86,15.73,0.46,26993.53,0.00,0.00,0.00,0.00,7046.54
1.65,83.47,0.00,233.09,18.00,16.85,15.71,0.46,27246.97,0.00,0.00,0.00,0.00,7046.54
1.66,83.94,0.00,233.09,18.00,16.84,15.69,0.46,27461.55,0.00,0.00,0.00,0.00,7046.54
1.67,84.38,0.00,233.09,18.00,16.84,15.67,0.46,27667.05,0.00,0.00,0.00,0.00,7046.54
1.67,84.78,0.00,233.09,18.00,16.83,15.65,0.46,27847.60,0.00,0.00,0.00,0.00,7046.54
1.68,85.15,0.00,233.09,18.00,16.82,15.64,0.46,28018.47,0.00,0.00,0.00,0.00,7046.54
1.69,85.50,0.00,233.09,18.00,16.81,15.62,0.45,28180.48,0.00,0.00,0.00,0.00,7046.54
1.70,85.84,0.00,233.09,18.00,16.80,15.61,0.45,28334.36,0.00,0.00,0.00,0.00,7046.54
1.70,86.12,0.00,233.09,18.00,16.80,15.60,0.45,28464.02,0.00,0.00,0.00,0.00,7046.54
3.34,154.91,0.00,1398.51,21.00,18.55,16.10,0.38,60080.11,0.00,0.00,0.00,0.00,7046.54
2.99,140.89,0.00,1398.51,21.00,18.58,16.16,0.38,53634.33,0.00,0.00,0.00,0.00,7046.54
3.24,151.01,0.00,1398.51,21.00,18.61,16.22,0.40,53899.08,0.00,0.00,11049.96,0.00,385.50
3.18,148.71,0.00,1398.51,21.00,18.64,16.29,0.41,53197.13,0.00,0.00,10693.45,0.00,385.50
1.41,73.20,0.00,932.34,18.00,16.93,15.85,0.50,16912.94,-907.53,0.00,12274.08,0.00,385.50
1.70,85.73,0.00,932.34,18.00,16.92,15.84,0.50,22714.92,-966.07,0.00,12230.08,0.00,385.50
1.55,79.21,0.00,932.34,18.00,16.92,15.83,0.49,25290.16,0.00,0.00,0.00,0.00,7046.54
1.55,79.32,0.00,932.34,18.00,16.91,15.83,0.49,25339.49,0.00,0.00,0.00,0.00,7046.54
1.55,79.40,0.00,932.34,18.00,16.91,15.82,0.49,25375.60,0.00,0.00,0.00,0.00,7046.54
1.56,79.48,0.00,932.34,18.00,16.91,15.82,0.48,25412.49,0.00,0.00,0.00,0.00,7046.54
1.56,79.54,0.00,932.34,18.00,16.91,15.81,0.48,25440.12,0.00,0.00,0.00,0.00,7046.54
1.56,79.59,0.00,932.34,18.00,16.90,15.81,0.48,25465.43,0.00,0.00,0.00,0.00,7046.54
1.56,79.63,0.00,932.34,18.00,16.90,15.80,0.48,25483.61,0.00,0.00,0.00,0.00,7046.54
1.56,79.71,0.00,932.34,18.00,16.90,15.80,0.48,25520.93,0.00,0.00,0.00,0.00,7046.54
3.44,159.03,0.00,1398.51,21.00,18.65,16.29,0.42,58497.94,0.00,0.00,10135.43,0.00,385.50
3.08,144.35,0.00,1398.51,21.00,18.68,16.36,0.43,52051.37,0.00,0.00,9833.36,0.00,385.50
3.03,142.44,0.00,1398.51,21.00,18.71,16.42,0.43,51394.09,0.00,0.00,9613.79,0.00,385.50
2.99,140.77,0.00,1398.51,21.00,18.74,16.48,0.44,50786.68,0.00,0.00,9454.10,0.00,385.50
2.96,139.41,0.00,1398.51,21.00,18.77,16.53,0.44,50209.92,0.00,0.00,9403.94,0.00,385.50
2.93,138.20,0.00,1398.51,21.00,18.79,16.59,0.44,49638.79,0.00,0.00,9422.00,0.00,385.50
2.90,137.07,0.00,1398.51,21.00,18.82,16.64,0.44,49089.40,0.00,0.00,9453.13,0.00,385.50
2.88,136.16,0.00,1398.51,21.00,18.85,16.69,0.44,48580.15,0.00,0.00,9540.62,0.00,385.50
2.86,135.30,0.00,1398.51,21.00,18.87,16.74,0.44,48092.13,0.00,0.00,9634.30,0.00,385.50
2.83,134.24,0.00,1398.51,21.00,18.90,16.79,0.44,47598.20,0.00,0.00,9642.67,0.00,385.50
2.81,133.22,0.00,1398.51,21.00,18.92,16.84,0.44,47121.67,0.00,0.00,9647.45,0.00,385.50
2.78,132.30,0.00,1398.51,21.00,18.94,16.88,0.44,46688.26,0.00,0.00,9658.69,0.00,385.50
2.76,131.41,0.00,1398.51,21.00,18.96,16.92,0.44,46273.35,0.00,0.00,9667.83,0.00,385.50
2.74,130.48,0.00,1398.51,21.00,18.98,16.96,0.44,45876.30,0.00,0.00,9636.05,0.00,385.50
2.72,129.74,0.00,1398.51,21.00,19.00,17.00,0.44,45496.52,0.00,0.00,9676.08,0.00,385.50
2.72,129.53,0.00,1398.51,21.00,19.02,17.04,0.44,45212.62,0.00,0.00,9863.61,0.00,385.50
2.71,129.40,0.00,1398.51,21.00,19.04,17.08,0.44,44952.04,0.00,0.00,10062.15,0.00,385.50
2.72,129.65,0.00,1398.51,21.00,19.05,17.11,0.43,44766.98,0.00,0.00,10361.88,0.00,385.50
2.73,129.97,0.00,1398.51,21.00,19.07,17.14,0.43,44608.85,0.00,0.00,10666.99,0.00,385.50
2.74,130.66,0.00,1398.51,21.00,19.08,17.16,0.43,44529.84,0.00,0.00,11067.06,0.00,385.50
0.91,49.63,0.00,233.09,18.00,17.34,16.68,0.51,11834.24,0.00,0.00,0.00,0.00,7046.54
1.20,63.66,0.00,233.09,18.00,17.31,16.62,0.49,18142.96,0.00,0.00,0.00,0.00,7046.54
1.23,64.83,0.00,233.09,18.00,17.29,16.58,0.48,18679.41,0.00,0.00,0.00,0.00,7046.54
1.25,65.93,0.00,233.09,18.00,17.26,16.53,0.48,19185.06,0.00,0.00,0.00,0.00,7046.54
1.28,66.99,0.00,233.09,18.00,17.24,16.48,0.47,19675.05,0.00,0.00,0.00,0.00,7046.54
