Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1
1.15;0.00;0.00;236.87;0.00;15.00;18.00;16.18;14.36;0.90;16888.27;-8.21;0.00;0.00;0.00;77.10
1.12;0.00;0.00;236.87;0.00;15.00;18.00;16.22;14.44;0.90;16508.70;-8.21;0.00;0.00;0.00;77.10
1.10;0.00;0.00;236.87;0.00;15.00;18.00;16.26;14.51;0.90;16187.15;-8.21;0.00;0.00;0.00;77.10
1.08;0.00;0.00;236.87;0.00;15.00;18.00;16.28;14.57;0.90;15916.81;-8.21;0.00;0.00;0.00;77.10
1.06;0.00;0.00;236.87;0.00;15.00;18.00;16.31;14.62;0.90;15691.68;-8.21;0.00;0.00;0.00;77.10
1.05;0.00;0.00;236.87;0.00;15.00;18.00;16.33;14.65;0.90;15527.94;-8.21;0.00;0.00;0.00;77.10
1.05;0.00;0.00;236.87;0.00;15.00;18.00;16.34;14.68;0.90;15410.44;-8.21;0.00;0.00;0.00;77.10
1.04;0.00;0.00;236.87;0.00;15.00;18.00;16.35;14.70;0.90;15312.27;-8.21;0.00;0.00;0.00;77.10
1.03;0.00;0.00;236.87;0.00;15.00;18.00;16.36;14.71;0.90;15239.14;-8.21;0.00;0.00;0.00;77.10
1.03;0.00;0.00;236.87;0.00;15.00;18.00;16.36;14.73;0.90;15177.35;-8.21;0.00;0.00;0.00;77.10
1.03;0.00;0.00;236.87;0.00;15.00;18.00;16.37;14.74;0.90;15129.57;-8.21;0.00;0.00;0.00;77.10
1.02;0.00;0.00;236.87;0.00;15.00;18.00;16.37;14.75;0.90;15094.15;-8.21;0.00;0.00;0.00;77.10
1.02;0.00;0.00;236.87;0.00;15.00;18.00;16.38;14.75;0.90;15069.64;-8.21;0.00;0.00;0.00;77.10
1.02;0.00;0.00;236.87;0.00;15.00;18.00;16.38;14.76;0.90;15044.03;-8.21;0.00;0.00;0.00;77.10
1.54;0.00;0.00;236.87;0.00;90.00;21.00;18.53;16.06;0.90;22674.69;-49.37;0.00;0.00;0.00;77.10
1.50;0.00;0.00;236.87;0.00;90.00;21.00;18.59;16.18;0.90;22109.29;-49.37;0.00;0.00;0.00;77.10
1.46;0.00;0.00;236.87;0.00;90.00;21.00;18.65;16.30;0.50;21587.01;-49.37;0.00;0.00;0.00;77.10
1.43;0.00;0.00;236.87;0.00;90.00;21.00;18.70;16.40;0.50;21087.72;-49.37;0.00;0.00;0.00;77.10
0.87;0.00;0.00;236.87;0.00;60.00;18.00;16.60;15.20;0.50;12827.57;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.19;0.50;12890.98;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.18;0.90;12914.88;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.18;0.90;12926.20;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.18;0.90;12922.56;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.18;0.90;12910.53;-32.84;0.00;0.00;0.00;77.10
0.88;0.00;0.00;236.87;0.00;60.00;18.00;16.59;15.19;0.90;12892.81;-32.84;0.00;0.00;0.00;77.10
0.87;0.00;0.00;236.87;0.00;60.00;18.00;16.60;15.19;0.90;12870.22;-32.84;0.00;0.00;0.00;77.10
0.87;0.00;0.00;236.87;0.00;60.00;18.00;16.60;15.20;0.90;12845.20;-32.84;0.00;0.00;0.00;77.10
0.87;0.00;0.00;236.87;0.00;60.00;18.00;16.60;15.20;0.90;12829.43;-32.84;0.00;0.00;0.00;77.10
1.40;0.00;0.00;236.87;0.00;90.00;21.00;18.75;16.51;0.50;20603.45;-49.37;0.00;0.00;0.00;77.10
1.36;0.00;0.00;236.87;0.00;90.00;21.00;18.81;16.62;0.50;20096.59;-49.37;0.00;0.00;0.00;77.10
