Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];AHU electric consumption [Wh];Appliances electric consumption [Wh];Electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ AHU electric load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W];PV production [Wh];Battery State [%];Given to Batteries [Wh];Taken from the Batteries [Wh];Given to Grid [Wh];Taken from the Gird [Wh];directly from the PV [Wh];PV System self consumption
Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Zone 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1;Bd Bd 1
11.15;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.81;17.61;0.45;4184.19;0.00;0.00;0.00;0.00;1.21;161602.71;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
11.78;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.82;17.63;0.45;13464.50;0.00;0.00;0.00;0.00;1.21;161602.71;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
11.85;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.79;17.58;0.46;14534.38;0.00;0.00;0.00;0.00;1.21;161603.48;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
11.92;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.77;17.54;0.46;15657.20;0.00;0.00;0.00;0.00;1.21;161603.48;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
11.99;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.75;17.50;0.46;16597.67;0.00;0.00;0.00;0.00;1.21;161604.25;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.06;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.73;17.46;0.46;17734.69;0.00;0.00;0.00;0.00;1.21;161604.25;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.13;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.71;17.42;0.46;18590.83;0.00;0.00;0.00;0.00;1.21;161778.89;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.19;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.69;17.38;0.46;19516.06;0.00;0.00;0.00;0.00;1.21;161778.89;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.25;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.68;17.35;0.46;20273.89;0.00;0.00;0.00;0.00;1.21;161789.29;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.30;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.66;17.32;0.46;21041.34;0.00;0.00;0.00;0.00;1.21;161789.29;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.34;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.65;17.29;0.45;21702.03;0.00;0.00;0.00;0.00;1.21;161811.65;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.39;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.63;17.26;0.45;22379.69;0.00;0.00;0.00;0.00;1.21;161811.65;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.43;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.62;17.24;0.45;22957.38;0.00;0.00;0.00;0.00;1.21;161834.78;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
12.47;0.00;0.00;0.00;0.00;264.46;0.00;0.00;233.09;497.55;18.00;17.61;17.22;0.45;23491.39;0.00;0.00;0.00;0.00;1.21;161834.78;0.00;0.00;0.00;0.00;0.00;497.55;0.00;0.00
15.58;0.00;0.00;0.00;0.00;264.46;0.00;0.00;1398.51;1662.98;21.00;19.81;18.62;0.38;69720.80;0.00;0.00;0.00;0.00;1.21;161841.72;0.00;0.00;0.00;0.00;0.00;1662.98;0.00;0.00
14.89;0.00;0.00;0.00;0.00;264.46;0.00;0.00;1398.51;1662.98;21.00;19.82;18.65;0.38;59565.48;0.00;0.00;0.00;0.00;1.21;161841.72;82.41;0.00;0.00;0.00;0.00;1580.57;82.41;0.05
4.77;0.00;0.00;0.00;0.00;264.46;0.00;638.21;1398.51;2301.19;21.00;19.87;18.74;0.40;58943.83;0.00;0.00;11535.10;1276.43;0.00;434.08;82.41;0.00;0.00;0.00;0.00;2218.78;82.41;0.04
4.60;0.00;0.00;0.00;0.00;264.46;0.00;638.21;1398.51;2301.19;21.00;19.91;18.82;0.41;56966.31;0.00;0.00;10957.24;1276.43;0.00;434.08;251.69;0.00;0.00;0.00;0.00;2049.50;251.69;0.11
1.02;0.00;0.00;0.00;0.00;264.46;440.10;638.21;932.34;2275.12;18.00;17.71;17.42;0.50;4029.33;-895.58;0.00;10685.03;1276.43;0.00;436.00;251.69;0.00;0.00;0.00;0.00;2023.43;251.69;0.11
