;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-01-01 00:00:00;271.72814493722115;156131.7389567463;0.0;0.0;886142.878600497;0.0;583800.6649884228;393908.206462543;2198.518141181932;0.0
2023-01-01 01:00:00;255.53365332188292;154320.93391007668;0.0;0.0;762676.5543562061;0.0;590151.0912965472;393908.206462543;2207.3122137466607;0.0
2023-01-01 02:00:00;252.11258120914184;153456.86590291545;0.0;0.0;717866.8030503553;0.0;605973.7523428168;393908.206462543;2216.1062863113875;0.0
2023-01-01 03:00:00;257.3619522361457;153688.84647924395;0.0;0.0;698607.0383481234;0.0;652548.6522645355;393908.206462543;4207.963722222218;0.0
2023-01-01 04:00:00;257.12320076376415;160303.3727291606;0.0;0.0;687098.5010576819;0.0;667732.4700278351;393908.206462543;4326.683701846043;0.0
2023-01-01 05:00:00;256.8828958416152;153733.71143563656;0.0;0.0;679034.1180331842;0.0;667289.0970647463;393908.206462543;4581.7118062231475;0.0
2023-01-01 06:00:00;263.48630768193146;202367.3670194921;0.0;0.0;686972.3134010503;0.0;667852.9931900514;393908.206462543;50317.206643727426;0.0
2023-01-01 07:00:00;266.42559455816667;236124.52947265957;0.0;0.0;670252.3095233425;0.0;667852.9931900514;393908.206462543;50396.353296809975;0.0
2023-01-01 08:00:00;261.2420375047906;233287.3409386558;0.0;0.0;656744.0598786734;0.0;660239.5563976683;393908.206462543;50422.73551450416;0.0
2023-01-01 09:00:00;258.0910485895869;213872.03899598317;0.0;0.0;662695.3305096176;0.0;651648.7495279283;393908.206462543;50444.72069591598;0.0
2023-01-01 10:00:00;254.2065486427263;207243.59432309086;0.0;0.0;645691.562296508;0.0;643959.7886291955;393908.206462543;50453.51476848071;0.0
2023-01-01 11:00:00;255.35700664713676;224294.81242653835;0.0;0.0;624431.0858715349;0.0;643959.7886291955;393908.206462543;50449.11773219834;0.0
2023-01-01 12:00:00;247.79104958353494;212093.3710205309;0.0;0.0;611147.2494233893;0.0;637192.5494893625;393908.206462543;50453.51476848071;0.0
2023-01-01 13:00:00;243.56568132772315;211483.97389824552;0.0;0.0;595899.6174552516;0.0;621653.7172629276;393908.206462543;50466.7058773278;0.0
2023-01-01 14:00:00;240.41078842484865;211015.827803625;0.0;0.0;589020.3478066595;0.0;605973.7523428168;393908.206462543;50453.51476848071;0.0
2023-01-01 15:00:00;238.72264768221893;204817.00563979236;0.0;0.0;591977.4771064585;0.0;590151.0912965472;393908.206462543;50462.30884104544;0.0
2023-01-01 16:00:00;238.06001901917853;220504.58513136333;0.0;0.0;576804.8071294454;0.0;581180.9471915732;393908.206462543;50457.91180476307;0.0
2023-01-01 17:00:00;237.74964690446168;232306.37308676654;0.0;0.0;566067.9811629631;0.0;589750.2489570315;393908.206462543;50457.91180476307;0.0
2023-01-01 18:00:00;230.80225966619895;225531.43469828877;0.0;0.0;567108.9443066779;0.0;606170.1845390182;393908.206462543;4990.636180482987;0.0
2023-01-01 19:00:00;229.4010458207477;231334.42738570162;0.0;0.0;549222.1481881263;0.0;606170.1845390182;393908.206462543;4981.842107918259;0.0
2023-01-01 20:00:00;228.30721451219358;231421.21317080944;0.0;0.0;550080.7093020488;0.0;605539.2223839462;393908.206462543;4933.474708812257;0.0
2023-01-01 21:00:00;225.6057196659247;218672.92818242393;0.0;0.0;551510.0995468952;0.0;605973.7523428168;393908.206462543;4845.53398316498;0.0
2023-01-01 22:00:00;233.77780441059753;165138.5967988099;0.0;0.0;566554.0645841323;0.0;637192.5494893625;393908.206462543;4273.919266457677;0.0
2023-01-01 23:00:00;243.08697822331052;166602.58499700885;0.0;0.0;585369.6675316637;0.0;682977.6555609729;393908.206462543;2189.7240686172045;0.0
2023-01-02 00:00:00;266.2743526441529;125919.07994850911;0.0;0.0;686086.9693578756;0.0;742140.8092052684;393908.206462543;2198.518141181932;0.0
