Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh]
16803734.50;1191583502.94;0.00;13249670.95;159229.38;0;0;0;0;0;0;0.00
16073137.35;1002757599.35;0.00;11967444.73;134104.91;0;0;0;0;0;0;0.00
17899630.23;877279586.21;0.00;13249670.95;117691.33;0;0;0;0;0;0;0.00
16803734.50;285339210.03;0.00;12822262.21;39404.68;0;0;0;0;0;0;0.00
18264928.80;0.00;0.00;13249670.95;1751.06;0;0;0;0;0;0;0.00
17169033.08;0.00;-61770770.05;12822262.21;1694.58;0;0;0;0;0;0;27211792.97
17534331.65;0.00;-89446173.78;13249670.95;1751.06;0;0;0;0;0;0;39403600.79
18264928.80;7899898.88;-124798456.75;13249670.95;2795.10;0;0;0;0;0;0;54977293.72
16438435.92;0.00;0.00;12822262.21;1694.58;0;0;0;0;0;0;0.00
18264928.80;0.00;0.00;13249670.95;1751.06;0;0;0;0;0;0;0.00
17534331.65;444409516.94;0.00;12822262.21;60427.23;0;0;0;0;0;0;0.00
17169033.08;1111451863.97;0.00;13249670.95;148639.27;0;0;0;0;0;0;0.00
