Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh]
14582105.31;218382429.40;0.00;20273058.03;31885.05;0;0;0;0;0;0;0.00
13220305.32;181898081.62;0.00;18267431.10;26742.68;0;0;0;0;0;0;0.00
14643932.16;151504681.68;0.00;20230706.13;22944.33;0;0;0;0;0;0;0.00
14141315.22;41196898.25;0.00;19590398.42;8121.36;0;0;0;0;0;0;0.00
14660964.72;0.00;0.00;20188354.24;2697.22;0;0;0;0;0;0;0.00
14163712.36;0.00;-44050607.39;19590398.42;2617.33;0;0;0;0;0;0;19405553.92
14621535.01;0.00;-43283661.63;20230706.13;2702.88;0;0;0;0;0;0;19067692.35
14660964.72;1044956.85;-41580397.69;20188354.24;2836.83;0;0;0;0;0;0;18317355.81
14124282.66;0.00;0.00;19632750.32;2622.99;0;0;0;0;0;0;0.00
14660964.72;0.00;0.00;20188354.24;2697.22;0;0;0;0;0;0;0.00
14180744.92;75776766.20;0.00;19548046.53;12735.67;0;0;0;0;0;0;0.00
14604502.46;203182626.74;0.00;20273058.03;29854.31;0;0;0;0;0;0;0.00
