Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh]
6455772.70;82984528.82;0.00;10074543.02;11796.54;0;0;0;0;0;0;-0.00
5828551.19;68244923.84;0.00;9080092.69;9802.03;0;0;0;0;0;0;-0.00
6453380.55;53912430.40;0.00;10055657.68;8108.85;0;0;0;0;0;0;-0.00
6245901.48;12197355.17;0.00;9736764.46;2780.46;0;0;0;0;0;0;-0.00
6450988.40;0.00;0.00;10036772.33;1272.30;0;0;0;0;0;0;-0.00
6245901.48;0.00;-22682233.40;9736764.46;1234.27;0;0;0;0;0;0;11578404.52
6453380.55;0.00;-20604994.22;10055657.68;1274.70;0;0;0;0;0;0;10518054.11
6450988.40;249979.59;-18011174.37;10036772.33;1303.99;0;0;0;0;0;0;9194009.21
6248293.63;0.00;0.00;9755649.81;1236.67;0;0;0;0;0;0;-0.00
6450988.40;0.00;0.00;10036772.33;1272.30;0;0;0;0;0;0;-0.00
6243509.33;26511811.91;0.00;9717879.12;4592.62;0;0;0;0;0;0;-0.00
6455772.70;77105377.92;0.00;10074543.02;11051.28;0;0;0;0;0;0;-0.00
