Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh]
4315619.44;465532241.37;0.00;5216098.41;65653.14;0;0;0;0;0;0;0.00
4090847.59;386271004.81;0.00;4711314.70;54528.53;0;0;0;0;0;0;0.00
4551629.88;315562015.65;0.00;5216098.41;44737.47;0;0;0;0;0;0;0.00
4293142.25;80361484.40;0.00;5047837.17;11911.65;0;0;0;0;0;0;0.00
4630300.02;0.00;0.00;5216098.41;727.47;0;0;0;0;0;0;0.00
4371812.40;0.00;-61840106.02;5047837.17;704.00;0;0;0;0;0;0;31566986.84
4472959.73;0.00;-50405801.40;5216098.41;727.47;0;0;0;0;0;0;25730215.74
4630300.02;1701310.21;-48201094.93;5216098.41;964.74;0;0;0;0;0;0;24604798.20
4214472.11;0.00;0.00;5047837.17;704.00;0;0;0;0;0;0;0.00
4630300.02;0.00;0.00;5216098.41;727.47;0;0;0;0;0;0;0.00
4450482.55;163826777.70;0.00;5047837.17;23552.18;0;0;0;0;0;0;0.00
4394289.58;433553605.05;0.00;5216098.41;61193.22;0;0;0;0;0;0;0.00
