hour;fromstate;wd_to_state1;wd_to_state2;wd_to_state3;we_to_state1;we_to_state2;we_to_state3;holidays;;ve_onoff;ve_supp_t_h_celsius;ve_supp_t_c_celsius;ve_supp_sh_h_kgkg;ve_supp_sh_c_kgkg;cooling_sp_celsius;heating_sp_celsius;hum_sp_pc;dehum_sp_pc;infiltration_ach;;cold_water_temp_celsius;hot_water_temp_celsius;hp_cop;df_supp_temp_celsius;raditor_in_temp_celsius;radiator_out_temp_celsius;elec_pow_fac;substation_voltage_a_volt;susbtation_voltage_phase_angle_deg;;System Convective Fraction;AHU humidity control;AHU sensible heat recovery;AHU latent heat recovery;Outdoor Air Ratio;DomesticHotWater calculation;Appliances calculation;;tag
0;1;0.429134;0.570866;0;0.525948;0.471271;0.00278041;1;;1;23;24;0.0105;0.0105;27;19;30;60;1;;10;55;3;90;80;60;1;400;0;;0.5;FALSE;0;0;0.2;UNI-TS 11300-2;Schedule;;Markov_UU
0;2;0.0131407;0.986859;0;0.0584723;0.940612;0.000916112;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;3;0.0255723;0.974428;0;0.055326;0.931609;0.013065;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;0;0.981884;0.00947891;0.00863703;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;0;1;0;0;0.998671;0.00132885;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;0;1;0;0;0.703127;0.296873;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;1;0;0;0.99631;0.00369004;0;149;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
2;2;0;1;0;0;1;0;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;3;0;1;0;0;1;0;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;1;0;0;1;0;0;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2;0.00102124;0.998979;0;0;1;0;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;0.00102124;0.998979;0;0;1;0;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;1;0;0;0.922222;0.0596616;0.0181161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2;0.00470251;0.970558;0.0247393;0;0.988295;0.0117049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;3;0.00462645;0.970665;0.0247084;0;0.988324;0.0116763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;0.885838;0.0220204;0.0921419;0.946112;0.0403685;0.0135197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2;0.0290077;0.894346;0.0766461;0.00464634;0.966513;0.0288404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3;0.190132;0.486314;0.323554;0.0846364;0.660477;0.254887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;0.920791;0.0169076;0.0623013;0.944705;0.0223246;0.0329706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;0.0787967;0.683215;0.237988;0.0186856;0.932127;0.0491874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
