,Zone volume [m3],Zone net floor area [m2],Number of units [-],Zone opaque heat transfer loss [W/K],Zone glazed heat transfer loss [W/K],Zone design heating load [kW],Zone design cooling load [kW],Name,January gas consumption [Nm3],January electric consumption [Wh],January oil consumption [L],January wood consumption [kg],February gas consumption [Nm3],February electric consumption [Wh],February oil consumption [L],February wood consumption [kg],March gas consumption [Nm3],March electric consumption [Wh],March oil consumption [L],March wood consumption [kg],April gas consumption [Nm3],April electric consumption [Wh],April oil consumption [L],April wood consumption [kg],May gas consumption [Nm3],May electric consumption [Wh],May oil consumption [L],May wood consumption [kg],June gas consumption [Nm3],June electric consumption [Wh],June oil consumption [L],June wood consumption [kg],July gas consumption [Nm3],July electric consumption [Wh],July oil consumption [L],July wood consumption [kg],August gas consumption [Nm3],August electric consumption [Wh],August oil consumption [L],August wood consumption [kg],September gas consumption [Nm3],September electric consumption [Wh],September oil consumption [L],September wood consumption [kg],October gas consumption [Nm3],October electric consumption [Wh],October oil consumption [L],October wood consumption [kg],November gas consumption [Nm3],November electric consumption [Wh],November oil consumption [L],November wood consumption [kg],December gas consumption [Nm3],December electric consumption [Wh],December oil consumption [L],December wood consumption [kg]
RLB-64841,4783.5054931640625,1449.547119140625,1,2600.8620793842197,965.8238553015242,155.77983865365385,-41.54793062992939,Bd RLB-64841,0.0,24894044.70148649,0.0,0.0,0.0,12116454.0709738,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,11476577.789780635,0.0,0.0,0.0,23579795.886098985,0.0,0.0
RLB-71024,1e-05,1e-05,1,577.0530137607208,138.90372946137086,23.26859423805131,-3.1792492442073104,Bd RLB-71024,1386.8570422246628,323221.5196644031,0.0,0.0,650.492195337313,291942.0177613963,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,8.106814779659295,312795.0190300675,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,8.106814779659295,352484.30889883894,0.0,0.0,8.377041938981272,458932.8768870297,0.0,0.0,8.377041938981272,373938.6634341716,0.0,0.0,8.106814779659295,312795.0190300675,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,532.5867102355822,312795.0190300675,0.0,0.0,1286.7234497625243,323221.5196644031,0.0,0.0
RLB-79639,2736.9987304687497,829.3935546875,1,2096.7055155423786,817.7981224230832,117.52969098778378,-23.28167412423509,Bd RLB-79639,5968.591335794624,856391.3366021872,0.0,0.0,2855.030480438752,773514.7556406852,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,2738.061610960631,828765.8096150199,0.0,0.0,5715.450364607291,856391.3366021872,0.0,0.0
RLB-78598,691.203369140625,209.45556640625,1,590.5277759206775,254.8710515284242,33.235489968267686,-5.995439393321407,Bd RLB-78598,1712.617495316649,442631.40944237454,0.0,0.0,827.5377575433971,399796.1117544028,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,813.5828994737576,428352.9768797173,0.0,0.0,1652.4265293173278,442631.40944237454,0.0,0.0
RLB-70301,920.6999999999999,279.0,1,999.6972129844925,407.11083523855325,53.39376156724899,-12.790994957016027,Bd RLB-70301,2445.002459754922,500831.23873692914,0.0,0.0,1158.0778442391752,452363.69950432307,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,34.40392509299393,484675.3923260605,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,34.40392509299393,894248.1681489738,0.0,0.0,35.55072259609373,1647607.2266860786,0.0,0.0,35.55072259609373,930354.2666143165,0.0,0.0,34.40392509299393,484675.3923260605,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,982.9872432211124,484675.3923260605,0.0,0.0,2255.8127693565634,500831.23873692914,0.0,0.0
RLB-68709,1966.2505371093748,595.83349609375,1,1793.4654134020582,361.87599040438965,86.43401676628768,-18.123980622158356,Bd RLB-68709,4260.614867539335,701237.225469429,0.0,0.0,2025.2067622963111,633375.5584885166,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,702489.782768955,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,1750.5355908867973,678616.6698091249,0.0,0.0,3974.5250142239424,701237.225469429,0.0,0.0
RLB-70862,1e-05,1e-05,1,99.69290358403299,19.751359981260997,3.881938649205388,-0.7269375020024634,Bd RLB-70862,0.0,599873.0808406966,0.0,0.0,0.0,288541.07252945757,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,20746.285678404016,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,70853.06257656917,0.0,0.0,0.0,146106.54924462253,0.0,0.0,0.0,86848.85035630206,0.0,0.0,0.0,22733.93438321579,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,228714.78393508494,0.0,0.0,0.0,553377.9753737911,0.0,0.0
RLB-67388,7885.64970703125,2389.5908203125,1,4406.895951407458,1182.6400316317151,247.37366700736686,-65.07449904239097,Bd RLB-67388,12672.976481803338,1807079.259890933,0.0,0.0,6018.899536333517,1632200.6218369717,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,5525.767887852057,1748786.3805396126,0.0,0.0,11920.641881682153,1807079.259890933,0.0,0.0
RLB-67768,2954.389453125,895.26953125,1,1963.3680999139851,480.5885759358867,104.04850407449584,-28.14480395410303,Bd RLB-67768,5920.438131457044,875650.9251346339,0.0,0.0,2780.4686224424768,790910.5130248306,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,40.10220739192728,847404.1210980328,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,40.10220739192728,1329810.5428153118,0.0,0.0,41.438947638324855,2412362.3713974752,0.0,0.0,41.438947638324855,1460141.4651211018,0.0,0.0,40.10220739192728,847404.1210980328,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,2357.598662836477,847404.1210980328,0.0,0.0,5449.513872480399,875650.9251346339,0.0,0.0
RLB-71167,13720.22373121929,4157.643554914936,1,2936.553146023892,1572.1282406076398,260.86734282568557,-126.73865711231804,Bd RLB-71167,13535.37572721153,2737258.3169116816,0.0,0.0,6326.993885854779,2472362.350758938,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,34.17320931234316,2648959.6615274334,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,34.17320931234316,5009694.942069005,0.0,0.0,35.31231628942127,10740715.09393648,0.0,0.0,35.31231628942127,6507000.422818118,0.0,0.0,34.17320931234316,2648959.6615274334,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,5778.342984059083,2648959.6615274334,0.0,0.0,12372.49009725788,2737258.3169116816,0.0,0.0
