,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-01-01 00:00:00,3707.7219233786445,961755.3040730509,184.52760658242374,0.0
2023-01-01 01:00:00,3701.0149678967505,960778.1468789831,183.87427967207424,0.0
2023-01-01 02:00:00,3695.9664416999312,959997.9616005787,183.31496258443642,0.0
2023-01-01 03:00:00,3712.799839229603,961074.2454250193,183.74083490306572,0.0
2023-01-01 04:00:00,3711.9466166211805,960758.6731695113,183.4328739772812,0.0
2023-01-01 05:00:00,3702.6154308029295,959786.1882142781,182.77981826825732,0.0
2023-01-01 06:00:00,3710.8764693582116,1055509.0021916865,182.76415410406884,0.0
2023-01-01 07:00:00,3685.6817024110233,1180358.4359497917,181.3358002045054,0.0
2023-01-01 08:00:00,3654.0038939858723,1177319.7510952952,179.58438701189013,0.0
2023-01-01 09:00:00,3638.7484630347644,1048455.8666110764,178.61411690693464,0.0
2023-01-01 10:00:00,3604.2969969250576,981493.5986320904,176.69778829711697,0.0
2023-01-01 11:00:00,3573.602676181096,1042160.0955732929,174.9641074777394,0.0
2023-01-01 12:00:00,3544.566427589255,1039425.2035808193,173.33273674052364,0.0
2023-01-01 13:00:00,3507.8707806280845,1036066.4531573649,171.35980597272822,0.0
2023-01-01 14:00:00,3480.421667548367,1033588.7805058401,169.85378311612416,0.0
2023-01-01 15:00:00,3463.2660464995724,968457.3654453582,168.87145884114074,0.0
2023-01-01 16:00:00,3435.3467335023065,1061408.8840191953,167.38149468069003,0.0
2023-01-01 17:00:00,3415.299966261431,1186701.608827459,166.20339316517976,0.0
2023-01-01 18:00:00,3408.4925315703044,1186257.6234368256,165.8957643091599,0.0
2023-01-01 19:00:00,3382.1601514349773,1247424.79763781,164.47115672153927,0.0
2023-01-01 20:00:00,3379.562185227907,1247157.4856048957,164.24171303049528,0.0
2023-01-01 21:00:00,3378.0076386154624,1246985.324860469,164.07110767573255,0.0
2023-01-01 22:00:00,3410.7240939169988,1090720.2222758133,165.5118791458664,0.0
2023-01-01 23:00:00,3459.5869731443017,1094979.1908021169,167.76269495679668,0.0
2023-01-02 00:00:00,3544.890216799895,919562.6403170435,171.58021141983824,0.0
2023-01-02 01:00:00,3563.6138043838846,921237.8721815746,172.4857826832161,0.0
2023-01-02 02:00:00,3573.993034411798,922180.2836014826,173.00548148509534,0.0
2023-01-02 03:00:00,3566.338092614616,921524.804371252,172.66646049703775,0.0
2023-01-02 04:00:00,3585.869299910105,923269.8777438146,173.63063897785213,0.0
2023-01-02 05:00:00,3606.213684882877,925095.3351645562,174.64706234263141,0.0
2023-01-02 06:00:00,3633.359347791936,1015575.9557403038,175.7807998820897,0.0
2023-01-02 07:00:00,3618.5557404165,1132065.9962784501,175.08553521477984,0.0
2023-01-02 08:00:00,3578.410061378979,1128253.829376928,173.12797997556402,0.0
