;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];Name;February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg]
RLB-90519;1199.384033203125;363.44970703125;5;708.1343166128055;237.28839723037004;40.721105143262584;-12.99475036747501;Bd RLB-90519;953.0116070958283;1116978.821874796;0.0;0.0;90.53816543981775;1331782.4414661028;0.0;0.0;87.93597828459427;1288821.7175478414;0.0;0.0;92.14232955815203;1331782.4414661028;0.0;0.0;87.80823532759516;1298949.8618246196;0.0;0.0;91.42843144114163;1431721.1712012491;0.0;0.0;91.20661921070484;1369387.8164809411;0.0;0.0;87.53405141929188;1288821.7175478414;0.0;0.0;89.28628891562755;1331782.4414661028;0.0;0.0;788.0120829246698;1159039.8811907007;0.0;0.0;2458.903789617423;12949068.312066298;0.0;0.0
RLB-64881;2054.7205078125;622.642578125;8;1320.8231575331238;477.9514076516894;75.58284426694392;-19.628977091512258;Bd RLB-64881;1866.66135682222;1378115.8452335775;0.0;0.0;151.3898253594173;1643138.1231631115;0.0;0.0;146.73707698536512;1590133.6675772045;0.0;0.0;150.70832390707926;1643138.1231631115;0.0;0.0;145.81035003295517;1590133.6675772045;0.0;0.0;151.40959255020275;1643138.1231631115;0.0;0.0;150.71071216764145;1643138.1231631115;0.0;0.0;148.34510673462248;1590133.6675772045;0.0;0.0;152.7430774591574;1643138.1231631115;0.0;0.0;1659.117992008723;1430010.1089631699;0.0;0.0;4723.633414027384;15794217.572743917;0.0;0.0
RLB-68537;1e-05;1e-05;1;165.41580048212947;36.36283558766728;6.557805755601727;-1.2237260242644854;Bd RLB-68537;147.9595858990547;457970.1818657574;0.0;0.0;7.999707502675883;546041.3706860953;0.0;0.0;7.736770293100006;528427.1329220277;0.0;0.0;8.146880771199214;546041.3706860953;0.0;0.0;7.614589762835744;562722.5361284835;0.0;0.0;8.385167116747281;639065.7310349696;0.0;0.0;8.077864335166588;583862.3560998504;0.0;0.0;7.848289134821177;528427.1329220277;0.0;0.0;8.191837905211377;546041.3706860953;0.0;0.0;107.43204474187185;475216.32270314003;0.0;0.0;319.3927374626838;5413815.505734542;0.0;0.0
RLB-71498;1e-05;1e-05;1;152.61405711820467;25.706925726604364;5.795432025789627;-1.1181154381070817;Bd RLB-71498;129.2724038274596;510147.37301506376;0.0;0.0;7.968524687818593;608252.6370564222;0.0;0.0;7.833591605044876;588631.5842481505;0.0;0.0;8.105233878335863;608252.6370564222;0.0;0.0;7.697322550073786;647361.9676489693;0.0;0.0;8.288011976170571;754227.9328299181;0.0;0.0;8.005834802735832;680478.35243719;0.0;0.0;7.572042228174175;589614.3753596944;0.0;0.0;8.030333236835043;608252.6370564222;0.0;0.0;91.42825090486984;529358.2239365864;0.0;0.0;284.2015496975182;6124577.720644839;0.0;0.0
RLB-75209;8836.352559467858;2677.6825937781387;35;4127.788144873557;1221.7007863122926;247.49466159243894;-80.55644442402999;Bd RLB-75209;6128.680654657747;5771368.863946007;0.0;0.0;649.8118556847456;6881247.491627932;0.0;0.0;627.2635247480622;6659271.766091547;0.0;0.0;647.7884825311634;6881247.491627932;0.0;0.0;628.3308818551782;6659271.766091547;0.0;0.0;650.0347768553529;6881247.491627932;0.0;0.0;647.8860282425087;6881247.491627932;0.0;0.0;630.8087561005774;6659271.766091547;0.0;0.0;646.268565058748;6881247.491627932;0.0;0.0;5268.475476217827;5988690.435422534;0.0;0.0;16525.34900195191;66144112.05578284;0.0;0.0
RLB-75214;187.727783203125;56.88720703125;1;249.0978724059692;49.206401478778666;11.259287094613681;-2.6029661915827695;Bd RLB-75214;241.62189820853166;402190.19588412705;0.0;0.0;15.442404133195655;479534.4643233823;0.0;0.0;15.224019357726053;464065.61063553125;0.0;0.0;15.888846391324721;479534.4643233823;0.0;0.0;14.927632704903473;602873.4707132301;0.0;0.0;15.586430777405843;830744.8184319792;0.0;0.0;15.630187596999976;668870.7466750349;0.0;0.0;15.609735548678263;471632.51205151004;0.0;0.0;15.682737128663634;479534.4643233823;0.0;0.0;177.81947458910855;417335.98503218015;0.0;0.0;543.4333664365379;5296316.73239374;0.0;0.0
RLB-67765;1020.226904296875;309.15966796875;4;1345.2845834506643;324.81465007026765;62.78011595857092;-12.614821424247197;Bd RLB-67765;1362.538968833276;748263.833529304;0.0;0.0;75.03573861998812;892160.7245926317;0.0;0.0;72.77123404419557;863381.3463799661;0.0;0.0;75.62862873346673;892160.7245926317;0.0;0.0;74.09384806314557;1097358.534850157;0.0;0.0;75.12805257327442;1604670.6022705706;0.0;0.0;75.92410645099149;1152796.3362924657;0.0;0.0;72.48320316737056;863381.3463799661;0.0;0.0;75.45281535497462;892160.7245926317;0.0;0.0;1057.5093349076521;776441.172040206;0.0;0.0;3016.5659307483347;9782775.34552053;0.0;0.0
RLB-79217;2319.5761230468747;702.90185546875;9;1864.0428656665113;478.6391032623277;95.4669650155779;-21.667974763586965;Bd RLB-79217;2302.1081676668787;1578677.43514673;0.0;0.0;169.63394359491986;1882269.2495980242;0.0;0.0;165.70423211047196;1821550.8867077653;0.0;0.0;170.6031668238243;1882269.2495980242;0.0;0.0;166.15729748903362;1821550.8867077653;0.0;0.0;169.0761941509507;1882269.2495980242;0.0;0.0;170.21895042815854;1882269.2495980242;0.0;0.0;164.6977708937449;1821550.8867077653;0.0;0.0;170.90575368281452;1882269.2495980242;0.0;0.0;1962.950728538078;1638123.8788543548;0.0;0.0;5612.056205378875;18092800.222114503;0.0;0.0
RLB-79168;1063.919677734375;322.39990234375;4;882.4046639858656;234.26303736883037;45.15769760848074;-9.41703420284296;Bd RLB-79168;1104.0014143881474;754489.3182147059;0.0;0.0;77.04733094126101;899583.4178713801;0.0;0.0;75.34087829368252;870564.5979400452;0.0;0.0;78.04231275344398;899583.4178713801;0.0;0.0;75.7649111052134;870564.5979400452;0.0;0.0;78.02663930600289;899583.4178713801;0.0;0.0;78.10702130974626;899583.4178713801;0.0;0.0;74.4997422900155;870564.5979400452;0.0;0.0;77.40230633447331;899583.4178713801;0.0;0.0;957.2954738479285;782900.9839985039;0.0;0.0;2675.528030569915;8647001.185390245;0.0;0.0
RLB-74310;2929.52666015625;887.7353515625;12;1023.3757254289637;689.6169709660576;80.08498480080694;-31.039234039470468;Bd RLB-74310;1870.865342692702;1758876.7272425073;0.0;0.0;199.46318382126972;2097122.2517122203;0.0;0.0;196.06618852761073;2029473.1468182777;0.0;0.0;200.8114935998724;2097122.2517122203;0.0;0.0;196.58161835176438;2029473.1468182777;0.0;0.0;201.86083492030835;2097122.2517122203;0.0;0.0;201.11610839463424;2097122.2517122203;0.0;0.0;194.9911129900848;2029473.1468182777;0.0;0.0;201.55859272892968;2097122.2517122203;0.0;0.0;1806.068174700664;1825108.433172862;0.0;0.0;5269.382650727841;20158015.859431308;0.0;0.0
