;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-02-03 00:00:00;2159.920701038516;588307.9424908392;0.0;0.0;23966818.610668864;0.0;5320128.464255761;2474892.885632152;86199.30521220677
2023-02-03 00:30:00;2166.76165880352;588307.9424908392;0.0;0.0;24025910.85631353;0.0;5362689.174229687;2474892.885632152;85332.98538443471
2023-02-03 01:00:00;2173.4898191044704;588307.9424908392;0.0;0.0;24085064.21489277;0.0;5405048.664347416;2474892.885632152;82873.41991663109
2023-02-03 01:30:00;2178.325179371667;588307.9424908392;0.0;0.0;24121813.280251417;0.0;5447898.663903039;2474892.885632152;74123.3023053806
2023-02-03 02:00:00;2184.4575623390747;588307.9424908392;0.0;0.0;24157664.04134924;0.0;5490741.778618512;2474892.885632152;85724.77815686601
2023-02-03 02:30:00;2189.296918870737;588307.9424908392;0.0;0.0;24170166.644556493;0.0;5556168.36503165;2474892.885632152;79303.88085645548
2023-02-03 03:00:00;2204.4022203987256;588307.9424908392;0.0;0.0;24180843.505104534;0.0;5622140.800468347;2474892.885632152;225763.36712185538
2023-02-03 03:30:00;2229.5411232282204;588307.9424908392;0.0;0.0;24234669.547855895;0.0;5642114.068184437;2474892.885632152;525451.8811625531
2023-02-03 04:00:00;2255.5668273501124;588307.9424908392;0.0;0.0;24288674.928672373;0.0;5662045.422254457;2474892.885632152;833477.2878363082
2023-02-03 04:30:00;2283.0825773841007;588307.9424908392;0.0;0.0;24342861.55149844;0.0;5660604.687524657;2474892.885632152;1187620.8480327209
2023-02-03 05:00:00;2307.5119711463735;588307.9424908392;0.0;0.0;24397230.218135122;0.0;5659273.372906;2474892.885632152;1496448.4992376387
2023-02-03 05:30:00;2332.1001750546584;588307.9424908392;0.0;0.0;24474249.83149532;0.0;5656936.663399755;2474892.885632152;1785100.2805106686
2023-02-03 06:00:00;2361.645795652056;601467.2467031692;0.0;0.0;24603818.66809807;0.0;5655030.633289742;2474892.885632152;2092809.5066429996
2023-02-03 06:30:00;2333.823848995726;601467.2467031692;0.0;0.0;24568172.00464103;0.0;5594497.467511298;2474892.885632152;1776627.0301416097
2023-02-03 07:00:00;2291.5555662840393;783459.7365994131;0.0;0.0;24303634.953225706;0.0;5533578.01015301;2474892.885632152;1477001.1958314856
2023-02-03 07:30:00;2257.81499377222;783459.7365994131;0.0;0.0;24201622.06469927;0.0;5473470.389222285;2474892.885632152;1139355.969669355
2023-02-03 08:00:00;2233.1286114606723;783459.7365994131;0.0;0.0;24091675.664789688;0.0;5413287.287975751;2474892.885632152;945369.6501791186
2023-02-03 08:30:00;2210.6114434416113;783459.7365994131;0.0;0.0;23895715.38087795;0.0;5313445.272509798;2474892.885632152;908319.0253263986
2023-02-03 09:00:00;2203.957191135009;601467.2467031692;0.0;0.0;23943794.759682212;0.0;5213691.334612204;2474892.885632152;861283.1603801907
2023-02-03 09:30:00;2197.8046426730457;601467.2467031692;0.0;0.0;23822406.2070091;0.0;5197719.281738122;2474892.885632152;906898.996047441
2023-02-03 10:00:00;2188.2870327289666;592694.3772282824;0.0;0.0;23702199.86702072;0.0;5182338.327159418;2474892.885632152;903137.8759537257
2023-02-03 10:30:00;2177.5609566376293;592694.3772282824;0.0;0.0;23583252.162104435;0.0;5167559.049722007;2474892.885632152;877465.3619791339
2023-02-03 11:00:00;2162.027531763151;683690.622176404;0.0;0.0;23347461.76677752;0.0;5153392.149093336;2474892.885632152;897214.8316544455
2023-02-03 11:30:00;2158.103496867942;683690.622176404;0.0;0.0;23259533.06024202;0.0;5184814.6164891925;2474892.885632152;896187.9008752799
2023-02-03 12:00:00;2156.045736626683;683690.622176404;0.0;0.0;23170083.525974717;0.0;5217076.126100143;2474892.885632152;923977.3225286255
2023-02-03 12:30:00;2147.4949746370553;683690.622176404;0.0;0.0;23097592.865939114;0.0;5200893.238730288;2474892.885632152;886452.4936483036
2023-02-03 13:00:00;2142.710519809339;683690.622176404;0.0;0.0;23016877.836966123;0.0;5184885.928468884;2474892.885632152;912500.4146412988
2023-02-03 13:30:00;2138.842978220629;683690.622176404;0.0;0.0;22980852.465862222;0.0;5164495.133636742;2474892.885632152;913250.3241513869
2023-02-03 14:00:00;2137.1660157657548;683690.622176404;0.0;0.0;22948037.756679915;0.0;5144061.722461205;2474892.885632152;940399.7391806594
2023-02-03 14:30:00;2129.545205426375;683690.622176404;0.0;0.0;22936061.568303563;0.0;5098500.224773065;2474892.885632152;885531.4032449002
2023-02-03 15:00:00;2135.8967450751074;592694.3772282824;0.0;0.0;23040995.23332622;0.0;5052716.446703365;2474892.885632152;921120.1591952936
2023-02-03 15:30:00;2137.4695179616265;592694.3772282824;0.0;0.0;23085550.256874274;0.0;5023230.0129419975;2474892.885632152;929901.1009779667
2023-02-03 16:00:00;2137.6495723807648;605853.6814406127;0.0;0.0;23101056.971142717;0.0;4994043.953569348;2474892.885632152;945548.5854133096
2023-02-03 16:30:00;2148.214596431457;605853.6814406127;0.0;0.0;23163170.51976206;0.0;4986249.680835152;2474892.885632152;1048715.5420245267
2023-02-03 17:00:00;2148.7098284786625;787846.1713368566;0.0;0.0;23005452.37376985;0.0;4978968.663940019;2474892.885632152;1220431.0864720352
2023-02-03 17:30:00;2161.7591233632966;787846.1713368566;0.0;0.0;23066786.71052981;0.0;4944581.782668813;2474892.885632152;1386034.6879201648
2023-02-03 18:00:00;2153.84914878228;787846.1713368566;0.0;0.0;23131080.37818481;0.0;4911820.621172037;2474892.885632152;1236362.2517255747
2023-02-03 18:30:00;2156.5441093070076;787846.1713368566;0.0;0.0;23175820.25630146;0.0;4954871.881959807;2474892.885632152;1188182.9385659245
2023-02-03 19:00:00;2140.649746977003;878842.4162849787;0.0;0.0;23086990.25103659;0.0;4997738.269248368;2474892.885632152;999349.3074277943
2023-02-03 19:30:00;2129.1388584293204;878842.4162849787;0.0;0.0;23111172.241999112;0.0;5019102.453629203;2474892.885632152;784215.6723536969
2023-02-03 20:00:00;2122.551924579267;878842.4162849787;0.0;0.0;23136314.89158411;0.0;5040420.800975067;2474892.885632152;640033.6794411668
2023-02-03 20:30:00;2128.651438793371;878842.4162849787;0.0;0.0;23162392.58327012;0.0;5108839.957839275;2474892.885632152;634568.5579916803
2023-02-03 21:00:00;2131.466772171663;878842.4162849787;0.0;0.0;23189380.987747952;0.0;5176870.911595898;2474892.885632152;582439.4600456614
2023-02-03 21:30:00;2132.2941112639955;878842.4162849787;0.0;0.0;23217256.88273042;0.0;5197719.281738122;2474892.885632152;545294.9086531249
2023-02-03 22:00:00;2141.9477304862753;692463.4916512906;0.0;0.0;23434484.31964264;0.0;5218523.382010399;2474892.885632152;450442.52656537516
2023-02-03 22:30:00;2129.714074149151;692463.4916512906;0.0;0.0;23467277.223656744;0.0;5239283.334605168;2474892.885632152;216159.7415121501
2023-02-03 23:00:00;2125.462248503315;692463.4916512906;0.0;0.0;23500735.440063786;0.0;5259999.26141828;2474892.885632152;99036.58110904814
2023-02-03 23:30:00;2124.7772707123863;692463.4916512906;0.0;0.0;23512385.591665912;0.0;5259999.26141828;2474892.885632152;76789.50289598053
2023-02-04 00:00:00;2143.6631003773255;544443.5951164056;0.0;0.0;23778717.66743737;0.0;5259999.26141828;2474892.885632152;90366.96436161314
2023-02-04 00:30:00;2145.6299193814793;544443.5951164056;0.0;0.0;23793182.677094568;0.0;5283150.2106054295;2474892.885632152;82041.72222258383
2023-02-04 01:00:00;2148.677141125986;544443.5951164056;0.0;0.0;23807220.10125515;0.0;5306299.150664094;2474892.885632152;89134.17577752001
2023-02-04 01:30:00;2149.142734776707;544443.5951164056;0.0;0.0;23798379.46772407;0.0;5332204.892921721;2474892.885632152;79077.55408208644
2023-02-04 02:00:00;2150.727640611924;544443.5951164056;0.0;0.0;23788181.70073719;0.0;5358389.802976478;2474892.885632152;86513.5903857922
2023-02-04 02:30:00;2152.9845046009036;544443.5951164056;0.0;0.0;23776660.120472755;0.0;5408237.934203573;2474892.885632152;81234.73029061129
2023-02-04 03:00:00;2165.991847793298;544443.5951164056;0.0;0.0;23763847.095252298;0.0;5458523.813011292;2474892.885632152;235874.79766863276
2023-02-04 03:30:00;2188.7169512741402;544443.5951164056;0.0;0.0;23794715.107105047;0.0;5478373.908102647;2474892.885632152;521006.75436404836
2023-02-04 04:00:00;2212.4745849767974;544443.5951164056;0.0;0.0;23826288.197327144;0.0;5498182.9133957755;2474892.885632152;821785.0543460831
2023-02-04 04:30:00;2238.6292521874802;544443.5951164056;0.0;0.0;23858561.262640435;0.0;5517950.941986503;2474892.885632152;1156067.0628602924
