;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-02-03 00:00:00;74.46953766008467;30736.33288693819;4.79554706904101;62.7647594997981;648820.216633774;0.0;878238.7932650438;408551.5896732925;362.093615217835
2023-02-03 00:30:00;75.02208121753121;30817.091219239457;4.8307719449821835;63.190768676641405;654155.201051149;0.0;885264.6511591036;408551.5896732925;248.67493733312196
2023-02-03 01:00:00;75.56773479436046;30893.403741456405;4.8602579907821415;63.60217603298152;659253.0767349455;0.0;892257.2919823963;408551.5896732925;66.59357147501333
2023-02-03 01:30:00;76.0963450373681;30983.876761433236;4.8920843399723495;63.95368322773414;663197.4833647967;0.0;899330.9053648512;408551.5896732925;297.507212896425
2023-02-03 02:00:00;76.61656511883817;31098.549246281993;4.961968108842195;64.2874142219276;666811.1943771931;0.0;906403.3822082643;408551.5896732925;1231.042028228108
2023-02-03 02:30:00;77.33299794993509;31177.949074351436;5.0723904522135514;64.63671712844324;669185.723511079;0.0;917203.904542449;408551.5896732925;2852.8700950320595
2023-02-03 03:00:00;78.04462615128429;31195.309170000528;5.028322407430952;64.96701270365392;671151.0508819583;0.0;928094.5348112403;408551.5896732925;2074.8363602271843
2023-02-03 03:30:00;78.32907011820095;31982.633709280988;5.052620799589309;65.21178118516023;674614.6354921778;0.0;931391.6917604366;408551.5896732925;5869.672772741376
2023-02-03 04:00:00;78.61175321934991;31998.930575189228;5.219612530689061;65.4515124343257;677999.300719086;0.0;934681.9296680734;408551.5896732925;7519.421016377359
2023-02-03 04:30:00;78.68262797173405;31906.313909279565;5.373331186247806;65.61037644214969;681311.6676746377;0.0;934444.0953490309;408551.5896732925;8416.880425922729
2023-02-03 05:00:00;78.75322893979609;33008.684030410644;5.335824871268578;65.76558018577404;684557.7969419623;0.0;934224.3239371184;408551.5896732925;13086.33271948271
2023-02-03 05:30:00;78.83014850994589;32703.319279088744;5.470524547642107;65.96251469272319;688679.686073447;0.0;933838.5834515712;408551.5896732925;12334.153609764377
2023-02-03 06:00:00;82.14691911321582;35085.71185774203;5.70001207255459;67.32991083907888;699758.9596710224;0.0;933523.9388720294;408551.5896732925;62555.1521523073
2023-02-03 06:30:00;81.54655821589299;35110.72261916651;5.5419837409477735;67.0707661880592;699052.5012004011;0.0;923531.2150453483;408551.5896732925;60895.79865104938
2023-02-03 07:00:00;80.64487526376827;39137.745909921665;5.391284159529264;66.67811209230995;691229.920447777;0.0;913474.72278653;408551.5896732925;58625.60234704292
2023-02-03 07:30:00;79.97159797946819;38468.54112904001;5.261255574179435;66.26841291634327;687434.1253967386;0.0;903552.2472623199;408551.5896732925;54310.205418344995
2023-02-03 08:00:00;79.26554619852608;38629.21880017544;5.134440634431266;65.79295272471029;682440.0229253448;0.0;893617.3115612705;408551.5896732925;54654.257752702586
2023-02-03 08:30:00;78.07901742092032;37919.66686576024;5.144794522990006;64.95900293358706;673270.4162033527;0.0;877135.5420383922;408551.5896732925;53266.599496000155
2023-02-03 09:00:00;77.55235948429592;33830.69293137932;5.011332993696564;64.30320150248357;676167.5487564385;0.0;860668.3122278289;408551.5896732925;54296.99555709513
2023-02-03 09:30:00;77.18103086964047;33123.229779727175;5.095802990679665;63.78205896662956;667650.2595576852;0.0;858031.6697977929;408551.5896732925;53241.90043683225
2023-02-03 10:00:00;76.88630012784039;31865.67370065391;4.915311959341154;63.26483022533736;659982.8229445318;0.0;855492.6049839974;408551.5896732925;53469.85059280279
