Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd Dicea_0;Bd Bd Dicea_0;Bd Bd Dicea_0;Bd Bd Dicea_0;Bd Bd Dicea_0;Bd Bd Dicea_0;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone;Bd Dicea_0 thermal zone
63.18;0.00;0.00;413.82;0.00;5906.02;18.57;18.46;18.35;0.79;0.00;0.00;755627.56;333226.87;0.00;0.00
63.59;0.00;0.00;413.82;0.00;5906.02;18.57;18.46;18.35;0.78;0.00;0.00;761445.06;333226.87;0.00;0.00
64.00;0.00;0.00;413.82;0.00;5906.02;18.56;18.45;18.35;0.79;0.00;0.00;767227.91;333226.87;0.00;0.00
64.42;0.00;0.00;413.82;0.00;5906.02;18.56;18.45;18.34;0.79;0.00;0.00;773073.13;333226.87;0.00;0.00
64.83;0.00;0.00;413.82;0.00;5906.02;18.56;18.45;18.34;0.79;0.00;0.00;778916.89;333226.87;0.00;0.00
65.46;0.00;0.00;413.82;0.00;5906.02;18.55;18.45;18.34;0.79;0.00;0.00;787793.92;333226.87;0.00;0.00
66.10;0.00;0.00;413.82;0.00;5906.02;18.55;18.44;18.33;0.79;0.00;0.00;796741.95;333226.87;0.00;0.00
66.30;0.00;0.00;413.82;0.00;5906.02;18.55;18.44;18.33;0.79;0.00;0.00;799508.03;333226.87;0.00;0.00
66.50;0.00;0.00;413.82;0.00;5906.02;18.55;18.44;18.33;0.79;0.00;0.00;802269.97;333226.87;0.00;0.00
66.49;0.00;0.00;413.82;0.00;5906.02;18.54;18.43;18.33;0.79;0.00;0.00;802157.62;333226.87;0.00;0.00
66.48;0.00;0.00;413.82;0.00;5906.02;18.54;18.43;18.32;0.79;0.00;0.00;802061.42;333226.87;0.00;0.00
66.47;0.00;0.00;413.82;0.00;5906.02;18.54;18.43;18.32;0.79;0.00;0.00;801836.34;333226.87;0.00;0.00
