Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd Piovego_0;Bd Bd Piovego_0;Bd Bd Piovego_0;Bd Bd Piovego_0;Bd Bd Piovego_0;Bd Bd Piovego_0;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone;Bd Piovego_0 thermal zone
8.58;0.00;0.00;334.72;0.00;365.09;17.30;16.95;16.60;0.73;58810.27;0.00;48862.86;20598.92;0.00;0.00
8.65;0.00;0.00;334.72;0.00;365.09;17.30;16.95;16.59;0.73;59441.50;0.00;49216.75;20598.92;0.00;0.00
8.71;0.00;0.00;334.72;0.00;365.09;17.30;16.94;16.59;0.73;60045.16;0.00;49568.95;20598.92;0.00;0.00
8.77;0.00;0.00;334.72;0.00;365.09;17.30;16.94;16.58;0.73;60519.46;0.00;49925.17;20598.92;0.00;0.00
8.82;0.00;0.00;334.72;0.00;365.09;17.30;16.94;16.58;0.72;60956.33;0.00;50281.33;20598.92;0.00;0.00
8.88;0.00;0.00;334.72;0.00;365.09;17.30;16.94;16.57;0.72;61254.76;0.00;50825.17;20598.92;0.00;0.00
8.93;0.00;0.00;334.72;0.00;365.09;17.30;16.93;16.57;0.72;61507.40;0.00;51373.54;20598.92;0.00;0.00
8.97;0.00;0.00;334.72;0.00;365.09;17.30;16.93;16.56;0.72;61925.77;0.00;51539.65;20598.92;0.00;0.00
9.01;0.00;0.00;334.72;0.00;365.09;17.30;16.93;16.56;0.72;62333.37;0.00;51705.41;20598.92;0.00;0.00
