Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd RB3_0;Bd Bd RB3_0;Bd Bd RB3_0;Bd Bd RB3_0;Bd Bd RB3_0;Bd Bd RB3_0;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone;Bd RB3_0 thermal zone
0.00;3.59;0.00;285.79;0.00;959.29;18.70;18.14;17.58;0.37;49310.22;0.00;0.00;0.00;0.00;45.95
0.00;3.67;0.00;285.79;0.00;959.29;18.70;18.14;17.57;0.37;49681.17;0.00;0.00;0.00;0.01;836.64
0.00;3.65;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.37;50036.98;0.00;0.00;0.00;0.00;187.88
0.00;3.66;0.00;285.79;0.00;959.29;18.70;18.13;17.55;0.36;50303.89;0.00;0.00;0.00;0.00;99.83
0.00;3.73;0.00;285.79;0.00;959.29;18.70;18.12;17.54;0.36;50549.95;0.00;0.00;0.00;0.01;774.09
0.00;3.68;0.00;285.79;0.00;959.29;18.70;18.12;17.54;0.36;50701.82;0.00;0.00;0.00;0.00;14.33
0.00;3.74;0.00;285.79;0.00;959.29;18.70;18.12;17.53;0.35;50827.98;0.00;0.00;0.00;0.01;704.75
0.00;3.85;0.00;285.79;0.00;959.29;18.70;18.11;17.52;0.35;51080.34;0.00;0.00;0.00;0.01;1939.72
0.00;3.84;0.00;285.79;0.00;959.29;18.70;18.11;17.52;0.35;51326.82;0.00;0.00;0.00;0.01;1554.59
0.00;4.13;0.00;285.79;0.00;959.29;18.70;18.11;17.51;0.34;51567.89;0.00;0.00;0.00;0.04;5309.54
0.00;4.31;0.00;285.79;0.00;959.29;18.70;18.10;17.51;0.34;51803.97;0.00;0.00;0.00;0.06;7546.52
0.00;4.38;0.00;285.79;0.00;959.29;18.70;18.10;17.50;0.34;52110.40;0.00;0.00;0.00;0.06;8173.31
0.00;4.26;0.00;285.79;0.00;959.29;18.70;18.10;17.49;0.34;52526.55;0.00;0.00;0.00;0.05;6115.08
0.00;4.04;0.00;285.79;0.00;959.29;18.70;18.09;17.49;0.34;52460.62;0.00;0.00;0.00;0.02;3106.90
0.00;3.97;0.00;285.79;0.00;1343.00;18.70;18.09;17.48;0.35;51815.24;0.00;0.00;0.00;0.02;2835.99
0.00;3.88;0.00;285.79;0.00;1343.00;18.70;18.09;17.48;0.35;51519.94;0.00;0.00;0.00;0.01;1933.38
0.00;3.85;0.00;285.79;0.00;1343.00;18.70;18.09;17.49;0.35;51146.99;0.00;0.00;0.00;0.01;1901.94
0.00;3.79;0.00;285.79;0.00;1343.00;18.70;18.10;17.50;0.35;50456.63;0.00;0.00;0.00;0.01;1645.55
0.00;3.70;0.00;285.79;0.00;959.29;18.70;18.10;17.51;0.36;50203.55;0.00;0.00;0.00;0.01;718.64
0.00;3.63;0.00;285.79;0.00;959.29;18.70;18.11;17.52;0.36;49638.74;0.00;0.00;0.00;0.00;310.38
0.00;3.66;0.00;285.79;0.00;959.29;18.70;18.12;17.54;0.36;49021.89;0.00;0.00;0.00;0.01;1361.22
0.00;3.66;0.00;285.79;0.00;959.29;18.70;18.13;17.55;0.36;48386.29;0.00;0.00;0.00;0.01;1969.83
0.00;3.66;0.00;285.79;0.00;1151.15;18.70;18.13;17.57;0.36;47453.79;0.00;0.00;0.00;0.02;2907.68
0.00;3.44;0.00;285.79;0.00;1151.15;18.70;18.14;17.58;0.36;46871.87;0.00;0.00;0.00;0.00;539.10
0.00;3.59;0.00;285.79;0.00;1151.15;18.70;18.15;17.60;0.36;46298.34;0.00;0.00;0.00;0.02;3179.96
0.00;3.40;0.00;285.79;0.00;1151.15;18.70;18.16;17.61;0.36;45771.23;0.00;0.00;0.00;0.01;1015.62
0.00;3.41;0.00;285.79;0.00;1151.15;18.70;18.16;17.63;0.36;45273.10;0.00;0.00;0.00;0.01;1646.01
0.00;3.35;0.00;285.79;0.00;1151.15;18.70;18.17;17.64;0.36;44906.62;0.00;0.00;0.00;0.01;1253.13
0.00;3.49;0.00;285.79;0.00;1151.15;18.70;18.17;17.64;0.36;44590.75;0.00;0.00;0.00;0.03;3393.17
0.00;3.40;0.00;285.79;0.00;1151.15;18.70;18.18;17.65;0.36;44354.93;0.00;0.00;0.00;0.02;2408.06
0.00;3.52;0.00;285.79;0.00;959.29;18.70;18.18;17.66;0.36;44451.40;0.00;0.00;0.00;0.03;3968.82
0.00;3.28;0.00;285.79;0.00;959.29;18.70;18.18;17.66;0.36;44495.10;0.00;0.00;0.00;0.01;700.18
0.00;3.54;0.00;285.79;0.00;959.29;18.70;18.18;17.65;0.36;44608.52;0.00;0.00;0.00;0.03;4097.30
0.00;3.46;0.00;285.79;0.00;959.29;18.70;18.18;17.65;0.37;44829.75;0.00;0.00;0.00;0.02;2789.33
0.00;3.28;0.00;285.79;0.00;1343.00;18.70;18.17;17.64;0.37;44560.18;0.00;0.00;0.00;0.00;566.41
0.00;3.54;0.00;285.79;0.00;1343.00;18.70;18.17;17.64;0.37;44877.57;0.00;0.00;0.00;0.03;3786.59
0.00;3.73;0.00;285.79;0.00;1343.00;18.70;18.17;17.64;0.38;45211.71;0.00;0.00;0.00;0.05;6190.86
0.00;3.52;0.00;285.79;0.00;1343.00;18.70;18.17;17.63;0.38;45486.34;0.00;0.00;0.00;0.02;2909.06
0.00;3.62;0.00;285.79;0.00;1534.86;18.70;18.16;17.63;0.38;45497.41;0.00;0.00;0.00;0.03;4356.23
0.00;3.53;0.00;285.79;0.00;1534.86;18.70;18.16;17.62;0.38;45701.63;0.00;0.00;0.00;0.02;2879.24
0.00;3.65;0.00;285.79;0.00;1534.86;18.70;18.16;17.62;0.38;45903.74;0.00;0.00;0.00;0.03;4402.53
0.00;3.67;0.00;285.79;0.00;1534.86;18.70;18.16;17.61;0.37;46103.90;0.00;0.00;0.00;0.03;4450.56
0.00;3.51;0.00;285.79;0.00;1534.86;18.70;18.15;17.61;0.37;46302.27;0.00;0.00;0.00;0.02;2073.79
0.00;3.48;0.00;285.79;0.00;1534.86;18.70;18.15;17.60;0.37;46498.99;0.00;0.00;0.00;0.01;1390.51
0.00;3.60;0.00;285.79;0.00;1151.15;18.70;18.15;17.60;0.37;47127.78;0.00;0.00;0.00;0.02;2449.54
0.00;3.46;0.00;285.79;0.00;1151.15;18.70;18.15;17.59;0.37;47336.06;0.00;0.00;0.00;0.00;351.22
0.00;3.46;0.00;285.79;0.00;1151.15;18.70;18.14;17.59;0.36;47541.92;0.00;0.00;0.00;0.00;36.81
0.00;3.46;0.00;285.79;0.00;1151.15;18.70;18.14;17.58;0.36;47670.59;0.00;0.00;0.00;0.00;11.38
0.00;3.50;0.00;285.79;0.00;959.29;18.70;18.14;17.58;0.36;48058.99;0.00;0.00;0.00;0.00;99.75
0.00;3.52;0.00;285.79;0.00;959.29;18.70;18.14;17.58;0.36;48175.79;0.00;0.00;0.00;0.00;298.03
0.00;3.54;0.00;285.79;0.00;959.29;18.70;18.14;17.57;0.36;48283.46;0.00;0.00;0.00;0.00;476.81
0.00;3.51;0.00;285.79;0.00;959.29;18.70;18.13;17.57;0.36;48307.76;0.00;0.00;0.00;0.00;9.60
0.00;3.51;0.00;285.79;0.00;959.29;18.70;18.13;17.57;0.36;48316.32;0.00;0.00;0.00;0.00;27.06
0.00;3.52;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.35;48310.37;0.00;0.00;0.00;0.00;113.81
0.00;3.60;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.35;48291.02;0.00;0.00;0.00;0.01;1251.28
0.00;3.72;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.35;48409.24;0.00;0.00;0.00;0.02;2768.51
0.00;3.81;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.34;48532.07;0.00;0.00;0.00;0.03;3889.08
0.00;3.82;0.00;285.79;0.00;959.29;18.70;18.13;17.56;0.34;48659.15;0.00;0.00;0.00;0.03;3948.92
0.00;4.04;0.00;285.79;0.00;959.29;18.70;18.13;17.55;0.34;48790.15;0.00;0.00;0.00;0.05;6759.29
0.00;4.01;0.00;285.79;0.00;959.29;18.70;18.13;17.55;0.34;48999.71;0.00;0.00;0.00;0.05;6250.48
0.00;3.91;0.00;285.79;0.00;959.29;18.70;18.12;17.55;0.34;49326.57;0.00;0.00;0.00;0.03;4444.93
0.00;3.91;0.00;285.79;0.00;959.29;18.70;18.12;17.55;0.34;49403.16;0.00;0.00;0.00;0.03;4458.32
0.00;3.84;0.00;285.79;0.00;1343.00;18.70;18.12;17.54;0.34;48930.71;0.00;0.00;0.00;0.03;3985.15
