Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd TorreArchimede_0;Bd Bd TorreArchimede_0;Bd Bd TorreArchimede_0;Bd Bd TorreArchimede_0;Bd Bd TorreArchimede_0;Bd Bd TorreArchimede_0;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone;Bd TorreArchimede_0 thermal zone
0.00;0.00;98.00;75.00;0.00;1289.01;21.29;20.59;19.88;0.57;609797.74;0.00;148602.99;72727.74;0.00;0.00
0.00;0.00;98.16;75.00;0.00;1289.01;21.28;20.57;19.87;0.57;609797.74;0.00;149942.29;72727.74;0.00;0.00
0.00;0.00;98.32;75.00;0.00;1289.01;21.26;20.56;19.86;0.57;609797.74;0.00;151255.65;72727.74;0.00;0.00
0.00;0.00;98.47;75.00;0.00;1289.01;21.26;20.55;19.85;0.57;609797.74;0.00;152571.98;72727.74;0.00;0.00
0.00;0.00;98.63;75.00;0.00;1289.01;21.25;20.54;19.84;0.57;609797.74;0.00;153885.78;72727.74;0.00;0.00
0.00;0.00;98.86;75.00;0.00;1289.01;21.24;20.54;19.83;0.57;609797.74;0.00;155852.74;72727.74;0.00;0.00
0.00;0.00;99.09;75.00;0.00;1289.01;21.23;20.53;19.82;0.57;609797.74;0.00;157831.50;72727.74;0.00;0.00
0.00;0.00;99.17;75.00;0.00;1289.01;21.22;20.52;19.81;0.57;609797.74;0.00;158474.40;72727.74;0.00;0.00
0.00;0.00;99.24;75.00;0.00;1289.01;21.21;20.51;19.80;0.57;609797.74;0.00;159120.07;72727.74;0.00;0.00
0.00;0.00;99.25;75.00;0.00;1289.01;21.20;20.50;19.79;0.57;609797.74;0.00;159139.42;72727.74;0.00;0.00
0.00;0.00;99.25;75.00;0.00;1289.01;21.19;20.49;19.78;0.57;609797.74;0.00;159163.75;72727.74;0.00;0.00
0.00;0.00;99.25;75.00;0.00;1289.01;21.18;20.48;19.77;0.57;609797.74;0.00;159170.14;72727.74;0.00;0.00
0.00;0.00;100.25;75.00;0.00;1675.71;21.16;20.46;19.76;0.57;609797.74;0.00;159224.23;72727.74;0.06;8395.33
0.00;0.00;100.04;75.00;0.00;1675.71;21.15;20.45;19.75;0.57;609797.74;0.00;157484.48;72727.74;0.06;8395.33
0.00;0.00;99.83;75.00;0.00;2191.31;21.15;20.45;19.74;0.57;609797.74;0.00;155694.98;72727.74;0.06;8395.33
0.00;0.00;99.62;75.00;0.00;2191.31;21.16;20.45;19.74;0.57;609797.74;0.00;153918.73;72727.74;0.06;8395.33
0.00;0.00;99.41;75.00;0.00;2191.31;21.16;20.45;19.74;0.57;609797.74;0.00;152122.67;72727.74;0.06;8395.33
0.00;0.00;99.05;75.00;0.00;2191.31;21.17;20.46;19.75;0.57;609797.74;0.00;149111.00;72727.74;0.06;8395.33
0.00;0.00;98.70;75.00;0.00;1675.71;21.18;20.47;19.76;0.57;609797.74;0.00;146124.39;72727.74;0.06;8395.33
0.00;0.00;98.64;75.00;0.00;1675.71;21.20;20.49;19.77;0.57;609797.74;0.00;145565.26;72727.74;0.06;8395.33
0.00;0.00;98.57;75.00;0.00;1417.91;21.21;20.50;19.79;0.57;609797.74;0.00;145011.20;72727.74;0.06;8395.33
0.00;0.00;98.50;75.00;0.00;1417.91;21.23;20.52;19.81;0.57;609797.74;0.00;144456.81;72727.74;0.06;8395.33
0.00;0.00;98.44;75.00;0.00;1675.71;21.26;20.55;19.83;0.57;609797.74;0.00;143896.54;72727.74;0.06;8395.33
