;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-01-01 00:00:00;263.12421652716523;155926.79690374323;0.0;0.0;939050.2637474566;0.0;585565.062251548;393908.206462543;2198.518141181932;0.0
2023-01-01 01:00:00;244.80224728465004;154115.9918569477;0.0;0.0;802045.0603940638;0.0;590151.0912965472;393908.206462543;2207.3122137466607;0.0
2023-01-01 02:00:00;240.73196660136074;153251.92384958203;0.0;0.0;752472.9264685411;0.0;605973.7523428168;393908.206462543;2216.1062863113875;0.0
2023-01-01 03:00:00;245.68388798865692;153483.90442566888;0.0;0.0;729075.1612540095;0.0;652548.6522645355;393908.206462543;4207.963722222218;0.0
2023-01-01 04:00:00;244.9551876943541;160098.43067533043;0.0;0.0;713854.2160488521;0.0;667732.4700278351;393908.206462543;4326.683701846043;0.0
2023-01-01 05:00:00;244.15112372868143;153528.76938155125;0.0;0.0;702454.0279728349;0.0;667289.0970647463;393908.206462543;4581.7118062231475;0.0
2023-01-01 06:00:00;251.05703752868266;202162.42496515892;0.0;0.0;709198.783151655;0.0;667852.9931900514;393908.206462543;50317.206643727426;0.0
2023-01-01 07:00:00;253.20839392886012;235919.58741808968;0.0;0.0;688204.6419687932;0.0;667852.9931900514;393908.206462543;50396.353296809975;0.0
2023-01-01 08:00:00;247.47287586532093;233082.39888386204;0.0;0.0;672099.4238715288;0.0;660239.5563976683;393908.206462543;50422.73551450416;0.0
2023-01-01 09:00:00;244.4802087151754;213667.09694097907;0.0;0.0;679102.3791705803;0.0;651648.7495279283;393908.206462543;50444.72069591598;0.0
2023-01-01 10:00:00;240.20020479724263;207038.65226793214;0.0;0.0;660196.7399897333;0.0;643959.7886291955;393908.206462543;50453.51476848071;0.0
2023-01-01 11:00:00;240.83852543279204;224089.87037109237;0.0;0.0;636064.7445472889;0.0;643959.7886291955;393908.206462543;50449.11773219834;0.0
2023-01-01 12:00:00;232.90072317023677;211888.42896414528;0.0;0.0;620884.1114200505;0.0;637192.5494893625;393908.206462543;50453.51476848071;0.0
2023-01-01 13:00:00;228.2024008378284;211279.03184179153;0.0;0.0;603424.3455341086;0.0;621653.7172629276;393908.206462543;50466.7058773278;0.0
2023-01-01 14:00:00;224.73072274612213;210810.88574717997;0.0;0.0;595101.8624682499;0.0;605973.7523428168;393908.206462543;50453.51476848071;0.0
2023-01-01 15:00:00;222.8964646078199;204612.063583464;0.0;0.0;597529.6560581385;0.0;590151.0912965472;393908.206462543;50462.30884104544;0.0
2023-01-01 16:00:00;221.65038146152233;220299.64307505533;0.0;0.0;578940.4801506433;0.0;581180.9471915732;393908.206462543;50457.91180476307;0.0
2023-01-01 17:00:00;221.00375221850817;232101.43103042565;0.0;0.0;565897.4857288409;0.0;589750.2489570315;393908.206462543;50457.91180476307;0.0
2023-01-01 18:00:00;213.8623321823261;225326.49264188673;0.0;0.0;566263.0236161036;0.0;606170.1845390182;393908.206462543;4990.636180482987;0.0
2023-01-01 19:00:00;212.03756986803143;231129.48532922482;0.0;0.0;545523.2249330528;0.0;606170.1845390182;393908.206462543;4981.842107918259;0.0
2023-01-01 20:00:00;210.89006481981332;231216.27111425248;0.0;0.0;546040.9435042861;0.0;605539.2223839462;393908.206462543;4933.474708812257;0.0
2023-01-01 21:00:00;208.14785183667203;218467.9861257863;0.0;0.0;547208.3631339385;0.0;605973.7523428168;393908.206462543;4845.53398316498;0.0
2023-01-01 22:00:00;216.45686352449133;164933.65474209352;0.0;0.0;562817.386068493;0.0;637192.5494893625;393908.206462543;4273.919266457677;0.0
2023-01-01 23:00:00;225.91020886972694;166397.64294021716;0.0;0.0;581696.5438311682;0.0;682977.6555609729;393908.206462543;2189.7240686172045;0.0
2023-01-02 00:00:00;251.29293618391725;125714.13789164614;0.0;0.0;692826.4265590822;0.0;742140.8092052684;393908.206462543;2198.518141181932;0.0
2023-01-02 01:00:00;254.56246467031042;126552.0173734261;0.0;0.0;707274.2261701849;0.0;756605.0563551746;393908.206462543;2207.3122137466607;0.0
2023-01-02 02:00:00;256.9059880779066;127097.26109128671;0.0;0.0;716220.9627998471;0.0;763789.1909331464;393908.206462543;2216.1062863113875;0.0
2023-01-02 03:00:00;256.8822919989709;127157.94179119865;0.0;0.0;717201.7170849576;0.0;756605.0563551746;393908.206462543;4207.963722222218;0.0
2023-01-02 04:00:00;259.12011022142;134267.5798230056;0.0;0.0;723702.0644003837;0.0;770941.5698324422;393908.206462543;4326.683701846043;0.0
2023-01-02 05:00:00;263.32070004264966;128303.29727022104;0.0;0.0;731049.974062483;0.0;785151.7663042385;393908.206462543;4581.7118062231475;0.0
2023-01-02 06:00:00;272.6547160785841;169034.16010219406;0.0;0.0;738981.5742227302;0.0;799237.0485064283;393908.206462543;50317.206643727426;0.0
2023-01-02 07:00:00;274.74504745130685;184661.6879754244;0.0;0.0;738488.7894481921;0.0;792209.9345586805;393908.206462543;50396.353296809975;0.0
2023-01-02 08:00:00;266.9953025672585;181473.24466541733;0.0;0.0;717123.5686562719;0.0;778062.3696980439;393908.206462543;50422.73551450416;0.0
2023-01-02 09:00:00;256.65289247463625;179182.3633186851;0.0;0.0;673234.655460448;0.0;756605.0563551746;393908.206462543;50444.72069591598;0.0
