;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;2824.329033509435;352109.846859663;0.0;0.0;39240695.82852151;0.0;0.0;0.0;0.0
2023-01-01 00:30:00;2792.8348148510204;352109.846859663;0.0;0.0;38803515.99991386;0.0;0.0;0.0;0.0
2023-01-01 01:00:00;2766.1893369371383;352109.846859663;0.0;0.0;38433671.12272641;0.0;0.0;0.0;0.0
2023-01-01 01:30:00;2743.918429453533;352109.846859663;0.0;0.0;38124576.015014656;0.0;0.0;0.0;0.0
2023-01-01 02:00:00;2725.5943307643606;352109.846859663;0.0;0.0;37870290.042478725;0.0;0.0;0.0;0.0
2023-01-01 02:30:00;2722.561978330301;352109.846859663;0.0;0.0;37828516.440276176;0.0;0.0;0.0;0.0
2023-01-01 03:00:00;2723.367654103507;352109.846859663;0.0;0.0;37840040.89025621;0.0;0.0;0.0;0.0
2023-01-01 03:30:00;2715.9052874428157;352109.846859663;0.0;0.0;37736589.8529968;0.0;0.0;0.0;0.0
2023-01-01 04:00:00;2710.941941947183;352109.846859663;0.0;0.0;37667841.725640714;0.0;0.0;0.0;0.0
2023-01-01 04:30:00;2702.367963917216;352109.846859663;0.0;0.0;37548873.50974949;0.0;0.0;0.0;0.0
2023-01-01 05:00:00;2695.515797892068;352109.846859663;0.0;0.0;37453814.98632429;0.0;0.0;0.0;0.0
2023-01-01 05:30:00;2690.2172292217874;352109.846859663;0.0;0.0;37380330.15534303;0.0;0.0;0.0;0.0
2023-01-01 06:00:00;2697.5240852521983;412140.6066558062;0.0;0.0;37482044.483418144;0.0;0.0;0.0;0.0
2023-01-01 06:30:00;2688.724821130107;412140.6066558062;0.0;0.0;37359860.19322032;0.0;0.0;0.0;0.0
2023-01-01 07:00:00;2672.4097800647723;492181.6197173282;0.0;0.0;37133193.23200263;0.0;0.0;0.0;0.0
2023-01-01 07:30:00;2656.185381722537;492181.6197173282;0.0;0.0;36907789.86903456;0.0;0.0;0.0;0.0
2023-01-01 08:00:00;2638.4792197300912;492181.6197173282;0.0;0.0;36661790.229927585;0.0;0.0;0.0;0.0
2023-01-01 08:30:00;2616.7707082554257;492181.6197173282;0.0;0.0;36360179.85814241;0.0;0.0;0.0;0.0
2023-01-01 09:00:00;2613.619981323415;412140.6066558062;0.0;0.0;36316544.17586502;0.0;0.0;0.0;0.0
2023-01-01 09:30:00;2589.04276720313;412140.6066558062;0.0;0.0;35975086.3040014;0.0;0.0;0.0;0.0
2023-01-01 10:00:00;2566.0497316588735;372120.10012504354;0.0;0.0;35655665.52741885;0.0;0.0;0.0;0.0
2023-01-01 10:30:00;2547.575339816201;372120.10012504354;0.0;0.0;35399048.98990323;0.0;0.0;0.0;0.0
2023-01-01 11:00:00;2524.794425011915;412140.6066558061;0.0;0.0;35082559.48406992;0.0;0.0;0.0;0.0
2023-01-01 11:30:00;2503.6089752414177;412140.6066558061;0.0;0.0;34788229.07364913;0.0;0.0;0.0;0.0
2023-01-01 12:00:00;2483.5262845598772;412140.6066558061;0.0;0.0;34509218.58790334;0.0;0.0;0.0;0.0
2023-01-01 12:30:00;2461.237030097789;412140.6066558061;0.0;0.0;34199523.39496562;0.0;0.0;0.0;0.0
2023-01-01 13:00:00;2437.102262426802;412140.6066558061;0.0;0.0;33864157.7435731;0.0;0.0;0.0;0.0
2023-01-01 13:30:00;2420.1721848584693;412140.6066558061;0.0;0.0;33628916.31482375;0.0;0.0;0.0;0.0
2023-01-01 14:00:00;2405.527507209245;412140.6066558061;0.0;0.0;33425425.99875184;0.0;0.0;0.0;0.0
2023-01-01 14:30:00;2394.7225747632633;412140.6066558061;0.0;0.0;33275285.208585773;0.0;0.0;0.0;0.0
2023-01-01 15:00:00;2390.6712370568066;372120.10012504354;0.0;0.0;33218997.762022953;0.0;0.0;0.0;0.0
2023-01-01 15:30:00;2389.8091234250937;372120.10012504354;0.0;0.0;33207031.632752378;0.0;0.0;0.0;0.0
2023-01-01 16:00:00;2376.984330874075;432150.8599211862;0.0;0.0;33028762.558472726;0.0;0.0;0.0;0.0
2023-01-01 16:30:00;2379.9229497153437;432150.8599211862;0.0;0.0;33069619.047596626;0.0;0.0;0.0;0.0
2023-01-01 17:00:00;2374.4091029590522;512191.87298271054;0.0;0.0;32992981.05902245;0.0;0.0;0.0;0.0
2023-01-01 17:30:00;2382.2327521185052;512191.87298271054;0.0;0.0;33101737.167421732;0.0;0.0;0.0;0.0
2023-01-01 18:00:00;2390.173549833597;512191.87298271054;0.0;0.0;33212116.733459633;0.0;0.0;0.0;0.0
2023-01-01 18:30:00;2392.3550386474003;512191.87298271054;0.0;0.0;33242435.569559604;0.0;0.0;0.0;0.0
2023-01-01 19:00:00;2380.7902204469337;552212.379513471;0.0;0.0;33081677.7685042;0.0;0.0;0.0;0.0
2023-01-01 19:30:00;2388.242899281153;552212.379513471;0.0;0.0;33185267.646518424;0.0;0.0;0.0;0.0
2023-01-01 20:00:00;2395.850894805931;552212.379513471;0.0;0.0;33291012.581149288;0.0;0.0;0.0;0.0
2023-01-01 20:30:00;2403.5992371796983;552212.379513471;0.0;0.0;33398704.8653268;0.0;0.0;0.0;0.0
2023-01-01 21:00:00;2411.4743993556413;552212.379513471;0.0;0.0;33508156.810427755;0.0;0.0;0.0;0.0
2023-01-01 21:30:00;2437.060412625907;552212.379513471;0.0;0.0;33863792.510095015;0.0;0.0;0.0;0.0
2023-01-01 22:00:00;2467.2900571158034;452161.1131865675;0.0;0.0;34283960.35216634;0.0;0.0;0.0;0.0
2023-01-01 22:30:00;2506.9604143615293;452161.1131865675;0.0;0.0;34835345.391182564;0.0;0.0;0.0;0.0
2023-01-01 23:00:00;2548.066638362965;452161.1131865675;0.0;0.0;35406668.522749126;0.0;0.0;0.0;0.0
2023-01-01 23:30:00;2602.1993425859932;452161.1131865675;0.0;0.0;36159045.01517097;0.0;0.0;0.0;0.0
2023-01-02 00:00:00;2666.6808867280233;352109.846859663;0.0;0.0;37055246.875592574;0.0;0.0;0.0;0.0
2023-01-02 00:30:00;2689.548839260088;352109.846859663;0.0;0.0;37372985.94932485;0.0;0.0;0.0;0.0
2023-01-02 01:00:00;2711.950373907155;352109.846859663;0.0;0.0;37684245.4047245;0.0;0.0;0.0;0.0
2023-01-02 01:30:00;2728.0660257769664;352109.846859663;0.0;0.0;37908132.45781838;0.0;0.0;0.0;0.0
2023-01-02 02:00:00;2743.490006060389;352109.846859663;0.0;0.0;38122412.34811518;0.0;0.0;0.0;0.0
2023-01-02 02:30:00;2746.559394482873;352109.846859663;0.0;0.0;38164966.01695774;0.0;0.0;0.0;0.0
2023-01-02 03:00:00;2748.441012836178;352109.846859663;0.0;0.0;38191023.67797493;0.0;0.0;0.0;0.0
2023-01-02 03:30:00;2766.8474988281196;352109.846859663;0.0;0.0;38446795.4756962;0.0;0.0;0.0;0.0
2023-01-02 04:00:00;2785.2254484612363;352109.846859663;0.0;0.0;38702169.986954994;0.0;0.0;0.0;0.0
2023-01-02 04:30:00;2803.5777931862212;352109.846859663;0.0;0.0;38957188.02895953;0.0;0.0;0.0;0.0
2023-01-02 05:00:00;2821.9071629804353;352109.846859663;0.0;0.0;39211886.22070728;0.0;0.0;0.0;0.0
2023-01-02 05:30:00;2840.2159173869577;352109.846859663;0.0;0.0;39466297.41527788;0.0;0.0;0.0;0.0
2023-01-02 06:00:00;2860.3673677967286;412140.6066558062;0.0;0.0;39746322.56493229;0.0;0.0;0.0;0.0
2023-01-02 06:30:00;2860.698368192067;412140.6066558062;0.0;0.0;39750835.31838259;0.0;0.0;0.0;0.0
2023-01-02 07:00:00;2851.736534840554;492181.6197173282;0.0;0.0;39626188.05363247;0.0;0.0;0.0;0.0
2023-01-02 07:30:00;2834.556458428771;492181.6197173282;0.0;0.0;39387368.13221988;0.0;0.0;0.0;0.0
2023-01-02 08:00:00;2810.0313040793935;492181.6197173282;0.0;0.0;39046480.46470996;0.0;0.0;0.0;0.0
2023-01-02 08:30:00;2764.944209290442;492181.6197173282;0.0;0.0;38419885.9458655;0.0;0.0;0.0;0.0
2023-01-02 09:00:00;2718.8242673030536;412140.6066558062;0.0;0.0;37779021.87051247;0.0;0.0;0.0;0.0
2023-01-02 09:30:00;2630.8986623628866;412140.6066558062;0.0;0.0;36557108.19702762;0.0;0.0;0.0;0.0
2023-01-02 10:00:00;2538.6218449647026;372120.10012504354;0.0;0.0;35274814.15630164;0.0;0.0;0.0;0.0
2023-01-02 10:30:00;2433.3743321869783;372120.10012504354;0.0;0.0;33812234.68758096;0.0;0.0;0.0;0.0
2023-01-02 11:00:00;2319.809090193757;412140.6066558061;0.0;0.0;32234067.93069003;0.0;0.0;0.0;0.0
2023-01-02 11:30:00;2192.7665701008223;412140.6066558061;0.0;0.0;30468558.63746145;0.0;0.0;0.0;0.0
2023-01-02 12:00:00;2065.2981361523894;412140.6066558061;0.0;0.0;28697154.75094978;0.0;0.0;0.0;0.0
2023-01-02 12:30:00;1970.0946263335286;412140.6066558061;0.0;0.0;27374239.981411062;0.0;0.0;0.0;0.0
2023-01-02 13:00:00;1877.9386265354701;412140.6066558061;0.0;0.0;26093637.69492963;0.0;0.0;0.0;0.0
2023-01-02 13:30:00;1797.697879192519;412140.6066558061;0.0;0.0;24978592.1942541;0.0;0.0;0.0;0.0
2023-01-02 14:00:00;1724.233725491483;412140.6066558061;0.0;0.0;23957709.52492972;0.0;0.0;0.0;0.0
2023-01-02 14:30:00;1660.8154600107541;412140.6066558061;0.0;0.0;23076403.6296414;0.0;0.0;0.0;0.0
2023-01-02 15:00:00;1608.6614564966667;372120.10012504354;0.0;0.0;22351617.430912822;0.0;0.0;0.0;0.0
2023-01-02 15:30:00;1611.1441458481354;372120.10012504354;0.0;0.0;22386265.888165332;0.0;0.0;0.0;0.0
2023-01-02 16:00:00;1616.557367168865;432150.8599211862;0.0;0.0;22461568.886953156;0.0;0.0;0.0;0.0
2023-01-02 16:30:00;1645.943203775217;432150.8599211862;0.0;0.0;22870120.093669478;0.0;0.0;0.0;0.0
2023-01-02 17:00:00;1668.4928980351694;512191.87298271054;0.0;0.0;23183612.9308604;0.0;0.0;0.0;0.0
2023-01-02 17:30:00;1727.596764951835;512191.87298271054;0.0;0.0;24005202.19141404;0.0;0.0;0.0;0.0
2023-01-02 18:00:00;1788.8818293945124;512191.87298271054;0.0;0.0;24857069.638915367;0.0;0.0;0.0;0.0
2023-01-02 18:30:00;1816.9437903760884;512191.87298271054;0.0;0.0;25247087.848483287;0.0;0.0;0.0;0.0
2023-01-02 19:00:00;1840.720787489388;552212.379513471;0.0;0.0;25577535.509430617;0.0;0.0;0.0;0.0
2023-01-02 19:30:00;1868.4601223224395;552212.379513471;0.0;0.0;25963052.256729208;0.0;0.0;0.0;0.0
2023-01-02 20:00:00;1896.1362303971382;552212.379513471;0.0;0.0;26347683.25223296;0.0;0.0;0.0;0.0
2023-01-02 20:30:00;1917.8908842182507;552212.379513471;0.0;0.0;26649997.93832173;0.0;0.0;0.0;0.0
2023-01-02 21:00:00;1939.2832577383588;552212.379513471;0.0;0.0;26947275.462709907;0.0;0.0;0.0;0.0
2023-01-02 21:30:00;1972.0804337181642;552212.379513471;0.0;0.0;27403082.316207863;0.0;0.0;0.0;0.0
2023-01-02 22:00:00;2008.8116427285538;452161.1131865675;0.0;0.0;27913563.433913037;0.0;0.0;0.0;0.0
2023-01-02 22:30:00;2054.343874905399;452161.1131865675;0.0;0.0;28546375.131984357;0.0;0.0;0.0;0.0
2023-01-02 23:00:00;2100.7352972543936;452161.1131865675;0.0;0.0;29191113.75715106;0.0;0.0;0.0;0.0
2023-01-02 23:30:00;2147.902485263476;452161.1131865675;0.0;0.0;29846621.21931895;0.0;0.0;0.0;0.0
2023-01-03 00:00:00;2204.324577639289;352109.846859663;0.0;0.0;30630760.35791308;0.0;0.0;0.0;0.0
2023-01-03 00:30:00;2253.3389633573847;352109.846859663;0.0;0.0;31311920.950415526;0.0;0.0;0.0;0.0
2023-01-03 01:00:00;2302.872845176026;352109.846859663;0.0;0.0;32000291.68612377;0.0;0.0;0.0;0.0
