Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd 01_274_0;Bd Bd 01_274_0;Bd Bd 01_274_0;Bd Bd 01_274_0;Bd Bd 01_274_0;Bd Bd 01_274_0;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone;Bd 01_274_0 thermal zone
11.39;0.00;0.00;431.82;0.00;263.07;20.00;18.46;16.91;0.27;158831.07;0.00;0.00;0.00;0.00;0.00
11.20;0.00;0.00;431.82;0.00;263.07;20.00;18.50;17.00;0.33;156244.16;0.00;0.00;0.00;0.00;0.00
11.04;0.00;0.00;431.82;0.00;263.07;20.00;18.54;17.08;0.36;153981.39;0.00;0.00;0.00;0.00;0.00
10.90;0.00;0.00;431.82;0.00;263.07;20.00;18.57;17.14;0.39;152012.74;0.00;0.00;0.00;0.00;0.00
10.78;0.00;0.00;431.82;0.00;263.07;20.00;18.60;17.20;0.40;150310.98;0.00;0.00;0.00;0.00;0.00
10.71;0.00;0.00;431.82;0.00;263.07;20.00;18.63;17.26;0.40;149299.50;0.00;0.00;0.00;0.00;0.00
10.65;0.00;0.00;431.82;0.00;263.07;20.00;18.65;17.30;0.40;148550.90;0.00;0.00;0.00;0.00;0.00
10.58;0.00;0.00;431.82;0.00;263.07;20.00;18.67;17.34;0.40;147592.76;0.00;0.00;0.00;0.00;0.00
10.53;0.00;0.00;431.82;0.00;263.07;20.00;18.69;17.37;0.40;146807.95;0.00;0.00;0.00;0.00;0.00
10.47;0.00;0.00;431.82;0.00;263.07;20.00;18.70;17.40;0.40;145956.37;0.00;0.00;0.00;0.00;0.00
10.41;0.00;0.00;431.82;0.00;263.07;20.00;18.71;17.43;0.40;145225.95;0.00;0.00;0.00;0.00;0.00
10.37;0.00;0.00;431.82;0.00;263.07;20.00;18.73;17.45;0.40;144605.46;0.00;0.00;0.00;0.00;0.00
10.35;0.00;0.00;431.82;0.00;341.99;20.00;18.74;17.48;0.40;144286.68;0.00;0.00;0.00;0.00;0.00
10.30;0.00;0.00;431.82;0.00;341.99;20.00;18.75;17.49;0.40;143628.87;0.00;0.00;0.00;0.00;0.00
10.25;0.00;0.00;431.82;0.00;447.22;20.00;18.76;17.51;0.40;142876.35;0.00;0.00;0.00;0.00;0.00
10.16;0.00;0.00;431.82;0.00;447.22;20.00;18.77;17.54;0.40;141751.57;0.00;0.00;0.00;0.00;0.00
10.08;0.00;0.00;431.82;0.00;447.22;20.00;18.78;17.57;0.40;140576.18;0.00;0.00;0.00;0.00;0.00
9.97;0.00;0.00;431.82;0.00;447.22;20.00;18.80;17.60;0.40;139070.19;0.00;0.00;0.00;0.00;0.00
9.89;0.00;0.00;431.82;0.00;341.99;20.00;18.82;17.64;0.40;137868.99;0.00;0.00;0.00;0.00;0.00
9.77;0.00;0.00;431.82;0.00;341.99;20.00;18.84;17.68;0.40;136234.39;0.00;0.00;0.00;0.00;0.00
9.65;0.00;0.00;431.82;0.00;289.38;20.00;18.86;17.73;0.40;134607.61;0.00;0.00;0.00;0.00;0.00
9.56;0.00;0.00;431.82;0.00;289.38;20.00;18.88;17.76;0.40;133299.40;0.00;0.00;0.00;0.00;0.00
9.46;0.00;0.00;431.82;0.00;341.99;20.00;18.90;17.80;0.40;131928.92;0.00;0.00;0.00;0.00;0.00
9.37;0.00;0.00;431.82;0.00;341.99;20.00;18.91;17.83;0.41;130727.85;0.00;0.00;0.00;0.00;0.00
9.29;0.00;0.00;431.82;0.00;341.99;20.00;18.93;17.86;0.41;129585.57;0.00;0.00;0.00;0.00;0.00
9.21;0.00;0.00;431.82;0.00;341.99;20.00;18.94;17.87;0.41;128505.45;0.00;0.00;0.00;0.00;0.00
9.14;0.00;0.00;431.82;0.00;341.99;20.00;18.95;17.89;0.41;127442.23;0.00;0.00;0.00;0.00;0.00
9.09;0.00;0.00;431.82;0.00;341.99;20.00;18.95;17.90;0.42;126757.12;0.00;0.00;0.00;0.00;0.00
9.05;0.00;0.00;431.82;0.00;341.99;20.00;18.95;17.90;0.42;126195.53;0.00;0.00;0.00;0.00;0.00
9.03;0.00;0.00;431.82;0.00;341.99;20.00;18.95;17.90;0.42;125934.21;0.00;0.00;0.00;0.00;0.00
9.03;0.00;0.00;431.82;0.00;289.38;20.00;18.95;17.89;0.42;125892.69;0.00;0.00;0.00;0.00;0.00
9.04;0.00;0.00;431.82;0.00;289.38;20.00;18.94;17.88;0.43;126056.71;0.00;0.00;0.00;0.00;0.00
9.04;0.00;0.00;431.82;0.00;368.30;20.00;18.93;17.87;0.43;126088.72;0.00;0.00;0.00;0.00;0.00
9.05;0.00;0.00;431.82;0.00;368.30;20.00;18.93;17.86;0.43;126207.18;0.00;0.00;0.00;0.00;0.00
9.05;0.00;0.00;431.82;0.00;473.53;20.00;18.93;17.86;0.43;126181.55;0.00;0.00;0.00;0.00;0.00
9.07;0.00;0.00;431.82;0.00;473.53;20.00;18.93;17.86;0.42;126471.61;0.00;0.00;0.00;0.00;0.00
9.09;0.00;0.00;431.82;0.00;473.53;20.00;18.93;17.85;0.42;126777.11;0.00;0.00;0.00;0.00;0.00
9.10;0.00;0.00;431.82;0.00;473.53;20.00;18.93;17.85;0.42;126872.60;0.00;0.00;0.00;0.00;0.00
9.09;0.00;0.00;431.82;0.00;526.14;20.00;18.92;17.85;0.42;126710.30;0.00;0.00;0.00;0.00;0.00
9.11;0.00;0.00;431.82;0.00;526.14;20.00;18.92;17.85;0.42;127010.81;0.00;0.00;0.00;0.00;0.00
9.13;0.00;0.00;431.82;0.00;526.14;20.00;18.92;17.84;0.42;127325.81;0.00;0.00;0.00;0.00;0.00
9.15;0.00;0.00;431.82;0.00;526.14;20.00;18.92;17.84;0.42;127653.95;0.00;0.00;0.00;0.00;0.00
9.18;0.00;0.00;431.82;0.00;526.14;20.00;18.92;17.83;0.42;127994.02;0.00;0.00;0.00;0.00;0.00
9.25;0.00;0.00;431.82;0.00;526.14;20.00;18.91;17.83;0.42;129017.05;0.00;0.00;0.00;0.00;0.00
9.34;0.00;0.00;431.82;0.00;394.60;20.00;18.91;17.82;0.42;130183.88;0.00;0.00;0.00;0.00;0.00
9.45;0.00;0.00;431.82;0.00;394.60;20.00;18.90;17.81;0.42;131801.53;0.00;0.00;0.00;0.00;0.00
9.57;0.00;0.00;431.82;0.00;394.60;20.00;18.90;17.79;0.41;133523.25;0.00;0.00;0.00;0.00;0.00
9.74;0.00;0.00;431.82;0.00;394.60;20.00;18.89;17.78;0.40;135787.51;0.00;0.00;0.00;0.00;0.00
9.92;0.00;0.00;431.82;0.00;263.07;20.00;18.88;17.75;0.39;138341.68;0.00;0.00;0.00;0.00;0.00
10.00;0.00;0.00;431.82;0.00;263.07;20.00;18.87;17.73;0.39;139513.45;0.00;0.00;0.00;0.00;0.00
10.09;0.00;0.00;431.82;0.00;263.07;20.00;18.86;17.71;0.38;140661.33;0.00;0.00;0.00;0.00;0.00
10.15;0.00;0.00;431.82;0.00;263.07;20.00;18.85;17.69;0.38;141563.51;0.00;0.00;0.00;0.00;0.00
