Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system wood consumption [kg];Heating system electric consumption [Wh];Cooling system electric consumption [Wh];Appliances electric consumption [Wh];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW volume flow rate [L/s];TZ DHW demand [W]
Bd Bd 01_131_0;Bd Bd 01_131_0;Bd Bd 01_131_0;Bd Bd 01_131_0;Bd Bd 01_131_0;Bd Bd 01_131_0;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone;Bd 01_131_0 thermal zone
15.13;0.00;0.00;484.04;0.00;898.95;20.00;19.23;18.46;0.28;211338.52;0.00;0.00;0.00;0.00;0.00
14.84;0.00;0.00;484.04;0.00;898.95;20.00;19.25;18.51;0.33;207367.58;0.00;0.00;0.00;0.00;0.00
14.60;0.00;0.00;484.04;0.00;898.95;20.00;19.28;18.55;0.37;203921.45;0.00;0.00;0.00;0.00;0.00
14.38;0.00;0.00;484.04;0.00;898.95;20.00;19.29;18.59;0.39;200946.87;0.00;0.00;0.00;0.00;0.00
14.20;0.00;0.00;484.04;0.00;898.95;20.00;19.31;18.62;0.41;198396.01;0.00;0.00;0.00;0.00;0.00
14.09;0.00;0.00;484.04;0.00;898.95;20.00;19.33;18.65;0.41;196806.08;0.00;0.00;0.00;0.00;0.00
14.00;0.00;0.00;484.04;0.00;898.95;20.00;19.34;18.68;0.41;195621.27;0.00;0.00;0.00;0.00;0.00
13.90;0.00;0.00;484.04;0.00;898.95;20.00;19.35;18.70;0.41;194220.26;0.00;0.00;0.00;0.00;0.00
13.82;0.00;0.00;484.04;0.00;898.95;20.00;19.36;18.71;0.41;193083.30;0.00;0.00;0.00;0.00;0.00
13.74;0.00;0.00;484.04;0.00;898.95;20.00;19.36;18.73;0.41;191893.49;0.00;0.00;0.00;0.00;0.00
13.66;0.00;0.00;484.04;0.00;898.95;20.00;19.37;18.74;0.41;190885.35;0.00;0.00;0.00;0.00;0.00
13.60;0.00;0.00;484.04;0.00;898.95;20.00;19.38;18.76;0.41;190040.45;0.00;0.00;0.00;0.00;0.00
13.60;0.00;0.00;484.04;0.00;1168.63;20.00;19.38;18.77;0.41;190023.78;0.00;0.00;0.00;0.00;0.00
13.54;0.00;0.00;484.04;0.00;1168.63;20.00;19.39;18.78;0.41;189151.01;0.00;0.00;0.00;0.00;0.00
13.45;0.00;0.00;484.04;0.00;1528.21;20.00;19.39;18.79;0.41;187827.28;0.00;0.00;0.00;0.00;0.00
13.36;0.00;0.00;484.04;0.00;1528.21;20.00;19.40;18.80;0.41;186615.05;0.00;0.00;0.00;0.00;0.00
13.24;0.00;0.00;484.04;0.00;1528.21;20.00;19.41;18.81;0.41;184928.36;0.00;0.00;0.00;0.00;0.00
13.10;0.00;0.00;484.04;0.00;1528.21;20.00;19.41;18.83;0.41;182945.85;0.00;0.00;0.00;0.00;0.00
13.03;0.00;0.00;484.04;0.00;1168.63;20.00;19.43;18.85;0.41;182015.37;0.00;0.00;0.00;0.00;0.00
12.87;0.00;0.00;484.04;0.00;1168.63;20.00;19.44;18.87;0.41;179826.61;0.00;0.00;0.00;0.00;0.00
12.72;0.00;0.00;484.04;0.00;988.84;20.00;19.45;18.89;0.41;177732.08;0.00;0.00;0.00;0.00;0.00
12.59;0.00;0.00;484.04;0.00;988.84;20.00;19.46;18.91;0.41;175937.02;0.00;0.00;0.00;0.00;0.00
12.45;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.93;0.41;173892.03;0.00;0.00;0.00;0.00;0.00
12.33;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.95;0.41;172233.79;0.00;0.00;0.00;0.00;0.00
12.22;0.00;0.00;484.04;0.00;1168.63;20.00;19.48;18.96;0.41;170666.58;0.00;0.00;0.00;0.00;0.00
12.11;0.00;0.00;484.04;0.00;1168.63;20.00;19.48;18.97;0.41;169200.30;0.00;0.00;0.00;0.00;0.00
12.00;0.00;0.00;484.04;0.00;1168.63;20.00;19.49;18.98;0.41;167657.41;0.00;0.00;0.00;0.00;0.00
11.94;0.00;0.00;484.04;0.00;1168.63;20.00;19.49;18.98;0.42;166746.23;0.00;0.00;0.00;0.00;0.00
11.88;0.00;0.00;484.04;0.00;1168.63;20.00;19.49;18.98;0.42;166013.31;0.00;0.00;0.00;0.00;0.00
11.86;0.00;0.00;484.04;0.00;1168.63;20.00;19.49;18.98;0.42;165709.53;0.00;0.00;0.00;0.00;0.00
11.88;0.00;0.00;484.04;0.00;988.84;20.00;19.49;18.98;0.43;165890.30;0.00;0.00;0.00;0.00;0.00
11.90;0.00;0.00;484.04;0.00;988.84;20.00;19.48;18.97;0.43;166197.29;0.00;0.00;0.00;0.00;0.00
11.87;0.00;0.00;484.04;0.00;1258.52;20.00;19.48;18.96;0.43;165802.81;0.00;0.00;0.00;0.00;0.00
11.89;0.00;0.00;484.04;0.00;1258.52;20.00;19.48;18.96;0.43;166056.61;0.00;0.00;0.00;0.00;0.00
11.87;0.00;0.00;484.04;0.00;1618.10;20.00;19.48;18.96;0.43;165779.12;0.00;0.00;0.00;0.00;0.00
11.90;0.00;0.00;484.04;0.00;1618.10;20.00;19.48;18.95;0.43;166229.22;0.00;0.00;0.00;0.00;0.00
11.93;0.00;0.00;484.04;0.00;1618.10;20.00;19.48;18.95;0.43;166694.60;0.00;0.00;0.00;0.00;0.00
11.95;0.00;0.00;484.04;0.00;1618.10;20.00;19.47;18.95;0.42;166883.60;0.00;0.00;0.00;0.00;0.00
11.90;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.95;0.42;166197.61;0.00;0.00;0.00;0.00;0.00
11.93;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.94;0.42;166630.49;0.00;0.00;0.00;0.00;0.00
11.96;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.94;0.43;167080.40;0.00;0.00;0.00;0.00;0.00
11.99;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.94;0.43;167545.60;0.00;0.00;0.00;0.00;0.00
12.03;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.94;0.43;168024.56;0.00;0.00;0.00;0.00;0.00
12.13;0.00;0.00;484.04;0.00;1797.89;20.00;19.47;18.94;0.43;169386.19;0.00;0.00;0.00;0.00;0.00
12.25;0.00;0.00;484.04;0.00;1348.42;20.00;19.47;18.93;0.43;171100.68;0.00;0.00;0.00;0.00;0.00
12.40;0.00;0.00;484.04;0.00;1348.42;20.00;19.46;18.93;0.42;173263.09;0.00;0.00;0.00;0.00;0.00
12.57;0.00;0.00;484.04;0.00;1348.42;20.00;19.46;18.92;0.42;175571.80;0.00;0.00;0.00;0.00;0.00
12.78;0.00;0.00;484.04;0.00;1348.42;20.00;19.46;18.91;0.41;178592.16;0.00;0.00;0.00;0.00;0.00
13.05;0.00;0.00;484.04;0.00;898.95;20.00;19.45;18.90;0.40;182358.62;0.00;0.00;0.00;0.00;0.00
13.17;0.00;0.00;484.04;0.00;898.95;20.00;19.44;18.89;0.40;184009.87;0.00;0.00;0.00;0.00;0.00
13.29;0.00;0.00;484.04;0.00;898.95;20.00;19.44;18.88;0.39;185615.47;0.00;0.00;0.00;0.00;0.00
13.38;0.00;0.00;484.04;0.00;898.95;20.00;19.43;18.87;0.39;186889.95;0.00;0.00;0.00;0.00;0.00
13.46;0.00;0.00;484.04;0.00;898.95;20.00;19.43;18.86;0.38;188096.07;0.00;0.00;0.00;0.00;0.00
13.51;0.00;0.00;484.04;0.00;898.95;20.00;19.42;18.85;0.38;188660.55;0.00;0.00;0.00;0.00;0.00
13.54;0.00;0.00;484.04;0.00;898.95;20.00;19.42;18.84;0.38;189106.80;0.00;0.00;0.00;0.00;0.00
13.62;0.00;0.00;484.04;0.00;898.95;20.00;19.42;18.83;0.38;190317.14;0.00;0.00;0.00;0.00;0.00
13.71;0.00;0.00;484.04;0.00;898.95;20.00;19.41;18.83;0.38;191526.58;0.00;0.00;0.00;0.00;0.00
13.80;0.00;0.00;484.04;0.00;898.95;20.00;19.41;18.82;0.38;192735.20;0.00;0.00;0.00;0.00;0.00
13.88;0.00;0.00;484.04;0.00;898.95;20.00;19.41;18.81;0.37;193943.09;0.00;0.00;0.00;0.00;0.00
13.97;0.00;0.00;484.04;0.00;898.95;20.00;19.40;18.80;0.37;195150.32;0.00;0.00;0.00;0.00;0.00
14.06;0.00;0.00;484.04;0.00;1168.63;20.00;19.40;18.80;0.37;196452.45;0.00;0.00;0.00;0.00;0.00
14.09;0.00;0.00;484.04;0.00;1168.63;20.00;19.40;18.79;0.37;196769.62;0.00;0.00;0.00;0.00;0.00
14.06;0.00;0.00;484.04;0.00;1528.21;20.00;19.39;18.79;0.37;196454.13;0.00;0.00;0.00;0.00;0.00
14.00;0.00;0.00;484.04;0.00;1528.21;20.00;19.39;18.79;0.37;195620.89;0.00;0.00;0.00;0.00;0.00
13.81;0.00;0.00;484.04;0.00;1528.21;20.00;19.41;18.81;0.37;192979.83;0.00;0.00;0.00;0.00;0.00
13.53;0.00;0.00;484.04;0.00;1528.21;20.00;19.42;18.85;0.37;188997.79;0.00;0.00;0.00;0.00;0.00
13.21;0.00;0.00;484.04;0.00;1168.63;20.00;19.45;18.89;0.37;184474.14;0.00;0.00;0.00;0.00;0.00
12.74;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.94;0.38;178019.43;0.00;0.00;0.00;0.00;0.00
12.25;0.00;0.00;484.04;0.00;988.84;20.00;19.49;18.99;0.38;171103.00;0.00;0.00;0.00;0.00;0.00
11.72;0.00;0.00;484.04;0.00;988.84;20.00;19.52;19.04;0.39;163707.77;0.00;0.00;0.00;0.00;0.00
11.15;0.00;0.00;484.04;0.00;1168.63;20.00;19.55;19.09;0.40;155697.60;0.00;0.00;0.00;0.00;0.00
10.56;0.00;0.00;484.04;0.00;1168.63;20.00;19.57;19.14;0.42;147577.90;0.00;0.00;0.00;0.00;0.00
9.98;0.00;0.00;484.04;0.00;1168.63;20.00;19.59;19.18;0.44;139362.12;0.00;0.00;0.00;0.00;0.00
9.54;0.00;0.00;484.04;0.00;1168.63;20.00;19.61;19.22;0.45;133302.98;0.00;0.00;0.00;0.00;0.00
9.13;0.00;0.00;484.04;0.00;1168.63;20.00;19.62;19.25;0.47;127536.31;0.00;0.00;0.00;0.00;0.00
8.81;0.00;0.00;484.04;0.00;1168.63;20.00;19.63;19.27;0.48;123056.10;0.00;0.00;0.00;0.00;0.00
8.52;0.00;0.00;484.04;0.00;1168.63;20.00;19.64;19.28;0.49;119088.72;0.00;0.00;0.00;0.00;0.00
8.32;0.00;0.00;484.04;0.00;1168.63;20.00;19.64;19.28;0.50;116209.32;0.00;0.00;0.00;0.00;0.00
8.17;0.00;0.00;484.04;0.00;988.84;20.00;19.64;19.28;0.52;114157.99;0.00;0.00;0.00;0.00;0.00
8.23;0.00;0.00;484.04;0.00;988.84;20.00;19.63;19.27;0.52;115003.38;0.00;0.00;0.00;0.00;0.00
8.33;0.00;0.00;484.04;0.00;1258.52;20.00;19.62;19.25;0.53;116300.08;0.00;0.00;0.00;0.00;0.00
8.44;0.00;0.00;484.04;0.00;1258.52;20.00;19.62;19.24;0.53;117879.10;0.00;0.00;0.00;0.00;0.00
8.53;0.00;0.00;484.04;0.00;1618.10;20.00;19.62;19.23;0.53;119138.13;0.00;0.00;0.00;0.00;0.00
8.75;0.00;0.00;484.04;0.00;1618.10;20.00;19.61;19.23;0.52;122191.30;0.00;0.00;0.00;0.00;0.00
8.98;0.00;0.00;484.04;0.00;1618.10;20.00;19.61;19.22;0.52;125483.22;0.00;0.00;0.00;0.00;0.00
9.11;0.00;0.00;484.04;0.00;1618.10;20.00;19.60;19.21;0.51;127249.02;0.00;0.00;0.00;0.00;0.00
9.22;0.00;0.00;484.04;0.00;1797.89;20.00;19.60;19.20;0.51;128748.75;0.00;0.00;0.00;0.00;0.00
9.34;0.00;0.00;484.04;0.00;1797.89;20.00;19.59;19.19;0.50;130514.11;0.00;0.00;0.00;0.00;0.00
9.47;0.00;0.00;484.04;0.00;1797.89;20.00;19.59;19.18;0.50;132283.20;0.00;0.00;0.00;0.00;0.00
9.58;0.00;0.00;484.04;0.00;1797.89;20.00;19.58;19.17;0.50;133765.52;0.00;0.00;0.00;0.00;0.00
9.68;0.00;0.00;484.04;0.00;1797.89;20.00;19.58;19.16;0.50;135219.35;0.00;0.00;0.00;0.00;0.00
9.82;0.00;0.00;484.04;0.00;1797.89;20.00;19.57;19.15;0.50;137227.77;0.00;0.00;0.00;0.00;0.00
9.99;0.00;0.00;484.04;0.00;1348.42;20.00;19.57;19.14;0.49;139523.43;0.00;0.00;0.00;0.00;0.00
10.18;0.00;0.00;484.04;0.00;1348.42;20.00;19.56;19.13;0.48;142208.05;0.00;0.00;0.00;0.00;0.00
10.38;0.00;0.00;484.04;0.00;1348.42;20.00;19.56;19.12;0.46;144985.97;0.00;0.00;0.00;0.00;0.00
10.58;0.00;0.00;484.04;0.00;1348.42;20.00;19.55;19.10;0.44;147847.72;0.00;0.00;0.00;0.00;0.00
10.83;0.00;0.00;484.04;0.00;898.95;20.00;19.54;19.09;0.42;151349.77;0.00;0.00;0.00;0.00;0.00
11.05;0.00;0.00;484.04;0.00;898.95;20.00;19.54;19.07;0.40;154382.18;0.00;0.00;0.00;0.00;0.00
11.27;0.00;0.00;484.04;0.00;898.95;20.00;19.53;19.06;0.38;157472.61;0.00;0.00;0.00;0.00;0.00
11.52;0.00;0.00;484.04;0.00;898.95;20.00;19.52;19.04;0.37;160905.26;0.00;0.00;0.00;0.00;0.00
11.77;0.00;0.00;484.04;0.00;898.95;20.00;19.51;19.03;0.36;164416.27;0.00;0.00;0.00;0.00;0.00
12.03;0.00;0.00;484.04;0.00;898.95;20.00;19.50;19.01;0.35;167997.69;0.00;0.00;0.00;0.00;0.00
12.29;0.00;0.00;484.04;0.00;898.95;20.00;19.50;18.99;0.35;171642.36;0.00;0.00;0.00;0.00;0.00
12.49;0.00;0.00;484.04;0.00;898.95;20.00;19.49;18.97;0.34;174473.55;0.00;0.00;0.00;0.00;0.00
12.69;0.00;0.00;484.04;0.00;898.95;20.00;19.48;18.95;0.34;177261.27;0.00;0.00;0.00;0.00;0.00
12.84;0.00;0.00;484.04;0.00;898.95;20.00;19.47;18.94;0.34;179429.71;0.00;0.00;0.00;0.00;0.00
12.99;0.00;0.00;484.04;0.00;898.95;20.00;19.46;18.92;0.34;181500.04;0.00;0.00;0.00;0.00;0.00
13.09;0.00;0.00;484.04;0.00;898.95;20.00;19.45;18.91;0.34;182901.99;0.00;0.00;0.00;0.00;0.00
13.19;0.00;0.00;484.04;0.00;1168.63;20.00;19.45;18.89;0.34;184257.18;0.00;0.00;0.00;0.00;0.00
13.27;0.00;0.00;484.04;0.00;1168.63;20.00;19.44;18.88;0.34;185370.45;0.00;0.00;0.00;0.00;0.00
13.30;0.00;0.00;484.04;0.00;1528.21;20.00;19.44;18.87;0.34;185831.24;0.00;0.00;0.00;0.00;0.00
13.35;0.00;0.00;484.04;0.00;1528.21;20.00;19.43;18.86;0.34;186512.57;0.00;0.00;0.00;0.00;0.00
13.36;0.00;0.00;484.04;0.00;1528.21;20.00;19.43;18.86;0.33;186588.27;0.00;0.00;0.00;0.00;0.00
13.29;0.00;0.00;484.04;0.00;1528.21;20.00;19.43;18.87;0.33;185670.06;0.00;0.00;0.00;0.00;0.00
13.23;0.00;0.00;484.04;0.00;1168.63;20.00;19.44;18.88;0.32;184853.55;0.00;0.00;0.00;0.00;0.00
13.17;0.00;0.00;484.04;0.00;1168.63;20.00;19.44;18.88;0.32;183985.38;0.00;0.00;0.00;0.00;0.00
13.11;0.00;0.00;484.04;0.00;988.84;20.00;19.45;18.90;0.32;183138.37;0.00;0.00;0.00;0.00;0.00
13.05;0.00;0.00;484.04;0.00;988.84;20.00;19.45;18.90;0.32;182277.41;0.00;0.00;0.00;0.00;0.00
12.96;0.00;0.00;484.04;0.00;1168.63;20.00;19.46;18.91;0.32;181086.87;0.00;0.00;0.00;0.00;0.00
12.91;0.00;0.00;484.04;0.00;1168.63;20.00;19.46;18.92;0.32;180416.92;0.00;0.00;0.00;0.00;0.00
12.87;0.00;0.00;484.04;0.00;1168.63;20.00;19.46;18.93;0.33;179783.44;0.00;0.00;0.00;0.00;0.00
12.79;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.93;0.33;178664.36;0.00;0.00;0.00;0.00;0.00
12.71;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.93;0.33;177567.66;0.00;0.00;0.00;0.00;0.00
12.64;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.93;0.33;176531.71;0.00;0.00;0.00;0.00;0.00
12.57;0.00;0.00;484.04;0.00;1168.63;20.00;19.47;18.93;0.33;175564.88;0.00;0.00;0.00;0.00;0.00
12.50;0.00;0.00;484.04;0.00;1168.63;20.00;19.46;18.93;0.33;174638.82;0.00;0.00;0.00;0.00;0.00
12.46;0.00;0.00;484.04;0.00;988.84;20.00;19.46;18.92;0.32;174077.60;0.00;0.00;0.00;0.00;0.00
12.48;0.00;0.00;484.04;0.00;988.84;20.00;19.46;18.91;0.32;174405.35;0.00;0.00;0.00;0.00;0.00
12.50;0.00;0.00;484.04;0.00;1258.52;20.00;19.45;18.91;0.31;174615.59;0.00;0.00;0.00;0.00;0.00
