;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;16.904610816720997;2169.526845960934;0.0;0.0;235315.93189311033;0.0;0.0;0.0;0.0
2023-01-01 00:30:00;16.679207773819225;2169.526845960934;0.0;0.0;232180.95765483973;0.0;0.0;0.0;0.0
2023-01-01 01:00:00;16.48639467147914;2169.526845960934;0.0;0.0;229499.41810777676;0.0;0.0;0.0;0.0
2023-01-01 01:30:00;16.322964654176833;2169.526845960934;0.0;0.0;227226.69408040404;0.0;0.0;0.0;0.0
2023-01-01 02:00:00;16.18602644717837;2169.526845960934;0.0;0.0;225322.5574024361;0.0;0.0;0.0;0.0
2023-01-01 02:30:00;16.136765615582227;2169.526845960934;0.0;0.0;224639.33403670846;0.0;0.0;0.0;0.0
2023-01-01 03:00:00;16.11317500754182;2169.526845960934;0.0;0.0;224313.26575595513;0.0;0.0;0.0;0.0
2023-01-01 03:30:00;16.048936426530688;2169.526845960934;0.0;0.0;223420.6133104092;0.0;0.0;0.0;0.0
2023-01-01 04:00:00;16.001429473949926;2169.526845960934;0.0;0.0;222760.74930238613;0.0;0.0;0.0;0.0
2023-01-01 04:30:00;15.937111693969996;2169.526845960934;0.0;0.0;221866.47044998678;0.0;0.0;0.0;0.0
2023-01-01 05:00:00;15.884327249328674;2169.526845960934;0.0;0.0;221132.65420376483;0.0;0.0;0.0;0.0
2023-01-01 05:30:00;15.841941361435472;2169.526845960934;0.0;0.0;220543.5120579452;0.0;0.0;0.0;0.0
2023-01-01 06:00:00;15.888700110697778;2599.999306898434;0.0;0.0;221196.1880220689;0.0;0.0;0.0;0.0
2023-01-01 06:30:00;15.83012422811937;2599.999306898434;0.0;0.0;220381.21894033786;0.0;0.0;0.0;0.0
2023-01-01 07:00:00;15.717041805771887;3173.962588148434;0.0;0.0;218806.7606186641;0.0;0.0;0.0;0.0
2023-01-01 07:30:00;15.609837543418148;3173.962588148434;0.0;0.0;217314.87003874982;0.0;0.0;0.0;0.0
2023-01-01 08:00:00;15.496908884450653;3173.962588148434;0.0;0.0;215743.32324159157;0.0;0.0;0.0;0.0
2023-01-01 08:30:00;15.358220834222895;3173.962588148434;0.0;0.0;213813.54267176797;0.0;0.0;0.0;0.0
