;Gas consumption [Sm3];Electric Load [MW];Oil consumption [L];Wood consumption [kg];TZ sensible load [kW];TZ latent load [kW];TZ AHU pre heater load [kW];TZ AHU post heater load [kW];TZ DHW demand [kW];Net PV production to grid [MW];Total Primary Energy [MW];Non-Renewable Primary Energy [MW];CO2 Emission [ton CO2];Gas Primary Non-Renewable Energy [MW];Oil Primary Non-Renewable Energy [MW];Wood Primary Non-Renewable Energy [MW];Coal Primary Non-Renewable Energy [MW];Solar Primary Non-Renewable Energy [MW];Grid Electricity Primary Non-Renewable Energy [MW];Gas Primary Renewable Energy [MW];Oil Primary Renewable Energy [MW];Wood Primary Renewable Energy [MW];Coal Primary Renewable Energy [MW];Solar Primary Renewable Energy [MW];Grid Electricity Primary Renewable Energy [MW];Gas CO2 Emission Scope 1 [ton CO2];Oil CO2 Emission Scope 1 [ton CO2];Wood CO2 Emission Scope 1 [ton CO2];Coal CO2 Emission Scope 1 [ton CO2];Solar CO2 Emission Scope 1 [ton CO2];Grid CO2 Emission Scope 1 [ton CO2];Gas CO2 Emission Scope 2 [ton CO2];Oil CO2 Emission Scope 2 [ton CO2];Wood CO2 Emission Scope 2 [ton CO2];Coal CO2 Emission Scope 2 [ton CO2];Solar CO2 Emission Scope 2 [ton CO2];Grid CO2 Emission Scope 2 [ton CO2];Gas CO2 Emission Scope 3 [ton CO2];Oil CO2 Emission Scope 3 [ton CO2];Wood CO2 Emission Scope 3 [ton CO2];Coal CO2 Emission Scope 3 [ton CO2];Solar CO2 Emission Scope 3 [ton CO2];Grid CO2 Emission Scope 3 [ton CO2]
2023-01-01 00:00:00;0.0;0.0016820759558994482;0.0;0.0;29.576137349362035;0.0;0.0;2.0389703088810633;1.2702729668126038;0.0;0.0;0.0;0.0004335957734097879;0.0;0.0;0.0;0.0;0.0;3.280048114003924e-05;0.0;0.0;0.0;0.0;0.0;7.905756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3359577340978796e-07;0.0;0.0;0.0;0.0;0.0;8.671915468195761e-08
2023-01-01 01:00:00;0.0;0.0017320759558994484;0.0;0.0;29.298149877422752;0.0;0.0;2.017758071993498;1.2753540586798542;0.0;0.0;0.0;0.0004464844830988202;0.0;0.0;0.0;0.0;0.0;3.377548114003924e-05;0.0;0.0;0.0;0.0;0.0;8.140756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.4648448309882023e-07;0.0;0.0;0.0;0.0;0.0;8.929689661976406e-08
2023-01-01 02:00:00;0.0;0.0016820759558994482;0.0;0.0;28.88786415338915;0.0;0.0;1.9749717099706072;1.2804351505471048;0.0;0.0;0.0;0.0004335957734097879;0.0;0.0;0.0;0.0;0.0;3.280048114003924e-05;0.0;0.0;0.0;0.0;0.0;7.905756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3359577340978796e-07;0.0;0.0;0.0;0.0;0.0;8.671915468195761e-08
2023-01-01 03:00:00;0.0;0.0016820759558994482;0.0;0.0;28.79610066232379;0.0;0.0;1.9678782635359664;2.4313024584793235;0.0;0.0;0.0;0.0004335957734097879;0.0;0.0;0.0;0.0;0.0;3.280048114003924e-05;0.0;0.0;0.0;0.0;0.0;7.905756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3359577340978796e-07;0.0;0.0;0.0;0.0;0.0;8.671915468195761e-08
2023-01-01 04:00:00;0.0;0.0016820759558994482;0.0;0.0;28.45490315165947;0.0;0.0;1.9392645802822097;2.499897198687204;0.0;0.0;0.0;0.0004335957734097879;0.0;0.0;0.0;0.0;0.0;3.280048114003924e-05;0.0;0.0;0.0;0.0;0.0;7.905756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3359577340978796e-07;0.0;0.0;0.0;0.0;0.0;8.671915468195761e-08
2023-01-01 05:00:00;0.0;0.0016820759558994482;0.0;0.0;28.34278755342672;0.0;0.0;1.9320810915401296;2.647248862837466;0.0;0.0;0.0;0.0004335957734097879;0.0;0.0;0.0;0.0;0.0;3.280048114003924e-05;0.0;0.0;0.0;0.0;0.0;7.905756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3359577340978796e-07;0.0;0.0;0.0;0.0;0.0;8.671915468195761e-08
2023-01-01 06:00:00;0.0;0.0017820759558994483;0.0;0.0;28.22804732979811;0.0;0.0;1.9320571886564606;2.7996816188549793;0.0;0.0;0.0;0.0004593731927878525;0.0;0.0;0.0;0.0;0.0;3.475048114003924e-05;0.0;0.0;0.0;0.0;0.0;8.375756992727407e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5937319278785256e-07;0.0;0.0;0.0;0.0;0.0;9.187463855757052e-08
2023-01-01 07:00:00;0.0;0.0018820759558994481;0.0;0.0;28.242201162650932;0.0;0.0;1.9392120968380369;2.845411445660232;0.0;0.0;0.0;0.0004851506121659169;0.0;0.0;0.0;0.0;0.0;3.670048114003924e-05;0.0;0.0;0.0;0.0;0.0;8.845756992727406e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.851506121659169e-07;0.0;0.0;0.0;0.0;0.0;9.703012243318339e-08
2023-01-01 08:00:00;0.0;0.0022820759558994483;0.0;0.0;27.83009108343121;0.0;0.0;1.9465038324442088;2.8606547212619833;0.0;0.0;0.0;0.000588260289678175;0.0;0.0;0.0;0.0;0.0;4.4500481140039246e-05;0.0;0.0;0.0;0.0;0.0;1.0725756992727406e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.882602896781749e-07;0.0;0.0;0.0;0.0;0.0;1.17652057935635e-07
2023-01-01 09:00:00;0.0;0.0024320759558994483;0.0;0.0;27.646996257830107;0.0;0.0;1.953649642485903;2.873357450930109;0.0;0.0;0.0;0.0006269264187452716;0.0;0.0;0.0;0.0;0.0;4.7425481140039235e-05;0.0;0.0;0.0;0.0;0.0;1.1430756992727407e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.269264187452717e-07;0.0;0.0;0.0;0.0;0.0;1.2538528374905437e-07
2023-01-01 10:00:00;0.0;0.002182075955899448;0.0;0.0;27.670442575595168;0.0;0.0;1.9607456496888571;2.87843854279736;0.0;0.0;0.0;0.0005624828703001104;0.0;0.0;0.0;0.0;0.0;4.255048114003924e-05;0.0;0.0;0.0;0.0;0.0;1.0255756992727407e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.624828703001105e-07;0.0;0.0;0.0;0.0;0.0;1.1249657406002211e-07
2023-01-01 11:00:00;0.0;0.002182075955899448;0.0;0.0;27.14426523080775;0.0;0.0;1.953731022882947;2.8758979968637344;0.0;0.0;0.0;0.0005624828703001104;0.0;0.0;0.0;0.0;0.0;4.255048114003924e-05;0.0;0.0;0.0;0.0;0.0;1.0255756992727407e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.624828703001105e-07;0.0;0.0;0.0;0.0;0.0;1.1249657406002211e-07
