;id;Floors;Height;Heating System;Cooling System;End Use;Envelope;ExtWallCoeff;VolCoeff;Solar Technologies;Number of occupants;Name;area;Simulate;Lower End Use;Upper End Use;Solar technologies;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;2;6.4;IdealLoad;IdealLoad;residential;B;0.7705479452054794;0.7551369863013698;;24;BD_1;584;True;;;;{'TZ Bd BD_1 thermal zone single End Use': {'Zone volume [m3]': 2174.4517631910157, 'Zone net floor area [m2]': 899.858155969071, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 419.95553009019307, 'Zone external walls glazed area [m2]': 121.92257325199152, 'Zone opaque heat transfer loss [W/K]': 297.40768258174955, 'Zone glazed heat transfer loss [W/K]': 329.19094778037714, 'Zone design heating load [kW]': 30.99319595231035, 'Zone design cooling load [kW]': -16.074906303904992}, 'Total': {'Zone volume [m3]': 2174.4517631910157, 'Zone net floor area [m2]': 899.858155969071, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 419.95553009019307, 'Zone external walls glazed area [m2]': 121.92257325199152, 'Zone opaque heat transfer loss [W/K]': 297.40768258174955, 'Zone glazed heat transfer loss [W/K]': 329.19094778037714, 'Zone design heating load [kW]': 30.99319595231035, 'Zone design cooling load [kW]': -16.074906303904992}};2174.4517631910157;899.858155969071;12.0;419.95553009019307;121.92257325199152;297.40768258174955;329.19094778037714;30.99319595231035;-16.074906303904992;0.0;1.5291145111891897;0.0;0.0;24.76241267391378;0.0;0.0;1.3813550423644292;0.0;0.0;20.04908458232067;0.0;0.0;1.5288645111891896;0.0;0.0;18.129645786997617;0.0;0.0;1.4768446882476027;0.0;0.0;14.546465575624998;0.0;0.0;1.5266645111891894;0.0;0.0;7.504199006831324;0.0;0.0;1.4738946882476027;0.0;0.0;3.168930021492696;-0.1090320303534387;0.0;1.5291145111891897;0.0;0.0;1.9084794835149868;-0.1636866260730279;0.0;1.5315645111891896;0.0;0.0;2.3015333507691262;-0.28262698069908554;0.0;1.4763446882476028;0.0;0.0;6.380970298629294;-0.05965391541509636;0.0;1.5315645111891896;0.0;0.0;13.91203950206543;0.0;0.0;1.479044688247603;0.0;0.0;17.62435735605228;0.0;0.0;1.5215145111891892;0.0;0.0;22.199334067963726;0.0;0.0;17.985885373679167;0.0;0.0;152.48745170617593;-0.6149995525406484
2;2;2;6.4;IdealLoad;IdealLoad;residential;B;0.7772020725388601;0.7616580310880828;;24;BD_2;579;True;;;;{'TZ Bd BD_2 thermal zone single End Use': {'Zone volume [m3]': 2191.5726324028833, 'Zone net floor area [m2]': 899.1783972231217, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 425.8715080440131, 'Zone external walls glazed area [m2]': 123.64011523858446, 'Zone opaque heat transfer loss [W/K]': 298.49199404361855, 'Zone glazed heat transfer loss [W/K]': 333.82831114417803, 'Zone design heating load [kW]': 31.27031601660978, 'Zone design cooling load [kW]': -16.19084993627122}, 'Total': {'Zone volume [m3]': 2191.5726324028833, 'Zone net floor area [m2]': 899.1783972231217, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 425.8715080440131, 'Zone external walls glazed area [m2]': 123.64011523858446, 'Zone opaque heat transfer loss [W/K]': 298.49199404361855, 'Zone glazed heat transfer loss [W/K]': 333.82831114417803, 'Zone design heating load [kW]': 31.27031601660978, 'Zone design cooling load [kW]': -16.19084993627122}};2191.5726324028833;899.1783972231217;12.0;425.8715080440131;123.64011523858446;298.49199404361855;333.82831114417803;31.27031601660978;-16.19084993627122;0.0;1.5319385095371671;0.0;0.0;24.976015720941387;0.0;0.0;1.3839057505496994;0.0;0.0;20.225824025345283;0.0;0.0;1.5316885095371673;0.0;0.0;18.27747001571964;0.0;0.0;1.479577589874678;0.0;0.0;14.641577556139682;0.0;0.0;1.529488509537167;0.0;0.0;7.540901499205149;0.0;0.0;1.476627589874678;0.0;0.0;3.176851327540813;-0.10917085049762025;0.0;1.5319385095371671;0.0;0.0;1.9084939353699442;-0.16365418217084904;0.0;1.5343885095371672;0.0;0.0;2.30434494362535;-0.28265594299364893;0.0;1.479077589874678;0.0;0.0;6.42740878543227;-0.059762722977767045;0.0;1.5343885095371672;0.0;0.0;14.02554502452442;0.0;0.0;1.481777589874678;0.0;0.0;17.774691040314668;0.0;0.0;1.524338509537167;0.0;0.0;22.391037712574175;0.0;0.0;18.019135676808578;0.0;0.0;153.6701615867328;-0.6152436986398853
3;3;2;6.4;IdealLoad;IdealLoad;residential;B;0.7758620689655172;0.7603448275862069;;24;BD_3;580;True;;;;{'TZ Bd BD_3 thermal zone single End Use': {'Zone volume [m3]': 2191.0494544719827, 'Zone net floor area [m2]': 900.516357421875, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 422.1850838761847, 'Zone external walls glazed area [m2]': 122.56986306082783, 'Zone opaque heat transfer loss [W/K]': 298.02892071458473, 'Zone glazed heat transfer loss [W/K]': 330.9386302642351, 'Zone design heating load [kW]': 31.12840729089698, 'Zone design cooling load [kW]': -16.127726684099436}, 'Total': {'Zone volume [m3]': 2191.0494544719827, 'Zone net floor area [m2]': 900.516357421875, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 422.1850838761847, 'Zone external walls glazed area [m2]': 122.56986306082783, 'Zone opaque heat transfer loss [W/K]': 298.02892071458473, 'Zone glazed heat transfer loss [W/K]': 330.9386302642351, 'Zone design heating load [kW]': 31.12840729089698, 'Zone design cooling load [kW]': -16.127726684099436}};2191.0494544719827;900.516357421875;12.0;422.1850838761847;122.56986306082783;298.02892071458473;330.9386302642351;31.12840729089698;-16.127726684099436;0.0;1.5318522140579902;0.0;0.0;24.909354562957784;0.0;0.0;1.3838278062459266;0.0;0.0;20.17012294952699;0.0;0.0;1.5316022140579904;0.0;0.0;18.21794004623726;0.0;0.0;1.4794940781206358;0.0;0.0;14.580160205314188;0.0;0.0;1.5294022140579902;0.0;0.0;7.508346442618731;0.0;0.0;1.4765440781206358;0.0;0.0;3.156081610116129;-0.10866314887999239;0.0;1.5318522140579902;0.0;0.0;1.9080353976333149;-0.16005348487067594;0.0;1.5343022140579903;0.0;0.0;2.2915352474964155;-0.2806128442942244;0.0;1.4789940781206359;0.0;0.0;6.3978557767672335;-0.05971605277590179;0.0;1.5343022140579903;0.0;0.0;13.990756172672702;0.0;0.0;1.4816940781206358;0.0;0.0;17.727237300637302;0.0;0.0;1.5242522140579902;0.0;0.0;22.32981498934352;0.0;0.0;18.0181196171344;0.0;0.0;153.18724070132157;-0.6090455308207944
4;4;2;6.4;IdealLoad;IdealLoad;residential;B;0.7614213197969543;0.7461928934010151;;24;BD_4;591;True;;;;{'TZ Bd BD_4 thermal zone single End Use': {'Zone volume [m3]': 2147.4757365398486, 'Zone net floor area [m2]': 899.3467689165609, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 416.5035017405355, 'Zone external walls glazed area [m2]': 120.92037147305872, 'Zone opaque heat transfer loss [W/K]': 296.5638591386129, 'Zone glazed heat transfer loss [W/K]': 326.48500297725855, 'Zone design heating load [kW]': 30.786052806261246, 'Zone design cooling load [kW]': -20.02053139374643}, 'Total': {'Zone volume [m3]': 2147.4757365398486, 'Zone net floor area [m2]': 899.3467689165609, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 416.5035017405355, 'Zone external walls glazed area [m2]': 120.92037147305872, 'Zone opaque heat transfer loss [W/K]': 296.5638591386129, 'Zone glazed heat transfer loss [W/K]': 326.48500297725855, 'Zone design heating load [kW]': 30.786052806261246, 'Zone design cooling load [kW]': -20.02053139374643}};2147.4757365398486;899.3467689165609;12.0;416.5035017405355;120.92037147305872;296.5638591386129;326.48500297725855;30.786052806261246;-20.02053139374643;0.0;1.524664955868418;0.0;0.0;24.59292464310815;0.0;0.0;1.3773360891714745;0.0;0.0;19.971992739438498;0.0;0.0;1.524414955868418;0.0;0.0;18.0199007557705;0.0;0.0;1.4725386669694367;0.0;0.0;14.364476759608984;0.0;0.0;1.522214955868418;0.0;0.0;7.272846536085743;0.0;0.0;1.469588666969437;0.0;0.0;3.055353608710318;-0.10402989878604925;0.0;1.524664955868418;0.0;0.0;1.9044904947855552;-0.1456938602521573;0.0;1.527114955868418;0.0;0.0;2.2337650974397367;-0.26960680432471273;0.0;1.4720386669694367;0.0;0.0;6.338252495104505;-0.059259332206372715;0.0;1.527114955868418;0.0;0.0;13.894214395822036;0.0;0.0;1.474738666969437;0.0;0.0;17.529192498463686;0.0;0.0;1.517064955868418;0.0;0.0;22.026863472393654;0.0;0.0;17.933495448128145;0.0;0.0;151.20427349673136;-0.5785898955692921
5;5;2;6.4;IdealLoad;IdealLoad;residential;A;0.8191318327974276;0.8027491961414791;;24;BD_5;622;True;;;;{'TZ Bd BD_5 thermal zone single End Use': {'Zone volume [m3]': 2616.9624328598616, 'Zone net floor area [m2]': 1018.7500208029793, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 481.856448309575, 'Zone external walls glazed area [m2]': 139.89380757374758, 'Zone opaque heat transfer loss [W/K]': 338.0492339817034, 'Zone glazed heat transfer loss [W/K]': 377.71328044911854, 'Zone design heating load [kW]': 35.690060419708445, 'Zone design cooling load [kW]': -22.706565763465264}, 'Total': {'Zone volume [m3]': 2616.9624328598616, 'Zone net floor area [m2]': 1018.7500208029793, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 481.856448309575, 'Zone external walls glazed area [m2]': 139.89380757374758, 'Zone opaque heat transfer loss [W/K]': 338.0492339817034, 'Zone glazed heat transfer loss [W/K]': 377.71328044911854, 'Zone design heating load [kW]': 35.690060419708445, 'Zone design cooling load [kW]': -22.706565763465264}};2616.9624328598616;1018.7500208029793;13.0;481.856448309575;139.89380757374758;338.0492339817034;377.71328044911854;35.690060419708445;-22.706565763465264;0.0;1.6021043450955834;0.0;0.0;29.470802340097155;0.0;0.0;1.4472813439573011;0.0;0.0;23.974968846340644;0.0;0.0;1.6018543450955833;0.0;0.0;21.682639919856545;0.0;0.0;1.5474800113828227;0.0;0.0;17.31699219110681;0.0;0.0;1.5996543450955834;0.0;0.0;8.92233310705848;0.0;0.0;1.5445300113828224;0.0;0.0;3.7142394690387794;-0.12730734698919197;0.0;1.6021043450955834;0.0;0.0;2.154573077739328;-0.2039476648610624;0.0;1.6045543450955833;0.0;0.0;2.791764713124964;-0.33141561857963925;0.0;1.5469800113828225;0.0;0.0;7.75790514330557;-0.06471296554594728;0.0;1.6045543450955833;0.0;0.0;16.711653251368936;0.0;0.0;1.5496800113828226;0.0;0.0;21.02776805246635;0.0;0.0;1.5945043450955831;0.0;0.0;26.377358785981947;0.0;0.0;18.845281805157672;0.0;0.0;181.90299889748553;-0.727383595975841
6;6;2;6.4;IdealLoad;IdealLoad;residential;B;0.8137432188065099;0.7974683544303797;;24;BD_6;553;True;;;;{'TZ Bd BD_6 thermal zone single End Use': {'Zone volume [m3]': 2297.084025997436, 'Zone net floor area [m2]': 900.1470141557413, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 436.9475424060331, 'Zone external walls glazed area [m2]': 126.85573811788059, 'Zone opaque heat transfer loss [W/K]': 301.0431646964768, 'Zone glazed heat transfer loss [W/K]': 342.51049291827763, 'Zone design heating load [kW]': 31.96920568589135, 'Zone design cooling load [kW]': -20.639357959331804}, 'Total': {'Zone volume [m3]': 2297.084025997436, 'Zone net floor area [m2]': 900.1470141557413, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 436.9475424060331, 'Zone external walls glazed area [m2]': 126.85573811788059, 'Zone opaque heat transfer loss [W/K]': 301.0431646964768, 'Zone glazed heat transfer loss [W/K]': 342.51049291827763, 'Zone design heating load [kW]': 31.96920568589135, 'Zone design cooling load [kW]': -20.639357959331804}};2297.084025997436;900.1470141557413;12.0;436.9475424060331;126.85573811788059;301.0431646964768;342.51049291827763;31.96920568589135;-20.639357959331804;0.0;1.5493420652513419;0.0;0.0;25.926184424605406;0.0;0.0;1.3996250911947605;0.0;0.0;21.09368146876435;0.0;0.0;1.5490920652513418;0.0;0.0;19.075971334557234;0.0;0.0;1.4964197405658146;0.0;0.0;15.125569317282046;0.0;0.0;1.546892065251342;0.0;0.0;7.677526135736579;0.0;0.0;1.4934697405658148;0.0;0.0;3.185658232911765;-0.10877993889312998;0.0;1.5493420652513419;0.0;0.0;1.9104734757754933;-0.1575396881575091;0.0;1.5517920652513422;0.0;0.0;2.3271560358380134;-0.28626754616692235;0.0;1.4959197405658147;0.0;0.0;6.727606541733869;-0.06083174147521892;0.0;1.5517920652513422;0.0;0.0;14.700941094740637;0.0;0.0;1.498619740565815;0.0;0.0;18.481038451121055;0.0;0.0;1.541742065251342;0.0;0.0;23.20794783449035;0.0;0.0;18.224048510217415;0.0;0.0;159.43975434755683;-0.6134189146927803
7;7;2;6.4;IdealLoad;IdealLoad;residential;A;0.79609375;0.780171875;;24;BD_7;640;True;;;;{'TZ Bd BD_7 thermal zone single End Use': {'Zone volume [m3]': 2543.441966743641, 'Zone net floor area [m2]': 1018.7827068328858, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 471.1426951093779, 'Zone external walls glazed area [m2]': 136.78336309627102, 'Zone opaque heat transfer loss [W/K]': 335.8069453116153, 'Zone glazed heat transfer loss [W/K]': 369.3150803599318, 'Zone design heating load [kW]': 35.084952226336235, 'Zone design cooling load [kW]': -17.88731895100835}, 'Total': {'Zone volume [m3]': 2543.441966743641, 'Zone net floor area [m2]': 1018.7827068328858, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 471.1426951093779, 'Zone external walls glazed area [m2]': 136.78336309627102, 'Zone opaque heat transfer loss [W/K]': 335.8069453116153, 'Zone glazed heat transfer loss [W/K]': 369.3150803599318, 'Zone design heating load [kW]': 35.084952226336235, 'Zone design cooling load [kW]': -17.88731895100835}};2543.441966743641;1018.7827068328858;13.0;471.1426951093779;136.78336309627102;335.8069453116153;369.3150803599318;35.084952226336235;-17.88731895100835;0.0;1.5899775265161364;0.0;0.0;28.70670263226125;0.0;0.0;1.4363280884661878;0.0;0.0;23.290466136055482;0.0;0.0;1.5897275265161366;0.0;0.0;21.123871328261025;0.0;0.0;1.5357443804994868;0.0;0.0;16.96580181367045;0.0;0.0;1.5875275265161366;0.0;0.0;8.862822177922325;0.0;0.0;1.5327943804994868;0.0;0.0;3.7400374275846846;-0.12969097016044046;0.0;1.5899775265161364;0.0;0.0;2.1638893872738927;-0.21056937206707388;0.0;1.5924275265161365;0.0;0.0;2.783831117119676;-0.3305373696306145;0.0;1.5352443804994869;0.0;0.0;7.565181368380921;-0.06393308863233414;0.0;1.5924275265161365;0.0;0.0;16.221712381682764;0.0;0.0;1.537944380499487;0.0;0.0;20.45294629032605;0.0;0.0;1.5823775265161364;0.0;0.0;25.73157894310873;0.0;0.0;18.70249829607709;0.0;0.0;177.60884100364726;-0.7347308004904629
8;8;2;6.4;IdealLoad;IdealLoad;residential;B;0.8241758241758241;0.8076923076923076;;24;BD_8;546;True;;;;{'TZ Bd BD_8 thermal zone single End Use': {'Zone volume [m3]': 2324.8308062130177, 'Zone net floor area [m2]': 899.4881095467033, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 441.71524249643085, 'Zone external walls glazed area [m2]': 128.23990911186704, 'Zone opaque heat transfer loss [W/K]': 301.891186393859, 'Zone glazed heat transfer loss [W/K]': 346.247754602041, 'Zone design heating load [kW]': 32.22148980179654, 'Zone design cooling load [kW]': -20.79112066794992}, 'Total': {'Zone volume [m3]': 2324.8308062130177, 'Zone net floor area [m2]': 899.4881095467033, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 441.71524249643085, 'Zone external walls glazed area [m2]': 128.23990911186704, 'Zone opaque heat transfer loss [W/K]': 301.891186393859, 'Zone glazed heat transfer loss [W/K]': 346.247754602041, 'Zone design heating load [kW]': 32.22148980179654, 'Zone design cooling load [kW]': -20.79112066794992}};2324.8308062130177;899.4881095467033;12.0;441.71524249643085;128.23990911186704;301.891186393859;346.247754602041;32.22148980179654;-20.79112066794992;0.0;1.5539187523646452;0.0;0.0;26.14332996701123;0.0;0.0;1.4037588731035502;0.0;0.0;21.2220388681731;0.0;0.0;1.553668752364645;0.0;0.0;19.220221269910724;0.0;0.0;1.5008487926109466;0.0;0.0;15.31602598000253;0.0;0.0;1.5514687523646449;0.0;0.0;7.786552902382184;0.0;0.0;1.4978987926109466;0.0;0.0;3.227637684791682;-0.11082550029705765;0.0;1.5539187523646452;0.0;0.0;1.9130872367022884;-0.16588769084691768;0.0;1.556368752364645;0.0;0.0;2.3562424938476285;-0.2924783868816032;0.0;1.5003487926109467;0.0;0.0;6.778168945419694;-0.06110723938293509;0.0;1.556368752364645;0.0;0.0;14.768414232631452;0.0;0.0;1.5030487926109468;0.0;0.0;18.613856163478818;0.0;0.0;1.5463187523646447;0.0;0.0;23.417887414435548;0.0;0.0;18.27793531009985;0.0;0.0;160.76346315878686;-0.6302988174085137
9;9;2;6.4;IdealLoad;IdealLoad;residential;B;0.8078994614003591;0.7917414721723519;;24;BD_9;557;True;;;;{'TZ Bd BD_9 thermal zone single End Use': {'Zone volume [m3]': 2280.3753517336077, 'Zone net floor area [m2]': 900.0631171454219, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 430.0202751719496, 'Zone external walls glazed area [m2]': 124.84459601766278, 'Zone opaque heat transfer loss [W/K]': 299.56893252242, 'Zone glazed heat transfer loss [W/K]': 337.08040924768954, 'Zone design heating load [kW]': 31.643314118326597, 'Zone design cooling load [kW]': -20.447713328780814}, 'Total': {'Zone volume [m3]': 2280.3753517336077, 'Zone net floor area [m2]': 900.0631171454219, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 430.0202751719496, 'Zone external walls glazed area [m2]': 124.84459601766278, 'Zone opaque heat transfer loss [W/K]': 299.56893252242, 'Zone glazed heat transfer loss [W/K]': 337.08040924768954, 'Zone design heating load [kW]': 31.643314118326597, 'Zone design cooling load [kW]': -20.447713328780814}};2280.3753517336077;900.0631171454219;12.0;430.0202751719496;124.84459601766278;299.56893252242;337.08040924768954;31.643314118326597;-20.447713328780814;0.0;1.5465860563166296;0.0;0.0;25.670089049865304;0.0;0.0;1.397135792802117;0.0;0.0;20.84811080967401;0.0;0.0;1.5463360563166295;0.0;0.0;18.824262857061637;0.0;0.0;1.4937526351451254;0.0;0.0;14.995585448180181;0.0;0.0;1.5441360563166295;0.0;0.0;7.640971765949066;0.0;0.0;1.4908026351451253;0.0;0.0;3.180394310225063;-0.10931755605562889;0.0;1.5465860563166296;0.0;0.0;1.9096318500777092;-0.15926579173009778;0.0;1.5490360563166297;0.0;0.0;2.323849708820506;-0.2859880231327016;0.0;1.4932526351451254;0.0;0.0;6.623711238045349;-0.06063660333898247;0.0;1.5490360563166297;0.0;0.0;14.485397609849343;0.0;0.0;1.4959526351451253;0.0;0.0;18.28638026306442;0.0;0.0;1.5389860563166293;0.0;0.0;22.98884553186143;0.0;0.0;18.191598727599022;0.0;0.0;157.777230442674;-0.6152079742574107
10;10;2;6.4;IdealLoad;IdealLoad;residential;B;0.7525083612040134;0.7374581939799332;;24;BD_10;598;True;;;;{'TZ Bd BD_10 thermal zone single End Use': {'Zone volume [m3]': 2125.1134807548997, 'Zone net floor area [m2]': 900.5228610341765, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 411.73842727726117, 'Zone external walls glazed area [m2]': 119.53696275791454, 'Zone opaque heat transfer loss [W/K]': 295.8366349186708, 'Zone glazed heat transfer loss [W/K]': 322.74979944636925, 'Zone design heating load [kW]': 30.550522074213582, 'Zone design cooling load [kW]': -15.902202774470853}, 'Total': {'Zone volume [m3]': 2125.1134807548997, 'Zone net floor area [m2]': 900.5228610341765, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 411.73842727726117, 'Zone external walls glazed area [m2]': 119.53696275791454, 'Zone opaque heat transfer loss [W/K]': 295.8366349186708, 'Zone glazed heat transfer loss [W/K]': 322.74979944636925, 'Zone design heating load [kW]': 30.550522074213582, 'Zone design cooling load [kW]': -15.902202774470853}};2125.1134807548997;900.5228610341765;12.0;411.73842727726117;119.53696275791454;295.8366349186708;322.74979944636925;30.550522074213582;-15.902202774470853;0.0;1.5209764180604208;0.0;0.0;24.329008712161357;0.0;0.0;1.374004506635219;0.0;0.0;19.70477283892014;0.0;0.0;1.520726418060421;0.0;0.0;17.805607132149138;0.0;0.0;1.46896911425202;0.0;0.0;14.267115936233576;0.0;0.0;1.5185264180604208;0.0;0.0;7.36174978236703;0.0;0.0;1.46601911425202;0.0;0.0;3.113409715045014;-0.10661019386434943;0.0;1.5209764180604208;0.0;0.0;1.9060832218808152;-0.157094501733381;0.0;1.523426418060421;0.0;0.0;2.2602600020227555;-0.27634585779470217;0.0;1.46846911425202;0.0;0.0;6.268413100088181;-0.05917624280072252;0.0;1.523426418060421;0.0;0.0;13.673329374963494;0.0;0.0;1.47116911425202;0.0;0.0;17.328995585573786;0.0;0.0;1.5133764180604208;0.0;0.0;21.810052840667055;0.0;0.0;17.890065890066246;0.0;0.0;149.82879824207234;-0.5992267961931551
