;Gas consumption [Sm3];Electric Load [MW];Oil consumption [L];Wood consumption [kg];TZ sensible load [kW];TZ latent load [kW];TZ AHU pre heater load [kW];TZ AHU post heater load [kW];TZ DHW demand [kW];Net PV production to grid [MW];Total Primary Energy [MW];Non-Renewable Primary Energy [MW];CO2 Emission [ton CO2];Gas Primary Non-Renewable Energy [MW];Oil Primary Non-Renewable Energy [MW];Wood Primary Non-Renewable Energy [MW];Coal Primary Non-Renewable Energy [MW];Solar Primary Non-Renewable Energy [MW];Grid Electricity Primary Non-Renewable Energy [MW];Gas Primary Renewable Energy [MW];Oil Primary Renewable Energy [MW];Wood Primary Renewable Energy [MW];Coal Primary Renewable Energy [MW];Solar Primary Renewable Energy [MW];Grid Electricity Primary Renewable Energy [MW];Gas CO2 Emission Scope 1 [ton CO2];Oil CO2 Emission Scope 1 [ton CO2];Wood CO2 Emission Scope 1 [ton CO2];Coal CO2 Emission Scope 1 [ton CO2];Solar CO2 Emission Scope 1 [ton CO2];Grid CO2 Emission Scope 1 [ton CO2];Gas CO2 Emission Scope 2 [ton CO2];Oil CO2 Emission Scope 2 [ton CO2];Wood CO2 Emission Scope 2 [ton CO2];Coal CO2 Emission Scope 2 [ton CO2];Solar CO2 Emission Scope 2 [ton CO2];Grid CO2 Emission Scope 2 [ton CO2];Gas CO2 Emission Scope 3 [ton CO2];Oil CO2 Emission Scope 3 [ton CO2];Wood CO2 Emission Scope 3 [ton CO2];Coal CO2 Emission Scope 3 [ton CO2];Solar CO2 Emission Scope 3 [ton CO2];Grid CO2 Emission Scope 3 [ton CO2]
2023-01-01 00:00:00;0.0;0.13199087294658796;0.0;0.0;2180.7624123007367;0.0;0.0;167.46445941518888;102.41043196592634;0.0;0.0;0.0;0.03402384086021025;0.0;0.0;0.0;0.0;0.0;0.0025738220224584643;0.0;0.0;0.0;0.0;0.0;0.000620357102848963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.402384086021024e-05;0.0;0.0;0.0;0.0;0.0;6.804768172042051e-06
2023-01-01 01:00:00;0.0;0.13584087294658798;0.0;0.0;2164.261654633186;0.0;0.0;165.72317030013664;102.82007369379001;0.0;0.0;0.0;0.03501627150626574;0.0;0.0;0.0;0.0;0.0;0.0026488970224584647;0.0;0.0;0.0;0.0;0.0;0.0006384521028489634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.501627150626574e-05;0.0;0.0;0.0;0.0;0.0;7.003254301253148e-06
2023-01-01 02:00:00;0.0;0.13199087294658796;0.0;0.0;2138.216416960895;0.0;0.0;162.2097700489224;103.22971542165371;0.0;0.0;0.0;0.03402384086021025;0.0;0.0;0.0;0.0;0.0;0.0025738220224584643;0.0;0.0;0.0;0.0;0.0;0.000620357102848963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.402384086021024e-05;0.0;0.0;0.0;0.0;0.0;6.804768172042051e-06
2023-01-01 03:00:00;0.0;0.13199087294658796;0.0;0.0;2134.963081302;0.04607872440827521;0.0;161.62776356138846;196.01356678278296;0.0;0.0;0.0;0.03402384086021025;0.0;0.0;0.0;0.0;0.0;0.0025738220224584643;0.0;0.0;0.0;0.0;0.0;0.000620357102848963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.402384086021024e-05;0.0;0.0;0.0;0.0;0.0;6.804768172042051e-06
2023-01-01 04:00:00;0.0;0.13199087294658796;0.0;0.0;2113.208310892594;0.011351105651262742;0.0;159.27804616715736;201.54373010894292;0.0;0.0;0.0;0.03402384086021025;0.0;0.0;0.0;0.0;0.0;0.0025738220224584643;0.0;0.0;0.0;0.0;0.0;0.000620357102848963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.402384086021024e-05;0.0;0.0;0.0;0.0;0.0;6.804768172042051e-06
2023-01-01 05:00:00;0.0;0.13199087294658796;0.0;0.0;2108.001576503362;0.0;0.0;158.6884313565906;213.42334021699043;0.0;0.0;0.0;0.03402384086021025;0.0;0.0;0.0;0.0;0.0;0.0025738220224584643;0.0;0.0;0.0;0.0;0.0;0.000620357102848963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.402384086021024e-05;0.0;0.0;0.0;0.0;0.0;6.804768172042051e-06
2023-01-01 06:00:00;0.0;0.1396908729465879;0.0;0.0;2102.1491423740763;0.0;0.0;158.68680638753094;225.71259205290158;0.0;0.0;0.0;0.03600870215232121;0.0;0.0;0.0;0.0;0.0;0.0027239720224584646;0.0;0.0;0.0;0.0;0.0;0.0006565471028489632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6008702152321195e-05;0.0;0.0;0.0;0.0;0.0;7.201740430464245e-06
2023-01-01 07:00:00;0.0;0.1473908729465879;0.0;0.0;2105.8029126532565;0.06276688294760902;0.0;159.27472415931524;229.39936760367496;0.0;0.0;0.0;0.03799356344443217;0.0;0.0;0.0;0.0;0.0;0.0028741220224584646;0.0;0.0;0.0;0.0;0.0;0.0006927371028489632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.799356344443219e-05;0.0;0.0;0.0;0.0;0.0;7.598712688886435e-06
2023-01-01 08:00:00;0.0;0.17819087294658792;0.0;0.0;2076.5304451431994;0.0003842356690120141;0.0;159.87362341868268;230.628292787266;0.0;0.0;0.0;0.045933008612876046;0.0;0.0;0.0;0.0;0.0;0.003474722022458463;0.0;0.0;0.0;0.0;0.0;0.0008374971028489633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5933008612876026e-05;0.0;0.0;0.0;0.0;0.0;9.18660172257521e-06
2023-01-01 09:00:00;0.0;0.1897408729465879;0.0;0.0;2064.793844033577;0.0;0.0;160.46085664079683;231.65239710692532;0.0;0.0;0.0;0.04891030055104251;0.0;0.0;0.0;0.0;0.0;0.0036999470224584625;0.0;0.0;0.0;0.0;0.0;0.0008917821028489629;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.891030055104249e-05;0.0;0.0;0.0;0.0;0.0;9.7820601102085e-06
