;id;Floors;Height;Heating System;Cooling System;Name;End Use;Envelope;ExtWallCoeff;VolCoeff;Solar Technologies;Number of occupants;Simulate;Lower End Use;Upper End Use;Solar technologies;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;2;6.4;IdealLoad;IdealLoad;Building_1;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_1 thermal zone single End Use': {'Zone volume [m3]': 2509.7765456250004, 'Zone net floor area [m2]': 1074.39064453125, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 566.1060754293952, 'Zone external walls glazed area [m2]': 80.8722964899136, 'Zone opaque heat transfer loss [W/K]': 296.1567321878292, 'Zone glazed heat transfer loss [W/K]': 159.31842408512978, 'Zone design heating load [kW]': 21.827594559357795, 'Zone design cooling load [kW]': -35.80358231450608}, 'Total': {'Zone volume [m3]': 2509.7765456250004, 'Zone net floor area [m2]': 1074.39064453125, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 566.1060754293952, 'Zone external walls glazed area [m2]': 80.8722964899136, 'Zone opaque heat transfer loss [W/K]': 296.1567321878292, 'Zone glazed heat transfer loss [W/K]': 159.31842408512978, 'Zone design heating load [kW]': 21.827594559357795, 'Zone design cooling load [kW]': -35.80358231450608}};2509.7765456250004;1074.39064453125;14.0;566.1060754293952;80.8722964899136;296.1567321878292;159.31842408512978;21.827594559357795;-35.80358231450608;0.0;9.103274590362805;0.0;0.0;3.180373628471157;0.0;0.0;8.227832533230922;0.0;0.0;2.4461325193305776;-0.05343235499165537;0.0;9.106034590362805;0.0;0.0;2.5417352594258587;-2.140851273612778;0.0;8.762700571318845;0.0;0.0;2.429271916834587;-4.05625204762235;0.0;9.068774590362805;0.0;0.0;2.300143954384333;-7.560194148848743;0.0;8.733720571318845;0.0;0.0;2.589266749721758;-6.509826829880985;0.0;9.103274590362805;0.0;0.0;2.297068544441622;-8.06839310446587;0.0;9.137774590362806;0.0;0.0;2.2603937231251487;-6.786865935326597;0.0;8.768220571318846;0.0;0.0;2.2732883038295872;-2.5504673996706195;0.0;9.137774590362806;0.0;0.0;2.3212901978626146;-3.278665315026114;0.0;8.799960571318845;0.0;0.0;2.2734264158054485;-0.7550832811075519;0.0;9.002534590362806;0.0;0.0;2.6234836226500504;0.0;0.0;106.95187695104593;0.0;0.0;29.535874835882748;-41.76003169055326
2;2;2;6.4;IdealLoad;IdealLoad;Building_2;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_2 thermal zone single End Use': {'Zone volume [m3]': 2486.409063125, 'Zone net floor area [m2]': 1064.38744140625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 569.1658223420052, 'Zone external walls glazed area [m2]': 81.30940319171502, 'Zone opaque heat transfer loss [W/K]': 295.1487505238523, 'Zone glazed heat transfer loss [W/K]': 160.1795242876786, 'Zone design heating load [kW]': 21.796268017300765, 'Zone design cooling load [kW]': -35.840696185965605}, 'Total': {'Zone volume [m3]': 2486.409063125, 'Zone net floor area [m2]': 1064.38744140625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 569.1658223420052, 'Zone external walls glazed area [m2]': 81.30940319171502, 'Zone opaque heat transfer loss [W/K]': 295.1487505238523, 'Zone glazed heat transfer loss [W/K]': 160.1795242876786, 'Zone design heating load [kW]': 21.796268017300765, 'Zone design cooling load [kW]': -35.840696185965605}};2486.409063125;1064.38744140625;14.0;569.1658223420052;81.30940319171502;295.1487505238523;160.1795242876786;21.796268017300765;-35.840696185965605;0.0;9.09942024563534;0.0;0.0;3.1486854931376316;0.0;0.0;8.224351189606114;0.0;0.0;2.4272600046786352;-0.056213457697972216;0.0;9.10218024563534;0.0;0.0;2.52060125727581;-2.167439461547928;0.0;8.758970560292266;0.0;0.0;2.4128660095818044;-4.1707151593454075;0.0;9.06492024563534;0.0;0.0;2.2833373947420688;-7.643471791354905;0.0;8.729990560292267;0.0;0.0;2.5706098142619647;-6.6131757279161425;0.0;9.09942024563534;0.0;0.0;2.2820129965350415;-8.14635622814886;0.0;9.13392024563534;0.0;0.0;2.2453828019609166;-6.854948932754293;0.0;8.764490560292266;0.0;0.0;2.253617436330412;-2.6230313772293607;0.0;9.13392024563534;0.0;0.0;2.3063926540022286;-3.304227825539664;0.0;8.796230560292264;0.0;0.0;2.2673147693420885;-0.7809642398421494;0.0;8.99868024563534;0.0;0.0;2.5992133134537907;0.0;0.0;106.90649515022253;0.0;0.0;29.317293945302392;-42.36054420137669
3;3;2;6.4;IdealLoad;IdealLoad;Building_3;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_3 thermal zone single End Use': {'Zone volume [m3]': 2494.409498125, 'Zone net floor area [m2]': 1067.81228515625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 565.2135216108692, 'Zone external walls glazed area [m2]': 80.74478880155274, 'Zone opaque heat transfer loss [W/K]': 294.8838665890638, 'Zone glazed heat transfer loss [W/K]': 159.06723393905892, 'Zone design heating load [kW]': 21.747054270823792, 'Zone design cooling load [kW]': -35.7465543827408}, 'Total': {'Zone volume [m3]': 2494.409498125, 'Zone net floor area [m2]': 1067.81228515625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 565.2135216108692, 'Zone external walls glazed area [m2]': 80.74478880155274, 'Zone opaque heat transfer loss [W/K]': 294.8838665890638, 'Zone glazed heat transfer loss [W/K]': 159.06723393905892, 'Zone design heating load [kW]': 21.747054270823792, 'Zone design cooling load [kW]': -35.7465543827408}};2494.409498125;1067.81228515625;14.0;565.2135216108692;80.74478880155274;294.8838665890638;159.06723393905892;21.747054270823792;-35.7465543827408;0.0;9.100739875786328;0.0;0.0;3.152802995360625;0.0;0.0;8.225543113613458;0.0;0.0;2.4284088797233268;-0.059720304537305056;0.0;9.103499875786328;0.0;0.0;2.5274543224413737;-2.2534592286800574;0.0;8.760247621728706;0.0;0.0;2.416863221845344;-4.30022120734119;0.0;9.066239875786328;0.0;0.0;2.2880398274063434;-7.7947339644201845;0.0;8.731267621728707;0.0;0.0;2.5815429554021883;-6.788200795759329;0.0;9.100739875786328;0.0;0.0;2.288257724911013;-8.340672141005834;0.0;9.13523987578633;0.0;0.0;2.2493069555346703;-6.97914928224686;0.0;8.765767621728706;0.0;0.0;2.2576532437594543;-2.6645152561718097;0.0;9.13523987578633;0.0;0.0;2.312309944214054;-3.3209863316302224;0.0;8.797507621728705;0.0;0.0;2.2732433188722205;-0.7977663198449335;0.0;8.999999875786328;0.0;0.0;2.5999900474811533;0.0;0.0;106.92203273103259;0.0;0.0;29.375873436951768;-43.29942483163772
4;4;2;6.4;IdealLoad;IdealLoad;Building_4;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_4 thermal zone single End Use': {'Zone volume [m3]': 2538.4160881250004, 'Zone net floor area [m2]': 1086.65072265625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 568.1824328905191, 'Zone external walls glazed area [m2]': 81.16891898435988, 'Zone opaque heat transfer loss [W/K]': 298.6156801452903, 'Zone glazed heat transfer loss [W/K]': 159.90277039918897, 'Zone design heating load [kW]': 21.98621772657727, 'Zone design cooling load [kW]': -35.063876358145656}, 'Total': {'Zone volume [m3]': 2538.4160881250004, 'Zone net floor area [m2]': 1086.65072265625, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 568.1824328905191, 'Zone external walls glazed area [m2]': 81.16891898435988, 'Zone opaque heat transfer loss [W/K]': 298.6156801452903, 'Zone glazed heat transfer loss [W/K]': 159.90277039918897, 'Zone design heating load [kW]': 21.98621772657727, 'Zone design cooling load [kW]': -35.063876358145656}};2538.4160881250004;1086.65072265625;14.0;568.1824328905191;81.16891898435988;298.6156801452903;159.90277039918897;21.98621772657727;-35.063876358145656;0.0;9.10799853397256;0.0;0.0;3.3116847429061993;0.0;0.0;8.232099321007475;0.0;0.0;2.5837833357784903;0.0;0.0;9.11075853397256;0.0;0.0;2.564108690890828;-1.7405020235436892;0.0;8.767272129650864;0.0;0.0;2.45237529039454;-4.233092672438636;0.0;9.073498533972561;0.0;0.0;2.31837282482399;-8.314221019703197;0.0;8.738292129650866;0.0;0.0;2.610946965774945;-7.29096954912213;0.0;9.10799853397256;0.0;0.0;2.3139979724798625;-8.85014340956676;0.0;9.14249853397256;0.0;0.0;2.278100018628291;-7.147026637037128;0.0;8.772792129650865;0.0;0.0;2.300281830377523;-2.368361465584884;0.0;9.14249853397256;0.0;0.0;2.3313738395065027;-2.717236943768118;0.0;8.804532129650864;0.0;0.0;2.2900916927896753;-0.43160309103325994;0.0;9.007258533972559;0.0;0.0;2.72093296196019;0.0;0.0;107.00749757741886;0.0;0.0;30.076050166311035;-43.09315681179781
5;5;2;6.4;IdealLoad;IdealLoad;Building_5;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_5 thermal zone single End Use': {'Zone volume [m3]': 2672.849420625, 'Zone net floor area [m2]': 1144.19923828125, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 611.0236911154827, 'Zone external walls glazed area [m2]': 87.28909873078325, 'Zone opaque heat transfer loss [W/K]': 317.1078494506576, 'Zone glazed heat transfer loss [W/K]': 171.959524499643, 'Zone design heating load [kW]': 23.41370690837937, 'Zone design cooling load [kW]': -36.49144461806205}, 'Total': {'Zone volume [m3]': 2672.849420625, 'Zone net floor area [m2]': 1144.19923828125, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 611.0236911154827, 'Zone external walls glazed area [m2]': 87.28909873078325, 'Zone opaque heat transfer loss [W/K]': 317.1078494506576, 'Zone glazed heat transfer loss [W/K]': 171.959524499643, 'Zone design heating load [kW]': 23.41370690837937, 'Zone design cooling load [kW]': -36.49144461806205}};2672.849420625;1144.19923828125;15.0;611.0236911154827;87.28909873078325;317.1078494506576;171.959524499643;23.41370690837937;-36.49144461806205;0.0;9.130172613115107;0.0;0.0;3.850570210687356;-0.011925472508370425;0.0;8.252127521523322;0.0;0.0;3.0701444863747085;-0.008178050564204183;0.0;9.132932613115106;0.0;0.0;2.7904177331985247;-1.423131152566097;0.0;8.788730915917846;0.0;0.0;2.626374752219154;-4.16504147525526;0.0;9.095672613115106;0.0;0.0;2.4673697048649115;-8.397463738249952;0.0;8.759750915917847;0.0;0.0;2.771169065603688;-7.5054657044063315;0.0;9.130172613115107;0.0;0.0;2.45290718612619;-9.052469911244032;0.0;9.164672613115107;0.0;0.0;2.415827835694222;-7.178611753635681;0.0;8.794250915917846;0.0;0.0;2.418636110261714;-2.1060638892199846;0.0;9.164672613115107;0.0;0.0;2.472006417229852;-2.321197418073401;0.0;8.825990915917846;0.0;0.0;2.3724238014030528;-0.022988583606784463;0.0;9.029432613115107;0.0;0.0;3.165706706285897;0.0;0.0;107.26857947700046;0.0;0.0;32.873554009949274;-42.1925371493301
6;6;2;6.4;IdealLoad;IdealLoad;Building_6;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_6 thermal zone single End Use': {'Zone volume [m3]': 2377.3149887500003, 'Zone net floor area [m2]': 1017.6862109375, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 557.745527498729, 'Zone external walls glazed area [m2]': 79.67793249981844, 'Zone opaque heat transfer loss [W/K]': 285.04478557942065, 'Zone glazed heat transfer loss [W/K]': 156.9655270246423, 'Zone design heating load [kW]': 21.11958883079877, 'Zone design cooling load [kW]': -34.47202069736083}, 'Total': {'Zone volume [m3]': 2377.3149887500003, 'Zone net floor area [m2]': 1017.6862109375, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 557.745527498729, 'Zone external walls glazed area [m2]': 79.67793249981844, 'Zone opaque heat transfer loss [W/K]': 285.04478557942065, 'Zone glazed heat transfer loss [W/K]': 156.9655270246423, 'Zone design heating load [kW]': 21.11958883079877, 'Zone design cooling load [kW]': -34.47202069736083}};2377.3149887500003;1017.6862109375;13.0;557.745527498729;79.67793249981844;285.04478557942065;156.9655270246423;21.11958883079877;-34.47202069736083;0.0;9.08142574535637;0.0;0.0;3.003554391085842;0.0;0.0;8.208098092579949;0.0;0.0;2.353190864956212;0.0;0.0;9.08418574535637;0.0;0.0;2.3640528002320593;-1.7356219007056017;0.0;8.741556527764232;0.0;0.0;2.267536975645685;-4.548770042753049;0.0;9.04692574535637;0.0;0.0;2.153450362007541;-8.55023673127696;0.0;8.71257652776423;0.0;0.0;2.429560912056318;-7.695469439684295;0.0;9.08142574535637;0.0;0.0;2.1550709650338233;-9.17773874908612;0.0;9.11592574535637;0.0;0.0;2.125241789463187;-7.417948379960216;0.0;8.747076527764232;0.0;0.0;2.141542339097399;-2.552049931778465;0.0;9.11592574535637;0.0;0.0;2.1686753129054726;-2.693343141852471;0.0;8.778816527764231;0.0;0.0;2.1364606645976045;-0.5606100690711375;0.0;8.98068574535637;0.0;0.0;2.4473360272409046;0.0;0.0;106.69462442113145;0.0;0.0;27.74567340432205;-44.931788386168314
7;7;2;6.4;IdealLoad;IdealLoad;Building_7;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_7 thermal zone single End Use': {'Zone volume [m3]': 2750.286999375, 'Zone net floor area [m2]': 1177.34888671875, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 614.7271936948976, 'Zone external walls glazed area [m2]': 87.81817052784251, 'Zone opaque heat transfer loss [W/K]': 323.3552769845222, 'Zone glazed heat transfer loss [W/K]': 173.00179593984976, 'Zone design heating load [kW]': 23.80317582808813, 'Zone design cooling load [kW]': -37.65576075416488}, 'Total': {'Zone volume [m3]': 2750.286999375, 'Zone net floor area [m2]': 1177.34888671875, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 614.7271936948976, 'Zone external walls glazed area [m2]': 87.81817052784251, 'Zone opaque heat transfer loss [W/K]': 323.3552769845222, 'Zone glazed heat transfer loss [W/K]': 173.00179593984976, 'Zone design heating load [kW]': 23.80317582808813, 'Zone design cooling load [kW]': -37.65576075416488}};2750.286999375;1177.34888671875;15.0;614.7271936948976;87.81817052784251;323.3552769845222;173.00179593984976;23.80317582808813;-37.65576075416488;0.0;9.142945539054509;0.0;0.0;3.780337512258414;-0.004356265033590346;0.0;8.263664357855687;0.0;0.0;2.9281371242754832;-0.005003380504051471;0.0;9.145705539054509;0.0;0.0;2.8433434144213554;-1.5585739425066305;0.0;8.801091811988236;0.0;0.0;2.6921305716200683;-3.8261926156261397;0.0;9.108445539054507;0.0;0.0;2.5270278395447088;-7.535982701001191;0.0;8.772111811988236;0.0;0.0;2.8391614539515917;-6.403721743324821;0.0;9.142945539054509;0.0;0.0;2.513266400031668;-8.06500552206201;0.0;9.177445539054508;0.0;0.0;2.465879738414474;-6.71355113757202;0.0;8.806611811988235;0.0;0.0;2.4670232123537543;-2.069328424694785;0.0;9.177445539054508;0.0;0.0;2.5321287309661513;-2.7221977771691526;0.0;8.838351811988236;0.0;0.0;2.437729245604751;-0.2259475535790971;0.0;9.042205539054509;0.0;0.0;3.1706280502863975;0.0;0.0;107.41897037919018;0.0;0.0;33.19679329372882;-39.1298610630735
8;8;2;6.4;IdealLoad;IdealLoad;Building_8;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_8 thermal zone single End Use': {'Zone volume [m3]': 2345.5042350000003, 'Zone net floor area [m2]': 1004.06859375, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 556.6941950808782, 'Zone external walls glazed area [m2]': 79.52774215441117, 'Zone opaque heat transfer loss [W/K]': 282.57709893573445, 'Zone glazed heat transfer loss [W/K]': 156.66965204419, 'Zone design heating load [kW]': 20.969297299997027, 'Zone design cooling load [kW]': -34.551837846005775}, 'Total': {'Zone volume [m3]': 2345.5042350000003, 'Zone net floor area [m2]': 1004.06859375, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 556.6941950808782, 'Zone external walls glazed area [m2]': 79.52774215441117, 'Zone opaque heat transfer loss [W/K]': 282.57709893573445, 'Zone glazed heat transfer loss [W/K]': 156.66965204419, 'Zone design heating load [kW]': 20.969297299997027, 'Zone design cooling load [kW]': -34.551837846005775}};2345.5042350000003;1004.06859375;13.0;556.6941950808782;79.52774215441117;282.57709893573445;156.66965204419;20.969297299997027;-34.551837846005775;0.0;9.076178726941228;0.0;0.0;2.899761020684586;0.0;0.0;8.203358850140464;0.0;0.0;2.261103802560982;-0.03600944189561353;0.0;9.078938726941228;0.0;0.0;2.340966472109436;-2.0123966721128626;0.0;8.736478768007641;0.0;0.0;2.2394858994274696;-4.410379817996548;0.0;9.041678726941226;0.0;0.0;2.1300039090349125;-8.418359740585784;0.0;8.70749876800764;0.0;0.0;2.4013261130165073;-7.525247117804258;0.0;9.076178726941228;0.0;0.0;2.1338643088820928;-8.9713493204386;0.0;9.110678726941227;0.0;0.0;2.1031600117707328;-7.34726247502849;0.0;8.74199876800764;0.0;0.0;2.1131242760333686;-2.6617451842899733;0.0;9.110678726941227;0.0;0.0;2.1546026429130576;-3.045723112480932;0.0;8.773738768007641;0.0;0.0;2.1355683014143274;-0.8062689614026908;0.0;8.975438726941228;0.0;0.0;2.376398515167499;0.0;0.0;106.63284501075961;0.0;0.0;27.28936527301497;-45.23474184403576
9;9;2;6.4;IdealLoad;IdealLoad;Building_9;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_9 thermal zone single End Use': {'Zone volume [m3]': 2394.28758, 'Zone net floor area [m2]': 1024.951875, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 552.8735228185653, 'Zone external walls glazed area [m2]': 78.98193183122362, 'Zone opaque heat transfer loss [W/K]': 285.2204991668987, 'Zone glazed heat transfer loss [W/K]': 155.5944057075105, 'Zone design heating load [kW]': 21.087667483476437, 'Zone design cooling load [kW]': -34.370054200651765}, 'Total': {'Zone volume [m3]': 2394.28758, 'Zone net floor area [m2]': 1024.951875, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 552.8735228185653, 'Zone external walls glazed area [m2]': 78.98193183122362, 'Zone opaque heat transfer loss [W/K]': 285.2204991668987, 'Zone glazed heat transfer loss [W/K]': 155.5944057075105, 'Zone design heating load [kW]': 21.087667483476437, 'Zone design cooling load [kW]': -34.370054200651765}};2394.28758;1024.951875;13.0;552.8735228185653;78.98193183122362;285.2204991668987;155.5944057075105;21.087667483476437;-34.370054200651765;0.0;9.084225286025584;0.0;0.0;2.9953913062778135;0.0;0.0;8.210626709958593;0.0;0.0;2.325419238198787;-0.0024300990658803205;0.0;9.086985286025584;0.0;0.0;2.380431390270604;-2.1095371418633526;0.0;8.74426576066992;0.0;0.0;2.281432395980856;-4.561450004972219;0.0;9.049725286025582;0.0;0.0;2.1655534877989644;-8.489312702405371;0.0;8.71528576066992;0.0;0.0;2.4440971929631887;-7.581795095116682;0.0;9.084225286025584;0.0;0.0;2.166931698560955;-9.076826416316834;0.0;9.118725286025583;0.0;0.0;2.136093622697921;-7.375012936547785;0.0;8.74978576066992;0.0;0.0;2.1491812203772183;-2.6864523788583705;0.0;9.118725286025583;0.0;0.0;2.183835102624792;-3.031329804283546;0.0;8.78152576066992;0.0;0.0;2.1620369206400802;-0.6837213253443666;0.0;8.983485286025584;0.0;0.0;2.447894881989933;0.0;0.0;106.72758675481735;0.0;0.0;27.83829845838111;-45.59786790477441
10;10;2;6.4;IdealLoad;IdealLoad;Building_1;residential;A;0.92;0.73;;33;True;;;;{'TZ Bd Building_1 thermal zone single End Use': {'Zone volume [m3]': 2571.840780625, 'Zone net floor area [m2]': 1100.95923828125, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 568.3348000200738, 'Zone external walls glazed area [m2]': 81.1906857171534, 'Zone opaque heat transfer loss [W/K]': 301.00858232062177, 'Zone glazed heat transfer loss [W/K]': 159.9456508627922, 'Zone design heating load [kW]': 22.12448349184447, 'Zone design cooling load [kW]': -35.99147591799122}, 'Total': {'Zone volume [m3]': 2571.840780625, 'Zone net floor area [m2]': 1100.95923828125, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 568.3348000200738, 'Zone external walls glazed area [m2]': 81.1906857171534, 'Zone opaque heat transfer loss [W/K]': 301.00858232062177, 'Zone glazed heat transfer loss [W/K]': 159.9456508627922, 'Zone design heating load [kW]': 22.12448349184447, 'Zone design cooling load [kW]': -35.99147591799122}};2571.840780625;1100.95923828125;14.0;568.3348000200738;81.1906857171534;301.00858232062177;159.9456508627922;22.12448349184447;-35.99147591799122;0.0;9.113511763192033;0.0;0.0;3.3122614775066372;0.0;0.0;8.237079011915386;0.0;0.0;2.538069908110576;-0.0085959036596878;0.0;9.116271763192033;0.0;0.0;2.598243520377572;-1.961618273499727;0.0;8.772607512766484;0.0;0.0;2.4896118603193576;-4.010849837085489;0.0;9.079011763192034;0.0;0.0;2.345737985413047;-7.530808713180623;0.0;8.743627512766485;0.0;0.0;2.6400909178271412;-6.495024682647821;0.0;9.113511763192033;0.0;0.0;2.337655686469904;-8.076047872206367;0.0;9.148011763192033;0.0;0.0;2.303908372189863;-6.73445777714502;0.0;8.778127512766485;0.0;0.0;2.3250982588529947;-2.41133486918241;0.0;9.148011763192033;0.0;0.0;2.36260548710945;-3.138498988290171;0.0;8.809867512766484;0.0;0.0;2.3196102557030476;-0.5970160376253667;0.0;9.012771763192033;0.0;0.0;2.7372631502550813;0.0;0.0;107.07241140532557;0.0;0.0;30.310156880134674;-40.96425295452269
