;id;Floors;Height;Heating System;Cooling System;End Use;Envelope;ExtWallCoeff;VolCoeff;Solar Technologies;Number of occupants;Name;area;Simulate;Lower End Use;Upper End Use;Solar technologies;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;2;6.4;IdealLoad;IdealLoad;residential;B;0.7705479452054794;0.7551369863013698;;24;BD_1;584;True;;;;{'TZ Bd BD_1 thermal zone single End Use': {'Zone volume [m3]': 2174.4517631910157, 'Zone net floor area [m2]': 899.858155969071, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 419.95553009019307, 'Zone external walls glazed area [m2]': 121.92257325199152, 'Zone opaque heat transfer loss [W/K]': 297.40768258174955, 'Zone glazed heat transfer loss [W/K]': 329.19094778037714, 'Zone design heating load [kW]': 30.99319595231035, 'Zone design cooling load [kW]': -16.074906303904992}, 'Total': {'Zone volume [m3]': 2174.4517631910157, 'Zone net floor area [m2]': 899.858155969071, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 419.95553009019307, 'Zone external walls glazed area [m2]': 121.92257325199152, 'Zone opaque heat transfer loss [W/K]': 297.40768258174955, 'Zone glazed heat transfer loss [W/K]': 329.19094778037714, 'Zone design heating load [kW]': 30.99319595231035, 'Zone design cooling load [kW]': -16.074906303904992}};2174.4517631910157;899.858155969071;12.0;419.95553009019307;121.92257325199152;297.40768258174955;329.19094778037714;30.99319595231035;-16.074906303904992;0.0;1.5291145111891897;0.0;0.0;16.424050987019328;0.0;0.0;1.3813550423644292;0.0;0.0;13.122866480844692;0.0;0.0;1.5288645111891896;0.0;0.0;11.38199110297672;0.0;0.0;1.4768446882476027;0.0;0.0;8.612488070186654;0.0;0.0;1.5266645111891894;0.0;0.0;3.992026970454711;0.0;0.0;1.4738946882476027;0.0;0.0;2.8213127131916775;-0.09903863522472743;0.0;1.5291145111891897;0.0;0.0;1.9080247559802659;-0.1310894469868347;0.0;1.5315645111891896;0.0;0.0;2.105830922730825;-0.2490397908105027;0.0;1.4763446882476028;0.0;0.0;5.877317420841435;-0.05958242722563695;0.0;1.5315645111891896;0.0;0.0;8.736481810508346;0.0;0.0;1.479044688247603;0.0;0.0;11.52979265855097;0.0;0.0;1.5215145111891892;0.0;0.0;14.752264932928602;0.0;0.0;17.985885373679167;0.0;0.0;101.26444882621422;-0.5387503002477019
2;2;2;6.4;IdealLoad;IdealLoad;residential;B;0.7772020725388601;0.7616580310880828;;24;BD_2;579;True;;;;{'TZ Bd BD_2 thermal zone single End Use': {'Zone volume [m3]': 2191.5726324028833, 'Zone net floor area [m2]': 899.1783972231217, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 425.8715080440131, 'Zone external walls glazed area [m2]': 123.64011523858446, 'Zone opaque heat transfer loss [W/K]': 298.49199404361855, 'Zone glazed heat transfer loss [W/K]': 333.82831114417803, 'Zone design heating load [kW]': 31.27031601660978, 'Zone design cooling load [kW]': -16.19084993627122}, 'Total': {'Zone volume [m3]': 2191.5726324028833, 'Zone net floor area [m2]': 899.1783972231217, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 425.8715080440131, 'Zone external walls glazed area [m2]': 123.64011523858446, 'Zone opaque heat transfer loss [W/K]': 298.49199404361855, 'Zone glazed heat transfer loss [W/K]': 333.82831114417803, 'Zone design heating load [kW]': 31.27031601660978, 'Zone design cooling load [kW]': -16.19084993627122}};2191.5726324028833;899.1783972231217;12.0;425.8715080440131;123.64011523858446;298.49199404361855;333.82831114417803;31.27031601660978;-16.19084993627122;0.0;1.5319385095371671;0.0;0.0;16.570649045142837;0.0;0.0;1.3839057505496994;0.0;0.0;13.243984699625322;0.0;0.0;1.5316885095371673;0.0;0.0;11.47736276505171;0.0;0.0;1.479577589874678;0.0;0.0;8.653510185170381;0.0;0.0;1.529488509537167;0.0;0.0;4.0104800699864205;0.0;0.0;1.476627589874678;0.0;0.0;2.828572137803765;-0.09915393427024283;0.0;1.5319385095371671;0.0;0.0;1.907690802176047;-0.1311759864423157;0.0;1.5343885095371672;0.0;0.0;2.1063704909049505;-0.24907232942090882;0.0;1.479077589874678;0.0;0.0;5.917642517992908;-0.05971596515057128;0.0;1.5343885095371672;0.0;0.0;8.808070643970508;0.0;0.0;1.481777589874678;0.0;0.0;11.631193623241124;0.0;0.0;1.524338509537167;0.0;0.0;14.884171498960574;0.0;0.0;18.019135676808578;0.0;0.0;102.03969848002653;-0.5391182152840387
3;3;2;6.4;IdealLoad;IdealLoad;residential;B;0.7758620689655172;0.7603448275862069;;24;BD_3;580;True;;;;{'TZ Bd BD_3 thermal zone single End Use': {'Zone volume [m3]': 2191.0494544719827, 'Zone net floor area [m2]': 900.516357421875, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 422.1850838761847, 'Zone external walls glazed area [m2]': 122.56986306082783, 'Zone opaque heat transfer loss [W/K]': 298.02892071458473, 'Zone glazed heat transfer loss [W/K]': 330.9386302642351, 'Zone design heating load [kW]': 31.12840729089698, 'Zone design cooling load [kW]': -16.127726684099436}, 'Total': {'Zone volume [m3]': 2191.0494544719827, 'Zone net floor area [m2]': 900.516357421875, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 422.1850838761847, 'Zone external walls glazed area [m2]': 122.56986306082783, 'Zone opaque heat transfer loss [W/K]': 298.02892071458473, 'Zone glazed heat transfer loss [W/K]': 330.9386302642351, 'Zone design heating load [kW]': 31.12840729089698, 'Zone design cooling load [kW]': -16.127726684099436}};2191.0494544719827;900.516357421875;12.0;422.1850838761847;122.56986306082783;298.02892071458473;330.9386302642351;31.12840729089698;-16.127726684099436;0.0;1.5318522140579902;0.0;0.0;16.50692314415534;0.0;0.0;1.3838278062459266;0.0;0.0;13.19070163600897;0.0;0.0;1.5316022140579904;0.0;0.0;11.419835232318382;0.0;0.0;1.4794940781206358;0.0;0.0;8.599375115217292;0.0;0.0;1.5294022140579902;0.0;0.0;3.987738863959291;0.0;0.0;1.4765440781206358;0.0;0.0;2.805531525569379;-0.09859873339324987;0.0;1.5318522140579902;0.0;0.0;1.9104222557614374;-0.1280190644223236;0.0;1.5343022140579903;0.0;0.0;2.0875195106275894;-0.24050938510884917;0.0;1.4789940781206359;0.0;0.0;5.891294488993784;-0.05969877575645563;0.0;1.5343022140579903;0.0;0.0;8.77546507094073;0.0;0.0;1.4816940781206358;0.0;0.0;11.585860729557801;0.0;0.0;1.5242522140579902;0.0;0.0;14.825543884939679;0.0;0.0;18.0181196171344;0.0;0.0;101.58621145804968;-0.5268259586808783
4;4;2;6.4;IdealLoad;IdealLoad;residential;B;0.7614213197969543;0.7461928934010151;;24;BD_4;591;True;;;;{'TZ Bd BD_4 thermal zone single End Use': {'Zone volume [m3]': 2147.4757365398486, 'Zone net floor area [m2]': 899.3467689165609, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 416.5035017405355, 'Zone external walls glazed area [m2]': 120.92037147305872, 'Zone opaque heat transfer loss [W/K]': 296.5638591386129, 'Zone glazed heat transfer loss [W/K]': 326.48500297725855, 'Zone design heating load [kW]': 30.786052806261246, 'Zone design cooling load [kW]': -20.02053139374643}, 'Total': {'Zone volume [m3]': 2147.4757365398486, 'Zone net floor area [m2]': 899.3467689165609, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 416.5035017405355, 'Zone external walls glazed area [m2]': 120.92037147305872, 'Zone opaque heat transfer loss [W/K]': 296.5638591386129, 'Zone glazed heat transfer loss [W/K]': 326.48500297725855, 'Zone design heating load [kW]': 30.786052806261246, 'Zone design cooling load [kW]': -20.02053139374643}};2147.4757365398486;899.3467689165609;12.0;416.5035017405355;120.92037147305872;296.5638591386129;326.48500297725855;30.786052806261246;-20.02053139374643;0.0;1.524664955868418;0.0;0.0;16.35870422936107;0.0;0.0;1.3773360891714745;0.0;0.0;13.132251281511877;0.0;0.0;1.524414955868418;0.0;0.0;11.36839206801176;0.0;0.0;1.4725386669694367;0.0;0.0;8.49404666625965;0.0;0.0;1.522214955868418;0.0;0.0;3.8913226366264055;0.0;0.0;1.469588666969437;0.0;0.0;2.7295342848085378;-0.09295884923724165;0.0;1.524664955868418;0.0;0.0;1.9112795530484954;-0.11525744411030373;0.0;1.527114955868418;0.0;0.0;2.057084546004213;-0.2261609547219369;0.0;1.4720386669694367;0.0;0.0;5.83607534693432;-0.05932325188909486;0.0;1.527114955868418;0.0;0.0;8.779682659002862;0.0;0.0;1.474738666969437;0.0;0.0;11.51071587293335;0.0;0.0;1.517064955868418;0.0;0.0;14.67277052267795;0.0;0.0;17.933495448128145;0.0;0.0;100.74185966718049;-0.4937004999585771
5;5;2;6.4;IdealLoad;IdealLoad;residential;A;0.8191318327974276;0.8027491961414791;;24;BD_5;622;True;;;;{'TZ Bd BD_5 thermal zone single End Use': {'Zone volume [m3]': 2616.9624328598616, 'Zone net floor area [m2]': 1018.7500208029793, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 481.856448309575, 'Zone external walls glazed area [m2]': 139.89380757374758, 'Zone opaque heat transfer loss [W/K]': 338.0492339817034, 'Zone glazed heat transfer loss [W/K]': 377.71328044911854, 'Zone design heating load [kW]': 35.690060419708445, 'Zone design cooling load [kW]': -22.706565763465264}, 'Total': {'Zone volume [m3]': 2616.9624328598616, 'Zone net floor area [m2]': 1018.7500208029793, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 481.856448309575, 'Zone external walls glazed area [m2]': 139.89380757374758, 'Zone opaque heat transfer loss [W/K]': 338.0492339817034, 'Zone glazed heat transfer loss [W/K]': 377.71328044911854, 'Zone design heating load [kW]': 35.690060419708445, 'Zone design cooling load [kW]': -22.706565763465264}};2616.9624328598616;1018.7500208029793;13.0;481.856448309575;139.89380757374758;338.0492339817034;377.71328044911854;35.690060419708445;-22.706565763465264;0.0;1.6021043450955834;0.0;0.0;19.434095111302884;0.0;0.0;1.4472813439573011;0.0;0.0;15.638055435005878;0.0;0.0;1.6018543450955833;0.0;0.0;13.571634152880373;0.0;0.0;1.5474800113828227;0.0;0.0;10.146388592563413;0.0;0.0;1.5996543450955834;0.0;0.0;4.6888056467913515;0.0;0.0;1.5445300113828224;0.0;0.0;3.306602632798222;-0.11533645167865214;0.0;1.6021043450955834;0.0;0.0;2.1327105878751103;-0.16310862922233305;0.0;1.6045543450955833;0.0;0.0;2.511009982436354;-0.299624267267525;0.0;1.5469800113828225;0.0;0.0;7.129169128219769;-0.06376526047853792;0.0;1.6045543450955833;0.0;0.0;10.482548289381318;0.0;0.0;1.5496800113828226;0.0;0.0;13.691905520656945;0.0;0.0;1.5945043450955831;0.0;0.0;17.413517611526885;0.0;0.0;18.845281805157672;0.0;0.0;120.14644269143851;-0.6418346086470481
6;6;2;6.4;IdealLoad;IdealLoad;residential;B;0.8137432188065099;0.7974683544303797;;24;BD_6;553;True;;;;{'TZ Bd BD_6 thermal zone single End Use': {'Zone volume [m3]': 2297.084025997436, 'Zone net floor area [m2]': 900.1470141557413, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 436.9475424060331, 'Zone external walls glazed area [m2]': 126.85573811788059, 'Zone opaque heat transfer loss [W/K]': 301.0431646964768, 'Zone glazed heat transfer loss [W/K]': 342.51049291827763, 'Zone design heating load [kW]': 31.96920568589135, 'Zone design cooling load [kW]': -20.639357959331804}, 'Total': {'Zone volume [m3]': 2297.084025997436, 'Zone net floor area [m2]': 900.1470141557413, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 436.9475424060331, 'Zone external walls glazed area [m2]': 126.85573811788059, 'Zone opaque heat transfer loss [W/K]': 301.0431646964768, 'Zone glazed heat transfer loss [W/K]': 342.51049291827763, 'Zone design heating load [kW]': 31.96920568589135, 'Zone design cooling load [kW]': -20.639357959331804}};2297.084025997436;900.1470141557413;12.0;436.9475424060331;126.85573811788059;301.0431646964768;342.51049291827763;31.96920568589135;-20.639357959331804;0.0;1.5493420652513419;0.0;0.0;17.11371204700371;0.0;0.0;1.3996250911947605;0.0;0.0;13.773781289219242;0.0;0.0;1.5490920652513418;0.0;0.0;11.951194353584336;0.0;0.0;1.4964197405658146;0.0;0.0;8.8511916919277;0.0;0.0;1.546892065251342;0.0;0.0;4.031930001406249;0.0;0.0;1.4934697405658148;0.0;0.0;2.823234525578652;-0.0980608462226737;0.0;1.5493420652513419;0.0;0.0;1.9145070542998428;-0.1251410038618219;0.0;1.5517920652513422;0.0;0.0;2.1227051285547827;-0.2529272592306089;0.0;1.4959197405658147;0.0;0.0;6.181303102386427;-0.06049396488350389;0.0;1.5517920652513422;0.0;0.0;9.233230264090503;0.0;0.0;1.498619740565815;0.0;0.0;12.04009004457443;0.0;0.0;1.541742065251342;0.0;0.0;15.337610985771846;0.0;0.0;18.224048510217415;0.0;0.0;105.37449048839771;-0.5366230741986083
7;7;2;6.4;IdealLoad;IdealLoad;residential;A;0.79609375;0.780171875;;24;BD_7;640;True;;;;{'TZ Bd BD_7 thermal zone single End Use': {'Zone volume [m3]': 2543.441966743641, 'Zone net floor area [m2]': 1018.7827068328858, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 471.1426951093779, 'Zone external walls glazed area [m2]': 136.78336309627102, 'Zone opaque heat transfer loss [W/K]': 335.8069453116153, 'Zone glazed heat transfer loss [W/K]': 369.3150803599318, 'Zone design heating load [kW]': 35.084952226336235, 'Zone design cooling load [kW]': -17.88731895100835}, 'Total': {'Zone volume [m3]': 2543.441966743641, 'Zone net floor area [m2]': 1018.7827068328858, 'Number of units [-]': 13.0, 'Zone external walls opaque area [m2]': 471.1426951093779, 'Zone external walls glazed area [m2]': 136.78336309627102, 'Zone opaque heat transfer loss [W/K]': 335.8069453116153, 'Zone glazed heat transfer loss [W/K]': 369.3150803599318, 'Zone design heating load [kW]': 35.084952226336235, 'Zone design cooling load [kW]': -17.88731895100835}};2543.441966743641;1018.7827068328858;13.0;471.1426951093779;136.78336309627102;335.8069453116153;369.3150803599318;35.084952226336235;-17.88731895100835;0.0;1.5899775265161364;0.0;0.0;18.954370100587727;0.0;0.0;1.4363280884661878;0.0;0.0;15.189687358023063;0.0;0.0;1.5897275265161366;0.0;0.0;13.22345452803712;0.0;0.0;1.5357443804994868;0.0;0.0;10.01315154114918;0.0;0.0;1.5875275265161366;0.0;0.0;4.695075238864253;0.0;0.0;1.5327943804994868;0.0;0.0;3.361715396556836;-0.11747757580395561;0.0;1.5899775265161364;0.0;0.0;2.129895526017376;-0.17381873649638374;0.0;1.5924275265161365;0.0;0.0;2.5109750653527696;-0.30056892878860203;0.0;1.5352443804994869;0.0;0.0;6.966101347981813;-0.06304119953550448;0.0;1.5924275265161365;0.0;0.0;10.170174137157787;0.0;0.0;1.537944380499487;0.0;0.0;13.32484713430858;0.0;0.0;1.5823775265161364;0.0;0.0;17.021617356887976;0.0;0.0;18.70249829607709;0.0;0.0;117.56106473092449;-0.6549064406244458
8;8;2;6.4;IdealLoad;IdealLoad;residential;B;0.8241758241758241;0.8076923076923076;;24;BD_8;546;True;;;;{'TZ Bd BD_8 thermal zone single End Use': {'Zone volume [m3]': 2324.8308062130177, 'Zone net floor area [m2]': 899.4881095467033, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 441.71524249643085, 'Zone external walls glazed area [m2]': 128.23990911186704, 'Zone opaque heat transfer loss [W/K]': 301.891186393859, 'Zone glazed heat transfer loss [W/K]': 346.247754602041, 'Zone design heating load [kW]': 32.22148980179654, 'Zone design cooling load [kW]': -20.79112066794992}, 'Total': {'Zone volume [m3]': 2324.8308062130177, 'Zone net floor area [m2]': 899.4881095467033, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 441.71524249643085, 'Zone external walls glazed area [m2]': 128.23990911186704, 'Zone opaque heat transfer loss [W/K]': 301.891186393859, 'Zone glazed heat transfer loss [W/K]': 346.247754602041, 'Zone design heating load [kW]': 32.22148980179654, 'Zone design cooling load [kW]': -20.79112066794992}};2324.8308062130177;899.4881095467033;12.0;441.71524249643085;128.23990911186704;301.891186393859;346.247754602041;32.22148980179654;-20.79112066794992;0.0;1.5539187523646452;0.0;0.0;17.22327355258647;0.0;0.0;1.4037588731035502;0.0;0.0;13.812791089859637;0.0;0.0;1.553668752364645;0.0;0.0;12.004571100137218;0.0;0.0;1.5008487926109466;0.0;0.0;8.954796567197246;0.0;0.0;1.5514687523646449;0.0;0.0;4.068697700778368;0.0;0.0;1.4978987926109466;0.0;0.0;2.8610269291566697;-0.10016366423235173;0.0;1.5539187523646452;0.0;0.0;1.912489248102904;-0.13224140119769287;0.0;1.556368752364645;0.0;0.0;2.14541359564431;-0.2595927496188646;0.0;1.5003487926109467;0.0;0.0;6.232174470120822;-0.0609777867293043;0.0;1.556368752364645;0.0;0.0;9.228358728810264;0.0;0.0;1.5030487926109468;0.0;0.0;12.09429702694802;0.0;0.0;1.5463187523646447;0.0;0.0;15.451490024862796;0.0;0.0;18.27793531009985;0.0;0.0;105.98938003420473;-0.5529756017782135
9;9;2;6.4;IdealLoad;IdealLoad;residential;B;0.8078994614003591;0.7917414721723519;;24;BD_9;557;True;;;;{'TZ Bd BD_9 thermal zone single End Use': {'Zone volume [m3]': 2280.3753517336077, 'Zone net floor area [m2]': 900.0631171454219, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 430.0202751719496, 'Zone external walls glazed area [m2]': 124.84459601766278, 'Zone opaque heat transfer loss [W/K]': 299.56893252242, 'Zone glazed heat transfer loss [W/K]': 337.08040924768954, 'Zone design heating load [kW]': 31.643314118326597, 'Zone design cooling load [kW]': -20.447713328780814}, 'Total': {'Zone volume [m3]': 2280.3753517336077, 'Zone net floor area [m2]': 900.0631171454219, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 430.0202751719496, 'Zone external walls glazed area [m2]': 124.84459601766278, 'Zone opaque heat transfer loss [W/K]': 299.56893252242, 'Zone glazed heat transfer loss [W/K]': 337.08040924768954, 'Zone design heating load [kW]': 31.643314118326597, 'Zone design cooling load [kW]': -20.447713328780814}};2280.3753517336077;900.0631171454219;12.0;430.0202751719496;124.84459601766278;299.56893252242;337.08040924768954;31.643314118326597;-20.447713328780814;0.0;1.5465860563166296;0.0;0.0;16.9232499864777;0.0;0.0;1.397135792802117;0.0;0.0;13.582693284904321;0.0;0.0;1.5463360563166295;0.0;0.0;11.746494198163825;0.0;0.0;1.4937526351451254;0.0;0.0;8.765845052379971;0.0;0.0;1.5441360563166295;0.0;0.0;4.014526351223787;0.0;0.0;1.4908026351451253;0.0;0.0;2.8199043532161108;-0.09892830484894483;0.0;1.5465860563166296;0.0;0.0;1.9133907602363596;-0.12656946013814302;0.0;1.5490360563166297;0.0;0.0;2.121053575915691;-0.2526558087338536;0.0;1.4932526351451254;0.0;0.0;6.089751751446729;-0.06053340180849356;0.0;1.5490360563166297;0.0;0.0;9.053923944597452;0.0;0.0;1.4959526351451253;0.0;0.0;11.893361284426627;0.0;0.0;1.5389860563166293;0.0;0.0;15.177080564829248;0.0;0.0;18.191598727599022;0.0;0.0;104.10127510781783;-0.538686975529435
10;10;2;6.4;IdealLoad;IdealLoad;residential;B;0.7525083612040134;0.7374581939799332;;24;BD_10;598;True;;;;{'TZ Bd BD_10 thermal zone single End Use': {'Zone volume [m3]': 2125.1134807548997, 'Zone net floor area [m2]': 900.5228610341765, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 411.73842727726117, 'Zone external walls glazed area [m2]': 119.53696275791454, 'Zone opaque heat transfer loss [W/K]': 295.8366349186708, 'Zone glazed heat transfer loss [W/K]': 322.74979944636925, 'Zone design heating load [kW]': 30.550522074213582, 'Zone design cooling load [kW]': -15.902202774470853}, 'Total': {'Zone volume [m3]': 2125.1134807548997, 'Zone net floor area [m2]': 900.5228610341765, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 411.73842727726117, 'Zone external walls glazed area [m2]': 119.53696275791454, 'Zone opaque heat transfer loss [W/K]': 295.8366349186708, 'Zone glazed heat transfer loss [W/K]': 322.74979944636925, 'Zone design heating load [kW]': 30.550522074213582, 'Zone design cooling load [kW]': -15.902202774470853}};2125.1134807548997;900.5228610341765;12.0;411.73842727726117;119.53696275791454;295.8366349186708;322.74979944636925;30.550522074213582;-15.902202774470853;0.0;1.5209764180604208;0.0;0.0;16.18165664736408;0.0;0.0;1.374004506635219;0.0;0.0;12.937157593991474;0.0;0.0;1.520726418060421;0.0;0.0;11.21243052130676;0.0;0.0;1.46896911425202;0.0;0.0;8.469085829165381;0.0;0.0;1.5185264180604208;0.0;0.0;3.940969595138707;0.0;0.0;1.46601911425202;0.0;0.0;2.773416896172755;-0.09692353390159093;0.0;1.5209764180604208;0.0;0.0;1.9090577962787605;-0.12564379146479412;0.0;1.523426418060421;0.0;0.0;2.072489813708071;-0.23656168932239885;0.0;1.46846911425202;0.0;0.0;5.775309446543719;-0.05894396753113336;0.0;1.523426418060421;0.0;0.0;8.61618396744047;0.0;0.0;1.47116911425202;0.0;0.0;11.373976490955178;0.0;0.0;1.5133764180604208;0.0;0.0;14.533504271148221;0.0;0.0;17.890065890066246;0.0;0.0;99.79523886921359;-0.5180729822199173
