;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-01-01 00:00:00;151.06130369943145;156676.09060746036;16.385677289207187;131.53183186135695;834761.9128944323;0.0;576152.3061747486;393908.206462543;2198.518141181932;0.0
2023-01-01 01:00:00;149.68964646677136;154865.28556066484;15.62968515311439;119.97142557394125;754110.5298981634;0.0;590151.0912965472;393908.206462543;2207.3122137466607;0.0
2023-01-01 02:00:00;148.89991519128293;154001.21755329915;15.193213453829083;116.31243717171377;709525.5456951509;0.0;605973.7523428168;393908.206462543;2216.1062863113875;0.0
2023-01-01 03:00:00;152.58719390569456;154233.198129386;15.139927929085333;118.50828687641099;687181.5648906281;0.0;652548.6522645355;393908.206462543;4207.963722222218;0.0
2023-01-01 04:00:00;152.58346912928187;160847.72437904758;15.06465184690631;117.35428919113284;671908.4223177489;0.0;667732.4700278351;393908.206462543;4326.683701846043;0.0
2023-01-01 05:00:00;150.80752177863135;154278.06308526837;14.981760880844236;118.88037045092487;660101.9344046117;0.0;667289.0970647463;393908.206462543;4581.7118062231475;0.0
2023-01-01 06:00:00;154.64419486099285;202911.71866887607;16.835321138068817;120.85109677489804;665568.0136849193;0.0;667852.9931900514;393908.206462543;50317.206643727426;0.0
2023-01-01 07:00:00;157.53956728069684;236668.88112180683;16.3081469085954;120.42659295166341;644731.4730602601;0.0;667852.9931900514;393908.206462543;50396.353296809975;0.0
2023-01-01 08:00:00;152.85555281499708;233831.6925875792;16.088805324566135;119.20832389297581;629316.1298886228;0.0;660239.5563976683;393908.206462543;50422.73551450416;0.0
2023-01-01 09:00:00;151.28769860942245;214416.39064469622;15.101462554383465;118.3542529409538;636643.7644815778;0.0;651648.7495279283;393908.206462543;50444.72069591598;0.0
2023-01-01 10:00:00;148.78127657736383;207787.94597164926;14.797500892588497;116.30836136723273;619340.4918193963;0.0;643959.7886291955;393908.206462543;50453.51476848071;0.0
2023-01-01 11:00:00;149.7528351620114;224839.1640748095;15.78149268352428;114.70953863577311;596581.8529092262;0.0;643959.7886291955;393908.206462543;50449.11773219834;0.0
2023-01-01 12:00:00;143.96943723684385;212637.7226678624;14.36818542808889;113.3967186367811;582093.67641745;0.0;637192.5494893625;393908.206462543;50453.51476848071;0.0
2023-01-01 13:00:00;140.5887315698977;212028.32554550868;14.171449316975542;111.73021988364748;565285.4769592502;0.0;621653.7172629276;393908.206462543;50466.7058773278;0.0
2023-01-01 14:00:00;137.81186835120266;211560.1794508971;14.053056732039085;110.7651987058232;556845.7173169206;0.0;605973.7523428168;393908.206462543;50453.51476848071;0.0
2023-01-01 15:00:00;135.99355731315703;205361.35728718113;14.017368077718732;110.57847663111917;558355.601174511;0.0;590151.0912965472;393908.206462543;50462.30884104544;0.0
2023-01-01 16:00:00;134.38326866117814;221048.93677877248;14.74390324065686;110.09749912931755;539503.6852819652;0.0;581180.9471915732;393908.206462543;50457.91180476307;0.0
2023-01-01 17:00:00;133.53832932330914;232850.72473414277;14.762877339639681;110.33144368580845;526242.6817030886;0.0;589750.2489570315;393908.206462543;50457.91180476307;0.0
2023-01-01 18:00:00;127.67297790262357;226075.78634560388;14.115407122551105;108.96790846603328;525776.7819634208;0.0;606170.1845390182;393908.206462543;4990.636180482987;0.0
2023-01-01 19:00:00;125.24500021747528;231878.77903294197;14.080168851645121;110.07347693835636;505407.11927308195;0.0;606170.1845390182;393908.206462543;4981.842107918259;0.0
2023-01-01 20:00:00;124.70809542063907;231965.56481796963;14.097709499946674;108.87675466684;505221.1940334641;0.0;605539.2223839462;393908.206462543;4933.474708812257;0.0
2023-01-01 21:00:00;121.83990875348442;219217.27982950344;12.532873849009817;111.07677370793134;505682.00779578974;0.0;605973.7523428168;393908.206462543;4845.53398316498;0.0
2023-01-01 22:00:00;127.90863777250512;165682.94844581065;13.663502279692082;112.54405785889654;519271.07816419355;0.0;637192.5494893625;393908.206462543;4273.919266457677;0.0
2023-01-01 23:00:00;133.70279413371478;167146.9366439343;14.112298894979036;117.05099729901542;535379.7161071599;0.0;682977.6555609729;393908.206462543;2189.7240686172045;0.0
2023-01-02 00:00:00;150.7113259327097;126463.43159536328;14.734646717351273;127.79899848382165;639137.198483383;0.0;742140.8092052684;393908.206462543;2198.518141181932;0.0
2023-01-02 01:00:00;152.79209587448486;127301.31107714325;15.027860702132365;128.90120580332297;651920.7166756062;0.0;756605.0563551746;393908.206462543;2207.3122137466607;0.0
2023-01-02 02:00:00;153.86997678484863;127846.55479500386;15.23103111296975;130.4439263120414;659987.3545904953;0.0;763789.1909331464;393908.206462543;2216.1062863113875;0.0
2023-01-02 03:00:00;152.95375461304022;127907.23549491579;15.286419124611802;131.86137435393294;661133.4346579148;0.0;756605.0563551746;393908.206462543;4207.963722222218;0.0
2023-01-02 04:00:00;154.91998510691568;135016.87352672272;15.474748826257965;131.87534092486584;667053.3974302323;0.0;770941.5698324422;393908.206462543;4326.683701846043;0.0
2023-01-02 05:00:00;156.90818969813915;129052.59097393819;15.666055942927382;134.9679408711294;673696.7669307127;0.0;785151.7663042385;393908.206462543;4581.7118062231475;0.0
2023-01-02 06:00:00;162.63991251211223;169783.45380591118;17.72806685807248;137.65471343244133;680862.9935528797;0.0;799237.0485064283;393908.206462543;50317.206643727426;0.0
2023-01-02 07:00:00;166.03051813032732;185410.98167914152;16.535907681849096;137.34921608244207;680670.3079235752;0.0;792209.9345586805;393908.206462543;50396.353296809975;0.0
2023-01-02 08:00:00;161.02654809785946;182222.53836913448;16.164605073834274;134.224111400682;662390.6352073422;0.0;778062.3696980439;393908.206462543;50422.73551450416;0.0
2023-01-02 09:00:00;155.97892859143383;179931.65702240224;15.487083121403247;128.10025771893172;624438.7836133735;0.0;756605.0563551746;393908.206462543;50444.72069591598;0.0
2023-01-02 10:00:00;141.32601604640803;176777.56184684462;11.948521355251868;118.04251417120948;569058.9377124663;0.0;697967.287316316;393908.206462543;50453.51476848071;0.0
2023-01-02 11:00:00;138.89424467621734;185505.8317347981;14.87944307188111;106.7202732313115;509015.1121976355;0.0;621653.7172629276;393908.206462543;50449.11773219834;0.0
2023-01-02 12:00:00;122.95403001662504;176965.39333163365;13.999085336623303;93.88965020314957;447128.3047197951;0.0;508841.53379877715;393908.206462543;50453.51476848071;0.0
2023-01-02 13:00:00;110.0291606381172;174056.76490824574;12.361913350726836;84.6500720250267;402391.72803629003;0.0;422573.6400999419;393908.206462543;50466.7058773278;0.0
2023-01-02 14:00:00;100.1163927184179;171716.75156903788;11.072157701028916;78.13043400279827;371773.61066479766;0.0;354314.58740425494;393908.206462543;50453.51476848071;0.0
2023-01-02 15:00:00;93.32753818226647;169616.1133586994;10.681439466235199;73.75555811030063;353436.3144155224;0.0;295990.88996745576;393908.206462543;50462.30884104544;0.0
2023-01-02 16:00:00;93.12816369921187;170184.54190149484;10.852080453728364;75.3630158556864;362956.9237307053;0.0;286785.15830855886;393908.206462543;50457.91180476307;0.0
2023-01-02 17:00:00;97.3099832595058;171705.48328449286;11.137618501654948;79.26870587085723;376211.04171129793;0.0;323353.95993841696;393908.206462543;50457.91180476307;0.0
2023-01-02 18:00:00;97.77458071725007;166639.81373915682;10.983008044571825;83.6619682301127;401935.79086344456;0.0;392876.78180658456;393908.206462543;4990.636180482987;0.0
2023-01-02 19:00:00;99.85622014360578;167747.27450926165;11.232096645093916;88.47277391631326;417298.3156188183;0.0;408859.16438685486;393908.206462543;4981.842107918259;0.0
2023-01-02 20:00:00;100.73440421576548;168418.11709728494;11.439721856278156;89.26791925371178;431188.4589957042;0.0;414979.0442020073;393908.206462543;4933.474708812257;0.0
2023-01-02 21:00:00;98.78331832264058;156077.54713618185;10.023604124068369;92.90395109959701;441771.4317619052;0.0;423720.99436784;393908.206462543;4845.53398316498;0.0
2023-01-02 22:00:00;107.10452899642205;116824.20840167817;11.297697069534724;95.48368909060282;456265.09182946355;0.0;476155.3266363545;393908.206462543;4273.919266457677;0.0
2023-01-02 23:00:00;119.94227548724493;118856.68865211745;12.002606531141828;102.48429388184992;476468.744488518;0.0;580732.1448184658;393908.206462543;2189.7240686172045;0.0
2023-01-03 00:00:00;135.69490515476195;120366.70667202353;12.826320492161924;112.03707860081184;499068.77706208813;0.0;705579.283041514;393908.206462543;2198.518141181932;0.0
2023-01-03 01:00:00;143.73483994381522;122123.35818495472;13.40700009857612;116.20782754323761;522754.14769246266;0.0;764124.9233781582;393908.206462543;2207.3122137466607;0.0
2023-01-03 02:00:00;149.54764904895723;123884.97019200727;13.95989825716564;121.55837252029198;549814.7810066456;0.0;802821.1414494757;393908.206462543;2216.1062863113875;0.0
2023-01-03 03:00:00;153.51656071935736;125559.68933715021;14.474643769606026;127.94044550234815;578264.6917444693;0.0;825777.5169564527;393908.206462543;4207.963722222218;0.0
2023-01-03 04:00:00;155.8856658794781;133280.348831147;14.863562119196644;129.8564802539807;600248.6672183006;0.0;837190.5253306929;393908.206462543;4326.683701846043;0.0
2023-01-03 05:00:00;156.46684617158144;127461.19139495138;15.119344303409703;133.25775723024904;615703.9092071019;0.0;835775.8399204022;393908.206462543;4581.7118062231475;0.0
2023-01-03 06:00:00;157.93355479575834;167789.27065777837;17.070734002334436;134.3317616434926;623876.591287895;0.0;813965.9130842127;393908.206462543;50317.206643727426;0.0
2023-01-03 07:00:00;163.6119683747791;183744.40477819162;16.00048752377182;135.01355536693524;628839.0897689138;0.0;821237.1334271722;393908.206462543;50396.353296809975;0.0
2023-01-03 08:00:00;165.46523372786697;181605.37942809198;16.069008410366997;135.76447433381523;628116.9709900387;0.0;850309.5696204863;393908.206462543;50422.73551450416;0.0
2023-01-03 09:00:00;167.82709842208516;180636.91495205832;15.975021872185156;134.82152251763338;616760.9568804281;0.0;874023.5891214344;393908.206462543;50444.72069591598;0.0
2023-01-03 10:00:00;167.37155036977873;179945.66938762454;15.807475797199245;133.2991359353036;606882.903764436;0.0;874023.5891214344;393908.206462543;50453.51476848071;0.0
2023-01-03 11:00:00;168.40300579776235;191401.04968702525;16.793324972145253;131.23498305225525;598801.3419316651;0.0;851927.5863321912;393908.206462543;50449.11773219834;0.0
2023-01-03 12:00:00;162.46779603363626;186275.9758227963;16.117938900796027;129.47151606524073;594376.1552492022;0.0;822448.3472414406;393908.206462543;50453.51476848071;0.0
2023-01-03 13:00:00;161.80409560637503;185746.27053600093;15.995609162784303;128.12366717918087;586932.2704788195;0.0;817301.9331566156;393908.206462543;50466.7058773278;0.0
2023-01-03 14:00:00;163.35715230668757;185292.1229420696;15.95301700787928;127.40956588170262;579598.4371601376;0.0;829093.2227008461;393908.206462543;50453.51476848071;0.0
2023-01-03 15:00:00;166.5058004953903;184587.98529526772;15.97736361162704;127.12996873112786;572306.5222087314;0.0;852259.2536526973;393908.206462543;50462.30884104544;0.0
2023-01-03 16:00:00;167.16790386007065;185010.03389106054;16.024415200477776;127.40357165969893;573876.815177297;0.0;854051.1501598748;393908.206462543;50457.91180476307;0.0
2023-01-03 17:00:00;168.12034910560735;185791.12219090888;16.070076662005526;128.12817716471142;577111.0753209012;0.0;860264.0035486664;393908.206462543;50457.91180476307;0.0
2023-01-03 18:00:00;159.44847129065369;179067.90888711793;15.403706283321146;126.37304224588206;583221.2253430809;0.0;856827.1245368719;393908.206462543;4990.636180482987;0.0
2023-01-03 19:00:00;160.5722806299019;179757.2764304058;15.502378925831904;129.24748263296405;590253.3143973856;0.0;861513.5510183716;393908.206462543;4981.842107918259;0.0
2023-01-03 20:00:00;162.30997101198594;180494.31264370872;15.702761389247806;129.82467476980784;603004.6972610464;0.0;871230.2900033144;393908.206462543;4933.474708812257;0.0
2023-01-03 21:00:00;160.71708629789794;168380.34210388467;14.31366982491645;133.68899054795887;617681.2698698873;0.0;874023.5891214344;393908.206462543;4845.53398316498;0.0
2023-01-03 22:00:00;163.7354494759341;128660.70198413143;15.399643635118117;134.11673047730156;631216.3058129977;0.0;878464.1084221528;393908.206462543;4273.919266457677;0.0
2023-01-03 23:00:00;166.83504288706547;129739.27293516905;15.735757038350643;137.02323604945192;647112.1025643558;0.0;896645.5934149019;393908.206462543;2189.7240686172045;0.0
2023-01-04 00:00:00;160.93706883490185;157814.93891246893;16.044935498192334;138.32300347520695;593993.3176909161;0.0;908553.5430217799;393908.206462543;2198.518141181932;0.0
2023-01-04 01:00:00;162.34443051368117;158500.36563277448;16.27216719080858;138.57334891934883;605909.2756386608;0.0;914270.3651580613;393908.206462543;2207.3122137466607;0.0
2023-01-04 02:00:00;162.0029120661061;158896.94647786143;16.405181578900557;139.30470937776838;614495.1751126538;0.0;907086.3033212498;393908.206462543;2216.1062863113875;0.0
2023-01-04 03:00:00;162.491893751591;159296.8927033252;16.541650338521542;141.604351736344;621824.7056089327;0.0;906735.874003353;393908.206462543;4207.963722222218;0.0
2023-01-04 04:00:00;162.02090480764608;165870.8930676321;16.577075566891914;139.8524204525171;623472.9569630539;0.0;900367.764636743;393908.206462543;4326.683701846043;0.0
2023-01-04 05:00:00;161.41870825349184;159001.3284556413;16.51944022621171;140.10798542631088;618231.0303839608;0.0;894829.5952722431;393908.206462543;4581.7118062231475;0.0
2023-01-04 06:00:00;165.2585734188836;206955.5908417963;18.255313680135558;139.56168998661968;622014.168305801;0.0;883277.7694033709;393908.206462543;50317.206643727426;0.0
2023-01-04 07:00:00;168.99022704398286;240379.57927737615;17.663073659344246;137.56599591776114;602353.8965976606;0.0;877641.1378385914;393908.206462543;50396.353296809975;0.0
