Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
16803734.50;1166110653.92;0.00;13249670.95;155989.86;0;0;0;0;0.00;0.00;0.00
16073137.35;982157395.63;0.00;11967444.73;131489.41;0;0;0;0;0.00;0.00;0.00
17899630.23;867673002.09;0.00;13249670.95;116516.56;0;0;0;0;0.00;0.00;0.00
16803734.50;607019818.81;0.00;12822262.21;81984.34;0;0;0;0;0.00;0.00;0.00
18264928.80;0.00;0.00;13249670.95;1752.49;0;0;0;0;0.00;0.00;0.00
17169033.08;63417582.74;-40660057.27;12822262.21;10083.98;0;0;0;0;0.00;0.00;17911.92
17534331.65;0.00;-89446189.95;13249670.95;1752.49;0;0;0;0;0.00;0.00;39403.61
18264928.80;7899898.88;-124798459.03;13249670.95;2797.38;0;0;0;0;0.00;0.00;54977.29
16438435.92;108130043.11;-0.00;12822262.21;15997.94;0;0;0;0;0.00;0.00;0.00
18264928.80;311068516.04;0.00;13249670.95;42896.43;0;0;0;0;0.00;0.00;0.00
17534331.65;745268757.30;0.00;12822262.21;100270.04;0;0;0;0;0.00;0.00;0.00
17169033.08;1087607237.54;0.00;13249670.95;145606.49;0;0;0;0;0.00;0.00;0.00
