Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
14582105.31;191210099.46;0.00;20273058.03;28333.39;0;0;0;0;0.00;0.00;0.00
13220305.32;159998479.28;0.00;18267431.10;23883.12;0;0;0;0;0.00;0.00;0.00
14643932.16;136489594.22;0.00;20230706.13;20996.55;0;0;0;0;0.00;0.00;0.00
14141315.22;88190451.61;0.00;19590398.42;14439.91;0;0;0;0;0.00;0.00;0.00
14660964.72;0.00;0.00;20188354.24;2704.73;0;0;0;0;0.00;0.00;0.00
14163712.36;8388542.51;-23682962.40;19590398.42;3748.47;0;0;0;0;0.00;0.00;10433.02
14621535.01;0.00;-36731428.62;20230706.13;2710.40;0;0;0;0;0.00;0.00;16181.25
14660964.72;1044956.85;-37460597.94;20188354.24;2844.73;0;0;0;0;0.00;0.00;16502.47
14124282.66;13870952.76;-13661866.40;19632750.32;4488.65;0;0;0;0;0.00;0.00;6018.44
14660964.72;43269505.42;0.00;20188354.24;8501.75;0;0;0;0;0.00;0.00;0.00
14180744.92;120769948.49;0.00;19548046.53;18799.06;0;0;0;0;0.00;0.00;0.00
14604502.46;177944761.26;0.00;20273058.03;26556.17;0;0;0;0;0.00;0.00;0.00
