Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
5850587.86;85739231.04;0.00;9495351.70;0;0;0;0;0;0.00;35593.09;-0.00
5282233.44;71219964.01;0.00;8559326.97;0;0;0;0;0;0.00;29816.81;-0.00
5848487.12;57804881.25;0.00;9478766.97;0;0;0;0;0;0.00;25146.67;-0.00
5660436.14;34401609.39;0.00;9177815.21;0;0;0;0;0;0.00;16287.43;-0.00
5846386.39;0.00;0.00;9462182.24;0;0;0;0;0;0.00;3536.41;-0.00
5660436.14;1762285.02;-9844426.87;9177815.21;0;0;0;0;0;0.00;4088.77;5025.20
5848487.12;0.00;-15755937.28;9478766.97;0;0;0;0;0;0.00;3542.61;8042.80
5846386.39;219527.03;-13657614.55;9462182.24;0;0;0;0;0;0.00;3618.45;6971.68
5662536.88;2835644.97;-5780959.68;9194399.94;0;0;0;0;0;0.00;4496.12;2950.96
5846386.39;16404217.22;0.00;9462182.24;0;0;0;0;0;0.00;9667.34;-0.00
5658335.40;53244715.42;0.00;9161230.48;0;0;0;0;0;0.00;23323.68;-0.00
5850587.86;79409659.16;0.00;9495351.70;0;0;0;0;0;0.00;33227.47;-0.00
