Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
4315619.44;383890285.04;0.00;5216098.41;54266.90;0;0;0;0;0.00;0.00;0.00
4090847.59;320117437.81;0.00;4711314.70;45302.39;0;0;0;0;0.00;0.00;0.00
4551629.88;268557793.94;0.00;5216098.41;38182.00;0;0;0;0;0.00;0.00;0.00
4293142.25;168606282.83;0.00;5047837.17;24218.75;0;0;0;0;0.00;0.00;0.00
4630300.02;0.00;0.00;5216098.41;727.47;0;0;0;0;0.00;0.00;0.00
4371812.40;13657514.21;-17702638.65;5047837.17;2608.75;0;0;0;0;0.00;0.00;9036.51
4472959.73;0.00;-34521750.18;5216098.41;727.47;0;0;0;0;0.00;0.00;17622.02
4630300.02;1701310.21;-37382904.98;5216098.41;964.74;0;0;0;0;0.00;0.00;19082.53
4214472.11;23286721.70;-3979775.02;5047837.17;3951.69;0;0;0;0;0.00;0.00;2031.52
4630300.02;80495653.17;0.00;5216098.41;11953.83;0;0;0;0;0.00;0.00;0.00
4450482.55;241748917.35;0.00;5047837.17;34419.62;0;0;0;0;0.00;0.00;0.00
4394289.58;357213323.60;0.00;5216098.41;50546.39;0;0;0;0;0.00;0.00;0.00
