;Gas consumption [Sm3];Electric Load [MW];Oil consumption [L];Wood consumption [kg];TZ sensible load [kW];TZ latent load [kW];TZ AHU pre heater load [kW];TZ AHU post heater load [kW];TZ DHW demand [kW];Net PV production to grid [MW];Total Primary Energy [MW];Non-Renewable Primary Energy [MW];CO2 Emission [ton CO2];Gas Primary Non-Renewable Energy [MW];Oil Primary Non-Renewable Energy [MW];Wood Primary Non-Renewable Energy [MW];Coal Primary Non-Renewable Energy [MW];Solar Primary Non-Renewable Energy [MW];Grid Electricity Primary Non-Renewable Energy [MW];Gas Primary Renewable Energy [MW];Oil Primary Renewable Energy [MW];Wood Primary Renewable Energy [MW];Coal Primary Renewable Energy [MW];Solar Primary Renewable Energy [MW];Grid Electricity Primary Renewable Energy [MW];Gas CO2 Emission Scope 1 [ton CO2];Oil CO2 Emission Scope 1 [ton CO2];Wood CO2 Emission Scope 1 [ton CO2];Coal CO2 Emission Scope 1 [ton CO2];Solar CO2 Emission Scope 1 [ton CO2];Grid CO2 Emission Scope 1 [ton CO2];Gas CO2 Emission Scope 2 [ton CO2];Oil CO2 Emission Scope 2 [ton CO2];Wood CO2 Emission Scope 2 [ton CO2];Coal CO2 Emission Scope 2 [ton CO2];Solar CO2 Emission Scope 2 [ton CO2];Grid CO2 Emission Scope 2 [ton CO2];Gas CO2 Emission Scope 3 [ton CO2];Oil CO2 Emission Scope 3 [ton CO2];Wood CO2 Emission Scope 3 [ton CO2];Coal CO2 Emission Scope 3 [ton CO2];Solar CO2 Emission Scope 3 [ton CO2];Grid CO2 Emission Scope 3 [ton CO2]
2023-01-01 00:00:00;64.84783581364255;0.06555367268366365;0.0;0.0;511.0163802250896;0.0;0.0;0.0;24.483133378233635;0.0;0.8045541293727002;0.8045541293727002;17.610508599711046;0.8045541293727002;0.0;0.0;0.0;0.0;0.5578751537601886;0.0;0.0;0.0;0.0;0.0;0.13446221654732748;0.010235851266850227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0073746573328608185;0.0021375377008872294;0.0;0.0;0.0;0.0;0.0014749314665721638
2023-01-01 01:00:00;57.956776150860875;0.06351340126645652;0.0;0.0;503.38397966572376;0.0;0.0;0.0;24.58106591174657;0.0;0.7190581303485006;0.7190581303485006;9.651040333159775;0.7190581303485006;0.0;0.0;0.0;0.0;0.03804336846755306;0.0;0.0;0.0;0.0;0.0;0.009169427271666634;0.009148137839035493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005029024941242819;0.0019103921123962066;0.0;0.0;0.0;0.0;0.00010058049882485641
2023-01-01 02:00:00;63.50373864982266;0.06412260855401018;0.0;0.0;498.2078048658409;0.0;0.0;0.0;24.678998445259506;0.0;0.7878781846806198;0.7878781846806198;17.397981839284544;0.7878781846806198;0.0;0.0;0.0;0.0;0.5578472480096602;0.0;0.0;0.0;0.0;0.0;0.13445549054591813;0.010023693397825998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007374288441458548;0.002093233086473001;0.0;0.0;0.0;0.0;0.0014748576882917099
2023-01-01 03:00:00;63.3556738842337;0.0640563164569796;0.0;0.0;499.4885572215803;0.0;0.0;0.0;46.860717285939174;0.0;0.7860411747469106;0.7860411747469106;17.374593594408985;0.7860411747469106;0.0;0.0;0.0;0.0;0.5578459553137682;0.0;0.0;0.0;0.0;0.0;0.13445517897306208;0.010000322241342303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007374271353066683;0.0020883525223855744;0.0;0.0;0.0;0.0;0.0014748542706133367
2023-01-01 04:00:00;63.31643403211786;0.06447915808861406;0.0;0.0;497.5717978111195;0.0;0.0;0.0;48.182806488363795;0.0;0.7855543337496798;0.7855543337496798;17.368508811121533;0.7855543337496798;0.0;0.0;0.0;0.0;0.557854200725585;0.0;0.0;0.0;0.0;0.0;0.13445716632873075;0.009994128460394158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007374380350727374;0.002087059084258882;0.0;0.0;0.0;0.0;0.001474876070145475
2023-01-01 05:00:00;63.24674481076504;0.06741167158631976;0.0;0.0;493.2372546973364;0.0;0.0;0.0;51.0228499602389;0.0;0.7846897135181996;0.7846897135181996;17.479142175803993;0.7846897135181996;0.0;0.0;0.0;0.0;0.5670554759632801;0.0;0.0;0.0;0.0;0.0;0.13667490959114956;0.009983128424761203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007496013751042792;0.0020847619630655822;0.0;0.0;0.0;0.0;0.0014992027502085585
2023-01-01 06:00:00;63.18824522171346;0.07042460117919677;0.0;0.0;489.26282828504577;0.0;0.0;0.0;53.96082596562694;0.0;0.7839639208167546;0.7839639208167546;18.43770480572527;0.7839639208167546;0.0;0.0;0.0;0.0;0.6402669578862596;0.0;0.0;0.0;0.0;0.0;0.15432075395207284;0.009973894607083391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008463810198641885;0.0020828336785590107;0.0;0.0;0.0;0.0;0.0016927620397283768
2023-01-01 07:00:00;62.391373830366135;0.07631204397149473;0.0;0.0;481.92686183002263;0.0;0.0;0.0;54.842218767243345;0.0;0.7740772968385865;0.7740772968385865;19.401338218385003;0.7740772968385865;0.0;0.0;0.0;0.0;0.7226785840411176;0.0;0.0;0.0;0.0;0.0;0.17418406897401298;0.009848113122808734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009553225095576268;0.0020565669169872233;0.0;0.0;0.0;0.0;0.0019106450191152533
2023-01-01 08:00:00;59.51949685851255;0.0976903683627238;0.0;0.0;458.4291528004256;0.0;0.0;0.0;55.13601636778215;0.0;0.753279375445052;0.7384464936241933;22.31058517874274;0.7384464936241933;0.0;0.0;0.0;0.0;0.9770478816211604;0.0;0.0;0.0;0.0;0.014832881820858616;0.2354935919804848;0.009394804154641116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012915781024101625;0.0019619030747382977;0.0;0.0;0.0;1.779945818503034e-05;0.0025831562048203253
2023-01-01 09:00:00;56.9372000014314;0.110050079403925;0.0;0.0;438.4783922657999;0.0;0.0;0.0;55.38084770156449;0.0;0.7517112082925475;0.7064084529777591;23.764011192139954;0.7064084529777591;0.0;0.0;0.0;0.0;1.1178300730138488;0.0;0.0;0.0;0.0;0.045302755314788334;0.26942570990590203;0.00898720371240127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014776807479738684;0.0018767844764437291;0.0;0.0;0.0;5.436330637774601e-05;0.0029553614959477374
