Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
1035420.00;140292015.83;0.00;6439752.90;19403.88;0;0;0;0;0.00;0.00;0.00
938720.00;115694825.00;0.00;5816551.01;16068.73;0;0;0;0;0.00;0.00;0.00
1042780.00;88478054.25;0.00;6439752.90;12551.98;0;0;0;0;0.00;0.00;0.00
989080.00;45934984.90;0.00;6232018.93;6898.59;0;0;0;0;0.00;0.00;0.00
1030360.00;0.00;0.00;6439752.90;851.60;0;0;0;0;0.00;0.00;0.00
998740.00;0.00;-2637452.27;6232018.93;824.13;0;0;0;0;0.00;0.00;1161.87
1035420.00;0.00;-11865555.88;6439752.90;851.60;0;0;0;0;0.00;0.00;5227.12
1040480.00;0.00;-4289067.58;6439752.90;851.60;0;0;0;0;0.00;0.00;1889.46
1003800.00;0.00;-257002.99;6232018.93;824.13;0;0;0;0;0.00;0.00;113.22
1040480.00;18404849.81;0.00;6439752.90;3285.46;0;0;0;0;0.00;0.00;0.00
1001500.00;87744078.01;0.00;6232018.93;12427.45;0;0;0;0;0.00;0.00;0.00
1027600.00;130136100.38;0.00;6439752.90;18060.86;0;0;0;0;0.00;0.00;0.00
