Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
12845480.00;60419262.59;0.00;6312852.33;8930.33;0;0;0;0;0.00;0.00;0.00
11601360.00;48574021.12;0.00;5701931.14;7263.40;0;0;0;0;0.00;0.00;0.00
12833980.00;32851171.59;0.00;6312852.33;5241.07;0;0;0;0;0.00;0.00;0.00
12406700.00;12233677.74;0.00;6109211.93;2454.71;0;0;0;0;0.00;0.00;0.00
12818800.00;0.00;0.00;6312852.33;844.81;0;0;0;0;0.00;0.00;0.00
12357020.00;0.00;-8743877.53;6109211.93;817.56;0;0;0;0;0.00;0.00;3851.93
12845480.00;0.00;-20061206.09;6312852.33;844.81;0;0;0;0;0.00;0.00;8837.54
12872160.00;0.00;-13512017.72;6312852.33;844.81;0;0;0;0;0.00;0.00;5952.43
12383700.00;0.00;-3212793.34;6109211.93;817.56;0;0;0;0;0.00;0.00;1415.33
12872160.00;1821475.61;0.00;6312852.33;1088.57;0;0;0;0;0.00;0.00;0.00
12421880.00;32712571.16;0.00;6109211.93;5195.27;0;0;0;0;0.00;0.00;0.00
12753940.00;55075643.70;0.00;6312852.33;8215.23;0;0;0;0;0.00;0.00;0.00
