Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
6042100.00;40618395.45;0.00;2471512.69;0;0;0;0;0;0.00;16104.48;-0.00
5461120.00;32871132.15;0.00;2232334.04;0;0;0;0;0;0.00;13119.61;-0.00
6045780.00;22844231.58;0.00;2471512.69;0;0;0;0;0;0.00;9461.54;-0.00
5820840.00;9475661.78;0.00;2391786.47;0;0;0;0;0;0.00;4435.35;-0.00
6024160.00;0.00;0.00;2471512.69;0;0;0;0;0;0.00;923.71;-0.00
5810260.00;0.00;-5351789.48;2391786.47;0;0;0;0;0;0.00;893.91;2731.88
6042100.00;0.00;-11692988.03;2471512.69;0;0;0;0;0;0.00;923.71;5968.82
6060040.00;0.00;-7615050.20;2471512.69;0;0;0;0;0;0.00;923.71;3887.19
5828200.00;0.00;-1959355.96;2391786.47;0;0;0;0;0;0.00;893.91;1000.18
6060040.00;2336431.12;0.00;2471512.69;0;0;0;0;0;0.00;1796.93;-0.00
5842460.00;22946629.88;0.00;2391786.47;0;0;0;0;0;0.00;9470.01;-0.00
5991960.00;37239592.47;0.00;2471512.69;0;0;0;0;0;0.00;14841.68;-0.00
