Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
32041220.00;145488485.30;0.00;19069626.86;22950.17;0;0;0;0;0.00;0.00;0.00
28956720.00;116506808.62;0.00;17224179.10;18650.85;0;0;0;0;0.00;0.00;0.00
32050420.00;77508758.94;0.00;19069626.86;13469.35;0;0;0;0;0.00;0.00;0.00
30872600.00;28035079.51;0.00;18454477.61;6483.69;0;0;0;0;0.00;0.00;0.00
31942780.00;0.00;0.00;19069626.86;2659.55;0;0;0;0;0.00;0.00;0.00
30792560.00;0.00;-19783074.71;18454477.61;2573.76;0;0;0;0;0.00;0.00;10098.50
32041220.00;0.00;-48012188.13;19069626.86;2659.55;0;0;0;0;0.00;0.00;24508.37
32139660.00;0.00;-33282727.73;19069626.86;2659.55;0;0;0;0;0.00;0.00;16989.55
30891000.00;0.00;-7821708.75;18454477.61;2573.76;0;0;0;0;0.00;0.00;3992.68
32139660.00;3553569.06;0.00;19069626.86;3155.15;0;0;0;0;0.00;0.00;0.00
30980240.00;77870606.84;0.00;18454477.61;13434.02;0;0;0;0;0.00;0.00;0.00
31755100.00;132542235.27;0.00;19069626.86;21144.62;0;0;0;0;0.00;0.00;0.00
