;id;Height;Number of occupants;Heating System;Grid bus ID;Envelope;End Use;Cooling System;Solar technologies;Floors;Name;Simulate;ExtWallCoeff;VolCoeff;Lower End Use;Upper End Use;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;4.32;3;District Heating, Centralized, High Temp Radiator;45;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 1;True;1.0;1.0;;;{'TZ Bd Building 1 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0004230614391889483, 'Zone external walls glazed area [m2]': 6.043734845556404e-05, 'Zone opaque heat transfer loss [W/K]': 0.00013543066054046347, 'Zone glazed heat transfer loss [W/K]': 0.00013900590144779728, 'Zone design heating load [kW]': 9.247602289086266e-06, 'Zone design cooling load [kW]': -1.523403149364199}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0004230614391889483, 'Zone external walls glazed area [m2]': 6.043734845556404e-05, 'Zone opaque heat transfer loss [W/K]': 0.00013543066054046347, 'Zone glazed heat transfer loss [W/K]': 0.00013900590144779728, 'Zone design heating load [kW]': 9.247602289086266e-06, 'Zone design cooling load [kW]': -1.523403149364199}};1e-05;1e-05;1.0;0.0004230614391889483;6.043734845556404e-05;0.00013543066054046347;0.00013900590144779728;9.247602289086266e-06;-1.523403149364199;0.0;1.4182467615469145;0.0;0.0;0.05736006919044902;-0.9965541217948198;0.0;1.2786658644057585;0.0;0.0;0.051809094752663626;-0.8984704459772724;0.0;1.4103995926191328;0.0;0.0;0.05736006919044902;-0.9905320946918966;0.0;1.3721299430239313;0.0;0.0;0.05550974437785389;-0.9630990928070129;0.0;1.2393826664299776;0.0;0.0;0.05736006919044902;-0.8217323970883232;0.0;1.2643268276984008;0.0;0.0;0.05550974437785389;-0.8612183667474983;0.0;1.3214224423847358;0.0;0.0;0.05736006919044902;-0.9018435276914473;0.0;1.3229092641076527;0.0;0.0;0.05736006919044902;-0.9028092699375233;0.0;1.2682297561725366;0.0;0.0;0.05550974437785389;-0.8646928088724821;0.0;1.3367547361734775;0.0;0.0;0.05736006919044902;-0.9164474110361678;0.0;1.3695574038666265;0.0;0.0;0.05550974437785389;-0.9618672455629592;0.0;1.3946619096133814;0.0;0.0;0.05736006919044902;-0.9763561652990177;0.0;15.996687168042529;0.0;0.0;0.6753685565972223;-11.05562294750642
2;2;6.43000221252441;3;District Heating, Centralized, High Temp Radiator;46;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 2;True;1.0;1.0;;;{'TZ Bd Building 2 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0007032990546604859, 'Zone external walls glazed area [m2]': 0.00010047129352292653, 'Zone opaque heat transfer loss [W/K]': 0.0002251066974913555, 'Zone glazed heat transfer loss [W/K]': 0.00023108397510273102, 'Zone design heating load [kW]': 1.5343635158805663e-05, 'Zone design cooling load [kW]': -1.5234008042288392}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0007032990546604859, 'Zone external walls glazed area [m2]': 0.00010047129352292653, 'Zone opaque heat transfer loss [W/K]': 0.0002251066974913555, 'Zone glazed heat transfer loss [W/K]': 0.00023108397510273102, 'Zone design heating load [kW]': 1.5343635158805663e-05, 'Zone design cooling load [kW]': -1.5234008042288392}};1e-05;1e-05;1.0;0.0007032990546604859;0.00010047129352292653;0.0002251066974913555;0.00023108397510273102;1.5343635158805663e-05;-1.5234008042288392;0.0;1.383202334743874;0.0;0.0;0.05736006919044902;-0.9622309880352632;0.0;1.246906533368703;0.0;0.0;0.051809094752663626;-0.8673648312663673;0.0;1.3755390143425983;0.0;0.0;0.05736006919044902;-0.9563895716864604;0.0;1.3400110859946375;0.0;0.0;0.05550974437785389;-0.931642526304649;0.0;1.2393875885323433;0.0;0.0;0.05736006919044902;-0.8217420395459227;0.0;1.2643386697188457;0.0;0.0;0.05550974437785389;-0.8612415654076544;0.0;1.3214351726078974;0.0;0.0;0.05736006919044902;-0.9018684663513832;0.0;1.3229216464366822;0.0;0.0;0.05736006919044902;-0.90283352706868;0.0;1.2682411343824547;0.0;0.0;0.05550974437785389;-0.8647150989222503;0.0;1.3177741040288065;0.0;0.0;0.05736006919044902;-0.897859665546833;0.0;1.3362466268191666;0.0;0.0;0.05550974437785389;-0.9292424694793782;0.0;1.364091259883542;0.0;0.0;0.05736006919044902;-0.9464150681067073;0.0;15.780095170859553;0.0;0.0;0.6753685565972223;-10.84354581772155
3;3;4.07;3;District Heating, Centralized, High Temp Radiator;47;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 3;True;1.0;1.0;;;{'TZ Bd Building 3 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 3.5e-07, 'Zone external walls glazed area [m2]': 5e-08, 'Zone opaque heat transfer loss [W/K]': 1.63e-07, 'Zone glazed heat transfer loss [W/K]': 1.1499999999999998e-07, 'Zone design heating load [kW]': 5.2324120000000004e-08, 'Zone design cooling load [kW]': -1.5073067521253791}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 3.5e-07, 'Zone external walls glazed area [m2]': 5e-08, 'Zone opaque heat transfer loss [W/K]': 1.63e-07, 'Zone glazed heat transfer loss [W/K]': 1.1499999999999998e-07, 'Zone design heating load [kW]': 5.2324120000000004e-08, 'Zone design cooling load [kW]': -1.5073067521253791}};1e-05;1e-05;1.0;3.5e-07;5e-08;1.63e-07;1.1499999999999998e-07;5.2324120000000004e-08;-1.5073067521253791;0.0;62.81254652758693;0.0;0.0;0.05736006919044902;-61.151873775438894;0.0;57.00923662991973;0.0;0.0;0.051809094752663626;-55.50423233667949;0.0;62.65380503809394;0.0;0.0;0.05736006919044902;-60.99794593655132;0.0;57.405252747651964;0.0;0.0;0.05550974437785389;-55.86657881458772;0.0;1.2590147696862737;0.0;0.0;0.05736006919044902;-0.8601919229526463;0.0;1.278176747446184;0.0;0.0;0.05550974437785389;-0.8932642968661504;0.0;1.3349139208956546;0.0;0.0;0.05736006919044902;-0.9342792159301085;0.0;1.3361253611723478;0.0;0.0;0.05736006919044902;-0.9349784704067754;0.0;1.2815115896270646;0.0;0.0;0.05550974437785389;-0.896171825549236;0.0;34.72399403458731;0.0;0.0;0.05736006919044902;-33.63869710902775;0.0;59.85692818167699;0.0;0.0;0.05550974437785389;-58.26919829068016;0.0;54.6727873041979;0.0;0.0;0.05736006919044902;-53.18172363060165;0.0;395.6242928525423;0.0;0.0;0.6753685565972223;-383.12913562527194
4;4;5.28999900817871;4;District Heating, Centralized, High Temp Radiator;48;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 4;True;1.0;1.0;;;{'TZ Bd Building 4 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0005142444807388093, 'Zone external walls glazed area [m2]': 7.346349724840128e-05, 'Zone opaque heat transfer loss [W/K]': 0.000164609233836419, 'Zone glazed heat transfer loss [W/K]': 0.00016896604367132295, 'Zone design heating load [kW]': 1.1231114807609665e-05, 'Zone design cooling load [kW]': -1.6563531499041726}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0005142444807388093, 'Zone external walls glazed area [m2]': 7.346349724840128e-05, 'Zone opaque heat transfer loss [W/K]': 0.000164609233836419, 'Zone glazed heat transfer loss [W/K]': 0.00016896604367132295, 'Zone design heating load [kW]': 1.1231114807609665e-05, 'Zone design cooling load [kW]': -1.6563531499041726}};1e-05;1e-05;1.0;0.0005142444807388093;7.346349724840128e-05;0.000164609233836419;0.00016896604367132295;1.1231114807609665e-05;-1.6563531499041726;0.0;9.878082293649348;0.0;0.0;0.05736006919044902;-9.176643615136781;0.0;9.109810455602807;0.0;0.0;0.051809094752663626;-8.47068433974353;0.0;10.276990719971883;0.0;0.0;0.05736006919044902;-9.563500951450672;0.0;8.874124284960748;0.0;0.0;0.05550974437785389;-8.21585668723493;0.0;1.553732392381442;0.0;0.0;0.05736006919044902;-1.0252927971439534;0.0;1.5818401516784084;0.0;0.0;0.05550974437785389;-1.0676718951350266;0.0;1.643253220670833;0.0;0.0;0.05736006919044902;-1.1108176375337342;0.0;1.6508338333080885;0.0;0.0;0.05736006919044902;-1.1156236311487218;0.0;1.5931747973731116;0.0;0.0;0.05550974437785389;-1.0769666643049791;0.0;6.0252270622611865;0.0;0.0;0.05736006919044902;-5.399991856577388;0.0;9.536281839334539;0.0;0.0;0.05550974437785389;-8.858170778123192;0.0;9.50959944478594;0.0;0.0;0.05736006919044902;-8.819244629906429;0.0;71.23295049597834;0.0;0.0;0.6753685565972223;-63.90046548343934
5;5;9.6200008392334;3;District Heating, Centralized, High Temp Radiator;49;D;residential;A-W chiller, Centralized, Fan coil;PV;3;Building 5;True;1.0;1.0;;;{'TZ Bd Building 5 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0020214941965185215, 'Zone external walls glazed area [m2]': 0.0002887848852169316, 'Zone opaque heat transfer loss [W/K]': 0.0006469291428859269, 'Zone glazed heat transfer loss [W/K]': 0.0006642052359989427, 'Zone design heating load [kW]': 4.401844706779852e-05, 'Zone design cooling load [kW]': -1.5234319514823822}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0020214941965185215, 'Zone external walls glazed area [m2]': 0.0002887848852169316, 'Zone opaque heat transfer loss [W/K]': 0.0006469291428859269, 'Zone glazed heat transfer loss [W/K]': 0.0006642052359989427, 'Zone design heating load [kW]': 4.401844706779852e-05, 'Zone design cooling load [kW]': -1.5234319514823822}};1e-05;1e-05;1.0;0.0020214941965185215;0.0002887848852169316;0.0006469291428859269;0.0006642052359989427;4.401844706779852e-05;-1.5234319514823822;0.0;1.3484084890156591;0.0;0.0;0.05736006919044902;-0.9280910693587998;0.0;1.215374928370809;0.0;0.0;0.051809094752663626;-0.8364268448103105;0.0;1.340927761884448;0.0;0.0;0.05736006919044902;-0.9224317424104946;0.0;1.3081193823352073;0.0;0.0;0.05550974437785389;-0.9003519625057994;0.0;1.2393345458812595;0.0;0.0;0.05736006919044902;-0.8216381283559379;0.0;1.2643212142150682;0.0;0.0;0.05550974437785389;-0.8612073698662882;0.0;1.3214186727890496;0.0;0.0;0.05736006919044902;-0.9018361430082626;0.0;1.3229044168347195;0.0;0.0;0.05736006919044902;-0.9027997740716801;0.0;1.2682229270696566;0.0;0.0;0.05550974437785389;-0.8646794305779907;0.0;1.298903221869311;0.0;0.0;0.05736006919044902;-0.8793205025403873;0.0;1.3031741347148111;0.0;0.0;0.05550974437785389;-0.8967921700008247;0.0;1.3337321954620351;0.0;0.0;0.05736006919044902;-0.9166193454609554;0.0;15.564841890442034;0.0;0.0;0.6753685565972223;-10.63219448296773
7;7;7.07;3;District Heating, Centralized, High Temp Radiator;51;E;residential;A-W chiller, Centralized, Fan coil;;2;Building 7;True;1.0;1.0;;;{'TZ Bd Building 7 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0001456486945478077, 'Zone external walls glazed area [m2]': 2.0806956363972536e-05, 'Zone opaque heat transfer loss [W/K]': 4.087063447338617e-05, 'Zone glazed heat transfer loss [W/K]': 4.889634745533546e-05, 'Zone design heating load [kW]': 3.0537845738893238e-06, 'Zone design cooling load [kW]': -1.536938327682333}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.0001456486945478077, 'Zone external walls glazed area [m2]': 2.0806956363972536e-05, 'Zone opaque heat transfer loss [W/K]': 4.087063447338617e-05, 'Zone glazed heat transfer loss [W/K]': 4.889634745533546e-05, 'Zone design heating load [kW]': 3.0537845738893238e-06, 'Zone design cooling load [kW]': -1.536938327682333}};1e-05;1e-05;1.0;0.0001456486945478077;2.0806956363972536e-05;4.087063447338617e-05;4.889634745533546e-05;3.0537845738893238e-06;-1.536938327682333;0.0;1.570500059202458;0.0;0.0;0.05736006919044902;-1.1480918116325758;0.0;1.4166327359277038;0.0;0.0;0.051809094752663626;-1.0357772192633945;0.0;1.5618543217808574;0.0;0.0;0.05736006919044902;-1.14127064085883;0.0;1.5118277399831785;0.0;0.0;0.05550974437785389;-1.102270594449234;0.0;1.2418329082904225;0.0;0.0;0.05736006919044902;-0.8265324502958371;0.0;1.266667983538564;0.0;0.0;0.05550974437785389;-0.8658047191322479;0.0;1.3238718510086387;0.0;0.0;0.05736006919044902;-0.9066419485785763;0.0;1.325358319006799;0.0;0.0;0.05736006919044902;-0.9076069978736099;0.0;1.2705785069570366;0.0;0.0;0.05550974437785389;-0.8692940398443266;0.0;1.420351969302993;0.0;0.0;0.05736006919044902;-1.0007382628368267;0.0;1.5143162285792435;0.0;0.0;0.05550974437785389;-1.1059835460685405;0.0;1.5277771878584756;0.0;0.0;0.05736006919044902;-1.1091257361580653;0.0;16.95156981143637;0.0;0.0;0.6753685565972223;-12.019137966992064
25;25;6.14000129699707;2;District Heating, Centralized, High Temp Radiator;69;D;residential;A-W chiller, Centralized, Fan coil;PV;1;Building 25;True;1.0;1.0;;;{'TZ Bd Building 25 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 3.5e-07, 'Zone external walls glazed area [m2]': 5e-08, 'Zone opaque heat transfer loss [W/K]': 1.63e-07, 'Zone glazed heat transfer loss [W/K]': 1.1499999999999998e-07, 'Zone design heating load [kW]': 5.2324120000000004e-08, 'Zone design cooling load [kW]': -1.004871179049781}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 3.5e-07, 'Zone external walls glazed area [m2]': 5e-08, 'Zone opaque heat transfer loss [W/K]': 1.63e-07, 'Zone glazed heat transfer loss [W/K]': 1.1499999999999998e-07, 'Zone design heating load [kW]': 5.2324120000000004e-08, 'Zone design cooling load [kW]': -1.004871179049781}};1e-05;1e-05;1.0;3.5e-07;5e-08;1.63e-07;1.1499999999999998e-07;5.2324120000000004e-08;-1.004871179049781;0.0;365.251358464276;0.0;0.0;0.05736006919044902;-357.53443946479126;0.0;327.57617209328384;0.0;0.0;0.051809094752663626;-320.65409874078154;0.0;370.3457403053365;0.0;0.0;0.05736006919044902;-362.5241388497355;0.0;392.5734440336106;0.0;0.0;0.05550974437785389;-384.30166490698355;0.0;0.7726151565738194;0.0;0.0;0.05736006919044902;-0.523242616869991;0.0;0.7950205305001014;0.0;0.0;0.05550974437785389;-0.5497120146131238;0.0;0.8119643524697274;0.0;0.0;0.05736006919044902;-0.5643068615162872;0.0;0.806393695400179;0.0;0.0;0.05736006919044902;-0.5604902677713359;0.0;0.7913851784342442;0.0;0.0;0.05550974437785389;-0.5481185189068289;0.0;166.84720314873252;0.0;0.0;0.05736006919044902;-163.19901496492133;0.0;364.074798875645;0.0;0.0;0.05550974437785389;-356.38887343103795;0.0;471.4952314064488;0.0;0.0;0.05736006919044902;-461.59486943973184;0.0;2462.1413272407112;0.0;0.0;0.6753685565972223;-2408.942970077661
35;35;6.65999984741211;0;District Heating, Centralized, High Temp Radiator;79;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 35;True;1.0;1.0;;;{'TZ Bd Building 35 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.00015510504335853028, 'Zone external walls glazed area [m2]': 2.21578633369329e-05, 'Zone opaque heat transfer loss [W/K]': 4.9684613874729696e-05, 'Zone glazed heat transfer loss [W/K]': 5.096308567494566e-05, 'Zone design heating load [kW]': 3.4187238428961116e-06, 'Zone design cooling load [kW]': -2.9880383257165124e-06}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 0.00015510504335853028, 'Zone external walls glazed area [m2]': 2.21578633369329e-05, 'Zone opaque heat transfer loss [W/K]': 4.9684613874729696e-05, 'Zone glazed heat transfer loss [W/K]': 5.096308567494566e-05, 'Zone design heating load [kW]': 3.4187238428961116e-06, 'Zone design cooling load [kW]': -2.9880383257165124e-06}};1e-05;1e-05;1.0;0.00015510504335853028;2.21578633369329e-05;4.9684613874729696e-05;5.096308567494566e-05;3.4187238428961116e-06;-2.9880383257165124e-06;0.0;0.0;0.0;0.0;0.05736120798555921;0.0;0.0;0.0;0.0;0.0;0.05180998925139521;0.0;0.0;0.0;0.0;0.0;0.05736063990677901;0.0;0.0;0.0;0.0;0.0;0.05550997517187853;0.0;0.0;0.0;0.0;0.0;0.05736006919044902;0.0;0.0;1.7108677555529773e-07;0.0;0.0;0.05550974437785389;-3.318788029783773e-07;0.0;2.84591354697836e-07;0.0;0.0;0.05736006919044902;-5.539769374608748e-07;0.0;2.6582667151739254e-07;0.0;0.0;0.05736006919044902;-5.157878102471833e-07;0.0;1.4769571405602008e-07;0.0;0.0;0.05550974437785389;-2.8588800842242e-07;0.0;0.0;0.0;0.0;0.057360257468499154;0.0;0.0;0.0;0.0;0.0;0.055510440119201365;0.0;0.0;0.0;0.0;0.0;0.05736114245005786;0.0;0.0;8.692005158265463e-07;0.0;0.0;0.6753733486804251;-1.6875315591088556e-06
36;36;6.65999984741211;2;District Heating, Centralized, High Temp Radiator;80;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 36;True;1.0;1.0;;;{'TZ Bd Building 36 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 1.2556493104828162e-05, 'Zone external walls glazed area [m2]': 1.7937847292611662e-06, 'Zone opaque heat transfer loss [W/K]': 4.069077793545014e-06, 'Zone glazed heat transfer loss [W/K]': 4.125704877300683e-06, 'Zone design heating load [kW]': 3.1785301078016474e-07, 'Zone design cooling load [kW]': -1.014404866421631}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 1.2556493104828162e-05, 'Zone external walls glazed area [m2]': 1.7937847292611662e-06, 'Zone opaque heat transfer loss [W/K]': 4.069077793545014e-06, 'Zone glazed heat transfer loss [W/K]': 4.125704877300683e-06, 'Zone design heating load [kW]': 3.1785301078016474e-07, 'Zone design cooling load [kW]': -1.014404866421631}};1e-05;1e-05;1.0;1.2556493104828162e-05;1.7937847292611662e-06;4.069077793545014e-06;4.125704877300683e-06;3.1785301078016474e-07;-1.014404866421631;0.0;45.84505147137412;0.0;0.0;0.05736006919044902;-44.66524956217389;0.0;41.13003337487928;0.0;0.0;0.051809094752663626;-40.070438943963275;0.0;46.48178712370196;0.0;0.0;0.05736006919044902;-45.28869235641521;0.0;49.11709816708051;0.0;0.0;0.05550974437785389;-47.8756961725214;0.0;0.7637347130127549;0.0;0.0;0.05736006919044902;-0.5058457213685429;0.0;0.7879166076600329;0.0;0.0;0.05550974437785389;-0.5345029437984791;0.0;0.8036781352295718;0.0;0.0;0.05736006919044902;-0.5473833250960285;0.0;0.7981262297184233;0.0;0.0;0.05736006919044902;-0.5434997789973935;0.0;0.7837845711679344;0.0;0.0;0.05550974437785389;-0.5323336495427021;0.0;21.339959079917747;0.0;0.0;0.05736006919044902;-20.664882912844753;0.0;45.65813343312052;0.0;0.0;0.05550974437785389;-44.489359362395454;0.0;58.808979559167646;0.0;0.0;0.05736006919044902;-57.3577289543479;0.0;312.3182824660305;0.0;0.0;0.6753685565972223;-303.07561368346506
38;38;5.52;2;District Heating, Centralized, High Temp Radiator;82;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 38;True;1.0;1.0;;;{'TZ Bd Building 38 thermal zone single End Use': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 5.25e-07, 'Zone external walls glazed area [m2]': 7.5e-08, 'Zone opaque heat transfer loss [W/K]': 2.1899999999999996e-07, 'Zone glazed heat transfer loss [W/K]': 1.7249999999999996e-07, 'Zone design heating load [kW]': 5.613091e-08, 'Zone design cooling load [kW]': -1.0069036014712087}, 'Total': {'Zone volume [m3]': 1e-05, 'Zone net floor area [m2]': 1e-05, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 5.25e-07, 'Zone external walls glazed area [m2]': 7.5e-08, 'Zone opaque heat transfer loss [W/K]': 2.1899999999999996e-07, 'Zone glazed heat transfer loss [W/K]': 1.7249999999999996e-07, 'Zone design heating load [kW]': 5.613091e-08, 'Zone design cooling load [kW]': -1.0069036014712087}};1e-05;1e-05;1.0;5.25e-07;7.5e-08;2.1899999999999996e-07;1.7249999999999996e-07;5.613091e-08;-1.0069036014712087;0.0;322.376326665406;0.0;0.0;0.05736006919044902;-315.5359795079146;0.0;289.2520711870191;0.0;0.0;0.051809094752663626;-283.1135050705823;0.0;327.1664513666016;0.0;0.0;0.05736006919044902;-320.22767329474135;0.0;346.05983946109524;0.0;0.0;0.05550974437785389;-338.7392699760143;0.0;0.7704752576941667;0.0;0.0;0.05736006919044902;-0.5190505292859651;0.0;0.792983679193343;0.0;0.0;0.05550974437785389;-0.5457217984609684;0.0;0.8097940470333247;0.0;0.0;0.05736006919044902;-0.5600552071227092;0.0;0.804227311630679;0.0;0.0;0.05736006919044902;-0.5562462959702801;0.0;0.7893309469266364;0.0;0.0;0.05550974437785389;-0.5440942547326473;0.0;147.36956607086512;0.0;0.0;0.05736006919044902;-144.11841762309015;0.0;321.32847636301756;0.0;0.0;0.05550974437785389;-314.5165569799736;0.0;416.03990886493364;0.0;0.0;0.05736006919044902;-407.27397764572265;0.0;2173.5594512214166;0.0;0.0;0.6753685565972223;-2126.250548183611
