;Gas consumption [Sm3];Electric Load [MW];Oil consumption [L];Wood consumption [kg];TZ sensible load [kW];TZ latent load [kW];TZ AHU pre heater load [kW];TZ AHU post heater load [kW];TZ DHW demand [kW];Net PV production to grid [MW];Total Primary Energy [MW];Non-Renewable Primary Energy [MW];CO2 Emission [ton CO2];Gas Primary Non-Renewable Energy [MW];Oil Primary Non-Renewable Energy [MW];Wood Primary Non-Renewable Energy [MW];Coal Primary Non-Renewable Energy [MW];Solar Primary Non-Renewable Energy [MW];Grid Electricity Primary Non-Renewable Energy [MW];Gas Primary Renewable Energy [MW];Oil Primary Renewable Energy [MW];Wood Primary Renewable Energy [MW];Coal Primary Renewable Energy [MW];Solar Primary Renewable Energy [MW];Grid Electricity Primary Renewable Energy [MW];Gas CO2 Emission Scope 1 [ton CO2];Oil CO2 Emission Scope 1 [ton CO2];Wood CO2 Emission Scope 1 [ton CO2];Coal CO2 Emission Scope 1 [ton CO2];Solar CO2 Emission Scope 1 [ton CO2];Grid CO2 Emission Scope 1 [ton CO2];Gas CO2 Emission Scope 2 [ton CO2];Oil CO2 Emission Scope 2 [ton CO2];Wood CO2 Emission Scope 2 [ton CO2];Coal CO2 Emission Scope 2 [ton CO2];Solar CO2 Emission Scope 2 [ton CO2];Grid CO2 Emission Scope 2 [ton CO2];Gas CO2 Emission Scope 3 [ton CO2];Oil CO2 Emission Scope 3 [ton CO2];Wood CO2 Emission Scope 3 [ton CO2];Coal CO2 Emission Scope 3 [ton CO2];Solar CO2 Emission Scope 3 [ton CO2];Grid CO2 Emission Scope 3 [ton CO2]
2023-01-01 00:00:00;0.0;0.018252725428608098;0.0;0.0;-13.820605554455842;-2.152796431613765;0.0;0.0;0.6938718047231736;0.0;0.0;0.0;0.5276814526786267;0.0;0.0;0.0;0.0;0.0;0.03991783729906416;0.0;0.0;0.0;0.0;0.0;0.009621222323364183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005276814526786267;0.0;0.0;0.0;0.0;0.0;0.00010553629053572537
2023-01-01 01:00:00;0.0;0.01769157766691586;0.0;0.0;-12.72138689706791;-2.1527582226235356;0.0;0.0;0.6966472919420659;0.0;0.0;0.0;0.13174843387223642;0.0;0.0;0.0;0.0;0.0;0.009966453285447192;0.0;0.0;0.0;0.0;0.0;0.0024021707918770144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001317484338722364;0.0;0.0;0.0;0.0;0.0;2.6349686774447283e-05
2023-01-01 02:00:00;0.0;0.017371005827303786;0.0;0.0;-12.093382904479673;-2.1527582158695053;0.0;0.0;0.699422779160959;0.0;0.0;0.0;0.5085703470731581;0.0;0.0;0.0;0.0;0.0;0.0384721279600457;0.0;0.0;0.0;0.0;0.0;0.0092727693031905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005085703470731585;0.0;0.0;0.0;0.0;0.0;0.00010171406941463169
2023-01-01 03:00:00;0.0;0.01714212833873963;0.0;0.0;-11.645009245998484;-2.1527581883798517;0.0;0.0;1.3280706342401545;0.0;0.0;0.0;0.5028690800459183;0.0;0.0;0.0;0.0;0.0;0.03804084077260217;0.0;0.0;0.0;0.0;0.0;0.009168818032370777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005028690800459183;0.0;0.0;0.0;0.0;0.0;0.00010057381600918371
2023-01-01 04:00:00;0.0;0.01697866475736585;0.0;0.0;-11.324782159383053;-2.1527581820713815;0.0;0.0;1.3655397116952053;0.0;0.0;0.0;0.49878497414840867;0.0;0.0;0.0;0.0;0.0;0.037731887949073166;0.0;0.0;0.0;0.0;0.0;0.00909435248003302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004987849741484085;0.0;0.0;0.0;0.0;0.0;9.975699482968173e-05
2023-01-01 05:00:00;0.0;0.01686188149539823;0.0;0.0;-11.096002354960063;-2.152758183589842;0.0;0.0;1.446028841043094;0.0;0.0;0.0;0.495858369279444;0.0;0.0;0.0;0.0;0.0;0.037510497304386006;0.0;0.0;0.0;0.0;0.0;0.009040991657980217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004958583692794438;0.0;0.0;0.0;0.0;0.0;9.917167385588882e-05
2023-01-01 06:00:00;0.0;0.016778420595740515;0.0;0.0;-10.932501442319321;-2.152758189675861;0.0;0.0;1.5292934576098742;0.0;0.0;0.0;0.4937605207303925;0.0;0.0;0.0;0.0;0.0;0.03735180008917401;0.0;0.0;0.0;0.0;0.0;0.009002741559954761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004937605207303926;0.0;0.0;0.0;0.0;0.0;9.875210414607853e-05
2023-01-01 07:00:00;0.0;0.021611844175841922;0.0;0.0;-12.962461364846863;-2.2675635475327187;0.0;0.0;1.5542728425799095;0.0;0.0;0.0;0.654206596594321;0.0;0.0;0.0;0.0;0.0;0.049489161216987286;0.0;0.0;0.0;0.0;0.0;0.011928156806145647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006542065965943207;0.0;0.0;0.0;0.0;0.0;0.00013084131931886421
2023-01-01 08:00:00;0.0;1.508181699607831;0.0;0.0;-18.875286713724527;-1445.5026429805782;0.0;0.0;1.5625993042365862;0.0;1.7004036000378845e-12;0.0;1.734923600360178;0.0;0.0;0.0;0.0;0.0;0.13124281259827064;0.0;0.0;0.0;0.0;1.7004036000378845e-12;0.03163288303650626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017349236003601789;0.0;0.0;0.0;0.0;2.0404843200454613e-15;0.0003469847200720357
2023-01-01 09:00:00;0.0;0.12142401023415353;0.0;0.0;-18.90274878376961;-88.50315296364886;0.0;0.0;1.5695380222838196;0.0;5.193391895064823e-12;0.0;0.991355359067188;0.0;0.0;0.0;0.0;0.0;0.07499365711627598;0.0;0.0;0.0;0.0;5.193391895064823e-12;0.018075394279307544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000991355359067188;0.0;0.0;0.0;0.0;6.232070274077788e-15;0.00019827107181343763
