;id;Height;Number of occupants;Heating System;Grid bus ID;Envelope;End Use;Cooling System;Solar technologies;Floors;Name;Simulate;ExtWallCoeff;VolCoeff;Lower End Use;Upper End Use;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;4.32;3;District Heating, Centralized, High Temp Radiator;45;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 1;True;1.0;1.0;;;{'TZ Bd Building 1 thermal zone single End Use': {'Zone volume [m3]': 647.7479296875, 'Zone net floor area [m2]': 149.941650390625, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 193.86886615494416, 'Zone external walls glazed area [m2]': 27.69555230784917, 'Zone opaque heat transfer loss [W/K]': 138.5082788688009, 'Zone glazed heat transfer loss [W/K]': 63.699770308053075, 'Zone design heating load [kW]': 9.188124589232974, 'Zone design cooling load [kW]': -5.546501099284195}, 'Total': {'Zone volume [m3]': 647.7479296875, 'Zone net floor area [m2]': 149.941650390625, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 193.86886615494416, 'Zone external walls glazed area [m2]': 27.69555230784917, 'Zone opaque heat transfer loss [W/K]': 138.5082788688009, 'Zone glazed heat transfer loss [W/K]': 63.699770308053075, 'Zone design heating load [kW]': 9.188124589232974, 'Zone design cooling load [kW]': -5.546501099284195}};647.7479296875;149.941650390625;2.0;193.86886615494416;27.69555230784917;138.5082788688009;63.699770308053075;9.188124589232974;-5.546501099284195;0.0;0.9278820848788965;0.0;0.0;3.068773581926841;-0.0003906900067279927;0.0;0.8402834827139559;0.0;0.0;2.216510406997682;-0.0075626513297432805;0.0;0.939561196081039;0.0;0.0;1.6106106687470458;-0.031380518681059864;0.0;0.9577006309702022;0.0;0.0;0.8709835778839903;-0.11269121604460229;0.0;1.3149848076872446;0.0;0.0;0.4086393657864911;-0.7605318602609555;0.0;1.3674786173487594;0.0;0.0;0.4465242400489152;-0.9399947815882199;0.0;1.5117838807058097;0.0;0.0;0.35122532823701347;-1.1582362298682916;0.0;1.276028497306336;0.0;0.0;0.32584770904691845;-0.6876286679073128;0.0;0.9141512230436211;0.0;0.0;0.6365317432503013;-0.04359802268353473;0.0;0.9354157094374441;0.0;0.0;1.099710273549941;-0.013346859880417566;0.0;0.9002207244231388;0.0;0.0;1.9193672102081183;-0.0063954080000264415;0.0;0.9208115102819252;0.0;0.0;2.710901842149192;-5.653232436604614e-05;0.0;12.806302364878373;0.0;0.0;15.66562594783245;-3.7618134385752575
2;2;6.43000221252441;3;District Heating, Centralized, High Temp Radiator;46;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 2;True;1.0;1.0;;;{'TZ Bd Building 2 thermal zone single End Use': {'Zone volume [m3]': 905.1609559915954, 'Zone net floor area [m2]': 281.54296875, 'Number of units [-]': 4.0, 'Zone external walls opaque area [m2]': 276.75120941886746, 'Zone external walls glazed area [m2]': 39.5358870598382, 'Zone opaque heat transfer loss [W/K]': 160.3538440452876, 'Zone glazed heat transfer loss [W/K]': 90.93254023762788, 'Zone design heating load [kW]': 11.526071905323905, 'Zone design cooling load [kW]': -8.01804502442589}, 'Total': {'Zone volume [m3]': 905.1609559915954, 'Zone net floor area [m2]': 281.54296875, 'Number of units [-]': 4.0, 'Zone external walls opaque area [m2]': 276.75120941886746, 'Zone external walls glazed area [m2]': 39.5358870598382, 'Zone opaque heat transfer loss [W/K]': 160.3538440452876, 'Zone glazed heat transfer loss [W/K]': 90.93254023762788, 'Zone design heating load [kW]': 11.526071905323905, 'Zone design cooling load [kW]': -8.01804502442589}};905.1609559915954;281.54296875;4.0;276.75120941886746;39.5358870598382;160.3538440452876;90.93254023762788;11.526071905323905;-8.01804502442589;0.0;0.9704448087796463;0.0;0.0;4.347318686777864;-0.0005940036372408257;0.0;0.8781012747322926;0.0;0.0;3.146815853742155;-0.006520029035400978;0.0;0.9775031243515209;0.0;0.0;2.3542758807593867;-0.02253163822232993;0.0;0.9953862932151805;0.0;0.0;1.3148398169113364;-0.1060234548907103;0.0;1.4793123245781368;0.0;0.0;0.726746646624095;-0.9992738645366732;0.0;1.534332525931353;0.0;0.0;0.7863861876353224;-1.1889518289159684;0.0;1.6958033584130836;0.0;0.0;0.6603018073433864;-1.4402856814709446;0.0;1.3653959611695503;0.0;0.0;0.6200307143902165;-0.7821363922626149;0.0;0.9641808984941544;0.0;0.0;1.0603254610915693;-0.06111233152748387;0.0;0.9795263674382922;0.0;0.0;1.7159510462332126;-0.016582594988232176;0.0;0.9419944999297372;0.0;0.0;2.8248194471968735;-0.007736309783007269;0.0;0.9632703241933757;0.0;0.0;3.9035753657717267;-5.628503892142347e-05;0.0;13.745251761226324;0.0;0.0;23.461386914477146;-4.631804414309528
3;3;4.07;3;District Heating, Centralized, High Temp Radiator;47;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 3;True;1.0;1.0;;;{'TZ Bd Building 3 thermal zone single End Use': {'Zone volume [m3]': 569.5346948242188, 'Zone net floor area [m2]': 139.934814453125, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 178.49985043725638, 'Zone external walls glazed area [m2]': 25.499978633893775, 'Zone opaque heat transfer loss [W/K]': 128.4867075110158, 'Zone glazed heat transfer loss [W/K]': 58.64995085795567, 'Zone design heating load [kW]': 8.47106730634052, 'Zone design cooling load [kW]': -5.559910943431436}, 'Total': {'Zone volume [m3]': 569.5346948242188, 'Zone net floor area [m2]': 139.934814453125, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 178.49985043725638, 'Zone external walls glazed area [m2]': 25.499978633893775, 'Zone opaque heat transfer loss [W/K]': 128.4867075110158, 'Zone glazed heat transfer loss [W/K]': 58.64995085795567, 'Zone design heating load [kW]': 8.47106730634052, 'Zone design cooling load [kW]': -5.559910943431436}};569.5346948242188;139.934814453125;2.0;178.49985043725638;25.499978633893775;128.4867075110158;58.64995085795567;8.47106730634052;-5.559910943431436;0.0;0.9148030247632831;0.0;0.0;2.784220610929366;-4.160634401366109e-05;0.0;0.8285854125541345;0.0;0.0;1.9894701234112302;-0.00747317400883761;0.0;0.9284044436622039;0.0;0.0;1.4085165234883092;-0.03479725886402617;0.0;0.9432949640554437;0.0;0.0;0.7584279833000875;-0.10892803722525854;0.0;1.302013840925837;0.0;0.0;0.37534613825537644;-0.7603945327762507;0.0;1.3449659348152554;0.0;0.0;0.40943765046917985;-0.919562515323276;0.0;1.4815007740814017;0.0;0.0;0.3316937449593671;-1.122228445924038;0.0;1.2698949752061421;0.0;0.0;0.309897053410228;-0.6999354466363635;0.0;0.8988759763008982;0.0;0.0;0.5279719458525407;-0.038131326546250885;0.0;0.9197588775422955;0.0;0.0;0.9574489065585732;-0.007947890368332104;0.0;0.8861817580215964;0.0;0.0;1.7213831922189453;-0.0033505998864790947;0.0;0.9079210793588214;0.0;0.0;2.4525469464746013;-7.697551332831043e-05;0.0;12.626201061287313;0.0;0.0;14.026360819327804;-3.702867809416454
4;4;5.28999900817871;4;District Heating, Centralized, High Temp Radiator;48;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 4;True;1.0;1.0;;;{'TZ Bd Building 4 thermal zone single End Use': {'Zone volume [m3]': 971.0673985010943, 'Zone net floor area [m2]': 183.566650390625, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 273.8624683756597, 'Zone external walls glazed area [m2]': 39.123209767951394, 'Zone opaque heat transfer loss [W/K]': 181.25498157942985, 'Zone glazed heat transfer loss [W/K]': 89.98338246628819, 'Zone design heating load [kW]': 12.434814805332548, 'Zone design cooling load [kW]': -7.771356537419704}, 'Total': {'Zone volume [m3]': 971.0673985010943, 'Zone net floor area [m2]': 183.566650390625, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 273.8624683756597, 'Zone external walls glazed area [m2]': 39.123209767951394, 'Zone opaque heat transfer loss [W/K]': 181.25498157942985, 'Zone glazed heat transfer loss [W/K]': 89.98338246628819, 'Zone design heating load [kW]': 12.434814805332548, 'Zone design cooling load [kW]': -7.771356537419704}};971.0673985010943;183.566650390625;2.0;273.8624683756597;39.123209767951394;181.25498157942985;89.98338246628819;12.434814805332548;-7.771356537419704;0.0;1.1958767311095582;0.0;0.0;4.185345248365581;-0.0005567772207409641;0.0;1.0879218773138242;0.0;0.0;2.9730895306765017;-0.00887417885119966;0.0;1.2261002576887392;0.0;0.0;2.1648134911668153;-0.04534670015167544;0.0;1.2169656708142347;0.0;0.0;1.167203123895647;-0.14277281100766095;0.0;1.7083428335196404;0.0;0.0;0.5057493680952632;-1.0143966221553204;0.0;1.7735809673924376;0.0;0.0;0.5913379817826421;-1.2240402122794976;0.0;1.938575598605452;0.0;0.0;0.42309738760139937;-1.4761710306111233;0.0;1.6426745718051274;0.0;0.0;0.37855044637853363;-0.8763362776969532;0.0;1.1962682722297593;0.0;0.0;0.8859184194207624;-0.07338970217189042;0.0;1.2102339895090624;0.0;0.0;1.4659607411711848;-0.01877021799247029;0.0;1.1604622658783834;0.0;0.0;2.5894871061791167;-0.007751033657469249;0.0;1.1880046421011081;0.0;0.0;3.703054752939031;-0.00045473422811871667;0.0;16.545007677967327;0.0;0.0;21.03360759767248;-4.88886029802412
5;5;9.6200008392334;3;District Heating, Centralized, High Temp Radiator;49;D;residential;A-W chiller, Centralized, Fan coil;PV;3;Building 5;True;1.0;1.0;;;{'TZ Bd Building 5 thermal zone single End Use': {'Zone volume [m3]': 1329.9651160240176, 'Zone net floor area [m2]': 414.75, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 397.8392038115074, 'Zone external walls glazed area [m2]': 56.83417197307248, 'Zone opaque heat transfer loss [W/K]': 197.81604521968237, 'Zone glazed heat transfer loss [W/K]': 130.71859553806672, 'Zone design heating load [kW]': 15.22709867367041, 'Zone design cooling load [kW]': -11.423696975760588}, 'Total': {'Zone volume [m3]': 1329.9651160240176, 'Zone net floor area [m2]': 414.75, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 397.8392038115074, 'Zone external walls glazed area [m2]': 56.83417197307248, 'Zone opaque heat transfer loss [W/K]': 197.81604521968237, 'Zone glazed heat transfer loss [W/K]': 130.71859553806672, 'Zone design heating load [kW]': 15.22709867367041, 'Zone design cooling load [kW]': -11.423696975760588}};1329.9651160240176;414.75;5.0;397.8392038115074;56.83417197307248;197.81604521968237;130.71859553806672;15.22709867367041;-11.423696975760588;0.0;1.0403687666686852;0.0;0.0;6.164246543353753;-0.0003093996929285794;0.0;0.9501132136703567;0.0;0.0;4.476208029569927;-0.02360965758994383;0.0;1.0521470308353014;0.0;0.0;3.3024453362767927;-0.0314934702144995;0.0;1.0722170504289799;0.0;0.0;1.8389926578926525;-0.12369730456120982;0.0;1.7140484860024212;0.0;0.0;1.04472724446154;-1.321858345064349;0.0;1.7695138415110463;0.0;0.0;1.1385289492522455;-1.5211107224418579;0.0;1.9335767032504154;0.0;0.0;0.9298857156422631;-1.7772825708511046;0.0;1.4970745987339196;0.0;0.0;0.8683636596990917;-0.907162599419607;0.0;1.0438789164995892;0.0;0.0;1.5847185029662425;-0.0844031794959263;0.0;1.0510857529448265;0.0;0.0;2.4603494226585765;-0.01950181337172464;0.0;1.0093385529859944;0.0;0.0;4.065815828235875;-0.006825592168431962;0.0;1.0333291882761195;0.0;0.0;5.558439577828128;-3.5963946951858284e-05;0.0;15.166692101807653;0.0;0.0;33.43272146783709;-5.817290618818535
7;7;7.07;3;District Heating, Centralized, High Temp Radiator;51;E;residential;A-W chiller, Centralized, Fan coil;;2;Building 7;True;1.0;1.0;;;{'TZ Bd Building 7 thermal zone single End Use': {'Zone volume [m3]': 967.0071899414063, 'Zone net floor area [m2]': 273.55224609375, 'Number of units [-]': 4.0, 'Zone external walls opaque area [m2]': 333.6390103799731, 'Zone external walls glazed area [m2]': 47.6627157685676, 'Zone opaque heat transfer loss [W/K]': 215.14967241811124, 'Zone glazed heat transfer loss [W/K]': 112.00738205613385, 'Zone design heating load [kW]': 14.778469125210464, 'Zone design cooling load [kW]': -8.632692402549756}, 'Total': {'Zone volume [m3]': 967.0071899414063, 'Zone net floor area [m2]': 273.55224609375, 'Number of units [-]': 4.0, 'Zone external walls opaque area [m2]': 333.6390103799731, 'Zone external walls glazed area [m2]': 47.6627157685676, 'Zone opaque heat transfer loss [W/K]': 215.14967241811124, 'Zone glazed heat transfer loss [W/K]': 112.00738205613385, 'Zone design heating load [kW]': 14.778469125210464, 'Zone design cooling load [kW]': -8.632692402549756}};967.0071899414063;273.55224609375;4.0;333.6390103799731;47.6627157685676;215.14967241811124;112.00738205613385;14.778469125210464;-8.632692402549756;0.0;0.9803428075434473;0.0;0.0;5.528375529583723;0.0;0.0;0.8897828321561316;0.0;0.0;3.994779442678314;-0.011354002924734683;0.0;0.9857673292831256;0.0;0.0;2.985526239633257;-0.018737012862290597;0.0;0.963783762206749;0.0;0.0;1.7008057622975938;-0.02477407032626096;0.0;1.313077752645033;0.0;0.0;0.7456817866833336;-0.653634041313348;0.0;1.450471604853295;0.0;0.0;0.8029504209637754;-1.0059588437703666;0.0;1.5909120169110542;0.0;0.0;0.6461863952680407;-1.2160951489041383;0.0;1.287660395612429;0.0;0.0;0.6064564723846381;-0.6104699664758704;0.0;0.9777759402181316;0.0;0.0;1.2298191551527613;-0.0684055343166956;0.0;0.9896775103108282;0.0;0.0;2.1373330052036774;-0.01648450369773239;0.0;0.9516384128333716;0.0;0.0;3.604642132856126;-0.007289203799622059;0.0;0.9734428075434474;0.0;0.0;4.963007994827051;0.0;0.0;13.354333172117045;0.0;0.0;28.945564337532286;-3.63320232839106
25;25;6.14000129699707;2;District Heating, Centralized, High Temp Radiator;69;D;residential;A-W chiller, Centralized, Fan coil;PV;1;Building 25;True;1.0;1.0;;;{'TZ Bd Building 25 thermal zone single End Use': {'Zone volume [m3]': 756.9740173229948, 'Zone net floor area [m2]': 123.28564453125, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 239.5053981802248, 'Zone external walls glazed area [m2]': 34.21505688288926, 'Zone opaque heat transfer loss [W/K]': 139.51740612860945, 'Zone glazed heat transfer loss [W/K]': 78.6946308306453, 'Zone design heating load [kW]': 9.97773212390353, 'Zone design cooling load [kW]': -5.385974171788929}, 'Total': {'Zone volume [m3]': 756.9740173229948, 'Zone net floor area [m2]': 123.28564453125, 'Number of units [-]': 2.0, 'Zone external walls opaque area [m2]': 239.5053981802248, 'Zone external walls glazed area [m2]': 34.21505688288926, 'Zone opaque heat transfer loss [W/K]': 139.51740612860945, 'Zone glazed heat transfer loss [W/K]': 78.6946308306453, 'Zone design heating load [kW]': 9.97773212390353, 'Zone design cooling load [kW]': -5.385974171788929}};756.9740173229948;123.28564453125;2.0;239.5053981802248;34.21505688288926;139.51740612860945;78.6946308306453;9.97773212390353;-5.385974171788929;0.0;0.626698927892538;0.0;0.0;3.7915488907014003;0.0;0.0;0.5702300999155763;0.0;0.0;2.8048347670282756;-0.009117817948675454;0.0;0.6433824181818351;0.0;0.0;2.014166635287439;-0.0326831576786166;0.0;0.6695801300016436;0.0;0.0;1.083895206825068;-0.11430621381998964;0.0;1.0129140286244942;0.0;0.0;0.4411715425907249;-0.7493908527551113;0.0;1.096246412271863;0.0;0.0;0.5049205453197538;-0.9505616217304547;0.0;1.1713365567078036;0.0;0.0;0.3298907490826347;-1.083510128061749;0.0;0.928433547417184;0.0;0.0;0.29204825299480514;-0.6065109728124213;0.0;0.6451375769650746;0.0;0.0;0.8933183651896288;-0.0664229591107145;0.0;0.6320557114731933;0.0;0.0;1.5038008764398316;-0.017703167475906587;0.0;0.6104221166772232;0.0;0.0;2.4838788090719492;-0.005624119981290256;0.0;0.6377389278925379;0.0;0.0;3.350735530544308;0.0;0.0;9.244176454020968;0.0;0.0;19.494210171075817;-3.635831011374929
35;35;6.65999984741211;0;District Heating, Centralized, High Temp Radiator;79;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 35;True;1.0;1.0;;;{'TZ Bd Building 35 thermal zone single End Use': {'Zone volume [m3]': 152.26457170676443, 'Zone net floor area [m2]': 45.72509765625, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 79.0097231040002, 'Zone external walls glazed area [m2]': 11.287103300571458, 'Zone opaque heat transfer loss [W/K]': 36.94301129562382, 'Zone glazed heat transfer loss [W/K]': 25.960337591314357, 'Zone design heating load [kW]': 2.8052498086334836, 'Zone design cooling load [kW]': -1.931433665725141}, 'Total': {'Zone volume [m3]': 152.26457170676443, 'Zone net floor area [m2]': 45.72509765625, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 79.0097231040002, 'Zone external walls glazed area [m2]': 11.287103300571458, 'Zone opaque heat transfer loss [W/K]': 36.94301129562382, 'Zone glazed heat transfer loss [W/K]': 25.960337591314357, 'Zone design heating load [kW]': 2.8052498086334836, 'Zone design cooling load [kW]': -1.931433665725141}};152.26457170676443;45.72509765625;1.0;79.0097231040002;11.287103300571458;36.94301129562382;25.960337591314357;2.8052498086334836;-1.931433665725141;0.0;0.025345640749451295;0.0;0.0;1.170869594959973;-0.00045133956077389036;0.0;0.025342893258261927;0.0;0.0;0.8275505299101508;-0.0052073515295082366;0.0;0.0349323357333879;0.0;0.0;0.6305911876183082;-0.019231790074645507;0.0;0.06047101456138519;0.0;0.0;0.32923563424369234;-0.0708494998084862;0.0;0.16831517871288595;0.0;0.0;0.1474397792555596;-0.28053038006559794;0.0;0.19853153109105967;0.0;0.0;0.162426613517034;-0.34284450510483155;0.0;0.20765531390649528;0.0;0.0;0.12041511360865655;-0.3608973349390788;0.0;0.14575640210116167;0.0;0.0;0.11036011158589085;-0.23797299029339775;0.0;0.032028721532186506;0.0;0.0;0.27438346731161506;-0.01513070645676964;0.0;0.027824748248318435;0.0;0.0;0.4951051471212214;-0.005307940900344597;0.0;0.025267472185746476;0.0;0.0;0.7967037234306888;-0.0018853378521014573;0.0;0.025268683725126913;0.0;0.0;1.0835137732902136;-0.00030057982663812957;0.0;0.9767399358054673;0.0;0.0;6.148594675853005;-1.3406097564121735
36;36;6.65999984741211;2;District Heating, Centralized, High Temp Radiator;80;D;residential;A-W chiller, Centralized, Fan coil;;2;Building 36;True;1.0;1.0;;;{'TZ Bd Building 36 thermal zone single End Use': {'Zone volume [m3]': 788.7482045851649, 'Zone net floor area [m2]': 236.861328125, 'Number of units [-]': 3.0, 'Zone external walls opaque area [m2]': 230.56180683728422, 'Zone external walls glazed area [m2]': 32.93740097675489, 'Zone opaque heat transfer loss [W/K]': 134.17941685980594, 'Zone glazed heat transfer loss [W/K]': 75.75602224653623, 'Zone design heating load [kW]': 9.664407988345335, 'Zone design cooling load [kW]': -6.482031816162785}, 'Total': {'Zone volume [m3]': 788.7482045851649, 'Zone net floor area [m2]': 236.861328125, 'Number of units [-]': 3.0, 'Zone external walls opaque area [m2]': 230.56180683728422, 'Zone external walls glazed area [m2]': 32.93740097675489, 'Zone opaque heat transfer loss [W/K]': 134.17941685980594, 'Zone glazed heat transfer loss [W/K]': 75.75602224653623, 'Zone design heating load [kW]': 9.664407988345335, 'Zone design cooling load [kW]': -6.482031816162785}};788.7482045851649;236.861328125;3.0;230.56180683728422;32.93740097675489;134.17941685980594;75.75602224653623;9.664407988345335;-6.482031816162785;0.0;0.6319399148556591;0.0;0.0;3.8882912499253948;0.0;0.0;0.5730188049962776;0.0;0.0;2.8704291771682935;-0.005307364089690108;0.0;0.6399022789781156;0.0;0.0;2.1891896147156906;-0.01559836686426148;0.0;0.6277894628923002;0.0;0.0;1.2598115450075198;-0.02250183770420183;0.0;0.9087446301275184;0.0;0.0;0.6174154031930501;-0.5350545947141554;0.0;1.0097707170995176;0.0;0.0;0.6739932851087475;-0.7714660298846123;0.0;1.0937686524392898;0.0;0.0;0.534134403320678;-0.920694841270639;0.0;0.8041071100732661;0.0;0.0;0.49584915080398445;-0.3527182294994536;0.0;0.651123612629463;0.0;0.0;1.0464358873446309;-0.06821371704910045;0.0;0.6362390473067532;0.0;0.0;1.6388722114683716;-0.015631216221282457;0.0;0.6151695820326906;0.0;0.0;2.578768777123237;-0.004988503821656129;0.0;0.6429799148556591;0.0;0.0;3.474720776159367;0.0;0.0;8.83455372828651;0.0;0.0;21.267911481338963;-2.7121747011190536
38;38;5.52;2;District Heating, Centralized, High Temp Radiator;82;D;residential;A-W chiller, Centralized, Fan coil;;1;Building 38;True;1.0;1.0;;;{'TZ Bd Building 38 thermal zone single End Use': {'Zone volume [m3]': 630.8742773437499, 'Zone net floor area [m2]': 114.288818359375, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 206.1413048589071, 'Zone external walls glazed area [m2]': 29.448757836986722, 'Zone opaque heat transfer loss [W/K]': 124.2525149181315, 'Zone glazed heat transfer loss [W/K]': 67.73214302506946, 'Zone design heating load [kW]': 8.740677092308443, 'Zone design cooling load [kW]': -4.589139764477952}, 'Total': {'Zone volume [m3]': 630.8742773437499, 'Zone net floor area [m2]': 114.288818359375, 'Number of units [-]': 1.0, 'Zone external walls opaque area [m2]': 206.1413048589071, 'Zone external walls glazed area [m2]': 29.448757836986722, 'Zone opaque heat transfer loss [W/K]': 124.2525149181315, 'Zone glazed heat transfer loss [W/K]': 67.73214302506946, 'Zone design heating load [kW]': 8.740677092308443, 'Zone design cooling load [kW]': -4.589139764477952}};630.8742773437499;114.288818359375;1.0;206.1413048589071;29.448757836986722;124.2525149181315;67.73214302506946;8.740677092308443;-4.589139764477952;0.0;0.6058994315016093;0.0;0.0;3.2046168329088576;0.0;0.0;0.5496621685334901;0.0;0.0;2.316100547840289;-0.005628250480701826;0.0;0.6151571888750543;0.0;0.0;1.7261090597405973;-0.01813605778766718;0.0;0.6051968362102756;0.0;0.0;0.9787637683810729;-0.02761062967393448;0.0;0.8363756957923478;0.0;0.0;0.34825104227305514;-0.4442966033007283;0.0;0.9299301514271971;0.0;0.0;0.389944933877442;-0.6629087278822601;0.0;0.9924676015941805;0.0;0.0;0.24913626109950474;-0.7705925749735242;0.0;0.796529973404788;0.0;0.0;0.22742859600349272;-0.3873046192849436;0.0;0.6184928456938182;0.0;0.0;0.7351743868147681;-0.053657671804308395;0.0;0.6066267713088143;0.0;0.0;1.237250878885117;-0.008634031570391866;0.0;0.588613595058846;0.0;0.0;2.0465038723428384;-0.0023330254193903496;0.0;0.6169394315016093;0.0;0.0;2.8344531324211206;0.0;0.0;8.361891690902032;0.0;0.0;16.293733312588156;-2.3811021921778504
