Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
820840.00;11803391.40;0.00;844909.58;0;0;0;0;0;16766.04;0.00;0.00
739920.00;9076328.26;0.00;763144.13;0;0;0;0;0;13042.78;0.00;0.00
816700.00;7872950.37;0.00;844909.58;0;0;0;0;0;11556.02;0.00;0.00
796780.00;6132992.11;0.00;817654.43;0;0;0;0;0;9213.48;0.00;0.00
819920.00;4186870.29;0.00;844909.58;0;0;0;0;0;6669.91;0.00;0.00
787580.00;2614597.08;-2586640.00;817654.43;0;0;0;0;0;4549.64;0.00;1320.38
820840.00;1815614.21;-2808623.65;844909.58;0;0;0;0;0;3526.68;0.00;1433.69
821760.00;1628018.36;-1874824.40;844909.58;0;0;0;0;0;3278.01;0.00;957.03
788500.00;3015789.53;-319295.02;817654.43;0;0;0;0;0;5081.45;0.00;162.99
821760.00;5309578.11;0.00;844909.58;0;0;0;0;0;8158.12;0.00;0.00
793560.00;7841194.54;0.00;817654.43;0;0;0;0;0;11477.80;0.00;0.00
813940.00;10550844.90;0.00;844909.58;0;0;0;0;0;15105.72;0.00;0.00
