Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
1400311.21;281078942.71;0.00;1299264.64;37318.78;0;0;0;0;0.00;0.00;0.00
1339428.11;229784632.90;0.00;1173529.35;30523.17;0;0;0;0;0.00;0.00;0.00
1491635.85;216299743.92;0.00;1299264.64;28757.64;0;0;0;0;0.00;0.00;0.00
1400311.21;177362073.02;0.00;1257352.87;23606.14;0;0;0;0;0.00;0.00;0.00
1522077.40;99683985.53;0.00;1299264.64;13345.83;0;0;0;0;0.00;0.00;0.00
1430752.76;48434373.69;-819043.59;1257352.87;6567.20;0;0;0;0;0.00;0.00;360.81
1461194.30;32483871.67;-997649.99;1299264.64;4464.74;0;0;0;0;0.00;0.00;439.49
1522077.40;30532014.75;-324282.02;1299264.64;4206.79;0;0;0;0;0.00;0.00;142.86
1369869.66;85997913.52;-12104.40;1257352.87;11531.56;0;0;0;0;0.00;0.00;5.33
1522077.40;152404109.02;0.00;1299264.64;20313.26;0;0;0;0;0.00;0.00;0.00
1461194.30;195765707.32;0.00;1257352.87;26038.34;0;0;0;0;0.00;0.00;0.00
1430752.76;101030375.65;0.00;1299264.64;13523.77;0;0;0;0;0.00;0.00;0.00
