Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
14582105.31;241458242.65;0.00;23855747.79;35476.18;0;0;0;0;0.00;0.00;0.00
13220305.32;199876868.17;0.00;21495683.01;29600.60;0;0;0;0;0.00;0.00;0.00
14643932.16;194561717.14;0.00;23805911.39;29198.80;0;0;0;0;0.00;0.00;0.00
14141315.22;165837581.43;0.00;23052447.40;25257.23;0;0;0;0;0.00;0.00;0.00
14660964.72;108353571.24;0.00;23756075.00;17664.90;0;0;0;0;0.00;0.00;0.00
14163712.36;66186315.86;-9298809.80;23052447.40;11932.47;0;0;0;0;0.00;0.00;4096.39
14621535.01;46028622.03;-10814359.32;23805911.39;9337.85;0;0;0;0;0.00;0.00;4764.03
14660964.72;41336973.29;-8416560.67;23756075.00;8703.85;0;0;0;0;0.00;0.00;3707.74
14124282.66;81015373.69;-3715332.93;23102283.79;13921.98;0;0;0;0;0.00;0.00;1636.71
14660964.72;130368448.69;0.00;23756075.00;20608.60;0;0;0;0;0.00;0.00;0.00
14180744.92;166298555.39;0.00;23002611.00;25312.20;0;0;0;0;0.00;0.00;0.00
14604502.46;213271748.60;0.00;23855747.79;31707.25;0;0;0;0;0.00;0.00;0.00
