Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
6455772.70;82190802.30;0.00;11854933.63;11921.62;0;0;0;0;0.00;0.00;-0.00
5828551.19;66550296.99;0.00;10684742.33;9790.63;0;0;0;0;0.00;0.00;-0.00
6453380.55;62579117.46;0.00;11832710.83;9432.74;0;0;0;0;0.00;0.00;-0.00
6245901.48;51817023.64;0.00;11457462.26;8020.93;0;0;0;0;0.00;0.00;-0.00
6450988.40;31385519.15;0.00;11810488.04;5475.70;0;0;0;0;0.00;0.00;-0.00
6245901.48;16228708.58;-4909208.96;11457462.26;3509.61;0;0;0;0;0.00;0.00;2505.96
6453380.55;10239121.56;-5748790.22;11832710.83;2797.91;0;0;0;0;0.00;0.00;2934.54
6450988.40;9577262.58;-4473628.78;11810488.04;2711.20;0;0;0;0;0.00;0.00;2283.61
6248293.63;23515579.86;-1891770.17;11479685.06;4436.14;0;0;0;0;0.00;0.00;965.68
6450988.40;42663394.62;0.00;11810488.04;6905.33;0;0;0;0;0.00;0.00;-0.00
6243509.33;56089601.43;0.00;11435239.47;8559.72;0;0;0;0;0.00;0.00;-0.00
6455772.70;72646350.75;0.00;11854933.63;10711.72;0;0;0;0;0.00;0.00;-0.00
