Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
4315619.44;485994004.43;0.00;6137896.32;68635.41;0;0;0;0;0.00;0.00;0.00
4090847.59;399131009.42;0.00;5543906.35;56438.18;0;0;0;0;0.00;0.00;0.00
4551629.88;383777097.65;0.00;6137896.32;54379.68;0;0;0;0;0.00;0.00;0.00
4293142.25;325048808.09;0.00;5939899.66;46161.49;0;0;0;0;0.00;0.00;0.00
4630300.02;204736391.96;0.00;6137896.32;29409.68;0;0;0;0;0.00;0.00;0.00
4371812.40;123749633.36;-7738820.11;5939899.66;18087.21;0;0;0;0;0.00;0.00;3950.37
4472959.73;86059271.29;-8127069.07;6137896.32;12858.32;0;0;0;0;0.00;0.00;4148.56
4630300.02;80546266.20;-5294847.40;6137896.32;12089.45;0;0;0;0;0.00;0.00;2702.82
4214472.11;161829271.51;-1451019.36;5939899.66;23398.01;0;0;0;0;0.00;0.00;740.69
4630300.02;261963245.75;0.00;6137896.32;37390.85;0;0;0;0;0.00;0.00;0.00
4450482.55;336627313.23;0.00;5939899.66;47776.30;0;0;0;0;0.00;0.00;0.00
4394289.58;430913704.78;0.00;6137896.32;60953.61;0;0;0;0;0.00;0.00;0.00
