;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;35046381.14411567;0.0;8147631.484408706;3029439.4792054263;23827018.91222414
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;35027534.94926993;0.0;7578154.049889361;3029439.4792054263;23827948.162800517
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;34973190.994584896;0.0;7166856.654274547;3029439.4792054263;23828877.413376924
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;35017836.07932858;0.0;6980466.998728431;3029439.4792054263;24039352.66893114
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;35110777.22490182;0.0;6888064.935959194;3029439.4792054263;24051897.551712513
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;35260813.856294274;0.0;6937573.317611931;3029439.4792054263;24078845.81842807
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;35367057.27031523;0.0;6934269.2385524595;3029439.4792054263;24275097.972162418
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;33819948.39615411;0.0;6882161.3667274285;3029439.4792054263;3200778.905254221
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;33629483.92399119;0.0;6775583.642450544;3029439.4792054263;3203566.6569834175
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;33076078.95311178;0.0;6671100.149883363;3029439.4792054263;3205889.7834244114
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;31225772.2164341;0.0;5889225.268904971;3029439.4792054263;3206819.034000812
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;29311488.670287114;0.0;5167732.812238765;3029439.4792054263;3206354.4087126083
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;27743019.77755241;0.0;4467014.990060719;3029439.4792054263;3130542.3743926445
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;26850620.543668367;0.0;4583553.361426099;3029439.4792054263;3131936.250257238
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;26377820.577248532;0.0;4728527.004533853;3029439.4792054263;3130542.3743926445
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;26144830.1033488;0.0;4902596.420086657;3029439.4792054263;3131471.624969042
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;26991221.79296579;0.0;5222419.906567136;3029439.4792054263;3131006.9996808423
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;28857419.97791838;0.0;5529045.623565398;3029439.4792054263;3054730.340072674
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;29875906.686525416;0.0;5850989.237485358;3029439.4792054263;2886820.328918486
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;30075957.376225732;0.0;6011875.998528017;3029439.4792054263;2885891.078342089
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;30410652.941515636;0.0;6175630.369751607;3029439.4792054263;2880780.2001718977
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;30763412.80617043;0.0;6332242.669080136;3029439.4792054263;2871487.694407914
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;30906267.22284229;0.0;6280265.827927618;3029439.4792054263;2811086.4069420216
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;30932477.64987153;0.0;6175630.369751607;3029439.4792054263;2590854.020335629
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;31323984.128312565;0.0;6122969.193461175;3029439.4792054263;2591783.270912028
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;31518767.18783379;0.0;6170661.091527869;3029439.4792054263;2592712.521488426
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;31778586.317215998;0.0;6275367.540655333;3029439.4792054263;2593641.772064824
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;31978085.02563096;0.0;6327379.533824041;3029439.4792054263;2804117.0276190373
2023-01-02 04:00:00;0.0;118964.44763183592;0.0;0.0;32177075.25277988;0.0;6379165.736827919;3029439.4792054263;2816661.9104004153
2023-01-02 05:00:00;0.0;118964.44763183592;0.0;0.0;32375715.37486839;0.0;6430727.414883815;3029439.4792054263;2843610.1771159656
2023-01-02 06:00:00;0.0;149587.34760742186;0.0;0.0;32580352.8410882;0.0;6482065.826957821;3029439.4792054263;3039862.330850302
2023-01-02 07:00:00;0.0;1173780.6002685549;0.0;0.0;31976967.46984597;0.0;6435520.92637503;3029439.4792054263;3048225.586037887
2023-01-02 08:00:00;0.0;1173780.6002685549;0.0;0.0;31030091.018784344;0.0;6332242.669080136;3029439.4792054263;3241704.9867875013
2023-01-02 09:00:00;0.0;1132950.0669677733;0.0;0.0;30887920.264863335;0.0;6169265.377638528;3029439.4792054263;3244028.1132284948
2023-01-02 10:00:00;0.0;1112534.800317383;0.0;0.0;30342171.91255938;0.0;5892687.393335514;3029439.4792054263;3244957.363804895
2023-01-02 11:00:00;0.0;1132950.0669677733;0.0;0.0;29824369.600789793;0.0;5670002.091584405;3029439.4792054263;3244492.7385166916
2023-01-02 12:00:00;0.0;1132950.0669677733;0.0;0.0;29367081.413385034;0.0;5444220.382516398;3029439.4792054263;3244957.363804895
2023-01-02 13:00:00;0.0;1132950.0669677733;0.0;0.0;29337176.17642301;0.0;5382294.663109392;3029439.4792054263;3151005.4151592795
2023-01-02 14:00:00;0.0;1132950.0669677733;0.0;0.0;29358330.29310028;0.0;5476966.3302111225;3029439.4792054263;3149611.5392946866
2023-01-02 15:00:00;0.0;1112534.800317383;0.0;0.0;29419985.683854017;0.0;5421972.30031337;3029439.4792054263;3150540.789871083
2023-01-02 16:00:00;0.0;1143157.7002929687;0.0;0.0;29549661.483257357;0.0;5483835.8761498965;3029439.4792054263;3150076.1645828835
2023-01-02 17:00:00;0.0;200625.51423339845;0.0;0.0;30098746.81076577;0.0;5484496.899896621;3029439.4792054263;3150076.1645828835
2023-01-02 18:00:00;0.0;200625.51423339845;0.0;0.0;30734272.488640763;0.0;5552723.307949146;3029439.4792054263;2886820.328918486
2023-01-02 19:00:00;0.0;221040.7808837891;0.0;0.0;30772942.044678643;0.0;5583454.046752055;3029439.4792054263;2885891.078342089
2023-01-02 20:00:00;0.0;221040.7808837891;0.0;0.0;30743116.777856417;0.0;5528183.048915393;3029439.4792054263;2880780.2001718977
2023-01-02 21:00:00;0.0;221040.7808837891;0.0;0.0;30766802.27640329;0.0;5528183.048915393;3029439.4792054263;2871487.694407914
