;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-384.22918388464115;0.0;19053522.173955597;0.0;0.0;809187368.2132009;0.0;0.0;18067354.011808775;0.0;0.0;632506448.4185812;0.0;0.0;20038313.044152457;0.0;0.0;503413030.8325341;0.0;0.0;19217194.88833842;0.0;0.0;154512121.85097188;0.0;0.0;20161411.902927067;0.0;0.0;4273470.809007844;0.0;0.0;83863099.83210775;0.0;0.0;56742224.19586396;-132215330.44859995;0.0;186176812.25731367;0.0;0.0;68193438.173071;-331333221.30904496;0.0;147891658.2551094;0.0;0.0;70116103.4644335;-252377524.42987067;0.0;33279562.460896105;0.0;0.0;49646826.29199468;-33803574.24067952;0.0;20161411.902927067;0.0;0.0;128144552.62350921;0.0;0.0;19463392.605887637;0.0;0.0;516834185.5177253;0.0;0.0;19792115.32660324;0.0;0.0;745819985.4971081;0.0;0.0;607165848.6620272;0.0;0.0;3739389755.888002;-749729650.4281951
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-109.9861457897041;0.0;3567934.5896801776;0.0;0.0;271378905.50183225;0.0;0.0;3383266.187437229;0.0;0.0;210638591.80674255;0.0;0.0;3752345.0822545895;0.0;0.0;163995251.7240718;0.0;0.0;3598583.7018864006;0.0;0.0;47868011.87686821;0.0;0.0;3775396.3938263906;0.0;0.0;800243.8697811733;0.0;0.0;22260457.534050446;0.0;0.0;10636436.430180611;-38288033.428212136;0.0;48784363.50107611;0.0;0.0;12769803.117005765;-90601244.24766737;0.0;37910567.95909166;0.0;0.0;13129838.596787386;-68620218.62819219;0.0;6393910.333371109;0.0;0.0;9314303.366105175;-7492041.501511818;0.0;3775396.3938263906;0.0;0.0;41091738.08008619;0.0;0.0;3644686.3250300037;0.0;0.0;173321988.72316045;0.0;0.0;3706242.4591109864;0.0;0.0;249695022.67675674;0.0;0.0;144553150.46064147;0.0;0.0;1204640135.7693782;-205001537.8055835
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-133.21375581841616;0.0;6692696.302673566;0.0;0.0;225419309.8749244;0.0;0.0;6346297.146005506;0.0;0.0;176640098.78792742;0.0;0.0;7038611.674944337;0.0;0.0;142466518.9409037;0.0;0.0;6750187.6032529315;0.0;0.0;45213797.084606335;0.0;0.0;7081851.096478183;0.0;0.0;1501089.5110052251;0.0;0.0;24938586.690904006;0.0;0.0;19918199.972611062;-37258377.788504384;0.0;56445801.371899605;0.0;0.0;23953469.986319095;-99212937.48056372;0.0;46286640.07068847;0.0;0.0;24628820.967061635;-77591143.80759358;0.0;11696964.914408742;0.0;0.0;17427580.688416507;-11453650.071156545;0.0;7081851.096478183;0.0;0.0;36829046.52505309;0.0;0.0;6836666.446320624;0.0;0.0;143301511.7620218;0.0;0.0;6952132.831876644;0.0;0.0;207960604.74516708;0.0;0.0;194148287.24593082;0.0;0.0;1065260048.8460174;-225516109.1478182
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-213.1624263547333;0.0;11394571.592354191;0.0;0.0;367608442.29405624;0.0;0.0;10804813.771039547;0.0;0.0;289696819.0620054;0.0;0.0;11983505.752217472;0.0;0.0;235807012.48642042;0.0;0.0;11492452.731847618;0.0;0.0;75408997.6671061;0.0;0.0;12057122.522200383;0.0;0.0;2555662.340878705;0.0;0.0;41518903.515792996;0.0;0.0;33910799.684945606;-61662445.954906635;0.0;93452236.39535637;0.0;0.0;40781699.37807991;-163783965.34155208;0.0;75805934.88878542;0.0;0.0;41931510.26923949;-126258275.90347442;0.0;19878581.62337897;0.0;0.0;29671336.260193564;-19946179.96122875;0.0;12057122.522200383;0.0;0.0;62813445.78353694;0.0;0.0;11639686.271813437;0.0;0.0;235370833.60101873;0.0;0.0;11836272.212251652;0.0;0.0;338802036.4169811;0.0;0.0;323921203.7992385;0.0;0.0;1754358595.244462;-371650867.16116184
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-14.283627831585333;0.0;572094.2887627969;0.0;0.0;23979248.86016018;0.0;0.0;542483.9538245625;0.0;0.0;18590400.7193001;0.0;0.0;601663.2696221719;0.0;0.0;14542709.419895891;0.0;0.0;577008.6675464063;0.0;0.0;4409741.726053046;0.0;0.0;605359.3922295938;0.0;0.0;128313.71652479937;0.0;0.0;2736449.6131645376;0.0;0.0;1702972.8268373017;-4377846.372727954;0.0;5982777.036080794;0.0;0.0;2047551.9514832848;-10729845.158702878;0.0;4769121.729173615;0.0;0.0;2105281.216568691;-8220182.498153473;0.0;1021961.0732891557;0.0;0.0;1489716.3905096129;-1005622.7047905005;0.0;605359.3922295938;0.0;0.0;3590051.66474962;0.0;0.0;584400.91276125;0.0;0.0;15168929.306653714;0.0;0.0;594271.0244073281;0.0;0.0;22152605.6993772;0.0;0.0;19192950.353091802;0.0;0.0;109907523.49811345;-24333496.734374803
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-12.58434249851019;0.0;474135.7647965625;0.0;0.0;29957616.151832532;0.0;0.0;449595.54637875;0.0;0.0;23115548.75255532;0.0;0.0;498641.7101090625;0.0;0.0;17763172.44246584;0.0;0.0;478208.664646875;0.0;0.0;5143798.688466392;0.0;0.0;501704.953273125;0.0;0.0;106342.82375015969;0.0;0.0;2790267.734144368;0.0;0.0;1412267.6727241648;-4669984.224185287;0.0;6136964.797374142;0.0;0.0;1696953.8580374538;-11120089.671915306;0.0;4871863.121662622;0.0;0.0;1744798.260245359;-8592536.137777314;0.0;862496.2740289574;0.0;0.0;1235070.2963793462;-879764.7671989625;0.0;501704.953273125;0.0;0.0;4306249.667752846;0.0;0.0;484335.150975;0.0;0.0;18907558.876539905;0.0;0.0;492515.2237809375;0.0;0.0;27559638.821511347;0.0;0.0;18542433.894443527;0.0;0.0;132949016.31226064;-25262374.80107687
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-43.77834692944293;0.0;1656497.7869430159;0.0;0.0;99954936.38040186;0.0;0.0;1570761.1255931878;0.0;0.0;77099903.76858965;0.0;0.0;1742114.7076461408;0.0;0.0;59610476.39166324;0.0;0.0;1670727.3601779689;0.0;0.0;17550623.117934547;0.0;0.0;1752816.8227340316;0.0;0.0;371532.09118277393;0.0;0.0;8989374.850196991;0.0;0.0;4934613.625200206;-14866064.83862519;0.0;20271413.26210122;0.0;0.0;5928682.287001848;-36727553.843139894;0.0;16198277.541745633;0.0;0.0;6095837.250325511;-28484251.450321753;0.0;2986562.5727487626;0.0;0.0;4314800.024719772;-3058998.898376143;0.0;1752816.8227340316;0.0;0.0;14221565.331146125;0.0;0.0;1692131.5903537502;0.0;0.0;62973181.681680076;0.0;0.0;1720710.4774703598;0.0;0.0;92101436.77964379;0.0;0.0;62004204.92044509;0.0;0.0;445157588.7294894;-83136869.03046298
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-8.589888897709693;0.0;217670.98901773832;0.0;0.0;15088147.825389812;0.0;0.0;206404.82010510942;0.0;0.0;11643829.053240418;0.0;0.0;228921.4234903946;0.0;0.0;8959719.785359228;0.0;0.0;219540.8166165235;0.0;0.0;2595441.6477914196;0.0;0.0;230327.72779947662;0.0;0.0;48820.927125310394;0.0;0.0;1400235.7489894375;0.0;0.0;648409.295715216;-2408817.9443116244;0.0;3090432.560377261;0.0;0.0;779054.5493967707;-5795315.178418633;0.0;2390838.417401076;0.0;0.0;801019.4360828144;-4341596.681139732;0.0;406029.81643605354;0.0;0.0;566983.7828337038;-457757.75539409695;0.0;230327.72779947662;0.0;0.0;2188251.8051066604;0.0;0.0;222353.42523468751;0.0;0.0;9544665.221876768;0.0;0.0;226108.81487223052;0.0;0.0;13887921.998993216;0.0;0.0;9069192.288139466;0.0;0.0;66752265.32891134;-13003487.559264086
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-15.510372045838896;0.0;130692.960546875;0.0;0.0;29907241.271610495;0.0;0.0;118045.2546875;0.0;0.0;23079528.095928382;0.0;0.0;130692.960546875;0.0;0.0;17660043.155947626;0.0;0.0;126477.05859375;0.0;0.0;5116448.036677118;0.0;0.0;130692.960546875;0.0;0.0;416558.54217217996;0.0;0.0;1429749.24575571;0.0;0.0;403121.16984404513;-3526509.0583388675;0.0;3305589.3138928805;0.0;0.0;416558.54217217996;-9045782.532253701;0.0;2349246.1608240227;0.0;0.0;416558.54217217996;-6504428.963102478;0.0;154789.97044058755;0.0;0.0;403121.16984404513;-522599.8108053393;0.0;130692.960546875;0.0;0.0;4567688.128081755;0.0;0.0;126477.05859375;0.0;0.0;19087914.65583036;0.0;0.0;130692.960546875;0.0;0.0;27449397.160112947;0.0;0.0;8263838.865522577;0.0;0.0;128924178.4703933;-19599320.364500385
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.301991599607602;0.0;352376.73864561337;0.0;0.0;18717917.50779363;0.0;0.0;334138.4980956094;0.0;0.0;14584626.972072273;0.0;0.0;370589.50749326963;0.0;0.0;11535040.023604278;0.0;0.0;355403.7095527735;0.0;0.0;3491898.6756876577;0.0;0.0;372866.1035992267;0.0;0.0;79033.77090214861;0.0;0.0;1655346.9785078226;0.0;0.0;1049497.4316896305;-2655596.8081139065;0.0;3870273.984393509;0.0;0.0;1261172.665141384;-6938702.482527753;0.0;3026931.619850915;0.0;0.0;1296730.5278132798;-5228072.834017369;0.0;615359.0171053737;0.0;0.0;917954.1140487357;-637537.1148624419;0.0;372866.1035992267;0.0;0.0;2906037.1637076586;0.0;0.0;359956.90176468756;0.0;0.0;11897902.305588963;0.0;0.0;366036.3152813556;0.0;0.0;17191277.99363863;0.0;0.0;12052145.477889383;0.0;0.0;84929089.15168828;-15459909.23952147
