;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-387.80544684456623;0.0;19053522.173955597;0.0;0.0;762107833.3346878;0.0;0.0;18067354.011808775;0.0;0.0;576581362.2645907;0.0;0.0;20038313.044152457;0.0;0.0;449181615.578773;0.0;0.0;19217194.88833842;0.0;0.0;139846476.70622265;0.0;0.0;20161411.902927067;0.0;0.0;4101711.3223897982;0.0;0.0;18601700.594465382;0.0;0.0;53280319.092789926;-175583785.70998654;0.0;19915214.18537785;0.0;0.0;66084158.95815714;-405098709.47766405;0.0;20161411.902927067;0.0;0.0;69833136.9071661;-307762704.17480487;0.0;19094096.029563814;0.0;0.0;38898516.98016316;-37739934.60612135;0.0;20161411.902927067;0.0;0.0;94104913.4425945;0.0;0.0;19463392.605887637;0.0;0.0;466059056.7461459;0.0;0.0;19792115.32660324;0.0;0.0;706689276.9908334;0.0;0.0;233727138.56893438;0.0;0.0;3426768378.324514;-926185133.9685768
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-111.2854021484971;0.0;3567934.5896801776;0.0;0.0;254000219.2268239;0.0;0.0;3383266.187437229;0.0;0.0;189964896.68509862;0.0;0.0;3752345.0822545895;0.0;0.0;143962936.3228593;0.0;0.0;3598583.7018864006;0.0;0.0;42430520.594522536;0.0;0.0;3775396.3938263906;0.0;0.0;768080.440478432;0.0;0.0;3483327.1440273933;0.0;0.0;9981973.36872905;-51095602.68693278;0.0;3729293.770682788;0.0;0.0;12374822.587869184;-108719191.98855245;0.0;3775396.3938263906;0.0;0.0;13076850.694698753;-84933085.20849253;0.0;3575532.390314599;0.0;0.0;7284079.182509121;-9574193.661623908;0.0;3775396.3938263906;0.0;0.0;28650769.585973497;0.0;0.0;3644686.3250300037;0.0;0.0;154572197.0931663;0.0;0.0;3706242.4591109864;0.0;0.0;235269894.98687574;0.0;0.0;43767400.83190334;0.0;0.0;1092337240.7696044;-254322073.54560164
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-134.06129065229538;0.0;6692696.302673566;0.0;0.0;212973786.87715116;0.0;0.0;6346297.146005506;0.0;0.0;161955065.32439873;0.0;0.0;7038611.674944337;0.0;0.0;128154749.36609457;0.0;0.0;6750187.6032529315;0.0;0.0;41399090.05775281;0.0;0.0;7081851.096478183;0.0;0.0;1440757.6694410963;0.0;0.0;6533990.4955837;0.0;0.0;18707117.37469773;-48654028.77718457;0.0;6995372.25341049;0.0;0.0;23212569.42871739;-121214816.64859885;0.0;7081851.096478183;0.0;0.0;24529426.786063828;-92277746.92478459;0.0;6706948.181719085;0.0;0.0;13663403.458730487;-12150602.80800333;0.0;7081851.096478183;0.0;0.0;27708582.141063992;0.0;0.0;6836666.446320624;0.0;0.0;129771267.38216573;0.0;0.0;6952132.831876644;0.0;0.0;197677998.0877937;0.0;0.0;82098456.22522144;0.0;0.0;981193813.9540712;-274297195.15857136
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-215.07003218695746;0.0;11394571.592354191;0.0;0.0;347834189.97595686;0.0;0.0;10804813.771039547;0.0;0.0;266334446.00791684;0.0;0.0;11983505.752217472;0.0;0.0;213031467.87658083;0.0;0.0;11492452.731847618;0.0;0.0;69278871.63182715;0.0;0.0;12057122.522200383;0.0;0.0;2452945.071648004;0.0;0.0;11124368.881933067;0.0;0.0;31848951.57206739;-79538085.57667604;0.0;11909888.982234562;0.0;0.0;39520287.82366121;-198802538.37492675;0.0;12057122.522200383;0.0;0.0;41762287.872163065;-149400907.4272562;0.0;11418835.961864706;0.0;0.0;23262467.302383147;-19876791.63471697;0.0;12057122.522200383;0.0;0.0;47722716.553069115;0.0;0.0;11639686.271813437;0.0;0.0;213993976.4902329;0.0;0.0;11836272.212251652;0.0;0.0;322425169.8907531;0.0;0.0;139775763.7241574;0.0;0.0;1619467778.0682595;-447618323.0135759
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-14.160790114190778;0.0;572094.2887627969;0.0;0.0;22563541.736837097;0.0;0.0;542483.9538245625;0.0;0.0;16906414.259511493;0.0;0.0;601663.2696221719;0.0;0.0;12922582.289340101;0.0;0.0;577008.6675464063;0.0;0.0;3988447.833788256;0.0;0.0;605359.3922295938;0.0;0.0;123156.52719057066;0.0;0.0;558528.0545092969;0.0;0.0;1599220.2217341831;-5756966.648859194;0.0;597967.14701475;0.0;0.0;1984219.4830167592;-13086852.349991435;0.0;605359.3922295938;0.0;0.0;2096784.9632331878;-9898330.94971825;0.0;573312.5449389843;0.0;0.0;1167953.053641319;-1339346.0348419796;0.0;605359.3922295938;0.0;0.0;2615490.6488495935;0.0;0.0;584400.91276125;0.0;0.0;13637734.799593844;0.0;0.0;594271.0244073281;0.0;0.0;20973636.327275287;0.0;0.0;7017808.040076329;0.0;0.0;100579182.14401169;-30081495.98341086
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-12.6838561163206;0.0;474135.7647965625;0.0;0.0;28045764.89718442;0.0;0.0;449595.54637875;0.0;0.0;20860964.658362802;0.0;0.0;498641.7101090625;0.0;0.0;15562404.720428824;0.0;0.0;478208.664646875;0.0;0.0;4562501.609973454;0.0;0.0;501704.953273125;0.0;0.0;102068.68929852376;0.0;0.0;462892.4488265625;0.0;0.0;1325865.9629951243;-6223592.181332891;0.0;495578.466945;0.0;0.0;1644465.6773954674;-13276336.7258294;0.0;501704.953273125;0.0;0.0;1737756.8028278307;-10532246.130085403;0.0;475145.4214828125;0.0;0.0;967966.8635257294;-1303164.7479406276;0.0;501704.953273125;0.0;0.0;2961402.241479738;0.0;0.0;484335.150975;0.0;0.0;16843716.8087165;0.0;0.0;492515.2237809375;0.0;0.0;25990313.610393524;0.0;0.0;5816163.257760937;0.0;0.0;120605192.54258195;-31335339.785188317
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-43.97855741809762;0.0;1656497.7869430159;0.0;0.0;93605053.43719928;0.0;0.0;1570761.1255931878;0.0;0.0;69599034.33959301;0.0;0.0;1742114.7076461408;0.0;0.0;52306323.13069723;0.0;0.0;1670727.3601779689;0.0;0.0;15607079.528995307;0.0;0.0;1752816.8227340316;0.0;0.0;356599.4605189183;0.0;0.0;1617216.7847385157;0.0;0.0;4632690.888250369;-20239519.73389839;0.0;1731412.5925582503;0.0;0.0;5745303.2602975;-44672897.302182935;0.0;1752816.8227340316;0.0;0.0;6071236.36700258;-35274911.075069934;0.0;1660025.2450900783;0.0;0.0;3381805.5635447134;-4346349.142122103;0.0;1752816.8227340316;0.0;0.0;9841070.925718442;0.0;0.0;1692131.5903537502;0.0;0.0;56115152.4843822;0.0;0.0;1720710.4774703598;0.0;0.0;86875949.13157876;0.0;0.0;20320048.138773363;0.0;0.0;404137298.5177783;-104533677.25327337
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-8.664899840321864;0.0;217670.98901773832;0.0;0.0;14116137.386710504;0.0;0.0;206404.82010510942;0.0;0.0;10488972.761549791;0.0;0.0;228921.4234903946;0.0;0.0;7843647.336002713;0.0;0.0;219540.8166165235;0.0;0.0;2298268.1927608247;0.0;0.0;230327.72779947662;0.0;0.0;46858.71473308227;0.0;0.0;212509.29507111333;0.0;0.0;608660.7562848653;-3284568.9038079157;0.0;227515.11918131256;0.0;0.0;754957.7504620076;-7208839.635356932;0.0;230327.72779947662;0.0;0.0;797786.7733857548;-5423589.814533666;0.0;218134.51230744144;0.0;0.0;444383.9089220531;-644480.3997741572;0.0;230327.72779947662;0.0;0.0;1506101.4310324911;0.0;0.0;222353.42523468751;0.0;0.0;8496201.372579856;0.0;0.0;226108.81487223052;0.0;0.0;13082007.070702141;0.0;0.0;2670142.399294981;0.0;0.0;60483983.45512609;-16561478.75347267
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-15.80972454270609;0.0;130692.960546875;0.0;0.0;27746092.337386526;0.0;0.0;118045.2546875;0.0;0.0;20505361.33276841;0.0;0.0;130692.960546875;0.0;0.0;15171879.029835792;0.0;0.0;126477.05859375;0.0;0.0;4418617.498102903;0.0;0.0;130692.960546875;0.0;0.0;399816.20683223964;0.0;0.0;126477.05859375;0.0;0.0;386918.90983765124;-5050164.341933565;0.0;130692.960546875;0.0;0.0;399816.20683223964;-11097136.252307717;0.0;130692.960546875;0.0;0.0;399816.20683223964;-8515822.26299329;0.0;126477.05859375;0.0;0.0;386918.90983765124;-677826.0076143101;0.0;130692.960546875;0.0;0.0;3008415.597227815;0.0;0.0;126477.05859375;0.0;0.0;16758739.729543965;0.0;0.0;130692.960546875;0.0;0.0;25648096.047833942;0.0;0.0;1538804.2128906248;0.0;0.0;115230488.01287135;-25340948.86484888
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.344734415721135;0.0;352376.73864561337;0.0;0.0;17567038.06166374;0.0;0.0;334138.4980956094;0.0;0.0;13235993.331316771;0.0;0.0;370589.50749326963;0.0;0.0;10209277.880290342;0.0;0.0;355403.7095527735;0.0;0.0;3133327.1371622067;0.0;0.0;372866.1035992267;0.0;0.0;75857.2428474752;0.0;0.0;344020.72902298835;0.0;0.0;985384.8868950898;-3599888.0020188945;0.0;368312.9113873126;0.0;0.0;1222163.5557568579;-8516504.275050232;0.0;372866.1035992267;0.0;0.0;1291497.3309436762;-6490158.441740523;0.0;353127.11344681645;0.0;0.0;719391.0095193327;-714399.5741638711;0.0;372866.1035992267;0.0;0.0;2065275.662632095;0.0;0.0;359956.90176468756;0.0;0.0;10655575.872904448;0.0;0.0;366036.3152813556;0.0;0.0;16253117.3150363;0.0;0.0;4322560.7354881065;0.0;0.0;77413899.28696832;-19320950.292973522
