;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;31479507.3563792;0.0;8029201.0999153545;3029439.4792054263;22869362.54368742
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;31782147.839810755;0.0;7532894.538170478;3029439.4792054263;22870254.445792485
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;31676243.776120897;0.0;7115725.916027797;3029439.4792054263;22871146.347897574
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;31848477.742370415;0.0;6924662.308022071;3029439.4792054263;23073162.1746981
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;32000458.474522226;0.0;6779489.076424748;3029439.4792054263;23085202.85311667
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;32132256.800594836;0.0;6778444.240296986;3029439.4792054263;23111068.014163986
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;32401110.53747793;0.0;6827017.755023527;3029439.4792054263;23299432.394545082
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;31063932.61307328;0.0;6777883.8949441;3029439.4792054263;3072133.0887470623
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;30972110.40887355;0.0;6663036.361937566;3029439.4792054263;3074808.795062299
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;30446617.073364727;0.0;6555841.922805737;3029439.4792054263;3077038.550324997
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;29665980.92407411;0.0;6238914.173228409;3029439.4792054263;3077930.4524300774
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;28269091.68892231;0.0;5755050.823211744;3029439.4792054263;3077484.5013775397
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;27101625.67782486;0.0;5136817.673986233;3029439.4792054263;3004719.50696406
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;26240714.46004072;0.0;4815200.282611171;3029439.4792054263;3006057.360121679
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;25441757.48384;0.0;4797471.671981656;3029439.4792054263;3004719.50696406
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;25344131.37385361;0.0;4952473.208574547;3029439.4792054263;3005611.4090691404
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;25457163.983752698;0.0;5060662.122995016;3029439.4792054263;3005165.4580166
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;26520641.58616211;0.0;5152930.385480074;3029439.4792054263;2931954.5125505817
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;26736911.02649056;0.0;5326221.745343844;3029439.4792054263;2770793.1463743993
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;26779821.889451474;0.0;5484621.583539965;3029439.4792054263;2769901.244269318
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;26954275.92998191;0.0;5646008.318973177;3029439.4792054263;2764995.782691383
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;27147429.455173884;0.0;5800335.702292095;3029439.4792054263;2756076.7616405883
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;27333550.945163816;0.0;5840452.1231161095;3029439.4792054263;2698103.124810416
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;27429397.958010662;0.0;5768916.285159914;3029439.4792054263;2486722.3259065608
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;27918047.256703034;0.0;5751141.936250075;3029439.4792054263;2487614.2280116426
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;28104583.42121099;0.0;5790463.132815953;3029439.4792054263;2488506.130116721
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;28369279.046921276;0.0;5946072.885647831;3029439.4792054263;2489398.032221801
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;28586094.519419372;0.0;5991108.908631892;3029439.4792054263;2691413.85902232
2023-01-02 04:00:00;0.0;118964.44763183592;0.0;0.0;28814201.18723782;0.0;6093693.324909335;3029439.4792054263;2703454.5374408923
2023-01-02 05:00:00;0.0;118964.44763183592;0.0;0.0;28919917.52773048;0.0;6093693.324909335;3029439.4792054263;2729319.698488199
2023-01-02 06:00:00;0.0;149587.34760742186;0.0;0.0;29094341.382589284;0.0;6144659.087875907;3029439.4792054263;2917684.078869312
2023-01-02 07:00:00;0.0;1173780.6002685549;0.0;0.0;28596627.410966124;0.0;6144212.561419415;3029439.4792054263;2925711.1978150257
2023-01-02 08:00:00;0.0;1173780.6002685549;0.0;0.0;27916319.466484163;0.0;6083985.371200124;3029439.4792054263;3111414.2677953076
