;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;28716421.0461855;0.0;7473669.223209287;3029439.4792054263;21544297.694688752
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;29023375.03088732;0.0;6928393.212510196;3029439.4792054263;21545137.9194405
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;28922505.514544506;0.0;6429790.414131946;3029439.4792054263;21545978.14419228
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;29100220.76829056;0.0;6221531.38972369;3029439.4792054263;21736289.050467655
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;29257898.566581834;0.0;6116676.111383256;3029439.4792054263;21747632.08461651
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;29462048.89817032;0.0;6169646.177118112;3029439.4792054263;21771998.60241776
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;29677240.132265795;0.0;6170878.0051611755;3029439.4792054263;21949449.035426278
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;28392337.325170748;0.0;6118924.493594017;3029439.4792054263;2894131.819163435
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;28314746.206244044;0.0;5993009.692316366;3029439.4792054263;2896652.493418741
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;27857498.92628354;0.0;5824261.873959558;3029439.4792054263;2898753.05529816
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;27160476.646247685;0.0;5531873.803402947;3029439.4792054263;2899593.280049924
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;25835741.4946291;0.0;5019104.433242034;3029439.4792054263;2899173.167674042
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;24696084.832871884;0.0;4364178.002725183;3029439.4792054263;2830624.2215282256
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;23844221.58145524;0.0;4027553.555707882;3029439.4792054263;2831884.5586558785
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;23025814.89203891;0.0;4036312.987203799;3029439.4792054263;2830624.2215282256
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;22955296.147414938;0.0;4274908.686112761;3029439.4792054263;2831464.4462799923
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;23043631.149637643;0.0;4388780.922783661;3029439.4792054263;2831044.3339041094
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;24055364.08962215;0.0;4483565.544237014;3029439.4792054263;2762075.275382411
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;24273793.482930914;0.0;4671104.610156495;3029439.4792054263;2610251.6973028025
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;24316286.151965607;0.0;4837857.036192634;3029439.4792054263;2609411.4725510366
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;24424182.918022383;0.0;4953299.541667384;3029439.4792054263;2604790.2364163147
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;24610511.171504732;0.0;5116399.87790511;3029439.4792054263;2596387.9888986414
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;24790032.27388363;0.0;5088801.402987524;3029439.4792054263;2541773.3800337454
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;24946184.567492962;0.0;5063981.5100856135;3029439.4792054263;2342640.1138648214
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;25369452.38785005;0.0;5052596.054112144;3029439.4792054263;2343480.338616588
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;25550336.680276807;0.0;5091696.970371756;3029439.4792054263;2344320.5633683535
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;25809603.762629878;0.0;5256268.286014546;3029439.4792054263;2345160.7881201226
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;26021245.108666718;0.0;5301650.650467715;3029439.4792054263;2535471.694395487
2023-01-02 04:00:00;0.0;118964.44763183592;0.0;0.0;26244456.008284066;0.0;5410133.722220465;3029439.4792054263;2546814.728544351
2023-01-02 05:00:00;0.0;118964.44763183592;0.0;0.0;26345538.47372551;0.0;5347852.672889986;3029439.4792054263;2571181.246345612
2023-01-02 06:00:00;0.0;149587.34760742186;0.0;0.0;26515605.728340678;0.0;5402180.519957624;3029439.4792054263;2748631.679354132
2023-01-02 07:00:00;0.0;1173780.6002685549;0.0;0.0;26013808.800929803;0.0;5400182.218371318;3029439.4792054263;2756193.7021200387
2023-01-02 08:00:00;0.0;1173780.6002685549;0.0;0.0;25403601.320876293;0.0;5393495.25365647;3029439.4792054263;2931137.0226795897
2023-01-02 09:00:00;0.0;1132950.0669677733;0.0;0.0;25351247.799971513;0.0;5257014.696076019;3029439.4792054263;2933237.5845590085
2023-01-02 10:00:00;0.0;1112534.800317383;0.0;0.0;25104904.691508047;0.0;5002158.110772519;3029439.4792054263;2934077.8093107725
2023-01-02 11:00:00;0.0;1132950.0669677733;0.0;0.0;24853984.50397408;0.0;4813932.950473799;3029439.4792054263;2933657.6969348905
2023-01-02 12:00:00;0.0;1132950.0669677733;0.0;0.0;24542518.265242737;0.0;4507385.394944478;3029439.4792054263;2934077.8093107725
2023-01-02 13:00:00;0.0;1132950.0669677733;0.0;0.0;24520874.88020917;0.0;4505014.590932116;3029439.4792054263;2849126.8232863033
2023-01-02 14:00:00;0.0;1132950.0669677733;0.0;0.0;24552826.049943298;0.0;4552074.94601912;3029439.4792054263;2847866.4861586504
2023-01-02 15:00:00;0.0;1112534.800317383;0.0;0.0;24732813.996968936;0.0;4551822.275280868;3029439.4792054263;2848706.710910417
