;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;29345149.176367413;0.0;6923893.749582243;3029439.4792054263;20901926.08128645
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;29311976.729330715;0.0;6236547.963311055;3029439.4792054263;20902741.253630534
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;29311260.33267174;0.0;5798313.617659463;3029439.4792054263;20903556.42597461
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;29351371.758705724;0.0;5575133.834350482;3029439.4792054263;21088192.961906377
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;29440882.293223213;0.0;5462021.989753533;3029439.4792054263;21099197.788551304
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;29588357.061585587;0.0;5517613.860795945;3029439.4792054263;21122837.78652934
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;29692657.47577701;0.0;5518582.802727907;3029439.4792054263;21294997.30114424
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;28234110.792191487;0.0;5464828.85877093;3029439.4792054263;2807839.466893666
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;28051825.410190765;0.0;5336321.6824035905;3029439.4792054263;2810284.983925875
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;27523175.160380356;0.0;5156757.79577212;3029439.4792054263;2812322.9147860496
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;25843789.957167044;0.0;4333709.846755518;3029439.4792054263;2813138.0871301205
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;24029207.96435632;0.0;3526266.2519316375;3029439.4792054263;2812730.5009580846
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;22477592.84977829;0.0;2746664.826729566;3029439.4792054263;2746225.431932645
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;21599806.363856826;0.0;2916745.934243331;3029439.4792054263;2747448.190448749
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;21095676.139801748;0.0;3123394.2311356617;3029439.4792054263;2746225.431932645
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;20801976.401437636;0.0;3364711.5913165826;3029439.4792054263;2747040.6042767125
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;21596673.365287572;0.0;3675773.368689387;3029439.4792054263;2746633.0181046794
