;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-447.77676595809794;0.0;19053522.173955597;0.0;0.0;676483848.0019668;0.0;0.0;18067354.011808775;0.0;0.0;508840937.97527915;0.0;0.0;20038313.044152457;0.0;0.0;372731505.4798483;0.0;0.0;19217194.88833842;0.0;0.0;97961205.3314463;0.0;0.0;20161411.902927067;0.0;0.0;3748843.751267226;0.0;0.0;164659543.15437746;0.0;0.0;52133417.85862075;-287620531.0856685;0.0;296059514.45413804;0.0;0.0;67712374.61460048;-545849415.5263503;0.0;288526059.44277483;0.0;0.0;73870025.84009019;-531877919.37654716;0.0;100138495.25869381;0.0;0.0;44901098.63204663;-159587223.53519756;0.0;20161411.902927067;0.0;0.0;44370629.69131247;-9350.838444754807;0.0;19463392.605887637;0.0;0.0;355904539.31494033;0.0;0.0;19792115.32660324;0.0;0.0;598866242.4538419;0.0;0.0;1005338328.1665844;0.0;0.0;2897524668.945261;-1524944440.3622081
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-128.32668584588225;0.0;3567934.5896801776;0.0;0.0;226342319.24138024;0.0;0.0;3383266.187437229;0.0;0.0;168675506.44340503;0.0;0.0;3752345.0822545895;0.0;0.0;119161606.27164634;0.0;0.0;3598583.7018864006;0.0;0.0;27925817.347196367;0.0;0.0;3775396.3938263906;0.0;0.0;702002.9771574717;0.0;0.0;44676256.83098716;0.0;0.0;9767264.491649717;-81159249.02955832;0.0;74815310.6057771;0.0;0.0;12679719.861299492;-139824439.4188705;0.0;73237007.46568754;0.0;0.0;13832792.58969206;-137371692.5154635;0.0;26501146.29100819;0.0;0.0;8408719.147102203;-45681396.31275749;0.0;3775396.3938263906;0.0;0.0;12417460.713006375;-1751.0242791307246;0.0;3644686.3250300037;0.0;0.0;120316756.81479718;0.0;0.0;3706242.4591109864;0.0;0.0;200316523.8906985;0.0;0.0;248433572.32651216;0.0;0.0;920546489.789031;-404038528.30092895
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-152.84739355935164;0.0;6692696.302673566;0.0;0.0;188846060.22927767;0.0;0.0;6346297.146005506;0.0;0.0;142535112.05032796;0.0;0.0;7038611.674944337;0.0;0.0;106446689.66714585;0.0;0.0;6750187.6032529315;0.0;0.0;30260532.275780313;0.0;0.0;7081851.096478183;0.0;0.0;1316810.21935685;0.0;0.0;48918950.80404848;0.0;0.0;18309862.509099353;-83644661.76381567;0.0;91867691.92971732;0.0;0.0;23784492.709061272;-171067228.11659485;0.0;89769898.67296733;0.0;0.0;25947415.092321225;-166510161.854027;0.0;31653395.082233723;0.0;0.0;15771856.460820049;-49169210.11596697;0.0;7081851.096478183;0.0;0.0;13919233.291495161;-3284.5539693260803;0.0;6836666.446320624;0.0;0.0;97228539.20186028;0.0;0.0;6952132.831876644;0.0;0.0;167117477.37001956;0.0;0.0;316990230.6869968;0.0;0.0;831484081.0765656;-470394546.40437376
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-246.52208685551136;0.0;11394571.592354191;0.0;0.0;307902713.53178114;0.0;0.0;10804813.771039547;0.0;0.0;234025827.85647625;0.0;0.0;11983505.752217472;0.0;0.0;177607623.18479043;0.0;0.0;11492452.731847618;0.0;0.0;51086155.667417146;0.0;0.0;12057122.522200383;0.0;0.0;2241919.794270559;0.0;0.0;80675363.63189836;0.0;0.0;31173241.66087602;-137324604.18638995;0.0;151180019.06311694;0.0;0.0;40494009.09659707;-281248189.7737708;0.0;146602559.95110855;0.0;0.0;44176467.231581554;-271496218.40229994;0.0;50986897.6055774;0.0;0.0;26852189.23132026;-78034925.65218495;0.0;12057122.522200383;0.0;0.0;24080774.435637083;-5592.078836370681;0.0;11639686.271813437;0.0;0.0;160823317.01260176;0.0;0.0;11836272.212251652;0.0;0.0;272251827.42340654;0.0;0.0;522710387.627626;0.0;0.0;1372716066.126756;-768109530.0934819
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-16.223411965995712;0.0;572094.2887627969;0.0;0.0;20051463.935054105;0.0;0.0;542483.9538245625;0.0;0.0;14931493.277821468;0.0;0.0;601663.2696221719;0.0;0.0;10658763.168013968;0.0;0.0;577008.6675464063;0.0;0.0;2794406.8296240163;0.0;0.0;605359.3922295938;0.0;0.0;112561.45084270432;0.0;0.0;5325535.162329707;0.0;0.0;1565235.5939415912;-9390039.964647893;0.0;9552343.23917942;0.0;0.0;2033107.707956013;-17774628.506091468;0.0;9233829.333645005;0.0;0.0;2217995.156383327;-17161071.827913202;0.0;3278293.507894836;0.0;0.0;1348184.438134046;-5323102.45967605;0.0;605359.3922295938;0.0;0.0;1243047.1025425203;-280.7649536157769;0.0;584400.91276125;0.0;0.0;10317444.334635204;0.0;0.0;594271.0244073281;0.0;0.0;17786637.00721523;0.0;0.0;32072642.14443267;0.0;0.0;85060340.0021642;-49649123.52328222
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-14.372751015295902;0.0;474135.7647965625;0.0;0.0;24978567.376868807;0.0;0.0;449595.54637875;0.0;0.0;18479260.7687609;0.0;0.0;498641.7101090625;0.0;0.0;12782155.820714109;0.0;0.0;478208.664646875;0.0;0.0;2989460.5409207535;0.0;0.0;501704.953273125;0.0;0.0;93287.78599998303;0.0;0.0;5380323.547547204;0.0;0.0;1297383.233381483;-9663491.471439486;0.0;9039377.142678661;0.0;0.0;1684982.8725089645;-16737672.640570778;0.0;8916244.871139921;0.0;0.0;1838212.4248454256;-16495764.804262495;0.0;3442596.731509479;0.0;0.0;1117337.6001425977;-5828483.989713851;0.0;501704.953273125;0.0;0.0;1221709.924164494;-232.69015025228228;0.0;484335.150975;0.0;0.0;12942092.653343722;0.0;0.0;492515.2237809375;0.0;0.0;22072542.617747355;0.0;0.0;30659384.26010871;0.0;0.0;101496993.6193986;-48725645.59613686
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-50.282713739288994;0.0;1656497.7869430159;0.0;0.0;83462151.82319742;0.0;0.0;1570761.1255931878;0.0;0.0;61735450.784984365;0.0;0.0;1742114.7076461408;0.0;0.0;43000645.726855226;0.0;0.0;1670727.3601779689;0.0;0.0;10313189.702557517;0.0;0.0;1752816.8227340316;0.0;0.0;325921.439662098;0.0;0.0;17969463.082654268;0.0;0.0;4532781.522163162;-32148340.67949065;0.0;31172001.987306412;0.0;0.0;5886859.010826979;-57715089.89101906;0.0;30673926.20320658;0.0;0.0;6422200.221479007;-56784360.41429092;0.0;11537211.836560499;0.0;0.0;3903665.151053486;-19431546.596995335;0.0;1752816.8227340316;0.0;0.0;4123496.0274423957;-812.9543214309699;0.0;1692131.5903537502;0.0;0.0;43004281.632733226;0.0;0.0;1720710.4774703598;0.0;0.0;73865033.34346189;0.0;0.0;104911179.80338025;0.0;0.0;340575676.3864168;-166080150.5361174
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.958968799317486;0.0;217670.98901773832;0.0;0.0;12570521.602064295;0.0;0.0;206404.82010510942;0.0;0.0;9300390.975886282;0.0;0.0;228921.4234903946;0.0;0.0;6456286.46973278;0.0;0.0;219540.8166165235;0.0;0.0;1503973.9169011856;0.0;0.0;230327.72779947662;0.0;0.0;42827.48982373043;0.0;0.0;2916509.5361552704;0.0;0.0;595682.8369504571;-5345014.964789817;0.0;5065471.489929683;0.0;0.0;773558.7896313765;-9646228.34337306;0.0;4892759.1889207205;0.0;0.0;843904.9450582591;-9353691.915836517;0.0;1674463.38873254;0.0;0.0;512958.5206340645;-2895178.29051505;0.0;230327.72779947662;0.0;0.0;625650.0961684996;-106.82572145097043;0.0;222353.42523468751;0.0;0.0;6553560.761196604;0.0;0.0;226108.81487223052;0.0;0.0;11120436.426874336;0.0;0.0;16330859.34867385;0.0;0.0;50899752.83092187;-27240220.340235896
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-20.701245534543066;0.0;130692.960546875;0.0;0.0;24807544.047172125;0.0;0.0;118045.2546875;0.0;0.0;18323417.20174541;0.0;0.0;130692.960546875;0.0;0.0;12507570.821367612;0.0;0.0;126477.05859375;0.0;0.0;2721627.463475751;0.0;0.0;130692.960546875;0.0;0.0;365420.27725274576;0.0;0.0;3781508.9388046954;0.0;0.0;353632.5263736249;-8924599.486105248;0.0;6276218.965810796;0.0;0.0;365420.27725274576;-16132482.593339682;0.0;5976756.093222463;0.0;0.0;365420.27725274576;-15812477.89204638;0.0;1818326.861288654;0.0;0.0;353632.5263736249;-4459569.850109537;0.0;130692.960546875;0.0;0.0;1314510.2052383057;0.0;0.0;126477.05859375;0.0;0.0;13296723.274433602;0.0;0.0;130692.960546875;0.0;0.0;21928876.684291884;0.0;0.0;18877275.033735983;0.0;0.0;96703795.58223018;-45329129.82160085
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-9.434805541160143;0.0;352376.73864561337;0.0;0.0;15637995.142167589;0.0;0.0;334138.4980956094;0.0;0.0;11713538.057878781;0.0;0.0;370589.50749326963;0.0;0.0;8464598.327970177;0.0;0.0;355403.7095527735;0.0;0.0;2121602.8566712323;0.0;0.0;372866.1035992267;0.0;0.0;69331.29332744706;0.0;0.0;3409911.0754533885;0.0;0.0;964147.0363430409;-6023692.38390561;0.0;6120307.909480468;0.0;0.0;1252275.8529789164;-11282763.484934311;0.0;5987451.808047307;0.0;0.0;1366155.7454599591;-11030718.617179956;0.0;2094411.5647599448;0.0;0.0;830403.0379849116;-3422449.534329591;0.0;372866.1035992267;0.0;0.0;875528.2074492688;-172.9348476718233;0.0;359956.90176468756;0.0;0.0;8188344.700081175;0.0;0.0;366036.3152813556;0.0;0.0;13789991.645754255;0.0;0.0;20496316.23577287;0.0;0.0;65273911.904066764;-31759796.95519714
