;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-355.82573854559365;0.0;19053522.173955597;0.0;0.0;863733303.6123595;0.0;0.0;18067354.011808775;0.0;0.0;670157482.5941167;0.0;0.0;20038313.044152457;0.0;0.0;564288913.0508509;0.0;0.0;19217194.88833842;0.0;0.0;174858905.21339816;0.0;0.0;20161411.902927067;0.0;0.0;4450769.375872851;0.0;0.0;18601700.594465382;0.0;0.0;57560408.676216096;-93904943.9202229;0.0;19915214.18537785;0.0;0.0;69400070.60292797;-256351729.49486938;0.0;20161411.902927067;0.0;0.0;68364729.250118;-151795566.85439575;0.0;19094096.029563814;0.0;0.0;58767301.95352302;-31121724.109326754;0.0;20161411.902927067;0.0;0.0;159612541.79633158;0.0;0.0;19463392.605887637;0.0;0.0;557050121.3096329;0.0;0.0;19792115.32660324;0.0;0.0;769012350.5775468;0.0;0.0;233727138.56893438;0.0;0.0;4017256898.0128946;-533173964.37881476
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-99.87433320886278;0.0;3567934.5896801776;0.0;0.0;290044482.7140914;0.0;0.0;3383266.187437229;0.0;0.0;223635725.57440218;0.0;0.0;3752345.0822545895;0.0;0.0;184968465.56671137;0.0;0.0;3598583.7018864006;0.0;0.0;54932874.07834209;0.0;0.0;3775396.3938263906;0.0;0.0;833444.5391189966;0.0;0.0;3483327.1440273933;0.0;0.0;10785634.159610849;-26858172.185673352;0.0;3729293.770682788;0.0;0.0;12995755.334354918;-70089620.60373075;0.0;3775396.3938263906;0.0;0.0;12801878.83261991;-40763807.94748154;0.0;3575532.390314599;0.0;0.0;11035748.255987687;-7800900.517902078;0.0;3775396.3938263906;0.0;0.0;51871366.198611185;0.0;0.0;3644686.3250300037;0.0;0.0;186956057.74274454;0.0;0.0;3706242.4591109864;0.0;0.0;257760433.90782508;0.0;0.0;43767400.83190334;0.0;0.0;1298621866.9044201;-145512501.2547877
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-124.11682270186375;0.0;6692696.302673566;0.0;0.0;240271081.02050093;0.0;0.0;6346297.146005506;0.0;0.0;187072312.48335463;0.0;0.0;7038611.674944337;0.0;0.0;159264536.45271486;0.0;0.0;6750187.6032529315;0.0;0.0;50792925.05769942;0.0;0.0;7081851.096478183;0.0;0.0;1563366.997135781;0.0;0.0;6533990.4955837;0.0;0.0;20201238.56400922;-27185532.094452843;0.0;6995372.25341049;0.0;0.0;24377308.913749974;-76354072.80898035;0.0;7081851.096478183;0.0;0.0;24013637.29541644;-46617460.833918475;0.0;6706948.181719085;0.0;0.0;20629028.96622319;-9814259.25890092;0.0;7081851.096478183;0.0;0.0;46001967.16356117;0.0;0.0;6836666.446320624;0.0;0.0;154370189.75066203;0.0;0.0;6952132.831876644;0.0;0.0;214254734.7651162;0.0;0.0;82098456.22522144;0.0;0.0;1142812327.4301438;-159971324.99625257
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-198.2011451887764;0.0;11394571.592354191;0.0;0.0;392049176.01081204;0.0;0.0;10804813.771039547;0.0;0.0;306294531.60542005;0.0;0.0;11983505.752217472;0.0;0.0;262781297.86176252;0.0;0.0;11492452.731847618;0.0;0.0;84412218.3234296;0.0;0.0;12057122.522200383;0.0;0.0;2661692.1444457644;0.0;0.0;11124368.881933067;0.0;0.0;34394794.94859302;-45602009.738743946;0.0;11909888.982234562;0.0;0.0;41503301.372825816;-126420801.46152556;0.0;12057122.522200383;0.0;0.0;40884136.52448907;-76465888.81495415;0.0;11418835.961864706;0.0;0.0;35124194.4779113;-17208500.88067151;0.0;12057122.522200383;0.0;0.0;77298132.7580112;0.0;0.0;11639686.271813437;0.0;0.0;253511329.25837088;0.0;0.0;11836272.212251652;0.0;0.0;349042357.3977187;0.0;0.0;139775763.7241574;0.0;0.0;1879957162.6837897;-265697200.89589518
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-13.418978765264082;0.0;572094.2887627969;0.0;0.0;25577799.602406144;0.0;0.0;542483.9538245625;0.0;0.0;19733964.85317568;0.0;0.0;601663.2696221719;0.0;0.0;16379232.471269716;0.0;0.0;577008.6675464063;0.0;0.0;5009438.775683204;0.0;0.0;605359.3922295938;0.0;0.0;133637.2203149777;0.0;0.0;558528.0545092969;0.0;0.0;1726780.389677384;-3078352.0184457283;0.0;597967.14701475;0.0;0.0;2083781.8682123155;-8353854.128534826;0.0;605359.3922295938;0.0;0.0;2052695.076518118;-5000114.398696022;0.0;573312.5449389843;0.0;0.0;1763234.811722003;-846325.8541786482;0.0;605359.3922295938;0.0;0.0;4555297.747153074;0.0;0.0;584400.91276125;0.0;0.0;16352078.662857221;0.0;0.0;594271.0244073281;0.0;0.0;22831840.464190766;0.0;0.0;7017808.040076329;0.0;0.0;118199781.94318062;-17278646.399855223
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-11.691359474986454;0.0;474135.7647965625;0.0;0.0;31999966.93505207;0.0;0.0;449595.54637875;0.0;0.0;24574686.6032937;0.0;0.0;498641.7101090625;0.0;0.0;20094751.4088807;0.0;0.0;478208.664646875;0.0;0.0;5924879.43149567;0.0;0.0;501704.953273125;0.0;0.0;110754.79497681203;0.0;0.0;462892.4488265625;0.0;0.0;1432235.1038577752;-3269405.6908956934;0.0;495578.466945;0.0;0.0;1726980.2009222663;-8766592.783251243;0.0;501704.953273125;0.0;0.0;1701216.3363906436;-5091524.684067075;0.0;475145.4214828125;0.0;0.0;1461930.1109067278;-759611.362672351;0.0;501704.953273125;0.0;0.0;5546444.200072626;0.0;0.0;484335.150975;0.0;0.0;20411155.284094706;0.0;0.0;492515.2237809375;0.0;0.0;28446704.972996533;0.0;0.0;5816163.257760937;0.0;0.0;143431705.38294023;-17887134.52088636
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-40.53698529689926;0.0;1656497.7869430159;0.0;0.0;106665711.43849768;0.0;0.0;1570761.1255931878;0.0;0.0;82000936.91624835;0.0;0.0;1742114.7076461408;0.0;0.0;67432075.67070639;0.0;0.0;1670727.3601779689;0.0;0.0;20163910.5098164;0.0;0.0;1752816.8227340316;0.0;0.0;386946.2849973698;0.0;0.0;1617216.7847385157;0.0;0.0;5004578.627079243;-10405627.118704375;0.0;1731412.5925582503;0.0;0.0;6033585.933239177;-28400012.71609841;0.0;1752816.8227340316;0.0;0.0;5943574.1945169475;-16718941.40153999;0.0;1660025.2450900783;0.0;0.0;5108396.640622842;-2735058.735993628;0.0;1752816.8227340316;0.0;0.0;18395057.025588647;0.0;0.0;1692131.5903537502;0.0;0.0;67927991.52871928;0.0;0.0;1720710.4774703598;0.0;0.0;95022778.51424214;0.0;0.0;20320048.138773363;0.0;0.0;480085543.28427446;-58259639.972336404
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-7.909290978654422;0.0;217670.98901773832;0.0;0.0;16123510.343932834;0.0;0.0;206404.82010510942;0.0;0.0;12380616.037457222;0.0;0.0;228921.4234903946;0.0;0.0;10136831.746524053;0.0;0.0;219540.8166165235;0.0;0.0;2985868.439854688;0.0;0.0;230327.72779947662;0.0;0.0;50846.41900280097;0.0;0.0;212509.29507111333;0.0;0.0;657456.419965898;-1683346.310299097;0.0;227515.11918131256;0.0;0.0;792839.343199717;-4427460.087766279;0.0;230327.72779947662;0.0;0.0;781011.4105907446;-2542590.2741455133;0.0;218134.51230744144;0.0;0.0;671152.6090598986;-421883.65174388496;0.0;230327.72779947662;0.0;0.0;2802298.141362656;0.0;0.0;222353.42523468751;0.0;0.0;10302174.21275882;0.0;0.0;226108.81487223052;0.0;0.0;14337353.98002484;0.0;0.0;2670142.399294981;0.0;0.0;72021959.10373418;-9075280.323954774
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-13.363489159201986;0.0;130692.960546875;0.0;0.0;32027493.659313474;0.0;0.0;118045.2546875;0.0;0.0;24581687.03865099;0.0;0.0;130692.960546875;0.0;0.0;20071624.95014182;0.0;0.0;126477.05859375;0.0;0.0;5952085.237715044;0.0;0.0;130692.960546875;0.0;0.0;433840.8019191819;0.0;0.0;126477.05859375;0.0;0.0;419845.9373411438;-2455198.3291074554;0.0;130692.960546875;0.0;0.0;433840.8019191819;-6659990.299040428;0.0;130692.960546875;0.0;0.0;433840.8019191819;-3515019.0437317854;0.0;126477.05859375;0.0;0.0;419845.9373411438;-862046.9197207302;0.0;130692.960546875;0.0;0.0;5842049.07280609;0.0;0.0;126477.05859375;0.0;0.0;20617805.940678;0.0;0.0;130692.960546875;0.0;0.0;28390701.89524539;0.0;0.0;1538804.2128906248;0.0;0.0;139624662.07499063;-13492254.5916004
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-7.741466509969217;0.0;352376.73864561337;0.0;0.0;19980693.675938074;0.0;0.0;334138.4980956094;0.0;0.0;15472135.649796672;0.0;0.0;370589.50749326963;0.0;0.0;12965417.13838242;0.0;0.0;355403.7095527735;0.0;0.0;3977500.144360065;0.0;0.0;372866.1035992267;0.0;0.0;82312.738968422;0.0;0.0;344020.72902298835;0.0;0.0;1064908.0085716113;-1855672.4144825866;0.0;368312.9113873126;0.0;0.0;1283488.182267043;-5216956.756422132;0.0;372866.1035992267;0.0;0.0;1264340.5304073358;-2964650.9640058437;0.0;353127.11344681645;0.0;0.0;1086989.8680388746;-605531.2349850027;0.0;372866.1035992267;0.0;0.0;3672022.22450724;0.0;0.0;359956.90176468756;0.0;0.0;12829898.438551966;0.0;0.0;366036.3152813556;0.0;0.0;17735533.62145773;0.0;0.0;4322560.7354881065;0.0;0.0;91415240.22124746;-10642811.369895566
