;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-355.82573854559365;0.0;19053522.173955597;0.0;0.0;863733303.6123595;0.0;0.0;18067354.011808775;0.0;0.0;670157482.5941167;0.0;0.0;20038313.044152457;0.0;0.0;564288913.0508509;0.0;0.0;19217194.88833842;0.0;0.0;174858905.21339816;0.0;0.0;20161411.902927067;0.0;0.0;4450769.375872851;0.0;0.0;61422916.955108;0.0;0.0;57560400.63598499;-90033083.59650512;0.0;143743326.61203778;0.0;0.0;69400070.60292797;-247162216.7177485;0.0;94020240.64958556;0.0;0.0;68364729.250118;-146517839.73422885;0.0;26935862.1483881;0.0;0.0;58767292.16228084;-31117693.204710137;0.0;20161411.902927067;0.0;0.0;159612541.79633158;0.0;0.0;19463392.605887637;0.0;0.0;557050121.3096329;0.0;0.0;19792115.32660324;0.0;0.0;769012350.5775468;0.0;0.0;482077062.2217197;0.0;0.0;4017256880.1814213;-514830833.2531926
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-99.87433320886278;0.0;3567934.5896801776;0.0;0.0;290044482.7140914;0.0;0.0;3383266.187437229;0.0;0.0;223635725.57440218;0.0;0.0;3752345.0822545895;0.0;0.0;184968465.56671137;0.0;0.0;3598583.7018864006;0.0;0.0;54932874.07834209;0.0;0.0;3775396.3938263906;0.0;0.0;833444.5391189966;0.0;0.0;15349157.372355217;0.0;0.0;10785629.74667463;-25242463.51099781;0.0;36563691.79629532;0.0;0.0;12995755.334354918;-66807886.59807621;0.0;22390926.02865585;0.0;0.0;12801878.83261991;-38342661.72701624;0.0;5038130.185896647;0.0;0.0;11035747.17169182;-7800533.012805987;0.0;3775396.3938263906;0.0;0.0;51871366.198611185;0.0;0.0;3644686.3250300037;0.0;0.0;186956057.74274454;0.0;0.0;3706242.4591109864;0.0;0.0;257760433.90782508;0.0;0.0;108545756.5162552;0.0;0.0;1298621861.407188;-138193544.84889627
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-124.11682270186375;0.0;6692696.302673566;0.0;0.0;240271081.02050093;0.0;0.0;6346297.146005506;0.0;0.0;187072312.48335463;0.0;0.0;7038611.674944337;0.0;0.0;159264536.45271486;0.0;0.0;6750187.6032529315;0.0;0.0;50792925.05769942;0.0;0.0;7081851.096478183;0.0;0.0;1563366.997135781;0.0;0.0;18919069.182416067;0.0;0.0;20201238.56400922;-26488405.643419307;0.0;44348219.04399904;0.0;0.0;24377308.913749974;-74875847.59844962;0.0;30260760.82987785;0.0;0.0;24013637.29541644;-45711716.17912113;0.0;9478207.84173595;0.0;0.0;20629028.577210527;-9809212.119027989;0.0;7081851.096478183;0.0;0.0;46001967.162411496;0.0;0.0;6836666.446320624;0.0;0.0;154370189.75066203;0.0;0.0;6952132.831876644;0.0;0.0;214254734.7651162;0.0;0.0;157786551.09605888;0.0;0.0;1142812327.0399814;-156885181.54001805
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-198.2011451887764;0.0;11394571.592354191;0.0;0.0;392049176.01081204;0.0;0.0;10804813.771039547;0.0;0.0;306294531.60542005;0.0;0.0;11983505.752217472;0.0;0.0;262781297.86176252;0.0;0.0;11492452.731847618;0.0;0.0;84412218.3234296;0.0;0.0;12057122.522200383;0.0;0.0;2661692.1444457644;0.0;0.0;31782522.47249085;0.0;0.0;34394794.94859302;-44532387.15699728;0.0;73811404.04066241;0.0;0.0;41503301.372825816;-124209939.71444698;0.0;50109909.64677679;0.0;0.0;40884136.52448907;-75200827.01781827;0.0;16122956.896906596;0.0;0.0;35124193.705060765;-17201281.465495918;0.0;12057122.522200383;0.0;0.0;77298132.75627798;0.0;0.0;11639686.271813437;0.0;0.0;253511329.25837088;0.0;0.0;11836272.212251652;0.0;0.0;349042357.3977187;0.0;0.0;265092340.43276137;0.0;0.0;1879957161.9092062;-261144435.3547584
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-13.418978765264082;0.0;572094.2887627969;0.0;0.0;25577799.602406144;0.0;0.0;542483.9538245625;0.0;0.0;19733964.85317568;0.0;0.0;601663.2696221719;0.0;0.0;16379232.471269716;0.0;0.0;577008.6675464063;0.0;0.0;5009438.775683204;0.0;0.0;605359.3922295938;0.0;0.0;133637.2203149777;0.0;0.0;1983537.7718834344;0.0;0.0;1726779.654811055;-2947832.014149064;0.0;4655323.304842883;0.0;0.0;2083781.8682123155;-8086936.522499129;0.0;3053543.0092469985;0.0;0.0;2052695.076518118;-4829718.690432595;0.0;811142.9512599664;0.0;0.0;1763234.8109785449;-846103.8287059165;0.0;605359.3922295938;0.0;0.0;4555297.747153069;0.0;0.0;584400.91276125;0.0;0.0;16352078.662857221;0.0;0.0;594271.0244073281;0.0;0.0;22831840.464190766;0.0;0.0;15186187.938616987;0.0;0.0;118199781.20757082;-16710591.055786705
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-11.691359474986454;0.0;474135.7647965625;0.0;0.0;31999966.93505207;0.0;0.0;449595.54637875;0.0;0.0;24574686.6032937;0.0;0.0;498641.7101090625;0.0;0.0;20094751.4088807;0.0;0.0;478208.664646875;0.0;0.0;5924879.43149567;0.0;0.0;501704.953273125;0.0;0.0;110754.79497681203;0.0;0.0;1952850.5929928063;0.0;0.0;1432234.1123839538;-3069861.5467706667;0.0;4712791.617880677;0.0;0.0;1726980.2009222663;-8336469.05752354;0.0;2936686.8746957844;0.0;0.0;1701216.3363906436;-4796395.7507808795;0.0;671305.0941003705;0.0;0.0;1461930.1027736103;-759466.8661963725;0.0;501704.953273125;0.0;0.0;5546444.200072626;0.0;0.0;484335.150975;0.0;0.0;20411155.284094706;0.0;0.0;492515.2237809375;0.0;0.0;28446704.972996533;0.0;0.0;14154476.146903077;0.0;0.0;143431704.38333327;-16962193.22127146
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-40.53698529689926;0.0;1656497.7869430159;0.0;0.0;106665711.43849768;0.0;0.0;1570761.1255931878;0.0;0.0;82000936.91624835;0.0;0.0;1742114.7076461408;0.0;0.0;67432075.67070639;0.0;0.0;1670727.3601779689;0.0;0.0;20163910.5098164;0.0;0.0;1752816.8227340316;0.0;0.0;386946.2849973698;0.0;0.0;6325848.729138145;0.0;0.0;5004577.754108721;-9804018.706152959;0.0;15300633.963837925;0.0;0.0;6033585.933239177;-26981264.263138406;0.0;9730998.03021963;0.0;0.0;5943574.1945169475;-15781225.02045558;0.0;2344773.6210478153;0.0;0.0;5108395.61571876;-2734566.3603666746;0.0;1752816.8227340316;0.0;0.0;18395057.025588647;0.0;0.0;1692131.5903537502;0.0;0.0;67927991.52871928;0.0;0.0;1720710.4774703598;0.0;0.0;95022778.51424214;0.0;0.0;47260831.037896;0.0;0.0;480085541.38639987;-55301074.350113615
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-7.909290978654422;0.0;217670.98901773832;0.0;0.0;16123510.343932834;0.0;0.0;206404.82010510942;0.0;0.0;12380616.037457222;0.0;0.0;228921.4234903946;0.0;0.0;10136831.746524053;0.0;0.0;219540.8166165235;0.0;0.0;2985868.439854688;0.0;0.0;230327.72779947662;0.0;0.0;50846.41900280097;0.0;0.0;966740.9725406396;0.0;0.0;657455.8729768832;-1582399.2369655091;0.0;2297092.4150664406;0.0;0.0;792839.343199717;-4217199.745575729;0.0;1411128.9380720945;0.0;0.0;781011.4105907446;-2398028.8729090504;0.0;308371.3177938363;0.0;0.0;671152.3677656509;-421732.1337085429;0.0;230327.72779947662;0.0;0.0;2802298.141362656;0.0;0.0;222353.42523468751;0.0;0.0;10302174.21275882;0.0;0.0;226108.81487223052;0.0;0.0;14337353.98002484;0.0;0.0;6764989.388408649;0.0;0.0;72021958.31545092;-8619359.989158832
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-13.363489159201986;0.0;130692.960546875;0.0;0.0;32027493.659313474;0.0;0.0;118045.2546875;0.0;0.0;24581687.03865099;0.0;0.0;130692.960546875;0.0;0.0;20071624.95014182;0.0;0.0;126477.05859375;0.0;0.0;5952085.237715044;0.0;0.0;130692.960546875;0.0;0.0;433840.8019191819;0.0;0.0;856993.4486539387;0.0;0.0;419845.9373411438;-2243158.1183842556;0.0;2122789.0252060886;0.0;0.0;433840.8019191819;-6225495.929257216;0.0;1028571.1588136769;0.0;0.0;433840.8019191819;-3154823.268916423;0.0;126477.05859375;0.0;0.0;419845.9373411438;-861968.775932095;0.0;130692.960546875;0.0;0.0;5842049.07280609;0.0;0.0;126477.05859375;0.0;0.0;20617805.940678;0.0;0.0;130692.960546875;0.0;0.0;28390701.89524539;0.0;0.0;5159294.865876829;0.0;0.0;139624662.07499063;-12485446.092489988
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-7.741466509969217;0.0;352376.73864561337;0.0;0.0;19980693.675938074;0.0;0.0;334138.4980956094;0.0;0.0;15472135.649796672;0.0;0.0;370589.50749326963;0.0;0.0;12965417.13838242;0.0;0.0;355403.7095527735;0.0;0.0;3977500.144360065;0.0;0.0;372866.1035992267;0.0;0.0;82312.738968422;0.0;0.0;1181008.4560843955;0.0;0.0;1064907.6195536861;-1779299.5651504283;0.0;2899670.316530303;0.0;0.0;1283488.182267043;-5027310.353413255;0.0;1815343.8058836763;0.0;0.0;1264340.5304073358;-2853728.182229663;0.0;497794.61444361054;0.0;0.0;1086989.8202041422;-605362.6476670329;0.0;372866.1035992267;0.0;0.0;3672022.2245071223;0.0;0.0;359956.90176468756;0.0;0.0;12829898.438551966;0.0;0.0;366036.3152813556;0.0;0.0;17735533.62145773;0.0;0.0;9278051.070973748;0.0;0.0;91415239.78439468;-10265700.74846038
