;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-359.33897677629983;0.0;19053522.173955597;0.0;0.0;814447454.7570927;0.0;0.0;18067354.011808775;0.0;0.0;615996237.9864186;0.0;0.0;20038313.044152457;0.0;0.0;509314488.63210577;0.0;0.0;19217194.88833842;0.0;0.0;159342126.65853748;0.0;0.0;20161411.902927067;0.0;0.0;4284635.367633867;0.0;0.0;18601700.594465382;0.0;0.0;54091537.84140647;-120487790.2494264;0.0;19915214.18537785;0.0;0.0;66971561.73309027;-321358974.6320583;0.0;20161411.902927067;0.0;0.0;67620478.92946248;-187762549.70060295;0.0;19094096.029563814;0.0;0.0;47865574.05852784;-26041833.96699763;0.0;20161411.902927067;0.0;0.0;127135392.78751624;0.0;0.0;19463392.605887637;0.0;0.0;507379536.722787;0.0;0.0;19792115.32660324;0.0;0.0;729938469.1688094;0.0;0.0;233727138.56893438;0.0;0.0;3704387494.643388;-655651148.5490853
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-101.15528176939907;0.0;3567934.5896801776;0.0;0.0;271874539.59982204;0.0;0.0;3383266.187437229;0.0;0.0;203628093.0779981;0.0;0.0;3752345.0822545895;0.0;0.0;164671401.7034956;0.0;0.0;3598583.7018864006;0.0;0.0;49216058.79144277;0.0;0.0;3775396.3938263906;0.0;0.0;802334.5286387126;0.0;0.0;3483327.1440273933;0.0;0.0;10131766.265764963;-35317872.49278974;0.0;3729293.770682788;0.0;0.0;12540996.328700678;-87323307.15012166;0.0;3775396.3938263906;0.0;0.0;12662511.610213274;-51264408.50195895;0.0;3575532.390314599;0.0;0.0;8963237.126401851;-6006636.41328003;0.0;3775396.3938263906;0.0;0.0;40155882.22543968;0.0;0.0;3644686.3250300037;0.0;0.0;168599625.045404;0.0;0.0;3706242.4591109864;0.0;0.0;243356891.19566873;0.0;0.0;43767400.83190334;0.0;0.0;1186603337.4989905;-179912224.55815038
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-124.94071391009017;0.0;6692696.302673566;0.0;0.0;227229907.93514895;0.0;0.0;6346297.146005506;0.0;0.0;172841467.4411539;0.0;0.0;7038611.674944337;0.0;0.0;144751838.57014048;0.0;0.0;6750187.6032529315;0.0;0.0;46716033.562640905;0.0;0.0;7081851.096478183;0.0;0.0;1505011.1481469132;0.0;0.0;6533990.4955837;0.0;0.0;18989079.467830405;-33766484.88898531;0.0;6995372.25341049;0.0;0.0;23524276.483011816;-95193053.39282934;0.0;7081851.096478183;0.0;0.0;23752213.64241209;-56987374.45605734;0.0;6706948.181719085;0.0;0.0;16813151.269466892;-8461871.452179793;0.0;7081851.096478183;0.0;0.0;36992366.61018656;0.0;0.0;6836666.446320624;0.0;0.0;141247519.7904136;0.0;0.0;6952132.831876644;0.0;0.0;203986557.16318342;0.0;0.0;82098456.22522144;0.0;0.0;1058349423.083736;-194408784.19005176
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-200.07549996917433;0.0;11394571.592354191;0.0;0.0;371323383.0632924;0.0;0.0;10804813.771039547;0.0;0.0;283650349.8142912;0.0;0.0;11983505.752217472;0.0;0.0;239709267.7612987;0.0;0.0;11492452.731847618;0.0;0.0;77881235.68568565;0.0;0.0;12057122.522200383;0.0;0.0;2562339.0781979156;0.0;0.0;11124368.881933067;0.0;0.0;32330332.75267296;-55754602.78527298;0.0;11909888.982234562;0.0;0.0;40050981.01297876;-156518756.16923398;0.0;12057122.522200383;0.0;0.0;40439052.75027046;-92713550.16148922;0.0;11418835.961864706;0.0;0.0;28625033.49457084;-14885915.355053512;0.0;12057122.522200383;0.0;0.0;62815557.208715;0.0;0.0;11639686.271813437;0.0;0.0;232669272.15863627;0.0;0.0;11836272.212251652;0.0;0.0;332687278.4892752;0.0;0.0;139775763.7241574;0.0;0.0;1744744083.269885;-319872824.47104967
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-13.652773203040834;0.0;572094.2887627969;0.0;0.0;24095620.795682006;0.0;0.0;542483.9538245625;0.0;0.0;18102932.28078775;0.0;0.0;601663.2696221719;0.0;0.0;14731167.686374607;0.0;0.0;577008.6675464063;0.0;0.0;4555007.86596316;0.0;0.0;605359.3922295938;0.0;0.0;128648.93959632343;0.0;0.0;558528.0545092969;0.0;0.0;1623032.7862751693;-3993849.8774579;0.0;597967.14701475;0.0;0.0;2010864.3235211277;-10415162.739299014;0.0;605359.3922295938;0.0;0.0;2030348.480756474;-6140730.784924753;0.0;573312.5449389843;0.0;0.0;1437194.7242734653;-720220.6198577174;0.0;605359.3922295938;0.0;0.0;3585269.6295221495;0.0;0.0;584400.91276125;0.0;0.0;14858960.124874817;0.0;0.0;594271.0244073281;0.0;0.0;21654503.234928202;0.0;0.0;7017808.040076329;0.0;0.0;108813550.87255524;-21269964.021539386
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-11.787692843269639;0.0;474135.7647965625;0.0;0.0;30000449.951262906;0.0;0.0;449595.54637875;0.0;0.0;22392878.959716503;0.0;0.0;498641.7101090625;0.0;0.0;17863228.80473237;0.0;0.0;478208.664646875;0.0;0.0;5306447.502225465;0.0;0.0;501704.953273125;0.0;0.0;106620.64726722054;0.0;0.0;462892.4488265625;0.0;0.0;1345859.038966346;-4334020.568971076;0.0;495578.466945;0.0;0.0;1666548.17686901;-10847744.0515647;0.0;501704.953273125;0.0;0.0;1682696.1020863298;-6502851.71664576;0.0;475145.4214828125;0.0;0.0;1191106.8387496497;-625917.1485891999;0.0;501704.953273125;0.0;0.0;4252893.087427323;0.0;0.0;484335.150975;0.0;0.0;18393093.986486062;0.0;0.0;492515.2237809375;0.0;0.0;26880114.039628;0.0;0.0;5816163.257760937;0.0;0.0;131081937.13541718;-22310533.48577074
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-40.802752004094636;0.0;1656497.7869430159;0.0;0.0;100024144.90696406;0.0;0.0;1570761.1255931878;0.0;0.0;74741514.29304272;0.0;0.0;1742114.7076461408;0.0;0.0;60019631.22800107;0.0;0.0;1670727.3601779689;0.0;0.0;18103216.605088845;0.0;0.0;1752816.8227340316;0.0;0.0;372502.7288678882;0.0;0.0;1617216.7847385157;0.0;0.0;4702643.467319636;-13828830.978449812;0.0;1731412.5925582503;0.0;0.0;5822453.338870013;-35858776.56230776;0.0;1752816.8227340316;0.0;0.0;5878869.674384565;-21325691.649536632;0.0;1660025.2450900783;0.0;0.0;4161394.243794433;-2235681.1999260914;0.0;1752816.8227340316;0.0;0.0;14120583.307161596;0.0;0.0;1692131.5903537502;0.0;0.0;61225285.78560337;0.0;0.0;1720710.4774703598;0.0;0.0;89806086.90004939;0.0;0.0;20320048.138773363;0.0;0.0;438978326.47914755;-73248980.3902203
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-8.011196355683799;0.0;217670.98901773832;0.0;0.0;15106982.486978354;0.0;0.0;206404.82010510942;0.0;0.0;11262800.035536204;0.0;0.0;228921.4234903946;0.0;0.0;9002964.335512899;0.0;0.0;219540.8166165235;0.0;0.0;2671202.311259736;0.0;0.0;230327.72779947662;0.0;0.0;48948.47312420159;0.0;0.0;212509.29507111333;0.0;0.0;617771.9079004064;-2240059.672860605;0.0;227515.11918131256;0.0;0.0;765095.6051805862;-5659049.2756587565;0.0;230327.72779947662;0.0;0.0;772508.9561943968;-3210373.595592851;0.0;218134.51230744144;0.0;0.0;546825.2405039994;-331357.1214598383;0.0;230327.72779947662;0.0;0.0;2148193.1650710492;0.0;0.0;222353.42523468751;0.0;0.0;9276451.318253074;0.0;0.0;226108.81487223052;0.0;0.0;13532620.066697827;0.0;0.0;2670142.399294981;0.0;0.0;65752363.90221273;-11440839.665572051
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-13.660451607485976;0.0;130692.960546875;0.0;0.0;29771952.965733822;0.0;0.0;118045.2546875;0.0;0.0;22091400.77416812;0.0;0.0;130692.960546875;0.0;0.0;17549935.882322367;0.0;0.0;126477.05859375;0.0;0.0;5225350.253350197;0.0;0.0;130692.960546875;0.0;0.0;417646.81268416025;0.0;0.0;126477.05859375;0.0;0.0;404174.33485563897;-3275340.0821897117;0.0;130692.960546875;0.0;0.0;417646.81268416025;-8488019.411852283;0.0;130692.960546875;0.0;0.0;417646.81268416025;-4581903.403007784;0.0;126477.05859375;0.0;0.0;404174.33485563897;-519162.67026634415;0.0;130692.960546875;0.0;0.0;4382085.934803956;0.0;0.0;126477.05859375;0.0;0.0;18336541.653630227;0.0;0.0;130692.960546875;0.0;0.0;26592288.44531789;0.0;0.0;1538804.2128906248;0.0;0.0;126010845.01709037;-16864425.567316126
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-7.788612449034489;0.0;352376.73864561337;0.0;0.0;18776357.448631756;0.0;0.0;334138.4980956094;0.0;0.0;14166536.23937767;0.0;0.0;370589.50749326963;0.0;0.0;11623216.09542012;0.0;0.0;355403.7095527735;0.0;0.0;3601701.6843735655;0.0;0.0;372866.1035992267;0.0;0.0;79240.2487764827;0.0;0.0;344020.72902298835;0.0;0.0;1000782.5917733181;-2431594.910552157;0.0;368312.9113873126;0.0;0.0;1238575.2245727913;-6703512.545981997;0.0;372866.1035992267;0.0;0.0;1250576.329839368;-3807320.3144174153;0.0;353127.11344681645;0.0;0.0;885228.1864819387;-500568.9824915317;0.0;372866.1035992267;0.0;0.0;2878170.385486218;0.0;0.0;359956.90176468756;0.0;0.0;11615298.492432931;0.0;0.0;366036.3152813556;0.0;0.0;16798960.934626047;0.0;0.0;4322560.7354881065;0.0;0.0;83914643.8617922;-13442996.753443101
