;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-439.59027977946715;0.0;19053522.173955597;0.0;0.0;731580380.4376842;0.0;0.0;18067354.011808775;0.0;0.0;583725712.2608877;0.0;0.0;20038313.044152457;0.0;0.0;384198258.688085;0.0;0.0;19217194.88833842;0.0;0.0;62762388.6134929;-50900.03346222314;0.0;20161411.902927067;0.0;0.0;3952351.351501805;0.0;0.0;18601700.594465382;0.0;0.0;46908158.18024844;-291965106.8747081;0.0;19915214.18537785;0.0;0.0;47955227.327740885;-419622146.1013147;0.0;20161411.902927067;0.0;0.0;56303922.5083644;-427688808.77621245;0.0;19094096.029563814;0.0;0.0;43378228.53646745;-102017007.22237495;0.0;20161411.902927067;0.0;0.0;99638251.40282133;-3259.6466911735247;0.0;19463392.605887637;0.0;0.0;405644598.95463413;0.0;0.0;19792115.32660324;0.0;0.0;685736071.6383468;0.0;0.0;233727138.56893438;0.0;0.0;3151783549.9002748;-1241347228.6547637
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-132.32738631327837;0.0;3567934.5896801776;0.0;0.0;244129924.7294324;0.0;0.0;3383266.187437229;0.0;0.0;192096211.3819223;0.0;0.0;3752345.0822545895;0.0;0.0;120892861.4826356;0.0;0.0;3598583.7018864006;0.0;0.0;17691346.757899493;-11903.311838466469;0.0;3775396.3938263906;0.0;0.0;740111.5116064079;0.0;0.0;3483327.1440273933;0.0;0.0;8783952.834624479;-84754652.20295876;0.0;3729293.770682788;0.0;0.0;8980025.465974068;-117503127.84228547;0.0;3775396.3938263906;0.0;0.0;10543389.868717395;-118505502.09517749;0.0;3575532.390314599;0.0;0.0;8123897.073504035;-32417112.087855972;0.0;3775396.3938263906;0.0;0.0;30057286.909603663;-610.3966538780937;0.0;3644686.3250300037;0.0;0.0;135201108.43396604;0.0;0.0;3706242.4591109864;0.0;0.0;227839718.5053296;0.0;0.0;43767400.83190334;0.0;0.0;1005079834.9552157;-353192907.9367701
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-146.31543123147722;0.0;6692696.302673566;0.0;0.0;204364730.27261454;0.0;0.0;6346297.146005506;0.0;0.0;164089928.45590416;0.0;0.0;7038611.674944337;0.0;0.0;111233395.01893091;0.0;0.0;6750187.6032529315;0.0;0.0;19256061.135907043;-15124.07725567926;0.0;7081851.096478183;0.0;0.0;1388293.830167542;0.0;0.0;6533990.4955837;0.0;0.0;16476851.573789615;-82936268.87715396;0.0;6995372.25341049;0.0;0.0;16844642.670264427;-121485993.14189322;0.0;7081851.096478183;0.0;0.0;19777186.10540336;-127835827.75178167;0.0;6706948.181719085;0.0;0.0;15236936.61948664;-27941470.69836146;0.0;7081851.096478183;0.0;0.0;28787053.049066514;-1144.975987057101;0.0;6836666.446320624;0.0;0.0;112429461.79426989;0.0;0.0;6952132.831876644;0.0;0.0;191630293.71655583;0.0;0.0;82098456.22522144;0.0;0.0;901514834.2423606;-360215829.52243304
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-245.82797520987467;0.0;11394571.592354191;0.0;0.0;334003889.0347467;0.0;0.0;10804813.771039547;0.0;0.0;270211130.9197502;0.0;0.0;11983505.752217472;0.0;0.0;185463816.30988678;0.0;0.0;11492452.731847618;0.0;0.0;32503644.457367904;-25749.32034332562;0.0;12057122.522200383;0.0;0.0;2363623.3774343478;0.0;0.0;11124368.881933067;0.0;0.0;28052470.392110795;-137693147.17433345;0.0;11909888.982234562;0.0;0.0;28678648.809640143;-201353838.49306855;0.0;12057122.522200383;0.0;0.0;33671416.23971618;-208955554.2967749;0.0;11418835.961864706;0.0;0.0;25941467.729463164;-44110449.24012481;0.0;12057122.522200383;0.0;0.0;49831726.83604359;-1949.3654374899377;0.0;11639686.271813437;0.0;0.0;186109525.17119408;0.0;0.0;11836272.212251652;0.0;0.0;314200978.65593183;0.0;0.0;139775763.7241574;0.0;0.0;1491032337.9332857;-592140687.8900826
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-17.42433747233186;0.0;572094.2887627969;0.0;0.0;21638267.32446399;0.0;0.0;542483.9538245625;0.0;0.0;17095009.36987038;0.0;0.0;601663.2696221719;0.0;0.0;11047615.249199962;0.0;0.0;577008.6675464063;0.0;0.0;1796471.7306887822;-1863.1505331358153;0.0;605359.3922295938;0.0;0.0;118671.89775908431;0.0;0.0;558528.0545092969;0.0;0.0;1408447.6951974889;-9657944.264402213;0.0;597967.14701475;0.0;0.0;1439886.6214889735;-13989656.295240737;0.0;605359.3922295938;0.0;0.0;1690561.5774288722;-14097863.197936809;0.0;573312.5449389843;0.0;0.0;1302459.2815853325;-3575794.252525035;0.0;605359.3922295938;0.0;0.0;2748251.365705937;-97.87299368480888;0.0;584400.91276125;0.0;0.0;11827347.37184309;0.0;0.0;594271.0244073281;0.0;0.0;20211208.46510056;0.0;0.0;7017808.040076329;0.0;0.0;92324197.95033245;-41323219.03363161
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-14.686491334954376;0.0;474135.7647965625;0.0;0.0;26890055.68425696;0.0;0.0;449595.54637875;0.0;0.0;21032919.34292133;0.0;0.0;498641.7101090625;0.0;0.0;12994675.146996895;0.0;0.0;478208.664646875;0.0;0.0;1916451.0249483008;-1588.5496475784691;0.0;501704.953273125;0.0;0.0;98351.9537059953;0.0;0.0;462892.4488265625;0.0;0.0;1167282.1041136107;-10237326.848534958;0.0;495578.466945;0.0;0.0;1193337.8079624153;-13834176.203094743;0.0;501704.953273125;0.0;0.0;1401090.2087195357;-14172712.820949247;0.0;475145.4214828125;0.0;0.0;1079441.8677493385;-4112992.275640908;0.0;501704.953273125;0.0;0.0;3046554.517138634;-81.11440303665849;0.0;484335.150975;0.0;0.0;14561618.92778392;0.0;0.0;492515.2237809375;0.0;0.0;25033310.67555951;0.0;0.0;5816163.257760937;0.0;0.0;110415089.26185644;-42358877.81227047
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-48.74405000066918;0.0;1656497.7869430159;0.0;0.0;89804713.48076521;0.0;0.0;1570761.1255931878;0.0;0.0;70223121.83726601;0.0;0.0;1742114.7076461408;0.0;0.0;44029637.314846665;0.0;0.0;1670727.3601779689;0.0;0.0;6608157.186319792;-5008.164156891347;0.0;1752816.8227340316;0.0;0.0;343614.2256119557;0.0;0.0;1617216.7847385157;0.0;0.0;4078157.2827184494;-32465741.605713446;0.0;1731412.5925582503;0.0;0.0;4169188.6264123935;-45406988.77558163;0.0;1752816.8227340316;0.0;0.0;4895017.424064749;-46910474.360254265;0.0;1660025.2450900783;0.0;0.0;3771268.058269412;-13121969.593188165;0.0;1752816.8227340316;0.0;0.0;10167574.771712568;-283.3910434431813;0.0;1692131.5903537502;0.0;0.0;48496447.862235256;0.0;0.0;1720710.4774703598;0.0;0.0;83468561.47720297;0.0;0.0;20320048.138773363;0.0;0.0;370055459.54742545;-137910465.88993782
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.788231357794766;0.0;217670.98901773832;0.0;0.0;13526555.49601355;0.0;0.0;206404.82010510942;0.0;0.0;10579754.80708813;0.0;0.0;228921.4234903946;0.0;0.0;6533572.36731343;0.0;0.0;219540.8166165235;0.0;0.0;961013.9928940749;-827.9132280786819;0.0;230327.72779947662;0.0;0.0;45152.39858397204;0.0;0.0;212509.29507111333;0.0;0.0;535887.5430418877;-5452749.991208712;0.0;227515.11918131256;0.0;0.0;547849.4561634512;-7848664.681873257;0.0;230327.72779947662;0.0;0.0;643226.5061588575;-7807844.180910519;0.0;218134.51230744144;0.0;0.0;495560.96878911654;-2108029.329366612;0.0;230327.72779947662;0.0;0.0;1551975.7788455063;-37.238811419654574;0.0;222353.42523468751;0.0;0.0;7367236.268947334;0.0;0.0;226108.81487223052;0.0;0.0;12594874.45558284;0.0;0.0;2670142.399294981;0.0;0.0;55382660.039422154;-23218153.3353986
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-20.17877348739909;0.0;130692.960546875;0.0;0.0;26684448.840192728;0.0;0.0;118045.2546875;0.0;0.0;20678216.56077102;0.0;0.0;130692.960546875;0.0;0.0;12421615.62928975;0.0;0.0;126477.05859375;0.0;0.0;1845939.9573591533;0.0;0.0;130692.960546875;0.0;0.0;385257.27464043966;0.0;0.0;126477.05859375;0.0;0.0;372829.6206197803;-9373598.819151388;0.0;130692.960546875;0.0;0.0;385257.27464043966;-13620149.073678203;0.0;130692.960546875;0.0;0.0;385257.27464043966;-13218538.159202447;0.0;126477.05859375;0.0;0.0;372829.6206197803;-3513727.229394068;0.0;130692.960546875;0.0;0.0;3054184.9811957343;0.0;0.0;126477.05859375;0.0;0.0;14689468.913336232;0.0;0.0;130692.960546875;0.0;0.0;24702836.02980089;0.0;0.0;1538804.2128906248;0.0;0.0;105978141.97710639;-39726013.28142611
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-9.525245808056182;0.0;352376.73864561337;0.0;0.0;16892364.44441996;0.0;0.0;334138.4980956094;0.0;0.0;13401002.800807713;0.0;0.0;370589.50749326963;0.0;0.0;8697724.10440249;0.0;0.0;355403.7095527735;0.0;0.0;1340468.936424508;-822.1272277469243;0.0;372866.1035992267;0.0;0.0;73094.97249424589;0.0;0.0;344020.72902298835;0.0;0.0;867521.6920272401;-6124968.609229224;0.0;368312.9113873126;0.0;0.0;886886.2382755011;-8824452.123123996;0.0;372866.1035992267;0.0;0.0;1041287.4011069984;-9075230.96610379;0.0;353127.11344681645;0.0;0.0;802239.0065390804;-2180692.6139234095;0.0;372866.1035992267;0.0;0.0;2121811.349147991;-60.28405980195902;0.0;359956.90176468756;0.0;0.0;9260860.303694857;0.0;0.0;366036.3152813556;0.0;0.0;15759959.006257316;0.0;0.0;4322560.7354881065;0.0;0.0;71145220.2555979;-26206226.723667964
